,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"531David StockdaleFulham, 36, GK","David Stockdale Fulham, 36, GK",2,180,-,-,-,-,1,-,-,-,5.85,-,-,-,-,0.5,-,-,-,27.5,52.7,-,6.5,-
1,"532Dominic SamuelReading, 28, AM(R),FW","Dominic Samuel Reading, 28, AM(R),FW",0(1),18,-,-,-,-,-,-,-,-,5.84,-,-,-,-,-,-,1,1,8.0,62.5,-,-,-
2,"533Iago FalqueTottenham, 32, AM(CLR),FW","Iago Falque Tottenham, 32, AM(CLR),FW",0(1),5,-,-,-,-,-,-,-,-,5.81,-,-,-,-,-,-,-,-,9.0,77.8,-,-,-
3,"534Stuart TaylorReading, 41, GK","Stuart Taylor Reading, 41, GK",4,360,-,-,-,-,1.3,-,-,-,5.78,-,-,-,-,-,-,-,0.3,25.3,34.7,-,7.8,-
4,"535Marc TierneyNorwich, 36, D(L)","Marc Tierney Norwich, 36, D(L)",1,90,-,2,1,-,5,-,-,-,5.69,-,-,-,1,1,-,-,-,41.0,70.7,2,-,-
5,"536Shay GivenAston Villa, 46, GK","Shay Given Aston Villa, 46, GK",2,180,-,-,-,-,-,0.5,-,-,5.53,-,-,-,-,-,-,-,-,32.0,60.9,-,11,-
6,"537Maurice EduStoke, 36, D(C),M(C)","Maurice Edu Stoke, 36, D(C),M(C)",0(1),9,-,-,-,-,1,2,-,-,5.52,-,-,-,-,-,-,1,3,9.0,100.0,-,-,-
0,"521Chris MartinNorwich, 33, FW","Chris Martin Norwich, 33, FW",0(1),2,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,3,66.7,-,-,-
1,"522Isaiah BrownWest Brom, 25, AM(CL),FW","Isaiah Brown West Brom, 25, AM(CL),FW",0(1),4,-,-,1,-,-,-,-,-,5.96,-,-,-,-,-,-,-,-,2,50,-,-,-
2,"523Daniel PottsWest Ham, 28, D(CL)","Daniel Potts West Ham, 28, D(CL)",1(1),117,3.5,0.5,-,-,4,0.5,0.5,-,5.94,-,-,-,-,-,-,0.5,1.5,18.5,67.6,-,1,-
3,"524Robert HallWest Ham, 28, AM(CLR)","Robert Hall West Ham, 28, AM(CLR)",0(1),12,-,-,1,-,-,-,-,-,5.93,-,-,1,-,-,-,-,1,-,-,-,-,-
4,"525Billy SharpSouthampton, 36, FW","Billy Sharp Southampton, 36, FW",0(2),18,-,-,-,-,0.5,-,-,-,5.93,-,-,-,-,0.5,-,-,1,2,75,-,-,-
