,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"691Joshua KingMan Utd, 30, AM(CLR),FW","Joshua King Man Utd, 30, AM(CLR),FW",0(1),5,-,-,1,-,-,1,-,-,5.85,-,-,-,-,-,-,2,2,2.0,100.0,-,-,-
1,"692JuanmiMalaga, 29, AM(CLR),FW","Juanmi Malaga, 29, AM(CLR),FW",0(1),14,-,-,-,-,-,-,-,-,5.84,-,-,-,-,-,-,2,2,5.0,100.0,-,1,-
2,"693Mario TicinovicFC Nordsjaelland, 30, Defender","Mario Ticinovic FC Nordsjaelland, 30, Defender",1(2),106,-,-,0.3,0.3,2.3,0.3,-,-,5.82,-,-,0.3,0.3,0.3,0.3,0.3,0.3,12.0,83.3,-,0.7,-
3,"694Dmytro ChygrynskiyShakhtar, 35, D(C)","Dmytro Chygrynskiy Shakhtar, 35, D(C)",1,90,1,2,1,-,10,1,1,-,5.78,-,-,-,-,-,-,-,-,46.0,76.1,-,4,-
4,"695Mark GundelachFC Nordsjaelland, 30, Defender","Mark Gundelach FC Nordsjaelland, 30, Defender",1,90,2,-,-,-,-,1,-,-,5.77,-,-,-,-,-,2,2,-,18.0,77.8,-,1,-
5,"696Garry BocalyMontpellier, 34, D(R)","Garry Bocaly Montpellier, 34, D(R)",3,232,1.3,-,1.3,-,5.7,-,-,-,5.76,-,-,0.7,0.7,0.3,-,-,0.3,37.7,88.5,0.3,1.3,-
6,"697Laurent PionnierMontpellier, 40, GK","Laurent Pionnier Montpellier, 40, GK",1,90,-,-,-,-,1,-,-,-,5.74,-,-,-,-,-,-,-,-,22.0,68.2,-,8,-
7,"698Jack RodwellMan City, 31, D(C),M(C)","Jack Rodwell Man City, 31, D(C),M(C)",0(1),56,-,-,-,-,1,-,-,-,5.57,-,-,-,-,-,-,-,-,44.0,79.5,-,2,-
0,"681WellitonSpartak Moscow, 35, FW","Welliton Spartak Moscow, 35, FW",0(2),44,-,-,1.5,-,0.5,-,-,-,5.96,-,-,0.5,-,0.5,-,-,1,1.5,66.7,-,-,-
1,"682Nicolai StokholmFC Nordsjaelland, 46, DMC","Nicolai Stokholm FC Nordsjaelland, 46, DMC",6,540,1.5,1.2,1.3,0.2,2.2,1.5,0.3,-,5.94,-,-,0.8,0.3,1,-,1.3,0.8,61.2,90.5,0.5,6.7,-
2,"683Max MeyerSchalke, 26, M(CLR),FW","Max Meyer Schalke, 26, M(CLR),FW",0(1),5,-,-,-,-,-,-,-,-,5.94,-,-,-,-,-,-,2,-,5.0,80.0,-,1,-
3,"684M'Baye NiangAC Milan, 27, AM(LR),FW","M'Baye Niang AC Milan, 27, AM(LR),FW",1(1),77,-,-,1.5,-,0.5,2.5,-,-,5.94,-,-,0.5,1,-,-,2.5,2,10.5,66.7,1,-,-
4,"685Kamal IssahFC Nordsjaelland, 29, DMC","Kamal Issah FC Nordsjaelland, 29, DMC",0(1),25,-,1,1,-,-,3,1,-,5.93,-,-,-,-,2,-,-,2,12.0,58.3,-,-,-
5,"686Abdelhamid El KaoutariMontpellier, 32, D(CL)","Abdelhamid El Kaoutari Montpellier, 32, D(CL)",1,90,-,2,-,-,4,2,-,-,5.89,-,-,-,-,-,-,-,-,42.0,78.6,-,1,-
6,"687Balazs MegyeriOlympiacos, 32, GK","Balazs Megyeri Olympiacos, 32, GK",2,180,-,-,-,-,1,-,-,-,5.89,-,-,-,-,0.5,-,-,-,28.5,52.6,-,8,-
7,"688Bryan CarrascoDinamo Zagreb, 31, Midfielder","Bryan Carrasco Dinamo Zagreb, 31, Midfielder",0(2),35,-,-,0.5,-,-,-,-,-,5.89,-,-,0.5,-,-,0.5,-,1,9.0,50.0,-,-,-
8,"689Mickaël LandreauLille, 43, GK","Mickaël Landreau Lille, 43, GK",4,360,-,-,-,-,0.8,-,-,-,5.88,-,-,-,-,0.3,-,-,-,28.0,72.3,-,9.8,-
9,"690Andrey ArshavinArsenal, 41, AM(LR)","Andrey Arshavin Arsenal, 41, AM(LR)",0(2),52,-,-,-,-,-,-,-,-,5.86,-,-,1.5,-,0.5,-,-,-,6.5,92.3,-,1,-
0,"671Emanuele GiaccheriniJuventus, 37, M(CLR)","Emanuele Giaccherini Juventus, 37, M(CLR)",0(4),40,0.3,0.3,0.3,-,0.5,0.5,-,-,5.99,-,-,-,-,-,0.3,-,0.5,5.8,73.9,-,-,-
1,"672Chinedu ObasiSchalke, 36, M(R),FW","Chinedu Obasi Schalke, 36, M(R),FW",0(2),11,-,-,-,-,-,-,-,-,5.99,-,-,-,-,-,-,-,1,2.5,80.0,-,-,-
2,"673Jonathan LigaliMontpellier, 31, GK","Jonathan Ligali Montpellier, 31, GK",1,90,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,26.0,42.3,-,9,-
