,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"171Aritz AdurizAthletic Bilbao, 41, FW","Aritz Aduriz Athletic Bilbao, 41, FW",33(3),2594,0.5,0.1,1.6,-,1.2,0.1,-,-,6.89,14,6,2.3,0.7,1.5,0.5,1.2,1.7,20.0,72.5,-,0.9,0.1
1,"172Tomás PinaMallorca, 34, M(C)","Tomás Pina Mallorca, 34, M(C)",34(2),2886,2.6,2.2,2.3,-,1.7,0.7,0.3,-,6.89,-,1,0.6,0.8,1.4,0.1,1,0.5,31.8,77.9,0.1,2.1,-
2,"173Allan-Roméo NyomGranada, 34, D(LR),M(R)","Allan-Roméo Nyom Granada, 34, D(LR),M(R)",35,2960,2.8,1.4,1,0.5,3.9,0.3,0.1,-,6.89,-,2,0.5,0.5,0.5,-,0.3,0.3,22.6,70.8,0.5,1.0,-
3,"174Jorge MolinaReal Betis, 40, FW","Jorge Molina Real Betis, 40, FW",22(10),2122,0.7,0.4,1.1,-,0.3,0.2,0.1,-,6.88,13,2,1.8,0.9,2.1,0.5,1.1,1.3,24.0,69.7,0.1,0.5,0.1
4,"175Sofiane FeghouliValencia, 32, M(CR)","Sofiane Feghouli Valencia, 32, M(CR)",23(4),2109,2.4,1.0,1.4,-,0.3,0.2,0.1,-,6.88,3,6,1.1,1.4,1.1,0.4,1.1,1.6,25.1,78.5,0.6,0.9,0.1
5,"176Juan ValeraGetafe, 37, D(R)","Juan Valera Getafe, 37, D(R)",30,2593,1.4,1.9,1.2,0.7,4.6,0.4,0.3,-,6.88,2,-,0.5,0.6,1.5,0.4,0.2,0.5,29.2,69.9,0.4,0.9,-
6,"177LaureDeportivo, 37, D(R)","Laure Deportivo, 37, D(R)",10(1),945,3.2,2.2,1.1,0.3,2.5,0.7,0.3,-,6.88,-,1,0.2,1.2,1.0,0.1,0.8,0.6,36.4,84.8,1.4,0.7,-
7,"178CicinhoSevilla, 35, D(R)","Cicinho Sevilla, 35, D(R)",19(8),1723,3.3,1.5,1,0.2,2.1,0.9,0.1,-,6.88,1,2,0.6,0.6,1.1,-,1,0.6,23.7,79.8,0.3,0.7,-
8,"179Jordi FiguerasRayo Vallecano, 35, D(C)","Jordi Figueras Rayo Vallecano, 35, D(C)",13(1),1185,1.9,2.9,1.2,0.8,5.9,0.5,0.9,-,6.87,-,1,0.4,0.4,0.9,-,-,0.4,47.3,83.7,-,4.2,0.1
9,"180Willy CaballeroMalaga, 40, GK","Willy Caballero Malaga, 40, GK",36,3194,0.1,0.1,-,-,0.9,0.1,-,-,6.87,-,-,-,-,0.1,-,-,0.1,23.9,58.4,-,9.3,-
0,"161GurpegiAthletic Bilbao, 41, D(C),M(C)","Gurpegi Athletic Bilbao, 41, D(C),M(C)",24(3),2048,2.6,2.6,1.3,0.1,5.9,1.1,0.6,-,6.91,1,-,0.2,-,0.5,-,0.2,0.1,39.7,85.9,-,2.3,-
1,"162Héctor MorenoEspanyol, 34, D(CL)","Héctor Moreno Espanyol, 34, D(CL)",31(1),2772,1.6,2.3,0.8,0.8,5,0.3,0.8,-,6.91,2,2,0.4,0.4,0.7,-,0.2,0.3,37.8,76.2,-,4.3,-
2,"163Piotr TrochowskiSevilla, 38, M(CL)","Piotr Trochowski Sevilla, 38, M(CL)",6,445,1.3,0.7,0.5,-,-,0.7,0.2,-,6.91,2,-,1.5,0.5,0.7,0.2,0.8,0.2,29.7,80.3,0.3,2.2,-
3,"164Miguel Ángel De las CuevasOsasuna, 35, M(CL)","Miguel Ángel De las Cuevas Osasuna, 35, M(CL)",15(1),1143,2.1,0.8,0.8,-,0.4,0.4,-,-,6.91,1,1,1.6,1.6,1.6,0.5,1.6,1,29.6,74.1,1.3,0.8,0.1
4,"165AdriánReal Betis, 35, GK","Adrián Real Betis, 35, GK",31(1),2868,-,0.1,-,-,1.5,0.1,-,-,6.91,-,-,-,0.1,0.2,-,-,-,29.2,47.7,-,8.9,-
5,"166Kiko CasillaEspanyol, 35, GK","Kiko Casilla Espanyol, 35, GK",20(1),1822,-,-,0.1,-,1.3,-,-,-,6.9,-,-,-,-,0.1,-,-,0.1,26.0,38.3,-,7.5,-
6,"167Augusto FernándezCelta Vigo, 36, M(CR)","Augusto Fernández Celta Vigo, 36, M(CR)",36,2900,2.7,0.9,1.5,-,0.8,1.3,0.1,-,6.9,6,5,1.6,0.9,1.3,0.3,1.8,1.3,30.6,78.5,0.8,0.7,0.1
7,"168Raúl GoniReal Zaragoza, 33, D(L)","Raúl Goni Real Zaragoza, 33, D(L)",4,316,2.5,2.8,1.8,0.8,4.5,-,-,-,6.9,-,-,0.3,-,-,0.3,-,0.5,30.3,73.6,0.3,0.3,-
