,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"561Joel RoblesEverton, 31, GK","Joel Robles Everton, 31, GK",1(1),156,-,-,-,-,0.5,-,-,-,5.72,-,-,-,-,-,-,-,-,30.5,52.5,-,9,-
0,"551David N'GogSwansea, 33, FW","David N'Gog Swansea, 33, FW",0(3),42,-,-,1,-,-,-,-,-,5.99,-,-,1,-,0.3,0.3,1.3,-,3.0,44.4,-,-,-
1,"552Elliot LeeWest Ham, 27, AM(CLR),FW","Elliot Lee West Ham, 27, AM(CLR),FW",0(1),2,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,1.0,-,-,-,-
2,"553Rhys HealeyCardiff, 27, FW","Rhys Healey Cardiff, 27, FW",0(1),14,1,-,-,-,-,1,-,-,5.98,-,-,-,-,-,-,-,4,1.0,100,-,-,-
3,"554Nicky MaynardCardiff, 35, FW","Nicky Maynard Cardiff, 35, FW",0(8),122,-,-,0.3,-,0.1,0.5,-,-,5.96,-,-,0.5,0.1,0.3,-,0.4,0.5,3.1,84,-,0.1,-
4,"555Kelvin DavisSouthampton, 45, GK","Kelvin Davis Southampton, 45, GK",2,180,-,-,-,-,-,-,-,-,5.94,-,-,-,-,-,-,-,-,29.0,67.2,-,13,-
5,"556Leroy LitaSwansea, 37, Forward","Leroy Lita Swansea, 37, Forward",0(2),34,-,-,0.5,-,1,-,-,-,5.93,-,-,-,-,-,0.5,0.5,-,2.5,80,-,0.5,-
6,"557Brad SmithLiverpool, 28, D(L),M(L)","Brad Smith Liverpool, 28, D(L),M(L)",0(1),31,-,1,3,-,-,-,-,-,5.9,-,-,-,-,-,-,-,3,4.0,50,-,-,-
7,"558Jack GrealishAston Villa, 26, AM(CL),FW","Jack Grealish Aston Villa, 26, AM(CL),FW",0(1),2,-,-,-,-,-,-,-,-,5.9,-,-,-,1,-,-,-,-,5.0,100,-,-,-
8,"559MescaFulham, 29, Midfielder","Mesca Fulham, 29, Midfielder",0(1),18,-,-,-,-,-,-,-,-,5.85,-,-,-,-,1,-,1,2,4.0,100,-,-,-
9,"560Patrick RobertsFulham, 25, AM(CR),FW","Patrick Roberts Fulham, 25, AM(CR),FW",0(2),44,0.5,-,0.5,-,-,0.5,-,-,5.77,-,-,-,-,-,-,0.5,0.5,9.0,83.3,-,0.5,-
0,"541Ignacio ScoccoSunderland, 37, AM(R),FW","Ignacio Scocco Sunderland, 37, AM(R),FW",0(6),93,0.3,-,0.7,-,-,0.3,-,-,6.01,-,-,0.5,-,0.2,-,0.5,0.3,2.3,50,-,-,0.2
1,"542Brek SheaStoke, 32, D(L),M(LR)","Brek Shea Stoke, 32, D(L),M(LR)",0(1),31,1,-,1,-,-,-,-,-,6.0,-,-,-,-,-,-,1,1,6,66.7,1,-,-
2,"543Chuba AkpomArsenal, 26, FW","Chuba Akpom Arsenal, 26, FW",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"544Kevin PhillipsCrystal Palace, 48, FW","Kevin Phillips Crystal Palace, 48, FW",0(4),76,-,-,0.3,-,-,-,-,-,6.0,-,-,0.8,0.5,0.5,0.3,0.5,0.5,6.3,72,-,0.3,-
4,"545Lacina Emeghara TraoréEverton, 31, FW","Lacina Emeghara Traoré Everton, 31, FW",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,1,-,1,-,-,-,-,-,-
5,"546Luke GarbuttEverton, 29, D(L),M(L)","Luke Garbutt Everton, 29, D(L),M(L)",0(1),1,1,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,2,50,-,-,-
6,"547Tom JamesCardiff, 26, D(R),M(R)","Tom James Cardiff, 26, D(R),M(R)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,4,75,-,-,-
7,"548Victor AnichebeEverton, 34, M(L),FW","Victor Anichebe Everton, 34, M(L),FW",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
