,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"41Marcell JansenHamburg, 36, D(L),M(L)","Marcell Jansen Hamburg, 36, D(L),M(L)",20(1),1774,3.6,1.8,1.4,0.2,3.6,1.0,0.1,-,7.38,1,3,0.9,1.1,1.0,-,0.8,0.6,29.5,66.3,0.9,0.6,-
1,"42DanteBayern, 38, D(C)","Dante Bayern, 38, D(C)",27(2),2420,1.7,0.9,1.5,1.1,3.0,0.4,0.4,1,7.37,2,1,0.7,0.1,0.6,-,0.1,0.4,75.5,91.4,-,8.7,0.1
2,"43Thomas MüllerBayern, 32, M(CLR),FW","Thomas Müller Bayern, 32, M(CLR),FW",25(6),2173,0.8,0.5,0.9,-,0.2,1.1,0.1,-,7.36,13,10,2.3,2.0,0.7,0.4,1.6,1.3,32.4,78.6,0.6,0.8,0.1
3,"44Luiz GustavoWolfsburg, 34, D(C),M(C)","Luiz Gustavo Wolfsburg, 34, D(C),M(C)",29,2543,3.4,2.4,2.3,0.2,1.4,2.1,0.2,-,7.35,4,2,1.1,0.7,1.5,0.1,1.2,0.7,48.2,86.6,0.1,5.1,-
4,"45Toni KroosBayern, 32, M(C)","Toni Kroos Bayern, 32, M(C)",24(5),2072,1.8,0.6,1.0,-,0.2,1.1,-,-,7.34,2,4,1.8,1.3,1.2,-,0.7,0.7,75.6,91.9,0.9,8.6,0.1
5,"46Sebastian PrödlWerder Bremen, 34, D(C)","Sebastian Prödl Werder Bremen, 34, D(C)",26(1),2305,1.8,1.6,1.3,0.8,10.0,0.7,1.3,1,7.34,2,2,0.6,0.2,0.6,-,0.1,0.1,33.8,73.4,-,4.5,-
6,"47Oscar WendtBorussia M.Gladbach, 36, D(L),M(L)","Oscar Wendt Borussia M.Gladbach, 36, D(L),M(L)",16(2),1475,1.8,1.8,0.7,0.5,3.9,1.1,0.3,-,7.34,3,1,0.4,0.7,0.6,-,0.3,0.4,46.8,84.3,0.4,2.2,-
7,"48Eric Choupo-MotingMainz, 33, M(CLR),FW","Eric Choupo-Moting Mainz, 33, M(CLR),FW",19(13),2046,1.3,0.8,0.8,-,0.4,0.7,0.2,-,7.33,10,3,2.6,0.8,1.2,0.7,2.5,1.4,22.1,78.5,0.1,1.3,0.1
8,"49Sidney SamLeverkusen, 34, M(CLR)","Sidney Sam Leverkusen, 34, M(CLR)",16(6),1396,0.5,0.4,0.7,-,0.2,1.0,-,-,7.33,8,7,1.8,2.0,1.5,0.4,2.5,0.9,20.6,80.2,0.8,1.3,-
9,"50Tolga CigerciHertha Berlin, 30, M(CLR)","Tolga Cigerci Hertha Berlin, 30, M(CLR)",18(1),1495,2.1,2.0,1.5,-,1.1,2.0,0.2,-,7.32,1,3,1.6,1.6,1.3,-,1.6,1.5,34.4,74.3,0.7,2.5,0.1
0,"31Klaas Jan HuntelaarSchalke, 38, FW","Klaas Jan Huntelaar Schalke, 38, FW",17(1),1463,0.3,0.3,1.7,-,0.9,1.1,0.1,-,7.45,12,-,3.1,0.5,1.7,0.6,1.3,1.3,24.3,74.2,-,0.8,0.1
1,"32Fabian LustenbergerHertha Berlin, 34, D(C),M(C)","Fabian Lustenberger Hertha Berlin, 34, D(C),M(C)",19,1710,3.3,2.5,0.8,0.5,6.7,1.2,0.6,-,7.44,-,-,0.3,0.2,1.5,-,0.3,0.2,49.9,85.0,-,8.7,-
2,"33André HahnAugsburg, 31, AM(CLR),FW","André Hahn Augsburg, 31, AM(CLR),FW",30(2),2736,2.2,0.8,2.8,-,1.1,2.9,0.2,-,7.43,12,7,2.9,1.1,1.9,0.4,1.7,1.3,22.7,57.3,1,0.8,-
