,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"681Eray IscanGalatasaray, 30, Goalkeeper","Eray Iscan Galatasaray, 30, Goalkeeper",2,180,-,-,-,-,0.5,-,-,-,5.5,-,-,-,-,-,-,-,-,21.5,72.1,-,4.5,-
0,"671Héctor HerreraPorto, 32, M(C)","Héctor Herrera Porto, 32, M(C)",1(2),29,0.3,-,1,-,0.3,0.3,-,-,5.92,-,-,-,-,-,-,-,1,7.3,86.4,-,0.3,-
1,"672Ricardo PereiraPorto, 28, D(LR),M(R)","Ricardo Pereira Porto, 28, D(LR),M(R)",0(1),25,-,-,1,-,-,-,-,-,5.91,-,-,-,1,-,-,2,1,11.0,81.8,-,-,-
2,"673Youri TielemansAnderlecht, 25, M(C)","Youri Tielemans Anderlecht, 25, M(C)",2(2),190,0.5,0.5,1.8,-,0.8,0.8,-,-,5.9,-,-,0.8,0.5,0.8,-,1.3,0.5,26.5,84.0,-,2,-
3,"674Jean Marie DongouBarcelona, 27, Forward","Jean Marie Dongou Barcelona, 27, Forward",0(1),9,-,-,1,-,-,-,-,-,5.89,-,-,-,-,-,-,-,-,3.0,100.0,-,-,-
4,"675Leon GoretzkaSchalke, 27, M(CR)","Leon Goretzka Schalke, 27, M(CR)",0(4),47,0.5,0.3,-,-,-,0.8,-,-,5.85,-,-,0.8,-,-,-,0.8,0.3,12.0,89.6,-,1.3,-
5,"676Radim ReznikViktoria Plzen, 33, D(R)","Radim Reznik Viktoria Plzen, 33, D(R)",2(1),193,0.7,0.7,1.3,-,1,1.3,0.3,1,5.75,-,-,-,0.3,0.3,0.3,-,0.3,22.7,79.4,0.3,1.3,-
6,"677Scott BrownCeltic, 36, DMC","Scott Brown Celtic, 36, DMC",3,239,2,1,0.7,-,0.3,3.7,0.3,-,5.65,-,-,0.7,-,0.3,-,1.3,1.7,31.0,87.1,-,0.7,-
7,"678Anatoliy TymoshchukZenit, 43, DMC","Anatoliy Tymoshchuk Zenit, 43, DMC",0(1),76,-,-,3,-,1,1,-,-,5.62,-,-,-,-,1,-,2,3,57.0,86.0,-,2,-
8,"679Lukas HejdaViktoria Plzen, 32, D(C)","Lukas Hejda Viktoria Plzen, 32, D(C)",1,67,1,-,-,3,4,1,-,-,5.52,-,-,-,-,-,-,-,-,11.0,72.7,-,1,-
