,Pos,Club,Country,08/09,09/10,10/11,11/12,12/13,Pts,NA
2,3,CHE  Chelsea FC  Chelsea,ENG,22.000,19.000,23.000,30.000,27.000,121.0,16.592
4,5,MU  Manchester United  Man. United,ENG,25.000,25.000,33.000,13.000,18.000,114.0,16.592
5,6,ARS  Arsenal FC  Arsenal,ENG,19.000,22.000,19.000,19.000,18.000,97.0,16.592
16,17,LIV  Liverpool FC  Liverpool,ENG,20.000,21.000,12.000,-,9.000,62.0,16.592
21,22,MC  Manchester City FC  Man. City,ENG,17.000,-,13.000,17.000,7.000,54.0,16.592
23,24,TOT  Tottenham Hotspur  Tottenham,ENG,9.000,-,21.000,7.000,16.000,53.0,16.592
49,50,FUL  Fulham FC  Fulham,ENG,-,23.000,-,6.000,-,29.0,16.592
66,67,NEW  Newcastle United FC  Newcastle,ENG,-,-,-,-,15.000,15.0,16.592
75,76,AV  Aston Villa FC  Aston Villa,ENG,8.000,1.500,1.500,-,-,11.0,16.592
81,82,EVE  Everton FC  Everton,ENG,1.000,8.000,-,-,-,9.0,16.592
84,85,STO  Stoke City FC  Stoke,ENG,-,-,-,8.000,-,8.0,16.592
88,89,BIR  Birmingham City FC  Birmingham,ENG,-,-,-,7.000,-,7.0,16.592
90,91,PRM  Portsmouth FC  Portsmouth,ENG,6.000,-,-,-,-,6.0,16.592
0,1,BAR  FC Barcelona  Barcelona,ESP,26.000,27.000,33.000,30.000,24.000,140.0,17.605
3,4,RM  Real Madrid CF  Real Madrid,ESP,12.000,19.000,30.000,32.000,26.000,119.0,17.605
9,10,VAL  Valencia CF  Valencia,ESP,11.000,16.000,18.000,21.000,19.000,85.0,17.605
10,11,ATL  Club Atlético de Madrid  Atlético,ESP,15.000,21.000,6.000,30.000,10.000,82.0,17.605
25,26,VLR  Villarreal CF  Villarreal,ESP,16.000,7.000,23.000,4.000,-,50.0,17.605
39,40,SEV  Sevilla FC  Sevilla,ESP,8.000,19.000,9.000,1.500,-,37.5,17.605
43,44,ATH  Athletic Club  Athletic Club,ESP,-,8.000,-,23.000,4.000,35.0,17.605
58,59,MAL  Málaga CF  Málaga,ESP,-,-,-,-,22.000,22.0,17.605
67,68,LEV  Levante UD  Levante,ESP,-,-,-,-,13.000,13.0,17.605
80,81,RST  Real Racing Club  Racing,ESP,8.000,-,-,-,-,8.0,17.605
83,84,DEP  Real Club Deportivo La Coruña  Deportivo,ESP,7.000,-,-,-,-,7.0,17.605
89,90,GET  Getafe CF  Getafe,ESP,-,-,5.000,-,-,5.0,17.605
1,2,BAY  FC Bayern München  Bayern,GER,20.000,27.000,21.000,30.000,33.000,131.0,15.922
14,15,SCH  FC Schalke 04  Schalke,GER,6.000,-,27.000,17.000,19.000,69.0,15.922
30,31,BVB  Borussia Dortmund  Dortmund,GER,2.000,-,7.000,7.000,30.000,46.0,15.922
31,32,BRM  SV Werder Bremen  Bremen,GER,22.000,15.000,8.000,-,-,45.0,15.922
32,33,STU  VfB Stuttgart  Stuttgart,GER,8.000,17.000,10.000,-,9.000,44.0,15.922
38,39,HSV  Hamburger SV  Hamburg,GER,22.000,18.000,-,-,-,40.0,15.922
41,42,BL  Bayer 04 Leverkusen  Leverkusen,GER,-,-,13.000,16.000,9.000,38.0,15.922
54,55,HAN  Hannover 96  Hannover,GER,-,-,-,16.000,10.000,26.0,15.922
55,56,WOL  VfL Wolfsburg  Wolfsburg,GER,10.000,16.000,-,-,-,26.0,15.922
71,72,HER  Hertha BSC Berlin  Hertha,GER,5.000,8.000,-,-,-,13.0,15.922
82,83,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,-,-,-,-,9.000,9.0,15.922
107,108,MAI  1. FSV Mainz 05  Mainz,GER,-,-,-,1.000,-,1.0,15.922
6,7,INT  FC Internazionale Milano  Inter,ITA,11.000,31.000,19.000,18.000,14.000,93.0,12.829
13,14,ACM  AC Milan  Milan,ITA,12.000,16.000,16.000,20.000,17.000,81.0,12.829
19,20,JUV  Juventus  Juventus,ITA,14.000,15.000,6.000,-,23.000,58.0,12.829
42,43,ASR  AS Roma  Roma,ITA,14.000,9.000,16.000,1.500,-,40.5,12.829
45,46,NAP  SSC Napoli  Napoli,ITA,2.000,-,7.000,19.000,6.000,34.0,12.829
51,52,UDI  Udinese Calcio  Udinese,ITA,15.000,-,-,12.000,3.000,30.0,12.829
52,53,FIO  ACF Fiorentina  Fiorentina,ITA,9.000,21.000,-,-,-,30.0,12.829
56,57,LAZ  SS Lazio  Lazio,ITA,-,4.000,-,7.000,18.000,29.0,12.829
79,80,SAM  UC Sampdoria  Sampdoria,ITA,9.000,-,4.000,-,-,13.0,12.829
97,98,PAL  US Città di Palermo  Palermo,ITA,-,-,5.000,1.000,-,6.0,12.829
101,102,GEN  Genoa CFC  Genoa,ITA,-,5.000,-,-,-,5.0,12.829
11,12,OL  Olympique Lyonnais  Lyon,FRA,13.000,25.000,17.000,17.000,12.000,84.0,11.8
15,16,OM  Olympique de Marseille  Marseille,FRA,12.000,14.000,18.000,19.000,4.000,67.0,11.8
18,19,PAR  Paris Saint-Germain  Paris,FRA,16.000,-,12.000,7.000,25.000,60.0,11.8
33,34,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,9.000,27.000,-,-,12.000,48.0,11.8
48,49,LIL  LOSC Lille  LOSC,FRA,-,12.000,7.000,9.000,6.000,34.0,11.8
77,78,STE  AS Saint-Étienne  St-Étienne,FRA,15.000,-,-,-,-,15.0,11.8
98,99,MON  Montpellier Hérault SC  Montpellier,FRA,-,-,1.000,-,6.000,7.0,11.8
