,Pos,Club,Country,13/14,14/15,15/16,16/17,17/18,Pts,NA
7,8,MC  Manchester City FC  Man. City,ENG,19.000,15.000,26.000,18.000,22.000,100.0,15.921
8,9,ARS  Arsenal FC  Arsenal,ENG,18.000,20.000,15.000,19.000,21.000,93.0,15.921
11,12,MU  Manchester United  Man. United,ENG,23.000,-,13.000,26.000,20.000,82.0,15.921
12,13,CHE  Chelsea FC  Chelsea,ENG,25.000,21.000,18.000,-,18.000,82.0,15.921
18,19,TOT  Tottenham Hotspur  Tottenham,ENG,15.000,9.000,12.000,10.000,21.000,67.0,15.921
21,22,LIV  Liverpool FC  Liverpool,ENG,-,10.000,22.000,-,30.000,62.0,15.921
65,66,LEI  Leicester City FC  Leicester,ENG,-,-,-,22.000,-,22.0,15.921
79,80,EVE  Everton FC  Everton,ENG,-,14.000,-,-,3.000,17.0,15.921
85,86,SOU  Southampton FC  Southampton,ENG,-,-,1.500,6.000,-,7.5,15.921
86,87,WES  West Ham United FC  West Ham,ENG,-,-,1.000,1.500,-,2.5,15.921
87,88,Hull City AFC  Hull,ENG,-,1.500,-,-,-,1.5,15.921
88,89,SWA  Swansea City AFC  Swansea,ENG,7.000,-,-,-,-,7.0,15.921
89,90,WIG  Wigan Athletic FC  Wigan,ENG,4.000,-,-,-,-,4.0,15.921
0,1,RM  Real Madrid CF  Real Madrid,ESP,35.000,29.000,33.000,33.000,32.000,162.0,21.399
1,2,ATL  Club Atlético de Madrid  Atlético,ESP,33.000,22.000,28.000,29.000,28.000,140.0,21.399
3,4,BAR  FC Barcelona  Barcelona,ESP,24.000,34.000,26.000,23.000,25.000,132.0,21.399
5,6,SEV  Sevilla FC  Sevilla,ESP,22.000,28.000,23.000,19.000,21.000,113.0,21.399
31,32,VLR  Villarreal CF  Villarreal,ESP,-,12.000,23.000,9.000,8.000,52.0,21.399
33,34,ATH  Athletic Club  Athletic Club,ESP,-,10.000,17.000,9.000,10.000,46.0,21.399
40,41,VAL  Valencia CF  Valencia,ESP,22.000,-,14.000,-,-,36.0,21.399
69,70,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,5.000,1.500,-,-,9.000,15.5,21.399
70,71,CEL  RC Celta de Vigo  Celta,ESP,-,-,-,19.000,-,19.0,21.399
71,72,BET  Real Betis Balompié  Betis,ESP,12.000,-,-,-,-,12.0,21.399
2,3,BAY  FC Bayern München  Bayern,GER,27.000,28.000,29.000,22.000,29.000,135.0,14.285
9,10,BVB  Borussia Dortmund  Dortmund,GER,22.000,18.000,17.000,22.000,10.000,89.0,14.285
19,20,BL  Bayer 04 Leverkusen  Leverkusen,GER,16.000,18.000,14.000,18.000,-,66.0,14.285
23,24,SCH  FC Schalke 04  Schalke,GER,16.000,17.000,11.000,18.000,-,62.0,14.285
37,38,WOL  VfL Wolfsburg  Wolfsburg,GER,-,16.000,24.000,-,-,40.0,14.285
51,52,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,-,9.000,8.000,12.000,-,29.0,14.285
77,78,LEI  RB Leipzig  Leipzig,GER,-,-,-,-,17.000,17.0,14.285
97,98,HER  Hertha BSC Berlin  Hertha,GER,-,-,-,1.000,4.000,5.0,14.285
98,99,HOF  TSG 1899 Hoffenheim  Hoffenheim,GER,-,-,-,-,4.000,4.0,14.285
99,99,KÖL  1. FC Köln  Köln,GER,-,-,-,-,4.000,4.0,14.285
100,101,FRE  SC Freiburg  Freiburg,GER,5.000,-,-,-,1.000,6.0,14.285
101,102,MAI  1. FSV Mainz 05  Mainz,GER,-,1.000,-,7.000,-,8.0,14.285
102,103,AUG  FC Augsburg  Augsburg,GER,-,-,7.000,-,-,7.0,14.285
103,104,EIN  Eintracht Frankfurt  Frankfurt,GER,12.000,-,-,-,-,12.0,14.285
104,105,STU  VfB Stuttgart  Stuttgart,GER,1.500,-,-,-,-,1.5,14.285
4,5,JUV  Juventus  Juventus,ITA,23.000,29.000,18.000,33.000,23.000,126.0,15.249
16,17,NAP  SSC Napoli  Napoli,ITA,16.000,22.000,13.000,17.000,10.000,78.0,15.249
20,21,ASR  AS Roma  Roma,ITA,-,12.000,14.000,13.000,25.000,64.0,15.249
29,30,FIO  ACF Fiorentina  Fiorentina,ITA,15.000,20.000,8.000,11.000,-,54.0,15.249
35,36,LAZ  SS Lazio  Lazio,ITA,10.000,-,14.000,-,17.000,41.0,15.249
52,53,ACM  AC Milan  Milan,ITA,16.000,-,-,-,12.000,28.0,15.249
82,83,INT  FC Internazionale Milano  Inter,ITA,-,12.000,-,4.000,-,16.0,15.249
91,92,ATA  Atalanta BC  Atalanta,ITA,-,-,-,-,11.000,11.0,15.249
92,93,US Sassuolo Calcio  Sassuolo,ITA,-,-,-,4.000,-,4.0,15.249
93,94,SAM  UC Sampdoria  Sampdoria,ITA,-,-,1.000,-,-,1.0,15.249
94,95,TOR  Torino FC  Torino,ITA,-,13.000,-,-,-,13.0,15.249
95,96,UDI  Udinese Calcio  Udinese,ITA,1.500,-,-,-,-,1.5,15.249
6,7,PAR  Paris Saint-Germain  Paris,FRA,25.000,21.000,24.000,20.000,19.000,109.0,11.283
24,25,OL  Olympique Lyonnais  Lyon,FRA,15.000,1.500,7.000,22.000,14.000,59.5,11.283
26,27,MON  AS Monaco FC  Monaco,FRA,-,21.000,5.000,25.000,6.000,57.0,11.283
45,46,OM  Olympique de Marseille  Marseille,FRA,4.000,-,9.000,-,19.000,32.0,11.283
59,60,STE  AS Saint-Étienne  St-Étienne,FRA,1.500,5.000,9.000,9.000,-,24.5,11.283
112,113,NIC  OGC Nice  Nice,FRA,1.500,-,-,4.000,6.000,11.5,11.283
114,115,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,2.000,-,4.000,-,1.000,7.0,11.283
115,116,LIL  LOSC Lille  LOSC,FRA,-,4.000,-,1.000,-,5.0,11.283
116,117,GUI  EA Guingamp  Guingamp,FRA,-,9.000,-,-,-,9.0,11.283
