,Pos,Club,Country,16/17,17/18,18/19,19/20,20/21,Pts,NA
2,3,MC  Manchester City FC  Man. City,ENG,18.000,22.000,25.000,25.000,35.000,125.0,20.113
6,7,MU  Manchester United  Man. United,ENG,26.000,20.000,19.000,22.000,26.000,113.0,20.113
8,9,LIV  Liverpool FC  Liverpool,ENG,-,30.000,29.000,18.000,24.000,101.0,20.113
9,10,ARS  Arsenal FC  Arsenal,ENG,19.000,21.000,26.000,10.000,23.000,99.0,20.113
10,11,CHE  Chelsea FC  Chelsea,ENG,-,18.000,30.000,17.000,33.000,98.0,20.113
14,15,TOT  Tottenham Hotspur  Tottenham,ENG,10.000,21.000,26.000,16.000,15.000,88.0,20.113
50,51,LEI  Leicester City FC  Leicester,ENG,22.000,-,-,-,10.000,32.0,20.113
71,72,WOL  Wolverhampton Wanderers FC  Wolves,ENG,-,-,-,16.000,-,16.0,20.113
72,73,BUR  Burnley FC  Burnley,ENG,-,-,2.500,-,-,2.5,20.113
73,74,EVE  Everton FC  Everton,ENG,-,3.000,-,-,-,3.0,20.113
74,75,SOU  Southampton FC  Southampton,ENG,6.000,-,-,-,-,6.0,20.113
75,76,WES  West Ham United FC  West Ham,ENG,1.500,-,-,-,-,1.5,20.113
1,2,RM  Real Madrid CF  Real Madrid,ESP,33.000,32.000,19.000,17.000,26.000,127.0,19.571
3,4,BAR  FC Barcelona  Barcelona,ESP,23.000,25.000,30.000,24.000,20.000,122.0,19.571
5,6,ATL  Club Atlético de Madrid  Atlético,ESP,29.000,28.000,20.000,22.000,16.000,115.0,19.571
11,12,SEV  Sevilla FC  Sevilla,ESP,19.000,21.000,13.000,26.000,19.000,98.0,19.571
21,22,VLR  Villarreal CF  Villarreal,ESP,9.000,8.000,16.000,-,30.000,63.0,19.571
38,39,VAL  Valencia CF  Valencia,ESP,-,-,23.000,17.000,-,40.0,19.571
77,78,GRA  Granada CF  Granada,ESP,-,-,-,-,13.000,13.0,19.571
78,79,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,-,9.000,-,-,8.000,17.0,19.571
79,80,GET  Getafe CF  Getafe,ESP,-,-,-,11.000,-,11.0,19.571
80,81,ESP  RCD Espanyol  Espanyol,ESP,-,-,-,10.000,-,10.0,19.571
81,82,BET  Real Betis Balompié  Betis,ESP,-,-,10.000,-,-,10.0,19.571
82,83,ATH  Athletic Club  Athletic Club,ESP,9.000,10.000,-,-,-,19.0,19.571
83,84,CEL  RC Celta de Vigo  Celta,ESP,19.000,-,-,-,-,19.0,19.571
0,1,BAY  FC Bayern München  Bayern,GER,22.000,29.000,20.000,36.000,27.000,134.0,14.714
13,14,BVB  Borussia Dortmund  Dortmund,GER,22.000,10.000,18.000,18.000,22.000,90.0,14.714
20,21,LEI  RB Leipzig  Leipzig,GER,-,17.000,5.000,27.000,17.000,66.0,14.714
24,25,BL  Bayer 04 Leverkusen  Leverkusen,GER,18.000,-,11.000,18.000,10.000,57.0,14.714
43,44,SCH  FC Schalke 04  Schalke,GER,18.000,-,17.000,-,-,35.0,14.714
47,48,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,12.000,-,-,6.000,15.000,33.0,14.714
48,49,EIN  Eintracht Frankfurt  Frankfurt,GER,-,-,24.000,9.000,-,33.0,14.714
62,63,HOF  TSG 1899 Hoffenheim  Hoffenheim,GER,-,4.000,7.000,-,12.000,23.0,14.714
102,103,WOL  VfL Wolfsburg  Wolfsburg,GER,-,-,-,12.000,2.500,14.5,14.714
103,104,HER  Hertha BSC Berlin  Hertha,GER,1.000,4.000,-,-,-,5.0,14.714
104,105,KÖL  1. FC Köln  Köln,GER,-,4.000,-,-,-,4.0,14.714
105,106,FRE  SC Freiburg  Freiburg,GER,-,1.000,-,-,-,1.0,14.714
106,107,MAI  1. FSV Mainz 05  Mainz,GER,7.000,-,-,-,-,7.0,14.714
4,5,JUV  Juventus  Juventus,ITA,33.000,23.000,21.000,22.000,21.000,120.0,15.087
12,13,ASR  AS Roma  Roma,ITA,13.000,25.000,17.000,11.000,24.000,90.0,15.087
19,20,NAP  SSC Napoli  Napoli,ITA,17.000,10.000,18.000,19.000,10.000,74.0,15.087
25,26,INT  FC Internazionale Milano  Inter,ITA,4.000,-,15.000,25.000,9.000,53.0,15.087
26,27,ATA  Atalanta BC  Atalanta,ITA,-,11.000,2.500,20.000,17.000,50.5,15.087
33,34,LAZ  SS Lazio  Lazio,ITA,-,17.000,6.000,4.000,17.000,44.0,15.087
52,53,ACM  AC Milan  Milan,ITA,-,12.000,7.000,-,12.000,31.0,15.087
98,99,TOR  Torino FC  Torino,ITA,-,-,-,2.500,-,2.5,15.087
99,100,FIO  ACF Fiorentina  Fiorentina,ITA,11.000,-,-,-,-,11.0,15.087
100,101,US Sassuolo Calcio  Sassuolo,ITA,4.000,-,-,-,-,4.0,15.087
7,8,PAR  Paris Saint-Germain  Paris,FRA,20.000,19.000,19.000,31.000,24.000,113.0,11.216
18,19,OL  Olympique Lyonnais  Lyon,FRA,22.000,14.000,17.000,23.000,-,76.0,11.216
39,40,MON  AS Monaco FC  Monaco,FRA,25.000,6.000,5.000,-,-,36.0,11.216
56,57,OM  Olympique de Marseille  Marseille,FRA,-,19.000,3.000,-,6.000,28.0,11.216
86,87,REN  Stade Rennais FC  Rennes,FRA,-,-,11.000,3.000,5.000,19.0,11.216
108,109,LIL  LOSC Lille  LOSC,FRA,1.000,-,-,5.000,8.000,14.0,11.216
116,117,NIC  OGC Nice  Nice,FRA,4.000,6.000,-,-,3.000,13.0,11.216
117,118,STE  AS Saint-Étienne  St-Étienne,FRA,9.000,-,-,4.000,-,13.0,11.216
120,121,REI  Stade de Reims  Reims,FRA,-,-,-,-,2.000,2.0,11.216
121,122,STR  Racing Club de Strasbourg Alsace  Strasbourg,FRA,-,-,-,2.500,-,2.5,11.216
122,123,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,-,1.000,5.000,-,-,6.0,11.216
