,Pos,Club,Country,15/16,16/17,17/18,18/19,19/20,Pts,NA
5,6,MC  Manchester City FC  Man. City,ENG,26.000,18.000,22.000,25.000,25.000,116.0,18.092
8,9,MU  Manchester United  Man. United,ENG,13.000,26.000,20.000,19.000,22.000,100.0,18.092
9,10,LIV  Liverpool FC  Liverpool,ENG,22.000,-,30.000,29.000,18.000,99.0,18.092
10,11,ARS  Arsenal FC  Arsenal,ENG,15.000,19.000,21.000,26.000,10.000,91.0,18.092
13,14,TOT  Tottenham Hotspur  Tottenham,ENG,12.000,10.000,21.000,26.000,16.000,85.0,18.092
15,16,CHE  Chelsea FC  Chelsea,ENG,18.000,-,18.000,30.000,17.000,83.0,18.092
69,70,LEI  Leicester City FC  Leicester,ENG,-,22.000,-,-,-,22.0,18.092
84,85,WOL  Wolverhampton Wanderers FC  Wolves,ENG,-,-,-,-,16.000,16.0,18.092
85,86,BUR  Burnley FC  Burnley,ENG,-,-,-,2.500,-,2.5,18.092
86,87,EVE  Everton FC  Everton,ENG,-,-,3.000,-,-,3.0,18.092
87,88,SOU  Southampton FC  Southampton,ENG,1.500,6.000,-,-,-,7.5,18.092
88,89,WES  West Ham United FC  West Ham,ENG,1.000,1.500,-,-,-,2.5,18.092
1,2,RM  Real Madrid CF  Real Madrid,ESP,33.000,33.000,32.000,19.000,17.000,134.0,20.456
2,3,BAR  FC Barcelona  Barcelona,ESP,26.000,23.000,25.000,30.000,24.000,128.0,20.456
3,4,ATL  Club Atlético de Madrid  Atlético,ESP,28.000,29.000,28.000,20.000,22.000,127.0,20.456
7,8,SEV  Sevilla FC  Sevilla,ESP,23.000,19.000,21.000,13.000,26.000,102.0,20.456
24,25,VLR  Villarreal CF  Villarreal,ESP,23.000,9.000,8.000,16.000,-,56.0,20.456
26,27,VAL  Valencia CF  Valencia,ESP,14.000,-,-,23.000,17.000,54.0,20.456
43,44,ATH  Athletic Club  Athletic Club,ESP,17.000,9.000,10.000,-,-,36.0,20.456
75,76,GET  Getafe CF  Getafe,ESP,-,-,-,-,11.000,11.0,20.456
76,77,ESP  RCD Espanyol  Espanyol,ESP,-,-,-,-,10.000,10.0,20.456
77,78,BET  Real Betis Balompié  Betis,ESP,-,-,-,10.000,-,10.0,20.456
78,79,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,-,-,9.000,-,-,9.0,20.456
79,80,CEL  RC Celta de Vigo  Celta,ESP,-,19.000,-,-,-,19.0,20.456
0,1,BAY  FC Bayern München  Bayern,GER,29.000,22.000,29.000,20.000,36.000,136.0,14.956
12,13,BVB  Borussia Dortmund  Dortmund,GER,17.000,22.000,10.000,18.000,18.000,85.0,14.956
22,23,BL  Bayer 04 Leverkusen  Leverkusen,GER,14.000,18.000,-,11.000,18.000,61.0,14.956
30,31,LEI  RB Leipzig  Leipzig,GER,-,-,17.000,5.000,27.000,49.0,14.956
31,32,SCH  FC Schalke 04  Schalke,GER,11.000,18.000,-,17.000,-,46.0,14.956
41,42,WOL  VfL Wolfsburg  Wolfsburg,GER,24.000,-,-,-,12.000,36.0,14.956
49,50,EIN  Eintracht Frankfurt  Frankfurt,GER,-,-,-,24.000,9.000,33.0,14.956
60,61,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,8.000,12.000,-,-,6.000,26.0,14.956
95,96,HOF  TSG 1899 Hoffenheim  Hoffenheim,GER,-,-,4.000,7.000,-,11.0,14.956
96,97,HER  Hertha BSC Berlin  Hertha,GER,-,1.000,4.000,-,-,5.0,14.956
97,98,KÖL  1. FC Köln  Köln,GER,-,-,4.000,-,-,4.0,14.956
98,99,FRE  SC Freiburg  Freiburg,GER,-,-,1.000,-,-,1.0,14.956
99,100,MAI  1. FSV Mainz 05  Mainz,GER,-,7.000,-,-,-,7.0,14.956
100,101,AUG  FC Augsburg  Augsburg,GER,7.000,-,-,-,-,7.0,14.956
4,5,JUV  Juventus  Juventus,ITA,18.000,33.000,23.000,21.000,22.000,117.0,14.13
16,17,ASR  AS Roma  Roma,ITA,14.000,13.000,25.000,17.000,11.000,80.0,14.13
17,18,NAP  SSC Napoli  Napoli,ITA,13.000,17.000,10.000,18.000,19.000,77.0,14.13
32,33,INT  FC Internazionale Milano  Inter,ITA,-,4.000,-,15.000,25.000,44.0,14.13
37,38,LAZ  SS Lazio  Lazio,ITA,14.000,-,17.000,6.000,4.000,41.0,14.13
47,48,ATA  Atalanta BC  Atalanta,ITA,-,-,11.000,2.500,20.000,33.5,14.13
80,81,ACM  AC Milan  Milan,ITA,-,-,12.000,7.000,-,19.0,14.13
