,Pos,Club,Country,07/08,08/09,09/10,10/11,11/12,Pts,NA
1,2,MU  Manchester United  Man. United,ENG,29.000,25.000,25.000,33.000,13.000,125.0,16.882
2,3,CHE  Chelsea FC  Chelsea,ENG,25.000,22.000,19.000,23.000,30.000,119.0,16.882
5,6,ARS  Arsenal FC  Arsenal,ENG,18.000,19.000,22.000,19.000,19.000,97.0,16.882
10,11,LIV  Liverpool FC  Liverpool,ENG,21.000,20.000,21.000,12.000,-,74.0,16.882
26,27,TOT  Tottenham Hotspur  Tottenham,ENG,13.000,9.000,-,21.000,7.000,50.0,16.882
27,28,MC  Manchester City FC  Man. City,ENG,-,17.000,-,13.000,17.000,47.0,16.882
46,47,FUL  Fulham FC  Fulham,ENG,-,-,23.000,-,6.000,29.0,16.882
50,51,EVE  Everton FC  Everton,ENG,17.000,1.000,8.000,-,-,26.0,16.882
69,70,BOL  Bolton Wanderers FC  Bolton,ENG,12.000,-,-,-,-,12.0,16.882
72,73,AV  Aston Villa FC  Aston Villa,ENG,-,8.000,1.500,1.500,-,11.0,16.882
79,80,STO  Stoke City FC  Stoke,ENG,-,-,-,-,8.000,8.0,16.882
83,84,BIR  Birmingham City FC  Birmingham,ENG,-,-,-,-,7.000,7.0,16.882
87,88,PRM  Portsmouth FC  Portsmouth,ENG,-,6.000,-,-,-,6.0,16.882
98,99,BLA  Blackburn Rovers FC  Blackburn,ENG,2.000,-,-,-,-,2.0,16.882
0,1,BAR  FC Barcelona  Barcelona,ESP,25.000,26.000,27.000,33.000,30.000,141.0,16.837
4,5,RM  Real Madrid CF  Real Madrid,ESP,12.000,12.000,19.000,30.000,32.000,105.0,16.837
7,8,ATL  Club Atlético de Madrid  Atlético,ESP,12.000,15.000,21.000,6.000,30.000,84.0,16.837
12,13,VAL  Valencia CF  Valencia,ESP,7.000,11.000,16.000,18.000,21.000,73.0,16.837
18,19,VLR  Villarreal CF  Villarreal,ESP,13.000,16.000,7.000,23.000,4.000,63.0,16.837
24,25,SEV  Sevilla FC  Sevilla,ESP,16.000,8.000,19.000,9.000,1.500,53.5,16.837
41,42,ATH  Athletic Club  Athletic Club,ESP,-,-,8.000,-,23.000,31.0,16.837
56,57,GET  Getafe CF  Getafe,ESP,18.000,-,-,5.000,-,23.0,16.837
80,81,RST  Real Racing Club  Racing,ESP,-,8.000,-,-,-,8.0,16.837
84,85,DEP  Real Club Deportivo La Coruña  Deportivo,ESP,-,7.000,-,-,-,7.0,16.837
99,100,ZAR  Real Zaragoza  Zaragoza,ESP,2.000,-,-,-,-,2.0,16.837
3,4,BAY  FC Bayern München  Bayern,GER,20.000,20.000,27.000,21.000,30.000,118.0,15.037
20,21,SCH  FC Schalke 04  Schalke,GER,13.000,6.000,-,27.000,17.000,63.0,15.037
22,23,BRM  SV Werder Bremen  Bremen,GER,13.000,22.000,15.000,8.000,-,58.0,15.037
