,Pos,Club,Country,06/07,07/08,08/09,09/10,10/11,Pts,NA
0,1,MU  Manchester United  Man. United,ENG,22.000,29.000,25.000,25.000,33.000,134.0,17.157
2,3,CHE  Chelsea FC  Chelsea,ENG,23.000,25.000,22.000,19.000,23.000,112.0,17.157
4,5,LIV  Liverpool FC  Liverpool,ENG,24.000,21.000,20.000,21.000,12.000,98.0,17.157
5,6,ARS  Arsenal FC  Arsenal,ENG,13.000,18.000,19.000,22.000,19.000,91.0,17.157
17,18,TOT  Tottenham Hotspur  Tottenham,ENG,18.000,13.000,9.000,-,21.000,61.0,17.157
41,42,MC  Manchester City FC  Man. City,ENG,-,-,17.000,-,13.000,30.0,17.157
45,46,EVE  Everton FC  Everton,ENG,-,17.000,1.000,8.000,-,26.0,17.157
50,51,FUL  Fulham FC  Fulham,ENG,-,-,-,23.000,-,23.0,17.157
59,60,NEW  Newcastle United FC  Newcastle,ENG,17.000,-,-,-,-,17.0,17.157
65,66,BLA  Blackburn Rovers FC  Blackburn,ENG,11.000,2.000,-,-,-,13.0,17.157
67,68,BOL  Bolton Wanderers FC  Bolton,ENG,-,12.000,-,-,-,12.0,17.157
68,69,AV  Aston Villa FC  Aston Villa,ENG,-,-,8.000,1.500,1.500,11.0,17.157
83,84,PRM  Portsmouth FC  Portsmouth,ENG,-,-,6.000,-,-,6.0,17.157
109,110,WES  West Ham United FC  West Ham,ENG,0.000,-,-,-,-,0.0,17.157
1,2,BAR  FC Barcelona  Barcelona,ESP,14.000,25.000,26.000,27.000,33.000,125.0,16.465
6,7,RM  Real Madrid CF  Real Madrid,ESP,14.000,12.000,12.000,19.000,30.000,87.0,16.465
10,11,SEV  Sevilla FC  Sevilla,ESP,25.000,16.000,8.000,19.000,9.000,77.0,16.465
14,15,VAL  Valencia CF  Valencia,ESP,17.000,7.000,11.000,16.000,18.000,69.0,16.465
18,19,VLR  Villarreal CF  Villarreal,ESP,-,13.000,16.000,7.000,23.000,59.0,16.465
22,23,ATL  Club Atlético de Madrid  Atlético,ESP,-,12.000,15.000,21.000,6.000,54.0,16.465
43,44,ESP  RCD Espanyol  Espanyol,ESP,29.000,-,-,-,-,29.0,16.465
54,55,GET  Getafe CF  Getafe,ESP,-,18.000,-,-,5.000,23.0,16.465
55,56,OSA  CA Osasuna  Osasuna,ESP,21.000,-,-,-,-,21.0,16.465
70,71,CEL  RC Celta de Vigo  Celta,ESP,11.000,-,-,-,-,11.0,16.465
78,79,ATH  Athletic Club  Athletic Club,ESP,-,-,-,8.000,-,8.0,16.465
79,80,RST  Real Racing Club  Racing,ESP,-,-,8.000,-,-,8.0,16.465
81,82,DEP  Real Club Deportivo La Coruña  Deportivo,ESP,-,-,7.000,-,-,7.0,16.465
104,105,ZAR  Real Zaragoza  Zaragoza,ESP,-,2.000,-,-,-,2.0,16.465
3,4,BAY  FC Bayern München  Bayern,GER,17.000,20.000,20.000,27.000,21.000,105.0,13.887
11,12,BRM  SV Werder Bremen  Bremen,GER,21.000,13.000,22.000,15.000,8.000,79.0,13.887
19,20,HSV  Hamburger SV  Hamburg,GER,5.000,16.000,22.000,18.000,-,61.0,13.887
28,29,SCH  FC Schalke 04  Schalke,GER,2.000,13.000,6.000,-,27.000,48.0,13.887
34,35,BL  Bayer 04 Leverkusen  Leverkusen,GER,12.000,16.000,-,-,13.000,41.0,13.887
35,36,STU  VfB Stuttgart  Stuttgart,GER,-,5.000,8.000,17.000,10.000,40.0,13.887
52,53,WOL  VfL Wolfsburg  Wolfsburg,GER,-,-,10.000,16.000,-,26.0,13.887
69,70,HER  Hertha BSC Berlin  Hertha,GER,1.000,-,5.000,8.000,-,14.0,13.887
85,86,BVB  Borussia Dortmund  Dortmund,GER,-,-,2.000,-,7.000,9.0,13.887
90,91,NÜR  1. FC Nürnberg  Nürnberg,GER,-,8.000,-,-,-,8.0,13.887
98,99,EIN  Eintracht Frankfurt  Frankfurt,GER,6.000,-,-,-,-,6.0,13.887
8,9,INT  FC Internazionale Milano  Inter,ITA,13.000,14.000,11.000,31.000,19.000,88.0,12.11
9,10,ACM  AC Milan  Milan,ITA,24.000,14.000,12.000,16.000,16.000,82.0,12.11
15,16,ASR  AS Roma  Roma,ITA,17.000,17.000,14.000,9.000,16.000,73.0,12.11
26,27,FIO  ACF Fiorentina  Fiorentina,ITA,-,21.000,9.000,21.000,-,51.0,12.11
42,43,JUV  Juventus  Juventus,ITA,-,-,14.000,15.000,6.000,35.0,12.11
71,72,SAM  UC Sampdoria  Sampdoria,ITA,-,2.000,9.000,-,4.000,15.0,12.11
72,73,UDI  Udinese Calcio  Udinese,ITA,-,-,15.000,-,-,15.0,12.11
73,74,PAL  US Città di Palermo  Palermo,ITA,7.000,2.000,-,-,5.000,14.0,12.11
84,85,LAZ  SS Lazio  Lazio,ITA,-,7.000,-,4.000,-,11.0,12.11
89,90,PAR  Parma FC  Parma,ITA,10.000,-,-,-,-,10.0,12.11
93,94,NAP  SSC Napoli  Napoli,ITA,-,-,2.000,-,7.000,9.0,12.11
97,98,LIV  AS Livorno Calcio  Livorno,ITA,8.000,-,-,-,-,8.0,12.11
110,111,GEN  Genoa CFC  Genoa,ITA,-,-,-,5.000,-,5.0,12.11
121,122,EMP  Empoli FC  Empoli,ITA,-,2.000,-,-,-,2.0,12.11
122,123,CHI  AC Chievo Verona  Chievo,ITA,2.000,-,-,-,-,2.0,12.11
12,13,OL  Olympique Lyonnais  Lyon,FRA,15.000,12.000,13.000,25.000,17.000,82.0,10.735
23,24,OM  Olympique de Marseille  Marseille,FRA,2.000,12.000,12.000,14.000,18.000,58.0,10.735
25,26,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,9.000,12.000,9.000,27.000,-,57.0,10.735
37,38,PAR  Paris Saint-Germain  Paris,FRA,13.000,-,16.000,-,12.000,41.0,10.735
49,50,LIL  LOSC Lille  LOSC,FRA,11.000,-,-,12.000,7.000,30.0,10.735
74,75,STE  AS Saint-Étienne  St-Étienne,FRA,-,-,15.000,-,-,15.0,10.735
75,76,NAN  AS Nancy-Lorraine  Nancy,FRA,8.000,-,7.000,-,-,15.0,10.735
80,81,AJA  AJ Auxerre  Auxerre,FRA,7.000,-,-,-,6.000,13.0,10.735
86,87,LEN  RC Lens  Lens,FRA,11.000,1.000,-,-,-,12.0,10.735
99,100,TOU  Toulouse FC  Toulouse,FRA,-,4.000,-,5.000,-,9.0,10.735
111,112,REN  Stade Rennais FC  Rennes,FRA,-,4.000,2.000,-,-,6.0,10.735
127,128,SOC  FC Sochaux-Montbéliard  Sochaux,FRA,-,2.000,-,-,-,2.0,10.735
132,133,GUI  EA Guingamp  Guingamp,FRA,-,-,-,1.500,-,1.5,10.735
139,140,MON  Montpellier Hérault SC  Montpellier,FRA,-,-,-,-,1.000,1.0,10.735
