,Pos,Club,Country,17/18,18/19,19/20,20/21,21/22,Pts,NA
1,2,LIV  Liverpool FC  Liverpool,ENG,30.000,29.000,18.000,24.000,33.000,134.0,21.328
2,3,MC  Manchester City FC  Man. City,ENG,22.000,25.000,25.000,35.000,27.000,134.0,21.328
4,5,CHE  Chelsea FC  Chelsea,ENG,18.000,30.000,17.000,33.000,25.000,123.0,21.328
9,10,MU  Manchester United  Man. United,ENG,20.000,19.000,22.000,26.000,18.000,105.0,21.328
13,14,TOT  Tottenham Hotspur  Tottenham,ENG,21.000,26.000,16.000,15.000,5.000,83.0,21.328
16,17,ARS  Arsenal FC  Arsenal,ENG,21.000,26.000,10.000,23.000,-,80.0,21.328
68,69,LEI  Leicester City FC  Leicester,ENG,-,-,-,10.000,13.000,23.0,21.328
73,74,WES  West Ham United FC  West Ham,ENG,-,-,-,-,21.000,21.0,21.328
74,75,WOL  Wolverhampton Wanderers FC  Wolves,ENG,-,-,16.000,-,-,16.0,21.328
75,76,BUR  Burnley FC  Burnley,ENG,-,2.500,-,-,-,2.5,21.328
76,77,EVE  Everton FC  Everton,ENG,3.000,-,-,-,-,3.0,21.328
3,4,RM  Real Madrid CF  Real Madrid,ESP,32.000,19.000,17.000,26.000,30.000,124.0,19.228
5,6,BAR  FC Barcelona  Barcelona,ESP,25.000,30.000,24.000,20.000,15.000,114.0,19.228
8,9,ATL  Club Atlético de Madrid  Atlético,ESP,28.000,20.000,22.000,16.000,19.000,105.0,19.228
11,12,SEV  Sevilla FC  Sevilla,ESP,21.000,13.000,26.000,19.000,12.000,91.0,19.228
17,18,VLR  Villarreal CF  Villarreal,ESP,8.000,16.000,-,30.000,24.000,78.0,19.228
42,43,VAL  Valencia CF  Valencia,ESP,-,23.000,17.000,-,-,40.0,19.228
61,62,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,9.000,-,-,8.000,9.000,26.0,19.228
77,78,BET  Real Betis Balompié  Betis,ESP,-,10.000,-,-,11.000,21.0,19.228
82,83,GRA  Granada CF  Granada,ESP,-,-,-,13.000,-,13.0,19.228
83,84,GET  Getafe CF  Getafe,ESP,-,-,11.000,-,-,11.0,19.228
84,85,ESP  RCD Espanyol  Espanyol,ESP,-,-,10.000,-,-,10.0,19.228
85,86,ATH  Athletic Club  Athletic Club,ESP,10.000,-,-,-,-,10.0,19.228
0,1,BAY  FC Bayern München  Bayern,GER,29.000,20.000,36.000,27.000,26.000,138.0,15.042
12,13,LEI  RB Leipzig  Leipzig,GER,17.000,5.000,27.000,17.000,17.000,83.0,15.042
18,19,BVB  Borussia Dortmund  Dortmund,GER,10.000,18.000,18.000,22.000,10.000,78.0,15.042
25,26,EIN  Eintracht Frankfurt  Frankfurt,GER,-,24.000,9.000,-,28.000,61.0,15.042
29,30,BL  Bayer 04 Leverkusen  Leverkusen,GER,-,11.000,18.000,10.000,14.000,53.0,15.042
70,71,HOF  TSG 1899 Hoffenheim  Hoffenheim,GER,4.000,7.000,-,12.000,-,23.0,15.042
72,73,WOL  VfL Wolfsburg  Wolfsburg,GER,-,-,12.000,2.500,8.000,22.5,15.042
78,79,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,-,-,6.000,15.000,-,21.0,15.042
94,95,SCH  FC Schalke 04  Schalke,GER,-,17.000,-,-,-,17.0,15.042
99,100,UNI  1. FC Union Berlin  Union Berlin,GER,-,-,-,-,5.000,5.0,15.042
100,101,HER  Hertha BSC Berlin  Hertha,GER,4.000,-,-,-,-,4.0,15.042
