,Pos,Club,Country,17/18,18/19,19/20,20/21,21/22,Pts,NA
101,101,KÖL  1. FC Köln  Köln,GER,4.000,-,-,-,-,4.0,15.042
102,103,FRE  SC Freiburg  Freiburg,GER,1.000,-,-,-,-,1.0,15.042
7,8,JUV  Juventus  Juventus,ITA,23.000,21.000,22.000,21.000,20.000,107.0,15.38
10,11,ASR  AS Roma  Roma,ITA,25.000,17.000,11.000,24.000,23.000,100.0,15.38
22,23,INT  FC Internazionale Milano  Inter,ITA,-,15.000,25.000,9.000,18.000,67.0,15.38
23,24,ATA  Atalanta BC  Atalanta,ITA,11.000,2.500,20.000,17.000,16.000,66.5,15.38
24,25,NAP  SSC Napoli  Napoli,ITA,10.000,18.000,19.000,10.000,9.000,66.0,15.38
30,31,LAZ  SS Lazio  Lazio,ITA,17.000,6.000,4.000,17.000,9.000,53.0,15.38
44,45,ACM  AC Milan  Milan,ITA,12.000,7.000,-,12.000,7.000,38.0,15.38
98,99,TOR  Torino FC  Torino,ITA,-,-,2.500,-,-,2.5,15.38
6,7,PAR  Paris Saint-Germain  Paris,FRA,19.000,19.000,31.000,24.000,19.000,112.0,12.016
19,20,OL  Olympique Lyonnais  Lyon,FRA,14.000,17.000,23.000,-,21.000,75.0,12.016
37,38,OM  Olympique de Marseille  Marseille,FRA,19.000,3.000,-,6.000,16.000,44.0,12.016
48,49,REN  Stade Rennais FC  Rennes,FRA,-,11.000,3.000,5.000,14.000,33.0,12.016
55,56,LIL  LOSC Lille  LOSC,FRA,-,-,5.000,8.000,17.000,30.0,12.016
60,61,MON  AS Monaco FC  Monaco,FRA,6.000,5.000,-,-,15.000,26.0,12.016
114,115,NIC  OGC Nice  Nice,FRA,6.000,-,-,3.000,-,9.0,12.016
115,116,REI  Stade de Reims  Reims,FRA,-,-,-,2.000,-,2.0,12.016
116,117,STE  AS Saint-Étienne  St-Étienne,FRA,-,-,4.000,-,-,4.0,12.016
117,118,STR  Racing Club de Strasbourg Alsace  Strasbourg,FRA,-,-,2.500,-,-,2.5,12.016
118,119,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,1.000,5.000,-,-,-,6.0,12.016
