,Pos,Club,Country,09/10,10/11,11/12,12/13,13/14,Pts,NA
3,4,CHE  Chelsea FC  Chelsea,ENG,19.000,23.000,30.000,27.000,25.000,124.0,16.949
5,6,MU  Manchester United  Man. United,ENG,25.000,33.000,13.000,18.000,23.000,112.0,16.949
8,9,ARS  Arsenal FC  Arsenal,ENG,22.000,19.000,19.000,18.000,18.000,96.0,16.949
18,19,TOT  Tottenham Hotspur  Tottenham,ENG,-,21.000,7.000,16.000,15.000,59.0,16.949
21,22,MC  Manchester City FC  Man. City,ENG,-,13.000,17.000,7.000,19.000,56.0,16.949
31,32,LIV  Liverpool FC  Liverpool,ENG,21.000,12.000,-,9.000,-,42.0,16.949
46,47,FUL  Fulham FC  Fulham,ENG,23.000,-,6.000,-,-,29.0,16.949
70,71,NEW  Newcastle United FC  Newcastle,ENG,-,-,-,15.000,-,15.0,16.949
81,82,STO  Stoke City FC  Stoke,ENG,-,-,8.000,-,-,8.0,16.949
82,83,EVE  Everton FC  Everton,ENG,8.000,-,-,-,-,8.0,16.949
87,88,SWA  Swansea City AFC  Swansea,ENG,-,-,-,-,7.000,7.0,16.949
88,89,BIR  Birmingham City FC  Birmingham,ENG,-,-,7.000,-,-,7.0,16.949
93,94,WIG  Wigan Athletic FC  Wigan,ENG,-,-,-,-,4.000,4.0,16.949
95,96,AV  Aston Villa FC  Aston Villa,ENG,1.500,1.500,-,-,-,3.0,16.949
0,1,RM  Real Madrid CF  Real Madrid,ESP,19.000,30.000,32.000,26.000,35.000,142.0,19.542
1,2,BAR  FC Barcelona  Barcelona,ESP,27.000,33.000,30.000,24.000,24.000,138.0,19.542
6,7,ATL  Club Atlético de Madrid  Atlético,ESP,21.000,6.000,30.000,10.000,33.000,100.0,19.542
7,8,VAL  Valencia CF  Valencia,ESP,16.000,18.000,21.000,19.000,22.000,96.0,19.542
22,23,SEV  Sevilla FC  Sevilla,ESP,19.000,9.000,1.500,-,22.000,51.5,19.542
36,37,ATH  Athletic Club  Athletic Club,ESP,8.000,-,23.000,4.000,-,35.0,19.542
38,39,VLR  Villarreal CF  Villarreal,ESP,7.000,23.000,4.000,-,-,34.0,19.542
51,52,MAL  Málaga CF  Málaga,ESP,-,-,-,22.000,-,22.0,19.542
66,67,LEV  Levante UD  Levante,ESP,-,-,-,13.000,-,13.0,19.542
71,72,BET  Real Betis Balompié  Betis,ESP,-,-,-,-,12.000,12.0,19.542
83,84,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,-,-,-,-,5.000,5.0,19.542
84,85,GET  Getafe CF  Getafe,ESP,-,5.000,-,-,-,5.0,19.542
2,3,BAY  FC Bayern München  Bayern,GER,27.000,21.000,30.000,33.000,27.000,138.0,16.328
13,14,SCH  FC Schalke 04  Schalke,GER,-,27.000,17.000,19.000,16.000,79.0,16.328
14,15,BVB  Borussia Dortmund  Dortmund,GER,-,7.000,7.000,30.000,22.000,66.0,16.328
23,24,BL  Bayer 04 Leverkusen  Leverkusen,GER,-,13.000,16.000,9.000,16.000,54.0,16.328
37,38,STU  VfB Stuttgart  Stuttgart,GER,17.000,10.000,-,9.000,1.500,37.5,16.328
50,51,HAN  Hannover 96  Hannover,GER,-,-,16.000,10.000,-,26.0,16.328
56,57,BRM  SV Werder Bremen  Bremen,GER,15.000,8.000,-,-,-,23.0,16.328
63,64,HSV  Hamburger SV  Hamburg,GER,18.000,-,-,-,-,18.0,16.328
67,68,WOL  VfL Wolfsburg  Wolfsburg,GER,16.000,-,-,-,-,16.0,16.328
78,79,EIN  Eintracht Frankfurt  Frankfurt,GER,-,-,-,-,12.000,12.0,16.328
80,81,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,-,-,-,9.000,-,9.0,16.328
85,86,HER  Hertha BSC Berlin  Hertha,GER,8.000,-,-,-,-,8.0,16.328
92,93,FRE  SC Freiburg  Freiburg,GER,-,-,-,-,5.000,5.0,16.328
108,109,MAI  1. FSV Mainz 05  Mainz,GER,-,-,1.000,-,-,1.0,16.328
10,11,ACM  AC Milan  Milan,ITA,16.000,16.000,20.000,17.000,16.000,85.0,13.387
12,13,INT  FC Internazionale Milano  Inter,ITA,31.000,19.000,18.000,14.000,-,82.0,13.387
15,16,JUV  Juventus  Juventus,ITA,15.000,6.000,-,23.000,23.000,67.0,13.387
30,31,NAP  SSC Napoli  Napoli,ITA,-,7.000,19.000,6.000,16.000,48.0,13.387
40,41,LAZ  SS Lazio  Lazio,ITA,4.000,-,7.000,18.000,10.000,39.0,13.387
44,45,FIO  ACF Fiorentina  Fiorentina,ITA,21.000,-,-,-,15.000,36.0,13.387
54,55,ASR  AS Roma  Roma,ITA,9.000,16.000,1.500,-,-,26.5,13.387
76,77,UDI  Udinese Calcio  Udinese,ITA,-,-,12.000,3.000,1.500,16.5,13.387
96,97,PAL  US Città di Palermo  Palermo,ITA,-,5.000,1.000,-,-,6.0,13.387
100,101,GEN  Genoa CFC  Genoa,ITA,5.000,-,-,-,-,5.0,13.387
107,108,SAM  UC Sampdoria  Sampdoria,ITA,-,4.000,-,-,-,4.0,13.387
11,12,OL  Olympique Lyonnais  Lyon,FRA,25.000,17.000,17.000,12.000,15.000,86.0,11.3
16,17,PAR  Paris Saint-Germain  Paris,FRA,-,12.000,7.000,25.000,25.000,69.0,11.3
24,25,OM  Olympique de Marseille  Marseille,FRA,14.000,18.000,19.000,4.000,4.000,59.0,11.3
41,42,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,27.000,-,-,12.000,2.000,41.0,11.3
48,49,LIL  LOSC Lille  LOSC,FRA,12.000,7.000,9.000,6.000,-,34.0,11.3
102,103,MON  Montpellier Hérault SC  Montpellier,FRA,-,1.000,-,6.000,-,7.0,11.3
109,110,AJA  AJ Auxerre  Auxerre,FRA,-,6.000,-,-,-,6.0,11.3
118,119,TOU  Toulouse FC  Toulouse,FRA,5.000,-,-,-,-,5.0,11.3
129,130,REN  Stade Rennais FC  Rennes,FRA,-,-,3.000,-,-,3.0,11.3
137,138,STE  AS Saint-Étienne  St-Étienne,FRA,-,-,-,-,1.500,1.5,11.3
138,138,NIC  OGC Nice  Nice,FRA,-,-,-,-,1.500,1.5,11.3
139,140,SOC  FC Sochaux-Montbéliard  Sochaux,FRA,-,-,1.500,-,-,1.5,11.3
140,141,GUI  EA Guingamp  Guingamp,FRA,1.500,-,-,-,-,1.5,11.3
