,Pos,Club,Country,12/13,13/14,14/15,15/16,16/17,Pts,NA
9,10,CHE  Chelsea FC  Chelsea,ENG,27.000,25.000,21.000,18.000,-,91.0,15.192
10,11,ARS  Arsenal FC  Arsenal,ENG,18.000,18.000,20.000,15.000,19.000,90.0,15.192
11,12,MC  Manchester City FC  Man. City,ENG,7.000,19.000,15.000,26.000,18.000,85.0,15.192
14,15,MU  Manchester United  Man. United,ENG,18.000,23.000,-,13.000,26.000,80.0,15.192
19,20,TOT  Tottenham Hotspur  Tottenham,ENG,16.000,15.000,9.000,12.000,10.000,62.0,15.192
33,34,LIV  Liverpool FC  Liverpool,ENG,9.000,-,10.000,22.000,-,41.0,15.192
55,56,LEI  Leicester City FC  Leicester,ENG,-,-,-,-,22.000,22.0,15.192
67,68,NEW  Newcastle United FC  Newcastle,ENG,15.000,-,-,-,-,15.0,15.192
70,71,EVE  Everton FC  Everton,ENG,-,-,14.000,-,-,14.0,15.192
90,91,SOU  Southampton FC  Southampton,ENG,-,-,-,1.500,6.000,7.5,15.192
92,93,SWA  Swansea City AFC  Swansea,ENG,-,7.000,-,-,-,7.0,15.192
100,101,WIG  Wigan Athletic FC  Wigan,ENG,-,4.000,-,-,-,4.0,15.192
107,108,WES  West Ham United FC  West Ham,ENG,-,-,-,1.000,1.500,2.5,15.192
118,119,Hull City AFC  Hull,ENG,-,-,1.500,-,-,1.5,15.192
0,1,RM  Real Madrid CF  Real Madrid,ESP,26.000,35.000,29.000,33.000,33.000,156.0,20.999
2,3,BAR  FC Barcelona  Barcelona,ESP,24.000,24.000,34.000,26.000,23.000,131.0,20.999
3,4,ATL  Club Atlético de Madrid  Atlético,ESP,10.000,33.000,22.000,28.000,29.000,122.0,20.999
7,8,SEV  Sevilla FC  Sevilla,ESP,-,22.000,28.000,23.000,19.000,92.0,20.999
20,21,VAL  Valencia CF  Valencia,ESP,19.000,22.000,-,14.000,-,55.0,20.999
26,27,VLR  Villarreal CF  Villarreal,ESP,-,-,12.000,23.000,9.000,44.0,20.999
29,30,ATH  Athletic Club  Athletic Club,ESP,4.000,-,10.000,17.000,9.000,40.0,20.999
46,47,MAL  Málaga CF  Málaga,ESP,22.000,-,-,-,-,22.0,20.999
50,51,CEL  RC Celta de Vigo  Celta,ESP,-,-,-,-,19.000,19.0,20.999
62,63,LEV  Levante UD  Levante,ESP,13.000,-,-,-,-,13.0,20.999
63,64,BET  Real Betis Balompié  Betis,ESP,-,12.000,-,-,-,12.0,20.999
78,79,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,-,5.000,1.500,-,-,6.5,20.999
1,2,BAY  FC Bayern München  Bayern,GER,33.000,27.000,28.000,29.000,22.000,139.0,15.899
6,7,BVB  Borussia Dortmund  Dortmund,GER,30.000,22.000,18.000,17.000,22.000,109.0,15.899
13,14,SCH  FC Schalke 04  Schalke,GER,19.000,16.000,17.000,11.000,18.000,81.0,15.899
15,16,BL  Bayer 04 Leverkusen  Leverkusen,GER,9.000,16.000,18.000,14.000,18.000,75.0,15.899
34,35,WOL  VfL Wolfsburg  Wolfsburg,GER,-,-,16.000,24.000,-,40.0,15.899
35,36,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,9.000,-,9.000,8.000,12.000,38.0,15.899
