,Pos,Club,Country,10/11,11/12,12/13,13/14,14/15,Pts,NA
3,4,CHE  Chelsea FC  Chelsea,ENG,23.000,30.000,27.000,25.000,21.000,126.0,16.078
8,9,ARS  Arsenal FC  Arsenal,ENG,19.000,19.000,18.000,18.000,20.000,94.0,16.078
9,10,MU  Manchester United  Man. United,ENG,33.000,13.000,18.000,23.000,-,87.0,16.078
16,17,MC  Manchester City FC  Man. City,ENG,13.000,17.000,7.000,19.000,15.000,71.0,16.078
20,21,TOT  Tottenham Hotspur  Tottenham,ENG,21.000,7.000,16.000,15.000,9.000,68.0,16.078
41,42,LIV  Liverpool FC  Liverpool,ENG,12.000,-,9.000,-,10.000,31.0,16.078
70,71,NEW  Newcastle United FC  Newcastle,ENG,-,-,15.000,-,-,15.0,16.078
73,74,EVE  Everton FC  Everton,ENG,-,-,-,-,14.000,14.0,16.078
86,87,STO  Stoke City FC  Stoke,ENG,-,8.000,-,-,-,8.0,16.078
89,90,SWA  Swansea City AFC  Swansea,ENG,-,-,-,7.000,-,7.0,16.078
90,91,BIR  Birmingham City FC  Birmingham,ENG,-,7.000,-,-,-,7.0,16.078
92,93,FUL  Fulham FC  Fulham,ENG,-,6.000,-,-,-,6.0,16.078
98,99,WIG  Wigan Athletic FC  Wigan,ENG,-,-,-,4.000,-,4.0,16.078
108,109,Hull City AFC  Hull,ENG,-,-,-,-,1.500,1.5,16.078
109,110,AV  Aston Villa FC  Aston Villa,ENG,1.500,-,-,-,-,1.5,16.078
0,1,RM  Real Madrid CF  Real Madrid,ESP,30.000,32.000,26.000,35.000,29.000,152.0,19.999
1,2,BAR  FC Barcelona  Barcelona,ESP,33.000,30.000,24.000,24.000,34.000,145.0,19.999
4,5,ATL  Club Atlético de Madrid  Atlético,ESP,6.000,30.000,10.000,33.000,22.000,101.0,19.999
11,12,VAL  Valencia CF  Valencia,ESP,18.000,21.000,19.000,22.000,-,80.0,19.999
22,23,SEV  Sevilla FC  Sevilla,ESP,9.000,1.500,-,22.000,28.000,60.5,19.999
28,29,VLR  Villarreal CF  Villarreal,ESP,23.000,4.000,-,-,12.000,39.0,19.999
31,32,ATH  Athletic Club  Athletic Club,ESP,-,23.000,4.000,-,10.000,37.0,19.999
47,48,MAL  Málaga CF  Málaga,ESP,-,-,22.000,-,-,22.0,19.999
64,65,LEV  Levante UD  Levante,ESP,-,-,13.000,-,-,13.0,19.999
65,66,BET  Real Betis Balompié  Betis,ESP,-,-,-,12.000,-,12.0,19.999
78,79,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,-,-,-,5.000,1.500,6.5,19.999
81,82,GET  Getafe CF  Getafe,ESP,5.000,-,-,-,-,5.0,19.999
2,3,BAY  FC Bayern München  Bayern,GER,21.000,30.000,33.000,27.000,28.000,139.0,15.883
6,7,SCH  FC Schalke 04  Schalke,GER,27.000,17.000,19.000,16.000,17.000,96.0,15.883
12,13,BVB  Borussia Dortmund  Dortmund,GER,7.000,7.000,30.000,22.000,18.000,84.0,15.883
15,16,BL  Bayer 04 Leverkusen  Leverkusen,GER,13.000,16.000,9.000,16.000,18.000,72.0,15.883
48,49,HAN  Hannover 96  Hannover,GER,-,16.000,10.000,-,-,26.0,15.883
60,61,STU  VfB Stuttgart  Stuttgart,GER,10.000,-,9.000,1.500,-,20.5,15.883
63,64,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,-,-,9.000,-,9.000,18.0,15.883
66,67,WOL  VfL Wolfsburg  Wolfsburg,GER,-,-,-,-,16.000,16.0,15.883
75,76,EIN  Eintracht Frankfurt  Frankfurt,GER,-,-,-,12.000,-,12.0,15.883
87,88,BRM  SV Werder Bremen  Bremen,GER,8.000,-,-,-,-,8.0,15.883
95,96,FRE  SC Freiburg  Freiburg,GER,-,-,-,5.000,-,5.0,15.883
106,107,MAI  1. FSV Mainz 05  Mainz,GER,-,1.000,-,-,1.000,2.0,15.883
13,14,JUV  Juventus  Juventus,ITA,6.000,-,23.000,23.000,29.000,81.0,14.102
19,20,NAP  SSC Napoli  Napoli,ITA,7.000,19.000,6.000,16.000,22.000,70.0,14.102
21,22,ACM  AC Milan  Milan,ITA,16.000,20.000,17.000,16.000,-,69.0,14.102
23,24,INT  FC Internazionale Milano  Inter,ITA,19.000,18.000,14.000,-,12.000,63.0,14.102
38,39,FIO  ACF Fiorentina  Fiorentina,ITA,-,-,-,15.000,20.000,35.0,14.102
39,40,LAZ  SS Lazio  Lazio,ITA,-,7.000,18.000,10.000,-,35.0,14.102
45,46,ASR  AS Roma  Roma,ITA,16.000,1.500,-,-,12.000,29.5,14.102
72,73,UDI  Udinese Calcio  Udinese,ITA,-,12.000,3.000,1.500,-,16.5,14.102
77,78,TOR  Torino FC  Torino,ITA,-,-,-,-,13.000,13.0,14.102
97,98,PAL  US Città di Palermo  Palermo,ITA,5.000,1.000,-,-,-,6.0,14.102
104,105,SAM  UC Sampdoria  Sampdoria,ITA,4.000,-,-,-,-,4.0,14.102
10,11,PAR  Paris Saint-Germain  Paris,FRA,12.000,7.000,25.000,25.000,21.000,90.0,10.483
24,25,OL  Olympique Lyonnais  Lyon,FRA,17.000,17.000,12.000,15.000,1.500,62.5,10.483
34,35,OM  Olympique de Marseille  Marseille,FRA,18.000,19.000,4.000,4.000,-,45.0,10.483
59,60,LIL  LOSC Lille  LOSC,FRA,7.000,9.000,6.000,-,4.000,26.0,10.483
67,68,MON  AS Monaco FC  Monaco,FRA,-,-,-,-,21.000,21.0,10.483
84,85,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,-,-,12.000,2.000,-,14.0,10.483
100,101,GUI  EA Guingamp  Guingamp,FRA,-,-,-,-,9.000,9.0,10.483
110,111,MON  Montpellier Hérault SC  Montpellier,FRA,1.000,-,6.000,-,-,7.0,10.483
113,114,STE  AS Saint-Étienne  St-Étienne,FRA,-,-,-,1.500,5.000,6.5,10.483
115,116,AJA  AJ Auxerre  Auxerre,FRA,6.000,-,-,-,-,6.0,10.483
132,133,REN  Stade Rennais FC  Rennes,FRA,-,3.000,-,-,-,3.0,10.483
143,144,NIC  OGC Nice  Nice,FRA,-,-,-,1.500,-,1.5,10.483
