,Pos,Club,Country,14/15,15/16,16/17,17/18,18/19,Pts,NA
5,6,MC  Manchester City FC  Man. City,ENG,15.000,26.000,18.000,22.000,25.000,106.0,17.092
8,9,ARS  Arsenal FC  Arsenal,ENG,20.000,15.000,19.000,21.000,26.000,101.0,17.092
10,11,LIV  Liverpool FC  Liverpool,ENG,10.000,22.000,-,30.000,29.000,91.0,17.092
11,12,CHE  Chelsea FC  Chelsea,ENG,21.000,18.000,-,18.000,30.000,87.0,17.092
16,17,TOT  Tottenham Hotspur  Tottenham,ENG,9.000,12.000,10.000,21.000,26.000,78.0,17.092
17,18,MU  Manchester United  Man. United,ENG,-,13.000,26.000,20.000,19.000,78.0,17.092
71,72,LEI  Leicester City FC  Leicester,ENG,-,-,22.000,-,-,22.0,17.092
82,83,BUR  Burnley FC  Burnley,ENG,-,-,-,-,2.500,2.5,17.092
83,84,EVE  Everton FC  Everton,ENG,14.000,-,-,3.000,-,17.0,17.092
84,85,SOU  Southampton FC  Southampton,ENG,-,1.500,6.000,-,-,7.5,17.092
85,86,WES  West Ham United FC  West Ham,ENG,-,1.000,1.500,-,-,2.5,17.092
86,87,Hull City AFC  Hull,ENG,1.500,-,-,-,-,1.5,17.092
0,1,RM  Real Madrid CF  Real Madrid,ESP,29.000,33.000,33.000,32.000,19.000,146.0,20.713
1,2,BAR  FC Barcelona  Barcelona,ESP,34.000,26.000,23.000,25.000,30.000,138.0,20.713
3,4,ATL  Club Atlético de Madrid  Atlético,ESP,22.000,28.000,29.000,28.000,20.000,127.0,20.713
6,7,SEV  Sevilla FC  Sevilla,ESP,28.000,23.000,19.000,21.000,13.000,104.0,20.713
21,22,VLR  Villarreal CF  Villarreal,ESP,12.000,23.000,9.000,8.000,16.000,68.0,20.713
33,34,ATH  Athletic Club  Athletic Club,ESP,10.000,17.000,9.000,10.000,-,46.0,20.713
38,39,VAL  Valencia CF  Valencia,ESP,-,14.000,-,-,23.000,37.0,20.713
73,74,BET  Real Betis Balompié  Betis,ESP,-,-,-,-,10.000,10.0,20.713
74,75,REA  Real Sociedad de Fútbol  Real Sociedad,ESP,1.500,-,-,9.000,-,10.5,20.713
75,76,CEL  RC Celta de Vigo  Celta,ESP,-,-,19.000,-,-,19.0,20.713
2,3,BAY  FC Bayern München  Bayern,GER,28.000,29.000,22.000,29.000,20.000,128.0,14.385
12,13,BVB  Borussia Dortmund  Dortmund,GER,18.000,17.000,22.000,10.000,18.000,85.0,14.385
23,24,SCH  FC Schalke 04  Schalke,GER,17.000,11.000,18.000,-,17.000,63.0,14.385
27,28,BL  Bayer 04 Leverkusen  Leverkusen,GER,18.000,14.000,18.000,-,11.000,61.0,14.385
35,36,WOL  VfL Wolfsburg  Wolfsburg,GER,16.000,24.000,-,-,-,40.0,14.385
52,53,MON  VfL Borussia Mönchengladbach  Mönchengladbach,GER,9.000,8.000,12.000,-,-,29.0,14.385
61,62,EIN  Eintracht Frankfurt  Frankfurt,GER,-,-,-,-,24.000,24.0,14.385
68,69,LEI  RB Leipzig  Leipzig,GER,-,-,-,17.000,5.000,22.0,14.385
95,96,HOF  TSG 1899 Hoffenheim  Hoffenheim,GER,-,-,-,4.000,7.000,11.0,14.385
96,97,HER  Hertha BSC Berlin  Hertha,GER,-,-,1.000,4.000,-,5.0,14.385
97,98,KÖL  1. FC Köln  Köln,GER,-,-,-,4.000,-,4.0,14.385
98,99,FRE  SC Freiburg  Freiburg,GER,-,-,-,1.000,-,1.0,14.385
99,100,MAI  1. FSV Mainz 05  Mainz,GER,1.000,-,7.000,-,-,8.0,14.385
100,101,AUG  FC Augsburg  Augsburg,GER,-,7.000,-,-,-,7.0,14.385
4,5,JUV  Juventus  Juventus,ITA,29.000,18.000,33.000,23.000,21.000,124.0,14.945
13,14,ASR  AS Roma  Roma,ITA,12.000,14.000,13.000,25.000,17.000,81.0,14.945
14,15,NAP  SSC Napoli  Napoli,ITA,22.000,13.000,17.000,10.000,18.000,80.0,14.945
37,38,FIO  ACF Fiorentina  Fiorentina,ITA,20.000,8.000,11.000,-,-,39.0,14.945
39,40,LAZ  SS Lazio  Lazio,ITA,-,14.000,-,17.000,6.000,37.0,14.945
45,46,INT  FC Internazionale Milano  Inter,ITA,12.000,-,4.000,-,15.000,31.0,14.945
77,78,ACM  AC Milan  Milan,ITA,-,-,-,12.000,7.000,19.0,14.945
91,92,ATA  Atalanta BC  Atalanta,ITA,-,-,-,11.000,2.500,13.5,14.945
92,93,US Sassuolo Calcio  Sassuolo,ITA,-,-,4.000,-,-,4.0,14.945
93,94,SAM  UC Sampdoria  Sampdoria,ITA,-,1.000,-,-,-,1.0,14.945
94,95,TOR  Torino FC  Torino,ITA,13.000,-,-,-,-,13.0,14.945
7,8,PAR  Paris Saint-Germain  Paris,FRA,21.000,24.000,20.000,19.000,19.000,103.0,11.699
25,26,MON  AS Monaco FC  Monaco,FRA,21.000,5.000,25.000,6.000,5.000,62.0,11.699
26,27,OL  Olympique Lyonnais  Lyon,FRA,1.500,7.000,22.000,14.000,17.000,61.5,11.699
48,49,OM  Olympique de Marseille  Marseille,FRA,-,9.000,-,19.000,3.000,31.0,11.699
66,67,STE  AS Saint-Étienne  St-Étienne,FRA,5.000,9.000,9.000,-,-,23.0,11.699
110,111,REN  Stade Rennais FC  Rennes,FRA,-,-,-,-,11.000,11.0,11.699
111,112,BOR  FC Girondins de Bordeaux  Bordeaux,FRA,-,4.000,-,1.000,5.000,10.0,11.699
112,113,NIC  OGC Nice  Nice,FRA,-,-,4.000,6.000,-,10.0,11.699
113,114,LIL  LOSC Lille  LOSC,FRA,4.000,-,1.000,-,-,5.0,11.699
114,115,GUI  EA Guingamp  Guingamp,FRA,9.000,-,-,-,-,9.0,11.699
