,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"621Ciprian TatarusanuAC Milan, 36, GK","Ciprian Tatarusanu AC Milan, 36, GK",1,90,-,-,-,-,-,-,-,-,5.54,-,-,-,-,-,-,-,-,18,88.9,-,2,-
0,"611Djavan AndersonLazio, 27, D(R),M(R)","Djavan Anderson Lazio, 27, D(R),M(R)",1(2),72,-,0.3,0.3,-,-,0.3,-,-,5.91,-,-,-,-,0.3,-,0.3,0.3,7.7,78.3,-,-,-
1,"612Antonio MazzottaCrotone, 32, M(L)","Antonio Mazzotta Crotone, 32, M(L)",1(1),56,0.5,-,1,-,0.5,-,-,-,5.9,-,-,-,-,-,-,-,1,4.0,75,-,-,-
2,"613Raul Moro PrescoliLazio, 19, Forward","Raul Moro Prescoli Lazio, 19, Forward",0(1),10,-,-,-,-,-,1,-,-,5.89,-,-,-,-,-,-,-,1,1.0,-,-,-,-
3,"614Riccardo CalafioriRoma, 20, Defender","Riccardo Calafiori Roma, 20, Defender",1(2),66,0.3,-,2,0.3,-,1,-,-,5.85,-,-,-,-,0.7,-,0.3,0.7,12.3,78.4,-,-,-
4,"615Augustus KargboCrotone, 22, Forward","Augustus Kargbo Crotone, 22, Forward",0(1),32,-,-,-,-,-,-,-,-,5.83,-,-,-,-,1,-,3,5,7.0,85.7,-,-,-
5,"616Andrea AdoranteParma Calcio 1913, 22, Forward","Andrea Adorante Parma Calcio 1913, 22, Forward",0(1),9,-,-,-,-,-,-,-,-,5.82,-,-,-,-,-,-,2,-,1.0,100,-,-,-
6,"617Lorenzo Del PintoBenevento, 31, M(C)","Lorenzo Del Pinto Benevento, 31, M(C)",0(1),10,-,-,-,-,-,2,-,-,5.78,-,-,-,-,-,-,1,-,8.0,62.5,-,1,-
7,"618Simone ColombiParma Calcio 1913, 30, GK","Simone Colombi Parma Calcio 1913, 30, GK",2,180,-,-,-,-,1,-,-,-,5.68,-,-,-,-,-,-,-,-,23.0,69.6,-,9,-
8,"619Chaka TraorèParma Calcio 1913, 17, Forward","Chaka Traorè Parma Calcio 1913, 17, Forward",0(3),15,-,-,-,-,0.3,-,-,-,5.61,-,-,0.3,-,1,-,0.3,1.3,3.3,60,-,-,-
9,"620NícolasUdinese, 34, GK","Nícolas Udinese, 34, GK",2,180,-,-,-,-,-,-,-,-,5.58,-,-,-,-,-,-,-,-,17.0,82.4,-,4,-
0,"601Arturo CalabresiBologna, 26, D(CR)","Arturo Calabresi Bologna, 26, D(CR)",0(1),19,-,-,-,-,2,-,-,-,5.98,-,-,-,-,-,-,-,-,3.0,66.7,-,1,-
1,"602Nicolò ArminiLazio, 21, Defender","Nicolò Armini Lazio, 21, Defender",0(1),4,-,-,1,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,4.0,75.0,-,1,-
2,"603Federico RavagliaBologna, 22, Goalkeeper","Federico Ravaglia Bologna, 22, Goalkeeper",4,360,-,-,0.3,-,0.5,0.3,-,-,5.98,-,-,-,-,-,-,-,-,30.0,82.5,-,4,-
3,"604Edoardo VerganiBologna, 21, Forward","Edoardo Vergani Bologna, 21, Forward",0(1),11,-,-,-,-,-,-,-,-,5.97,-,-,-,-,-,-,-,1,2.0,100.0,-,-,-
4,"605Federico MarchettiGenoa, 39, GK","Federico Marchetti Genoa, 39, GK",4,335,0.3,-,-,-,1,-,-,-,5.97,-,-,-,-,-,-,-,-,30.0,80.8,-,3.8,-
5,"606Aleksandr KokorinFiorentina, 31, AM(CLR),FW","Aleksandr Kokorin Fiorentina, 31, AM(CLR),FW",0(4),91,0.3,-,0.3,-,-,0.3,-,-,5.97,-,-,-,-,-,-,0.3,-,7.5,83.3,-,-,-
6,"607Antonio PalumboSampdoria, 25, Midfielder","Antonio Palumbo Sampdoria, 25, Midfielder",0(1),6,-,-,-,-,-,1,-,-,5.95,-,-,1,-,-,-,-,-,1.0,100.0,-,-,-
7,"608Nicolás SchiappacasseSassuolo, 23, Forward","Nicolás Schiappacasse Sassuolo, 23, Forward",0(1),14,-,-,-,-,-,-,-,-,5.95,-,-,-,-,-,-,-,1,1.0,100.0,-,-,-
8,"609Martin PalumboUdinese, 20, Midfielder","Martin Palumbo Udinese, 20, Midfielder",1(2),62,-,0.3,0.3,-,-,-,-,-,5.91,-,-,-,-,-,-,0.3,-,4.0,41.7,-,-,-
9,"610Petar MicinUdinese, 23, Midfielder","Petar Micin Udinese, 23, Midfielder",0(1),14,-,-,1,-,-,-,-,-,5.91,-,-,-,-,-,-,-,-,9.0,88.9,-,1,-
0,"591Patrick CutroneFiorentina, 24, FW","Patrick Cutrone Fiorentina, 24, FW",0(11),185,0.4,0.1,0.7,-,-,0.1,-,-,6.01,-,-,0.3,-,0.3,-,0.6,0.4,4.5,78,-,-,-
1,"592Antonio RaimondoBologna, 18, Forward","Antonio Raimondo Bologna, 18, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,-,-,-,-
2,"593Giacomo VrioniJuventus, 23, Forward","Giacomo Vrioni Juventus, 23, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,1,-,-,-,1,2,100,-,-,-
3,"594Isaac KaramokoSassuolo, 20, Forward","Isaac Karamoko Sassuolo, 20, Forward",0(1),1,1,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,1,-,1,100,-,-,-
4,"595Nikita ContiniNapoli, 26, Goalkeeper","Nikita Contini Napoli, 26, Goalkeeper",1,1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"596Radu DragusinJuventus, 20, D(C)","Radu Dragusin Juventus, 20, D(C)",0(1),1,-,-,2,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,2,50,-,-,-
6,"597Stefano TuratiSassuolo, 20, Goalkeeper","Stefano Turati Sassuolo, 20, Goalkeeper",1,1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"598Justin KluivertRoma, 23, AM(LR)","Justin Kluivert Roma, 23, AM(LR)",0(2),18,-,-,0.5,-,-,-,-,-,6.0,-,-,0.5,-,-,-,0.5,0.5,4.5,66.7,-,1.5,-
8,"599Simone RabbiBologna, 20, Forward","Simone Rabbi Bologna, 20, Forward",0(4),31,-,-,0.8,-,-,0.3,-,-,5.99,-,1,-,0.5,0.3,0.3,0.5,1,1.8,57.1,-,-,-
9,"600Tòfol MontielFiorentina, 22, Midfielder","Tòfol Montiel Fiorentina, 22, Midfielder",0(2),3,-,-,-,-,-,0.5,-,-,5.99,-,-,-,-,0.5,-,0.5,-,1.5,66.7,-,0.5,-
0,"581Jérôme OnguénéGenoa, 24, D(C)","Jérôme Onguéné Genoa, 24, D(C)",1(3),179,0.5,0.5,0.8,-,2,1.3,-,-,6.02,-,-,-,-,0.3,-,-,0.5,24,84.4,-,0.5,-
1,"582Márk KosznovszkyParma Calcio 1913, 20, Midfielder","Márk Kosznovszky Parma Calcio 1913, 20, Midfielder",1,90,2,1,2,-,1,3,-,-,6.02,-,-,1,-,-,-,-,-,38,97.4,-,-,-
2,"583Siriki SanogoBenevento, 20, Midfielder","Siriki Sanogo Benevento, 20, Midfielder",0(1),9,-,-,-,-,-,-,-,-,6.02,-,-,-,-,-,-,-,-,7,100.0,-,1,-
