,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"731Serhii KryvtsovShakhtar, 31, D(C)","Serhii Kryvtsov Shakhtar, 31, D(C)",1,90,2,3,3,1,1,-,-,-,5.62,-,-,1,1,2,-,1,-,76.0,82.9,-,6,-
1,"732Alfonso PastorSevilla, 21, Goalkeeper","Alfonso Pastor Sevilla, 21, Goalkeeper",1,90,-,-,-,-,1,-,-,-,5.56,-,-,-,-,-,-,-,-,27.0,74.1,-,3,-
2,"733Leonardo BalerdiMarseille, 23, D(C)","Leonardo Balerdi Marseille, 23, D(C)",3,250,0.7,2.3,1,1,0.7,0.7,0.3,-,5.51,-,-,0.3,-,0.7,-,0.3,1,60.3,90.6,-,3.7,-
3,"734Andrii PyatovShakhtar, 37, GK","Andrii Pyatov Shakhtar, 37, GK",1,90,-,-,-,-,1,-,-,-,5.3,-,-,-,-,-,-,-,-,26.0,84.6,-,6,-
4,"735Juan MataMan Utd, 34, AM(CLR)","Juan Mata Man Utd, 34, AM(CLR)",1,61,-,-,-,-,-,-,-,-,5.08,-,-,-,1,-,-,2,3,28.0,92.9,-,-,-
5,"736Mateo MusacchioLazio, 31, D(C)","Mateo Musacchio Lazio, 31, D(C)",1,31,1,-,-,-,1,-,-,-,4.93,-,-,-,-,-,-,1,-,11.0,90.9,-,-,-
0,"721PêpêOlympiacos, 25, M(C)","Pêpê Olympiacos, 25, M(C)",1(2),122,-,0.3,-,-,0.3,1,-,-,5.87,-,-,-,0.3,0.3,-,1.3,0.3,23.0,84.1,-,1.0,-
1,"722Hasan Ali KaldirimIstanbul Basaksehir, 32, D(L)","Hasan Ali Kaldirim Istanbul Basaksehir, 32, D(L)",1(2),111,0.3,0.3,-,0.3,0.7,-,0.7,-,5.86,-,-,-,-,-,-,-,-,16.0,72.9,-,0.3,-
2,"723Yuto NagatomoMarseille, 35, D(LR),M(LR)","Yuto Nagatomo Marseille, 35, D(LR),M(LR)",1(1),103,-,-,-,-,0.5,-,0.5,-,5.85,-,-,-,-,0.5,-,-,0.5,18.0,91.7,-,0.5,-
3,"724Dávid Miklós SigérFerencvaros, 31, DMC","Dávid Miklós Sigér Ferencvaros, 31, DMC",5,392,0.6,1,2,-,0.4,0.6,0.2,-,5.84,-,-,0.8,-,0.4,-,0.6,0.6,30.6,84.3,-,2.2,-
4,"725Dénes DibuszFerencvaros, 31, GK","Dénes Dibusz Ferencvaros, 31, GK",6,540,0.2,-,-,-,0.5,-,-,-,5.84,-,-,-,-,-,-,-,0.2,34.8,78.0,-,8.7,-
5,"726Fehmi Mert GünokIstanbul Basaksehir, 33, GK","Fehmi Mert Günok Istanbul Basaksehir, 33, GK",6,540,-,-,0.2,-,1.8,-,-,-,5.82,-,-,-,0.2,-,-,-,0.2,25.8,61.3,-,7.7,-
6,"727Brandon SoppyRennes, 20, D(R),M(R)","Brandon Soppy Rennes, 20, D(R),M(R)",2,167,-,-,1.5,1.5,1.5,1,0.5,-,5.8,-,-,-,-,-,-,1,1,27.5,74.5,-,3.0,-
7,"728Mikkel AndersenFC Midtjylland, 33, GK","Mikkel Andersen FC Midtjylland, 33, GK",2,180,-,-,0.5,-,-,-,-,-,5.76,-,-,-,-,-,-,-,-,41.5,67.5,-,12.0,-
8,"729Dean HendersonMan Utd, 25, GK","Dean Henderson Man Utd, 25, GK",1,90,-,-,-,-,-,-,-,-,5.64,-,-,-,-,-,-,-,-,13.0,84.6,-,3.0,-
9,"730DalbertRennes, 28, D(L),DMC,M(L)","Dalbert Rennes, 28, D(L),DMC,M(L)",3(1),224,0.5,0.5,1.8,0.3,0.3,0.8,0.3,-,5.64,-,-,0.5,0.5,0.5,-,0.8,1,24.3,84.5,0.3,1.3,-
0,"711Timothée PembéléPSG, 19, D(R),M(R)","Timothée Pembélé PSG, 19, D(R),M(R)",0(1),10,-,-,1,-,1,1,-,-,5.94,-,-,-,-,1,-,-,-,5.0,100.0,-,-,-
1,"712Kevin StrootmanMarseille, 32, DMC","Kevin Strootman Marseille, 32, DMC",0(3),29,-,0.3,0.7,-,-,-,-,-,5.93,-,-,-,-,-,-,0.3,0.3,8.3,92.0,-,-,-
2,"713Hilal SoudaniOlympiacos, 34, AM(R),FW","Hilal Soudani Olympiacos, 34, AM(R),FW",0(4),35,-,-,0.3,-,0.3,-,-,-,5.93,-,-,-,0.3,0.3,0.8,-,0.8,2.8,81.8,-,-,-
3,"714Júnior CaiçaraIstanbul Basaksehir, 33, D(R),M(R)","Júnior Caiçara Istanbul Basaksehir, 33, D(R),M(R)",1,30,-,-,-,-,3,-,1,-,5.91,-,-,-,-,-,-,-,-,7.0,85.7,-,-,-
4,"715Bright Arrey-MbiBayern, 19, Defender","Bright Arrey-Mbi Bayern, 19, Defender",1,61,-,-,-,-,1,-,-,-,5.9,-,-,-,-,-,-,1,-,18.0,88.9,-,-,-
5,"716Mattia CaldaraAtalanta, 28, D(C)","Mattia Caldara Atalanta, 28, D(C)",0(1),6,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,6.0,83.3,-,-,-
6,"717Stefano SensiInter, 26, AM(C)","Stefano Sensi Inter, 26, AM(C)",0(1),12,-,-,2,-,-,1,-,-,5.9,-,-,-,-,1,-,-,-,11.0,100.0,-,1,-
7,"718Marley AkéMarseille, 21, Forward","Marley Aké Marseille, 21, Forward",0(4),37,-,-,-,-,-,-,-,-,5.9,-,-,0.3,-,0.5,-,0.5,0.5,3.0,91.7,-,-,-
