,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"501Rabbi MatondoSchalke, 21, AM(LR),FW","Rabbi Matondo Schalke, 21, AM(LR),FW",3,222,1,0.3,0.7,-,-,0.3,-,-,5.87,-,-,-,1,0.3,0.3,1.3,2.3,13.7,82.9,-,0.7,-
1,"502Jonas Michel DirknerHertha Berlin, 19, Midfielder","Jonas Michel Dirkner Hertha Berlin, 19, Midfielder",0(1),16,-,-,-,-,-,-,-,-,5.87,-,-,-,-,-,-,1,-,3.0,33.3,-,1,-
2,"503Lukas PetkovAugsburg, 21, Forward","Lukas Petkov Augsburg, 21, Forward",0(1),3,-,-,-,-,-,-,-,-,5.87,-,-,-,-,-,-,-,1,1.0,100.0,-,-,-
3,"504Jacob Bruun LarsenHoffenheim, 23, AM(CL)","Jacob Bruun Larsen Hoffenheim, 23, AM(CL)",1(1),90,-,-,1,-,-,-,-,-,5.82,-,-,-,0.5,-,1,1,2,9.0,83.3,-,0.5,-
0,"491Maximilian BeierHoffenheim, 19, AM(R),FW","Maximilian Beier Hoffenheim, 19, AM(R),FW",0(3),9,-,-,0.3,-,-,0.3,-,-,5.99,-,-,-,-,0.3,-,-,0.3,-,-,-,-,-
1,"492Jonas MichelbrinkHertha Berlin, 20, Midfielder","Jonas Michelbrink Hertha Berlin, 20, Midfielder",0(2),37,-,-,-,-,-,-,-,-,5.99,-,-,-,-,1.5,-,-,1,7,71.4,-,-,-
2,"493Jimmy Adrian KaparosSchalke, 20, Midfielder","Jimmy Adrian Kaparos Schalke, 20, Midfielder",0(1),17,-,-,-,-,-,1,-,-,5.97,-,-,-,-,-,-,-,-,2,100,-,-,-
3,"494Merveille PapelaMainz, 21, Midfielder","Merveille Papela Mainz, 21, Midfielder",0(1),1,-,-,-,-,-,1,-,-,5.97,-,-,-,-,-,-,-,-,-,-,-,-,-
4,"495Niklas LombLeverkusen, 28, GK","Niklas Lomb Leverkusen, 28, GK",1(1),135,-,-,-,-,0.5,-,-,-,5.96,-,-,-,-,-,-,-,0.5,23,73.9,-,4,-
5,"496Leon DajakuUnion Berlin, 21, M(R)","Leon Dajaku Union Berlin, 21, M(R)",0(2),36,-,-,-,-,-,-,-,-,5.95,-,-,-,-,0.5,1,0.5,1,8,81.3,-,-,-
