,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
7,"418Joseph WillockArsenal, 22, M(C)","Joseph Willock Arsenal, 22, M(C)",8(21),849,0.9,0.1,0.3,-,0.3,0.4,0.1,-,6.31,1,1,0.5,0.4,0.4,-,0.6,1,1,0.4,11.8,82.8,0.1,0.4,-
8,"419Patrick CutroneWolves, 24, FW","Patrick Cutrone Wolves, 24, FW",3(9),295,0.3,0.2,0.4,-,0.1,0.3,0.1,-,6.31,2,-,0.9,0.2,0.8,0.3,0.8,0.7,-,0.2,4.9,69.5,0.1,-,-
9,"420Ki Sung-YuengNewcastle, 33, DMC","Ki Sung-Yueng Newcastle, 33, DMC",1(2),136,0.3,1,0.3,-,0.7,0.7,-,-,6.31,-,-,-,0.7,1,-,0.7,0.3,-,0.7,22.0,89.4,1.3,1,-
0,"401Michael McGovernNorwich, 37, GK","Michael McGovern Norwich, 37, GK",1(1),158,-,-,-,-,1.5,-,-,-,6.35,-,-,-,-,-,-,-,-,-,-,20.0,47.5,-,2,-
1,"402Tommy DoyleMan City, 20, AM(C)","Tommy Doyle Man City, 20, AM(C)",0(1),16,-,-,-,-,-,1,-,-,6.35,-,-,1,-,1,-,-,-,-,-,20.0,100.0,-,-,-
2,"403Billy GilmourChelsea, 20, DMC","Billy Gilmour Chelsea, 20, DMC",2(4),192,0.8,0.5,0.5,-,0.3,0.3,-,-,6.35,-,-,0.2,0.7,0.2,-,0.5,0.5,-,0.7,28.7,90.1,-,1.5,-
3,"404Xherdan ShaqiriLiverpool, 30, M(CLR)","Xherdan Shaqiri Liverpool, 30, M(CLR)",2(5),182,0.1,-,0.1,-,-,0.1,-,-,6.34,1,-,0.6,0.4,0.4,0.1,0.9,0.3,-,0.4,13.9,83.5,0.4,1.1,-
4,"405Michael ObafemiSouthampton, 21, FW","Michael Obafemi Southampton, 21, FW",8(13),663,0.3,0.3,0.5,-,-,0.6,-,-,6.34,3,2,0.6,0.5,0.3,0.1,0.7,1.9,2,0.5,6.5,80.3,-,0.1,-
5,"406Adam LallanaLiverpool, 34, M(CLR)","Adam Lallana Liverpool, 34, M(CLR)",3(12),374,1.3,0.3,0.5,0.1,0.1,1,-,-,6.34,1,1,0.3,0.3,0.5,0.1,0.3,0.9,1,0.3,17.7,85.7,-,0.3,-
6,"407Billy SharpSheff Utd, 36, FW","Billy Sharp Sheff Utd, 36, FW",10(15),1048,0.2,-,0.8,-,0.1,0.2,-,-,6.34,3,2,0.6,0.6,1.3,0.4,1.2,1.4,2,0.6,8.5,74.1,-,0.1,-
7,"408Luke FreemanSheff Utd, 30, AM(CLR)","Luke Freeman Sheff Utd, 30, AM(CLR)",3(8),363,0.5,0.9,0.5,-,0.5,0.5,-,-,6.33,-,-,0.3,0.3,0.5,-,1.2,1,-,0.3,12.1,79.7,0.5,0.2,-
8,"409AdriánLiverpool, 35, GK","Adrián Liverpool, 35, GK",9(2),873,0.1,-,-,-,1.1,-,-,-,6.33,-,-,-,-,0.1,-,-,-,-,-,23.6,71.9,-,4.5,-
9,"410DeAndre YedlinNewcastle, 28, D(R),M(R)","DeAndre Yedlin Newcastle, 28, D(R),M(R)",10(6),937,1.1,0.6,0.5,0.3,1,0.5,0.4,-,6.33,1,-,0.1,0.4,0.6,0.1,0.3,0.9,-,0.4,15.4,74.4,0.4,0.8,-
0,"391Nathan HollandWest Ham, 23, AM(L)","Nathan Holland West Ham, 23, AM(L)",0(2),31,1.5,-,-,-,-,-,-,-,6.38,-,-,0.5,-,0.5,-,0.5,1.5,-,-,5.5,81.8,-,-,-
1,"392David BrooksBournemouth, 24, AM(CR)","David Brooks Bournemouth, 24, AM(CR)",8(1),513,0.6,0.2,0.4,-,0.1,1.3,0.1,-,6.37,1,-,0.7,0.7,0.7,-,0.8,0.8,-,0.7,17.0,73.9,0.7,0.4,-
2,"393Timm KloseNorwich, 34, D(C)","Timm Klose Norwich, 34, D(C)",7,586,1.1,1,1.1,-,3.9,0.6,0.9,-,6.37,-,-,0.4,-,1,-,0.1,0.1,-,-,56.1,84.7,-,2.1,-
3,"394Sean LongstaffNewcastle, 24, DMC","Sean Longstaff Newcastle, 24, DMC",14(9),1373,1.5,0.8,0.7,-,0.9,1.3,0.2,-,6.37,1,1,1.1,0.7,1.1,-,0.7,1.1,1,0.7,27.4,79.2,0.3,1.5,-
4,"395Aaron ConnollyBrighton, 22, FW","Aaron Connolly Brighton, 22, FW",14(10),1266,0.3,-,0.7,-,0.1,0.3,-,-,6.37,3,1,1.6,0.3,1.6,0.6,0.8,2.2,1,0.3,6.1,77.4,-,-,-
5,"396Willy CaballeroChelsea, 40, GK","Willy Caballero Chelsea, 40, GK",5,450,-,-,-,-,0.8,-,-,-,6.37,-,-,-,-,-,-,-,-,-,-,29.4,72.8,-,6.2,-
6,"397William SmallboneSouthampton, 22, M(R)","William Smallbone Southampton, 22, M(R)",4(5),394,1.1,0.1,0.2,-,0.1,0.6,0.1,-,6.36,-,2,0.7,0.3,0.7,-,0.2,0.6,2,0.3,22.9,84.0,0.1,1.3,-
7,"398Kepa ArrizabalagaChelsea, 27, GK","Kepa Arrizabalaga Chelsea, 27, GK",33,2970,-,-,-,-,0.4,-,-,-,6.36,-,-,-,-,0.2,-,-,-,-,-,28.4,79.7,-,4,-
8,"399Hamza ChoudhuryLeicester, 24, DMC","Hamza Choudhury Leicester, 24, DMC",10(10),889,0.9,1.2,0.6,-,0.6,1.1,0.3,-,6.35,1,1,0.4,0.2,0.4,-,0.3,0.7,1,0.2,24.8,86.1,-,1,-
9,"400Roberto PereyraWatford, 31, M(CLR),FW","Roberto Pereyra Watford, 31, M(CLR),FW",17(11),1653,0.7,0.5,0.8,-,0.2,0.7,-,-,6.35,3,-,0.8,0.7,1.2,0.2,1,1.7,-,0.7,21.9,85.2,0.2,0.4,-
0,"381Danny WelbeckWatford, 31, AM(CLR),FW","Danny Welbeck Watford, 31, AM(CLR),FW",8(10),816,0.8,0.3,0.5,0.1,0.3,0.4,0.1,-,6.39,2,-,1.2,0.2,0.6,0.1,1.1,1.2,-,0.2,9.2,75.2,-,-,-
1,"382Ben OsbornSheff Utd, 27, D(L),M(CLR)","Ben Osborn Sheff Utd, 27, D(L),M(CLR)",6(7),592,1.2,0.5,0.7,-,0.5,1,0.1,-,6.39,-,-,0.2,0.5,0.5,0.1,-,0.4,-,0.5,17.8,71.0,0.2,0.6,-
2,"383Claudio BravoMan City, 39, GK","Claudio Bravo Man City, 39, GK",3(1),346,-,-,-,-,0.8,-,-,-,6.39,-,-,-,-,-,-,-,-,-,-,29.8,76.5,-,5.5,-
3,"384Phil JonesMan Utd, 30, D(CR),DMC","Phil Jones Man Utd, 30, D(CR),DMC",2,136,1,1,1.5,0.5,4.5,-,-,-,6.39,-,-,1,-,0.5,-,-,1,-,-,48.5,83.5,-,1.5,-
4,"385Ryan BennettWolves, 32, D(C)","Ryan Bennett Wolves, 32, D(C)",7(4),606,0.4,0.8,0.4,0.1,2.5,0.4,0.7,-,6.39,-,-,0.1,0.2,0.1,-,0.1,0.2,-,0.2,20.6,76.7,0.2,1,-
5,"386Dennis PraetLeicester, 28, AM(CR)","Dennis Praet Leicester, 28, AM(CR)",12(15),1135,1.2,0.6,0.7,-,0.4,0.7,-,-,6.39,1,2,0.6,0.3,0.5,-,0.6,1,2,0.3,19.3,85.0,0.1,0.8,-
6,"387Yan ValerySouthampton, 23, D(CR),M(R)","Yan Valery Southampton, 23, D(CR),M(R)",10(1),784,1.8,1.2,0.6,0.1,2.6,0.7,0.1,-,6.38,-,-,0.3,0.2,0.7,0.3,1.7,1.3,-,0.2,20.2,56.3,0.2,0.5,-
7,"388Tom CleverleyWatford, 32, M(CLR)","Tom Cleverley Watford, 32, M(CLR)",11(7),967,1.6,0.6,0.9,-,0.8,1.5,0.1,-,6.38,1,-,0.9,0.8,0.6,-,0.2,0.6,-,0.8,23.9,83.3,0.3,0.9,-
8,"389Matej VydraBurnley, 30, AM(CL),FW","Matej Vydra Burnley, 30, AM(CL),FW",7(12),812,0.2,0.1,0.1,-,0.3,0.2,0.2,-,6.38,2,1,0.9,0.4,0.6,0.2,0.4,1,1,0.4,7.2,74.3,-,-,-
9,"390Wes MorganLeicester, 38, D(C)","Wes Morgan Leicester, 38, D(C)",5(7),431,0.3,0.6,0.3,0.2,1.6,0.3,0.3,-,6.38,-,-,0.3,-,0.1,-,0.1,0.1,-,-,20.4,89.0,-,0.6,-
0,"371Morgan SchneiderlinEverton, 32, DMC","Morgan Schneiderlin Everton, 32, DMC",12(3),1004,2.1,1.4,1.2,-,1.3,1.1,0.2,-,6.42,-,-,0.4,0.3,0.1,-,0.3,0.5,-,0.3,37.4,86.1,0.1,3.6,-
1,"372Neil TaylorAston Villa, 33, D(L),M(L)","Neil Taylor Aston Villa, 33, D(L),M(L)",11(3),1087,1.1,1.4,0.6,0.1,1.9,0.6,0.4,-,6.41,-,-,0.2,0.4,0.4,-,0.1,0.4,-,0.4,29.9,78.8,0.1,1.1,-
2,"373Ryan BennettLeicester, 32, D(C)","Ryan Bennett Leicester, 32, D(C)",3(2),331,1,1.4,0.6,0.4,1.6,0.4,0.2,-,6.41,-,-,-,-,-,-,-,0.4,-,-,41.0,81.5,-,2.4,-
3,"374Dominic SolankeBournemouth, 24, FW","Dominic Solanke Bournemouth, 24, FW",17(15),1645,0.3,0.3,0.5,-,0.5,0.9,-,-,6.41,3,1,1,0.5,0.7,0.1,1.7,1.6,1,0.5,13.5,69.6,-,0.3,-
4,"375Nathaniel ChalobahWatford, 27, DMC","Nathaniel Chalobah Watford, 27, DMC",10(12),926,1.4,0.8,0.3,-,0.8,0.7,0.2,-,6.41,-,1,0.4,0.4,0.4,-,0.5,0.7,1,0.4,15.7,73.7,0.2,0.5,-
5,"376Gabriel MartinelliArsenal, 20, AM(L),FW","Gabriel Martinelli Arsenal, 20, AM(L),FW",6(8),657,1.4,0.2,0.6,-,0.4,0.9,0.1,-,6.4,3,-,0.9,0.1,0.7,0.1,0.9,2.1,-,0.1,8.3,69.8,-,0.1,-
6,"377Eddie NketiahArsenal, 22, FW","Eddie Nketiah Arsenal, 22, FW",7(6),633,0.5,0.2,1.2,-,0.4,0.3,-,-,6.4,2,-,1.2,0.4,0.8,0.2,1.2,1.6,-,0.4,10.8,75.0,-,0.2,-
7,"378Reiss NelsonArsenal, 22, M(LR)","Reiss Nelson Arsenal, 22, M(LR)",7(10),628,0.6,0.2,0.5,-,0.1,0.6,0.1,-,6.4,1,-,0.6,0.5,0.5,0.2,0.8,0.9,-,0.5,12.2,85.5,0.5,0.6,-
8,"379Jordan PickfordEverton, 28, GK","Jordan Pickford Everton, 28, GK",38,3450,-,0.1,-,-,0.6,0.1,-,-,6.4,-,-,-,-,0.2,-,-,0.1,-,-,31.2,60.1,-,7.7,-
9,"380Connor WickhamCrystal Palace, 29, AM(L),FW","Connor Wickham Crystal Palace, 29, AM(L),FW",0(6),92,0.2,0.2,0.7,-,-,-,-,-,6.4,1,1,0.5,0.5,-,0.2,0.3,0.7,1,0.5,7.7,58.7,-,0.3,-
0,"361José HolebasWatford, 37, D(CL),M(L)","José Holebas Watford, 37, D(CL),M(L)",11(3),1025,1.9,0.2,1.3,0.1,2.1,1.4,0.3,-,6.44,-,-,0.4,0.8,0.4,-,0.4,0.4,-,0.8,29.6,73.2,1.2,1.0,-
1,"362Alireza JahanbakhshBrighton, 28, AM(CLR)","Alireza Jahanbakhsh Brighton, 28, AM(CLR)",3(7),308,0.8,0.3,0.2,-,0.1,0.2,-,-,6.44,2,-,1.2,0.4,0.7,0.1,0.6,0.8,-,0.4,11.2,75.0,-,0.3,0.1
2,"363David MartinWest Ham, 36, GK","David Martin West Ham, 36, GK",4(1),436,-,-,-,-,0.4,-,-,-,6.43,-,-,-,-,-,-,-,-,-,-,22.2,40.5,-,8.0,-
3,"364André GomesEverton, 28, M(CLR)","André Gomes Everton, 28, M(CLR)",17(2),1461,1.2,0.4,2,0.1,0.3,2.8,0.2,-,6.43,-,1,0.3,0.6,1,-,1.2,1,1,0.6,44.7,84.7,0.2,4.5,-
4,"365Dan GoslingBournemouth, 32, M(C)","Dan Gosling Bournemouth, 32, M(C)",14(10),1262,1.1,0.8,0.9,-,0.9,0.9,0.5,-,6.43,3,1,0.5,0.4,0.8,0.1,0.9,1.3,1,0.4,21.7,77.3,0.1,0.7,-
5,"366Mbwana SamattaAston Villa, 29, FW","Mbwana Samatta Aston Villa, 29, FW",11(3),946,0.4,0.1,0.6,-,0.4,0.5,-,-,6.42,1,-,1.2,0.7,1.3,0.6,0.9,1.9,-,0.7,12.3,68.0,0.1,0.4,-
6,"367Divock OrigiLiverpool, 27, AM(LR),FW","Divock Origi Liverpool, 27, AM(LR),FW",7(21),706,0.4,0.1,0.4,-,0.2,0.2,-,-,6.42,4,1,0.5,0.3,0.6,-,0.4,1,1,0.3,7.0,70.9,0.1,0.2,-
7,"368Pablo ZabaletaWest Ham, 37, D(R),DMC,M(R)","Pablo Zabaleta West Ham, 37, D(R),DMC,M(R)",6(4),590,1.8,1.4,0.7,0.1,1.6,0.7,0.3,-,6.42,-,-,-,0.3,0.9,-,0.1,0.4,-,0.3,24.9,75.5,0.1,0.6,-
8,"369James McCarthyCrystal Palace, 31, M(C)","James McCarthy Crystal Palace, 31, M(C)",16(17),1673,2.5,0.7,0.9,-,0.3,1.1,0.2,-,6.42,-,-,0.4,0.5,0.5,-,0.3,0.5,-,0.5,23.7,77.8,0.3,1.6,-
9,"370Anthony GordonEverton, 21, AM(LR)","Anthony Gordon Everton, 21, AM(LR)",4(7),440,1,0.7,0.9,-,0.1,0.9,0.2,-,6.42,-,1,0.5,0.5,1.1,0.1,0.7,1,1,0.5,10.3,78.8,0.4,0.3,-
0,"351Danny RoseNewcastle, 31, D(L),M(L)","Danny Rose Newcastle, 31, D(L),M(L)",10(1),865,1.9,0.9,1.0,0.2,1,0.8,0.4,-,6.47,-,-,-,0.3,2.1,-,0.1,0.5,-,0.3,33.4,78.5,0.2,0.7,-
1,"352Tom DaviesEverton, 23, M(C)","Tom Davies Everton, 23, M(C)",23(7),2057,1.3,1.2,1.0,-,0.9,1.3,0.1,-,6.47,1,-,0.6,0.2,1.3,-,0.7,0.9,-,0.2,29.3,77.5,0.1,1.6,-
2,"353Nabil BentalebNewcastle, 27, M(C)","Nabil Bentaleb Newcastle, 27, M(C)",8(4),749,1.9,1.6,1.6,-,0.8,1.5,0.2,-,6.47,-,-,0.3,0.7,0.4,-,0.2,0.5,-,0.7,33.8,85.7,-,2.1,-
3,"354Theo WalcottEverton, 33, M(CLR),FW","Theo Walcott Everton, 33, M(CLR),FW",17(8),1297,0.5,0.3,0.4,-,-,0.5,-,-,6.46,2,3,1.2,0.8,0.7,0.4,0.9,1.5,3,0.8,14.2,68.9,0.4,0.1,0.2
4,"355Jamal LewisNorwich, 24, D(L),M(L)","Jamal Lewis Norwich, 24, D(L),M(L)",25(3),2304,1.8,0.9,0.5,0.1,2,0.5,0.4,-,6.46,1,-,0.3,0.5,0.8,0.1,0.8,1.3,-,0.5,37.3,78.9,0.4,1.1,-
5,"356Ibrahim AmadouNorwich, 29, D(C),DMC","Ibrahim Amadou Norwich, 29, D(C),DMC",8(3),757,1.6,1.5,0.7,0.3,5,0.7,0.5,-,6.46,-,-,0.5,0.1,0.2,-,0.3,0.1,-,0.1,33.5,87.0,0.1,1.4,-
6,"357Che AdamsSouthampton, 25, AM(CL),FW","Che Adams Southampton, 25, AM(CL),FW",12(18),1107,0.2,0.1,0.6,-,0.3,0.1,-,-,6.45,4,2,1.2,0.4,0.5,0.3,0.7,1.3,2,0.4,8.3,64.9,-,0.2,0.1
7,"358Pedro NetoWolves, 22, AM(CLR),FW","Pedro Neto Wolves, 22, AM(CLR),FW",9(20),929,0.3,0.2,0.5,-,0.1,0.4,-,-,6.45,3,3,0.6,0.5,0.6,0.1,0.6,1.1,3,0.5,12.0,83.4,0.3,0.3,-
8,"359Ben GodfreyNorwich, 24, D(CLR)","Ben Godfrey Norwich, 24, D(CLR)",30,2646,0.7,0.8,0.5,0.3,4.9,0.3,1.2,1,6.45,-,-,0.5,0.1,0.3,-,0.1,0.4,-,0.1,55.3,87.9,-,3.2,-
9,"360Eric BaillyMan Utd, 28, D(CR)","Eric Bailly Man Utd, 28, D(CR)",1(3),148,-,1.0,0.5,0.5,1.8,0.3,0.8,-,6.44,-,-,-,-,-,-,0.3,0.3,-,-,19.5,89.7,-,1.0,-
0,"341Moritz LeitnerNorwich, 29, M(CR)","Moritz Leitner Norwich, 29, M(CR)",7(2),686,1.8,1,0.9,-,0.9,1.8,0.4,-,6.49,-,-,0.9,0.8,1.1,-,0.8,1.7,-,0.8,62.6,87.4,0.1,2.1,-
1,"342BernardoBrighton, 27, D(LR),M(L)","Bernardo Brighton, 27, D(LR),M(L)",7(7),678,1.9,0.4,0.2,0.1,1.4,0.3,0.2,-,6.49,-,-,0.5,0.3,0.2,0.3,0.8,1.1,-,0.3,23.6,73.6,0.2,0.9,-
2,"343Dwight GayleNewcastle, 32, AM(LR),FW","Dwight Gayle Newcastle, 32, AM(LR),FW",10(10),849,0.6,0.1,0.3,-,0.5,0.2,-,-,6.48,4,2,1.2,0.3,0.7,0.1,0.6,1.0,2,0.3,7.3,69.0,0.1,0.2,-
3,"344Pablo FornalsWest Ham, 26, M(CLR)","Pablo Fornals West Ham, 26, M(CLR)",24(12),2179,1.3,0.7,0.5,-,0.2,1.3,-,-,6.48,2,5,1.0,0.5,0.4,0.2,0.7,1.1,5,0.5,23.4,78.8,0.3,1.1,-
4,"345Lys MoussetSheff Utd, 26, FW","Lys Mousset Sheff Utd, 26, FW",11(19),1235,0.3,0.1,0.8,-,0.1,0.1,-,-,6.48,6,4,1.2,0.4,0.5,0.5,1.3,1.7,4,0.4,8.0,69.6,-,0.1,-
5,"346Marvelous NakambaAston Villa, 28, DMC","Marvelous Nakamba Aston Villa, 28, DMC",19(10),1836,1.9,1.3,0.9,-,1.1,1.5,0.4,-,6.47,-,-,0.2,0.4,0.8,-,0.3,0.9,-,0.4,27.0,84.3,-,0.8,-
6,"347Matthew LongstaffNewcastle, 22, M(C)","Matthew Longstaff Newcastle, 22, M(C)",6(3),573,0.3,0.6,0.7,-,0.3,1.2,0.1,-,6.47,2,-,0.4,0.3,0.7,-,0.8,0.4,-,0.3,28.3,80.4,0.1,1.1,-
7,"348Cenk TosunCrystal Palace, 30, FW","Cenk Tosun Crystal Palace, 30, FW",2(3),176,0.4,-,0.8,-,0.2,0.4,-,-,6.47,1,-,0.8,0.2,0.8,0.2,1.0,0.6,-,0.2,8.0,70.0,-,0.2,-
8,"349Ezri KonsaAston Villa, 24, D(CR)","Ezri Konsa Aston Villa, 24, D(CR)",24(1),2044,0.7,1,0.7,0.2,2.6,0.4,1,-,6.47,1,2,0.4,0.4,1.3,-,0.2,0.3,2,0.4,30.9,78.0,0.2,1.4,-
9,"350Curtis JonesLiverpool, 21, AM(C)","Curtis Jones Liverpool, 21, AM(C)",1(5),122,0.7,0.3,0.5,-,-,0.2,-,-,6.47,1,-,1.0,-,-,-,0.7,0.3,-,-,20.5,87.0,-,0.5,-
0,"331Callum WilsonBournemouth, 30, FW","Callum Wilson Bournemouth, 30, FW",32(3),2911,0.3,0.1,1.6,-,0.5,0.4,0.1,-,6.51,8,1,1.6,0.8,1.1,0.9,1.5,3.1,1,0.8,14.6,64.5,0.1,0.3,-
1,"332Alexander TetteyNorwich, 36, M(C)","Alexander Tettey Norwich, 36, M(C)",28(2),2352,0.8,1.4,0.7,-,2.2,0.9,0.3,-,6.51,1,1,0.8,0.2,0.2,-,0.3,0.6,1,0.2,43.1,88.1,-,1.6,-
2,"333Florian LejeuneNewcastle, 31, D(C)","Florian Lejeune Newcastle, 31, D(C)",4(2),441,1.3,1.7,1.0,0.2,2.2,0.5,0.3,-,6.51,2,-,0.7,0.2,0.7,-,0.3,0.5,-,0.2,32.8,69.0,-,2.3,-
3,"334Onel HernándezNorwich, 29, M(CLR),FW","Onel Hernández Norwich, 29, M(CLR),FW",14(12),1381,1,0.7,0.5,-,0.3,0.8,-,-,6.5,1,2,1.1,0.7,0.7,0.3,1.4,1.5,2,0.7,12.0,77.2,-,0.1,-
4,"335Pepe ReinaAston Villa, 39, GK","Pepe Reina Aston Villa, 39, GK",12,1080,-,-,0.1,-,1.0,0.2,-,-,6.5,-,-,-,0.1,0.3,-,-,0.1,-,0.1,28.8,67.0,-,8.4,-
5,"336Sead KolasinacArsenal, 28, D(CL),DMC,M(L)","Sead Kolasinac Arsenal, 28, D(CL),DMC,M(L)",19(7),1700,1.1,1,0.8,0.1,1.3,0.4,0.2,-,6.5,-,2,0.2,0.4,0.6,0.2,0.4,0.8,2,0.4,34.6,85.6,0.2,0.8,-
6,"337Demarai GrayLeicester, 25, AM(CLR),FW","Demarai Gray Leicester, 25, AM(CLR),FW",3(18),609,0.6,0.2,0.1,-,0.1,0.3,-,-,6.49,2,3,1.1,0.8,0.5,0.1,0.9,1.0,3,0.8,13.9,87.3,0.4,0.5,-
7,"338Daniel PodenceWolves, 26, AM(CLR),FW","Daniel Podence Wolves, 26, AM(CLR),FW",3(6),287,0.3,0.2,0.6,-,0.1,0.2,0.1,-,6.49,1,-,1.1,0.6,1.0,0.3,0.4,0.9,-,0.6,10.6,72.6,0.1,0.3,-
8,"339Danny RoseTottenham, 31, D(L),M(L)","Danny Rose Tottenham, 31, D(L),M(L)",10(2),895,1.5,0.7,1.2,0.3,2.5,0.9,0.5,-,6.49,-,-,0.2,0.9,1.4,-,0.4,0.9,-,0.9,39.2,80.0,0.7,1.0,-
9,"340Fabian DelphEverton, 32, D(L),M(CL)","Fabian Delph Everton, 32, D(L),M(CL)",13(3),1190,1.6,0.9,1.1,-,1.0,0.8,0.2,-,6.49,-,-,0.2,0.4,0.4,-,0.4,1.1,-,0.4,48.8,86.6,0.3,3.6,0.1
0,"321Sofiane BoufalSouthampton, 28, AM(CLR),FW","Sofiane Boufal Southampton, 28, AM(CLR),FW",8(12),760,0.8,0.2,1.3,-,-,0.5,-,-,6.52,-,2,0.9,0.8,1.0,0.1,2,1.7,2,0.8,14.4,77.4,0.2,0.3,-
1,"322Ben FosterWatford, 39, GK","Ben Foster Watford, 39, GK",38,3420,-,-,0.1,-,0.8,0.1,-,-,6.52,-,-,-,-,0.1,-,-,-,-,-,28.7,40.4,-,8.5,-
2,"323Harry WilsonBournemouth, 25, AM(CLR)","Harry Wilson Bournemouth, 25, AM(CLR)",20(11),1654,0.7,0.4,0.4,-,0.4,0.7,0.1,-,6.52,7,-,1.8,0.5,1.3,-,0.7,1.1,-,0.5,18.5,76.0,0.1,1.4,0.1
3,"324Martín MontoyaBrighton, 31, D(LR),M(R)","Martín Montoya Brighton, 31, D(LR),M(R)",23(4),1901,2.1,0.9,1.0,0.2,1.1,1.0,0.2,-,6.52,-,1,0.3,0.8,0.6,0.1,0.4,1.3,1,0.8,37.2,76.5,0.5,1.8,-
4,"325Fabián BalbuenaWest Ham, 30, D(C)","Fabián Balbuena West Ham, 30, D(C)",13(4),1176,1,1.5,0.4,0.6,4.2,0.9,0.3,-,6.51,1,-,0.6,0.1,0.1,-,0.1,0.4,-,0.1,29.6,71.6,-,2.1,-
5,"326Tom TrybullNorwich, 29, M(C)","Tom Trybull Norwich, 29, M(C)",14(2),1139,2.4,1,1.6,-,2,2.8,0.3,-,6.51,-,-,0.7,0.2,0.7,0.1,0.4,1,-,0.2,38.4,92.0,-,1.7,-
6,"327Christian EriksenTottenham, 30, M(CLR)","Christian Eriksen Tottenham, 30, M(CLR)",10(10),1092,1,0.6,0.5,-,0.7,0.9,0.1,-,6.51,2,2,1.3,1.2,0.3,0.1,0.7,1.2,2,1.2,33.7,80.3,0.6,1.5,0.1
7,"328Andriy YarmolenkoWest Ham, 32, AM(CR),FW","Andriy Yarmolenko West Ham, 32, AM(CR),FW",10(13),990,0.6,0.3,0.7,-,0.2,0.7,-,-,6.51,5,1,1.1,0.8,0.4,0.3,0.5,1,1,0.8,17.5,80.6,0.2,1.0,-
8,"329Conor CoadyWolves, 29, D(CR),DMC","Conor Coady Wolves, 29, D(CR),DMC",38,3420,0.9,0.7,0.4,0.4,3.1,0.4,0.4,-,6.51,-,-,-,0.1,0.2,-,-,-,-,0.1,48.7,85.0,-,7.6,0.1
9,"330Junior StanislasBournemouth, 32, M(CLR)","Junior Stanislas Bournemouth, 32, M(CLR)",7(8),712,0.7,0.3,0.3,0.1,0.3,0.3,-,-,6.51,3,-,1.2,0.8,0.3,0.1,0.5,0.8,-,0.8,17.4,76.6,0.5,0.3,0.1
0,"311Max AaronsNorwich, 22, D(R)","Max Aarons Norwich, 22, D(R)",36,3240,1.3,1.0,0.8,0.2,2.0,0.5,0.8,-,6.55,-,1,0.4,0.6,1.4,0.1,0.9,1.5,1,0.6,37.2,78.9,0.4,1.1,-
1,"312Jeff HendrickBurnley, 30, M(CR)","Jeff Hendrick Burnley, 30, M(CR)",22(2),1935,0.8,0.8,0.7,-,0.6,0.8,0.3,-,6.55,2,2,0.9,0.6,0.7,0.2,1.2,1.6,2,0.6,22.7,75.6,0.3,0.8,-
2,"313Leandro TrossardBrighton, 27, M(CLR),FW","Leandro Trossard Brighton, 27, M(CLR),FW",22(9),2016,0.7,0.3,0.5,-,0.2,1.0,-,-,6.54,5,3,1.3,1.4,0.4,0.1,1.1,1.6,3,1.4,22.9,74.5,0.6,1.3,-
3,"314Anwar El GhaziAston Villa, 27, AM(LR),FW","Anwar El Ghazi Aston Villa, 27, AM(LR),FW",26(8),2062,0.6,0.4,0.6,-,0.4,0.5,-,-,6.54,4,4,1.5,0.9,0.5,0.4,1,1.6,4,0.9,14.1,72.4,0.8,0.4,-
4,"315Simon FrancisBournemouth, 37, D(CR)","Simon Francis Bournemouth, 37, D(CR)",10(5),965,0.9,1.3,0.5,0.3,4.4,0.7,0.8,-,6.54,-,-,0.2,0.3,0.1,-,0.1,0.3,-,0.3,34.7,75.6,0.2,2.0,-
5,"316Phil JagielkaSheff Utd, 39, D(CR)","Phil Jagielka Sheff Utd, 39, D(CR)",2(4),240,0.8,0.7,0.2,-,3.2,0.3,0.8,-,6.54,-,-,-,-,0.7,-,-,-,-,-,12.5,80.0,0.2,0.7,-
6,"317Teemu PukkiNorwich, 32, AM(C),FW","Teemu Pukki Norwich, 32, AM(C),FW",33(3),2894,0.3,0.2,0.6,-,0.2,0.6,-,-,6.53,11,3,2.2,0.8,0.4,0.5,0.9,1.6,3,0.8,14.7,79.8,-,0.1,-
7,"318Leighton BainesEverton, 37, D(L),M(L)","Leighton Baines Everton, 37, D(L),M(L)",4(4),432,1.3,0.6,0.1,0.3,1.3,0.3,0.3,-,6.53,-,-,0.1,0.9,0.5,-,0.3,0.4,-,0.9,19.4,86.5,1.3,0.4,-
8,"319Kiko FemeníaWatford, 31, D(LR),M(R)","Kiko Femenía Watford, 31, D(LR),M(R)",26(2),2244,2.4,1.3,0.9,0.2,1.6,1.3,0.1,-,6.53,-,-,0.2,0.6,0.4,-,0.4,0.8,-,0.6,34.0,78.6,0.7,1.3,-
9,"320Lucas TorreiraArsenal, 26, DMC","Lucas Torreira Arsenal, 26, DMC",17(12),1510,1.1,1.2,0.8,-,0.8,0.8,0.3,-,6.52,1,1,0.7,0.5,1.5,-,0.3,0.6,1,0.5,31.1,87.8,0.1,1.2,-
