Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
"507William FishMan Utd, 19, Defender","William Fish Man Utd, 19, Defender",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"508Moise KeanEverton, 22, AM(L),FW","Moise Kean Everton, 22, AM(L),FW",0(2),13,-,-,0.5,-,-,-,-,-,6.0,-,-,0.5,-,-,-,-,0.5,-,-,3,100,-,-,-
"509Lewis RichardsonBurnley, 19, Midfielder","Lewis Richardson Burnley, 19, Midfielder",0(2),3,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-
"510Reda KhadraBrighton, 20, AM(L),FW","Reda Khadra Brighton, 20, AM(L),FW",0(1),4,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
"491Caleb WattsSouthampton, 20, Midfielder","Caleb Watts Southampton, 20, Midfielder",0(3),36,0.7,-,-,-,-,0.3,-,-,6.05,-,-,-,-,0.3,-,0.3,0.3,-,-,4.0,58.3,0.3,-,-
"492Jonjoe KennyEverton, 25, D(R),M(R)","Jonjoe Kenny Everton, 25, D(R),M(R)",1(3),79,0.5,0.3,-,-,0.5,-,-,-,6.04,-,-,-,-,-,0.3,-,0.8,-,-,10.5,83.3,0.3,0.5,-
"493Phil JagielkaSheff Utd, 39, D(CR)","Phil Jagielka Sheff Utd, 39, D(CR)",6(4),527,0.5,1,0.8,0.5,2.6,0.5,0.5,1,6.04,-,-,-,-,0.1,-,-,0.3,-,-,20.4,71.6,-,2.1,-
"494Daniel N'LunduluSouthampton, 23, FW","Daniel N'Lundulu Southampton, 23, FW",0(13),102,-,-,0.5,-,0.2,0.1,-,-,6.03,-,-,0.1,0.1,-,0.1,0.2,0.5,-,0.1,2.2,72.4,-,0.1,-
"495Leif DavisLeeds, 22, D(L)","Leif Davis Leeds, 22, D(L)",0(2),31,-,0.5,0.5,-,-,1.5,-,-,6.02,-,-,-,-,-,-,0.5,0.5,-,-,9.5,89.5,-,0.5,-
"496Oskar BuurWolves, 24, Defender","Oskar Buur Wolves, 24, Defender",0(1),22,-,-,-,-,-,2,-,-,6.02,-,-,-,-,-,-,1,-,-,-,14.0,92.9,-,-,-
"497Iliman NdiayeSheff Utd, 22, AM(C),FW","Iliman Ndiaye Sheff Utd, 22, AM(C),FW",0(1),11,1,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,1,-,-,3.0,100.0,-,-,-
"498Thakgalo LeshabelaLeicester, 22, Midfielder","Thakgalo Leshabela Leicester, 22, Midfielder",0(1),9,-,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,1,-,-,-,7.0,85.7,-,-,-
"499Shola ShoretireMan Utd, 18, Forward","Shola Shoretire Man Utd, 18, Forward",0(2),9,-,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,1,-,-,3.0,83.3,-,-,-
"500Robert SnodgrassWest Ham, 34, M(CLR)","Robert Snodgrass West Ham, 34, M(CLR)",0(3),4,-,-,-,-,-,-,-,-,6.0,-,-,-,-,0.3,-,-,-,-,-,1.3,100.0,-,-,-
"481Shane LongSouthampton, 35, AM(R),FW","Shane Long Southampton, 35, AM(R),FW",1(10),201,0.2,0.3,0.6,-,0.1,0.1,-,-,6.11,-,-,0.2,-,0.5,0.3,0.6,0.5,-,-,5.1,57.1,-,-,-
"482Joshua KingEverton, 30, AM(CLR),FW","Joshua King Everton, 30, AM(CLR),FW",0(11),138,0.4,0.1,0.4,-,0.1,-,-,-,6.11,-,-,0.3,-,0.1,0.3,0.5,0.8,-,-,4.5,65.3,-,-,-
"483Josh OnomahFulham, 25, M(CL)","Josh Onomah Fulham, 25, M(CL)",4(7),372,1,0.2,1.1,-,0.1,0.5,0.2,-,6.08,-,-,0.5,0.1,-,-,0.8,0.8,-,0.1,15.5,90.0,-,0.4,-
"484Marek RodákFulham, 25, GK","Marek Rodák Fulham, 25, GK",2,180,-,-,-,-,1,-,-,-,6.08,-,-,-,-,-,-,-,-,-,-,20.5,80.5,-,4,-
"485Martin KellyCrystal Palace, 32, D(CLR)","Martin Kelly Crystal Palace, 32, D(CLR)",0(1),1,1,-,-,-,-,-,-,-,6.08,-,-,-,-,-,-,-,-,-,-,3.0,66.7,-,-,-
"486Wes MorganLeicester, 38, D(C)","Wes Morgan Leicester, 38, D(C)",0(3),16,-,-,-,-,0.3,-,-,-,6.07,-,-,-,-,-,-,-,-,-,-,1.7,100.0,-,0.3,-
"487Zack SteffenMan City, 27, GK","Zack Steffen Man City, 27, GK",1,90,-,-,1,-,-,-,-,-,6.07,-,-,-,-,-,-,-,-,-,-,26.0,80.8,-,1,-
"488Michael HectorFulham, 29, D(C),DMC","Michael Hector Fulham, 29, D(C),DMC",3(1),264,0.8,-,1.3,0.3,1.5,1.3,0.5,-,6.07,-,-,0.3,0.3,0.8,-,-,0.8,-,0.3,46.5,79.0,-,5,-
"489Felipe AndersonWest Ham, 29, M(CLR),FW","Felipe Anderson West Ham, 29, M(CLR),FW",0(2),2,0.5,-,-,-,-,-,-,-,6.07,-,-,-,-,-,-,-,-,-,-,2.5,60.0,-,-,-
"490Mamadou SakhoCrystal Palace, 32, D(C)","Mamadou Sakho Crystal Palace, 32, D(C)",3(1),275,0.8,0.8,0.5,-,2.8,-,0.5,-,6.06,-,-,0.3,-,0.3,-,0.3,0.8,-,-,23.0,88.0,-,1,-
