Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
"412Andy CarrollNewcastle, 33, FW","Andy Carroll Newcastle, 33, FW",4(14),384,0.2,-,0.7,-,0.8,0.4,-,-,6.31,1,-,0.8,0.1,0.6,0.2,0.2,1.0,-,0.1,7.6,61.8,-,0.3,-
"413Fábio SilvaWolves, 19, FW","Fábio Silva Wolves, 19, FW",11(21),1357,0.2,0.1,0.6,-,0.2,0.3,-,-,6.3,4,3,1.5,0.3,0.7,0.2,0.7,1.4,3,0.3,10.1,72.8,-,-,-
"414Anthony GordonEverton, 21, AM(LR)","Anthony Gordon Everton, 21, AM(LR)",1(2),88,1.0,0.3,-,-,0.7,0.7,-,-,6.29,-,-,-,0.3,0.7,0.3,0.7,1.7,-,0.3,8.3,84.0,-,0.3,-
"415James McCarthyCrystal Palace, 31, M(C)","James McCarthy Crystal Palace, 31, M(C)",10(6),824,1.1,0.5,0.4,0.1,0.7,0.8,0.4,-,6.29,-,-,0.1,0.3,0.3,-,0.1,0.6,-,0.3,20.7,76.4,0.3,1.5,-
"416Kieran GibbsWest Brom, 32, D(L),M(L)","Kieran Gibbs West Brom, 32, D(L),M(L)",9(1),811,1.5,1.6,0.6,0.1,2.7,0.2,0.6,-,6.29,-,-,0.1,0.4,0.2,-,0.1,0.9,-,0.4,26.4,74.2,0.3,1.1,-
"417Matthew LongstaffNewcastle, 22, M(C)","Matthew Longstaff Newcastle, 22, M(C)",4(1),377,0.6,1.4,0.6,0.2,0.4,1.2,-,-,6.29,-,-,-,0.4,1.0,-,0.2,0.2,-,0.4,27.8,82.7,0.4,0.6,-
"418Jean-Philippe MatetaCrystal Palace, 24, FW","Jean-Philippe Mateta Crystal Palace, 24, FW",2(5),217,0.1,-,0.4,-,0.3,0.3,-,-,6.29,1,-,0.6,0.1,0.1,0.7,0.7,1.4,-,0.1,6.7,61.7,-,-,-
"419Fabian DelphEverton, 32, D(L),M(CL)","Fabian Delph Everton, 32, D(L),M(CL)",2(6),261,0.6,0.5,0.4,-,0.9,0.3,-,-,6.29,-,-,0.1,0.3,0.9,-,-,0.5,-,0.3,27.1,89.9,-,1,-
"420Jakub ModerBrighton, 23, M(CL)","Jakub Moder Brighton, 23, M(CL)",7(5),648,1.3,0.3,1,-,0.6,1.1,0.1,-,6.28,-,-,1.1,0.3,0.3,0.2,0.8,1.2,-,0.3,21.9,73.4,0.1,0.4,-
"401Matt PhillipsWest Brom, 31, M(CLR),FW","Matt Phillips West Brom, 31, M(CLR),FW",20(13),1829,0.5,0.3,0.9,-,0.8,0.5,0.1,-,6.34,2,1,0.7,0.8,0.2,0.2,0.8,1.6,1,0.8,14.5,74.3,0.6,0.4,-
"402Ross BarkleyChelsea, 28, M(CLR)","Ross Barkley Chelsea, 28, M(CLR)",0(2),40,-,-,1.0,-,-,-,-,-,6.34,-,-,0.5,0.5,1.0,0.5,0.5,1.0,-,0.5,13.5,85.2,-,2,-
"403Jairo RiedewaldCrystal Palace, 25, D(CL),DMC","Jairo Riedewald Crystal Palace, 25, D(CL),DMC",19(14),1819,1,0.9,0.6,-,0.7,0.6,0.2,-,6.34,2,-,0.2,0.4,0.2,-,0.3,0.8,-,0.4,19.1,85.6,-,0.5,-
"404Jamal LewisNewcastle, 24, D(L),M(L)","Jamal Lewis Newcastle, 24, D(L),M(L)",20(4),1833,1.5,0.5,0.8,0.5,1.5,0.9,0.3,-,6.34,-,1,0.1,0.6,0.7,-,0.5,0.7,1,0.6,27.1,77.1,0.5,1.3,-
"405Nathaniel ClyneCrystal Palace, 31, D(LR),M(R)","Nathaniel Clyne Crystal Palace, 31, D(LR),M(R)",13,1147,1.3,1.4,0.3,0.2,1.6,0.5,0.2,-,6.33,-,1,0.3,0.3,0.2,-,0.2,0.6,1,0.3,34.1,76.3,0.4,1.2,-
"406Jeff HendrickNewcastle, 30, M(CR)","Jeff Hendrick Newcastle, 30, M(CR)",17(5),1423,0.4,0.9,0.7,-,0.6,0.5,0.4,-,6.33,2,1,0.5,0.3,0.5,0.1,0.7,0.6,1,0.3,24.5,80.1,0.1,1.3,-
"407Eddie NketiahArsenal, 22, FW","Eddie Nketiah Arsenal, 22, FW",4(13),415,0.2,-,0.6,-,0.3,0.1,-,-,6.33,2,1,0.7,0.5,0.6,-,0.3,0.8,1,0.5,5.4,82.4,0.1,-,-
"408Michy BatshuayiCrystal Palace, 28, FW","Michy Batshuayi Crystal Palace, 28, FW",7(11),724,0.3,0.2,0.7,-,0.3,0.4,0.1,-,6.32,2,1,0.7,0.5,0.3,0.6,1.2,1.4,1,0.5,9.3,71.3,0.1,0.1,-
"409Hélder CostaLeeds, 28, AM(CLR)","Hélder Costa Leeds, 28, AM(CLR)",13(9),1158,1.1,0.1,0.9,-,0.2,1,-,1,6.32,3,3,0.7,0.4,0.8,0.1,0.9,2.0,3,0.4,13.8,76.6,0.1,0.1,-
"410Billy GilmourChelsea, 20, DMC","Billy Gilmour Chelsea, 20, DMC",3(2),260,0.8,0.6,0.4,-,0.2,1,0.4,-,6.32,-,-,0.2,0.6,0.4,-,-,0.4,-,0.6,45.0,88.0,-,1.2,-
"391Matej VydraBurnley, 30, AM(CL),FW","Matej Vydra Burnley, 30, AM(CL),FW",15(13),1368,0.3,0.2,0.2,-,0.2,0.3,-,-,6.36,3,2,1.3,0.5,0.5,0.4,0.8,1.9,2,0.5,8.4,71.2,-,0.1,-
"392Sean LongstaffNewcastle, 24, DMC","Sean Longstaff Newcastle, 24, DMC",15(7),1406,1.4,0.9,1,-,0.6,1.1,0.2,-,6.36,-,1,0.7,0.5,1,-,0.3,0.8,1,0.5,25.4,81.5,0.3,2.3,-
"393Erik LamelaTottenham, 30, AM(CLR)","Erik Lamela Tottenham, 30, AM(CLR)",5(18),708,0.7,0.3,1,-,-,0.6,-,-,6.36,1,-,0.9,0.4,0.4,-,0.6,0.9,-,0.4,14.7,83.1,0.1,0.3,-
"394Keinan DavisAston Villa, 24, FW","Keinan Davis Aston Villa, 24, FW",1(14),266,0.1,-,0.3,-,0.1,0.1,-,-,6.36,1,1,0.6,0.4,0.3,-,0.3,0.7,1,0.4,4.9,74.0,0.1,0.1,-
"395Ki-Jana HoeverWolves, 20, M(R)","Ki-Jana Hoever Wolves, 20, M(R)",5(7),574,1.2,0.8,0.3,0.1,1.8,1.0,-,-,6.36,-,-,0.1,0.3,0.3,0.1,0.5,1.0,-,0.3,24.3,78.0,0.2,0.9,-
"396Jack O'ConnellSheff Utd, 28, D(C)","Jack O'Connell Sheff Utd, 28, D(C)",2,180,1.5,1,-,0.5,3.5,0.5,1.5,-,6.36,-,-,-,-,-,0.5,-,1.0,-,-,38.5,71.4,-,2,-
"397George BaldockSheff Utd, 29, D(CR),M(R)","George Baldock Sheff Utd, 29, D(CR),M(R)",32,2789,1.5,0.8,1.4,0.1,1.9,0.9,0.2,-,6.35,-,2,0.4,0.6,0.7,0.3,0.6,1.0,2,0.6,28.0,78.3,0.3,0.7,-
"398DeAndre YedlinNewcastle, 28, D(R),M(R)","DeAndre Yedlin Newcastle, 28, D(R),M(R)",5(1),437,1.5,1.2,0.7,-,2.3,1.0,0.2,-,6.35,-,-,0.3,0.5,0.7,0.2,0.2,1.2,-,0.5,22.5,64.4,0.2,1.2,-
"399Owen OtasowieWolves, 21, Midfielder","Owen Otasowie Wolves, 21, Midfielder",2(4),187,0.8,0.5,0.5,-,0.7,0.2,0.2,-,6.35,-,1,0.7,0.3,1,-,0.5,1.2,1,0.3,9.8,72.9,-,-,-
"400Donny van de BeekMan Utd, 25, M(C)","Donny van de Beek Man Utd, 25, M(C)",4(15),515,0.8,0.3,0.3,-,0.3,0.4,0.1,-,6.35,1,1,0.1,0.2,0.3,-,0.4,0.6,1,0.2,14.4,86.1,-,0.3,-
"381James TomkinsCrystal Palace, 33, D(CR)","James Tomkins Crystal Palace, 33, D(CR)",6(2),552,0.5,0.5,0.4,0.4,5.4,0.1,0.4,-,6.39,-,-,0.3,0.1,0.1,-,-,0.4,-,0.1,22.8,76.9,-,1.5,-
"382Ben JohnsonWest Ham, 22, D(LR),M(L)","Ben Johnson West Ham, 22, D(LR),M(L)",5(9),519,0.8,0.8,0.4,-,0.4,0.1,0.1,-,6.39,1,-,0.2,0.3,0.2,-,0.4,0.3,-,0.3,13.1,72.3,0.2,0.6,-
"383Morgan Gibbs-WhiteWolves, 22, AM(CR),FW","Morgan Gibbs-White Wolves, 22, AM(CR),FW",4(7),412,0.8,0.3,0.5,-,0.1,0.6,-,-,6.38,1,-,0.9,0.7,0.9,0.1,0.5,1.6,-,0.7,20.2,86.0,-,0.8,-
"384Ryan FraserNewcastle, 28, M(CLR),FW","Ryan Fraser Newcastle, 28, M(CLR),FW",9(9),927,0.2,0.3,0.3,-,0.3,0.2,-,-,6.38,-,2,0.7,1.4,1.1,-,0.3,0.7,2,1.4,14.6,79.4,1.4,0.2,-
"385Javier ManquilloNewcastle, 28, D(LR),M(R)","Javier Manquillo Newcastle, 28, D(LR),M(R)",10(3),826,1.8,0.7,0.5,0.1,1.1,0.5,0.1,-,6.37,-,-,0.1,0.4,0.6,-,0.5,1.2,-,0.4,22.3,75.9,0.5,0.8,-
"386Carlos ViníciusTottenham, 27, FW","Carlos Vinícius Tottenham, 27, FW",3(6),306,0.3,0.2,1.2,-,0.6,-,-,-,6.37,1,-,0.8,0.2,0.3,0.2,0.8,1.9,-,0.2,5.1,52.2,-,0.1,-
"387Filip KrovinovicWest Brom, 26, M(CL)","Filip Krovinovic West Brom, 26, M(CL)",5(6),545,1.2,0.4,0.5,-,0.2,1.1,-,-,6.37,-,-,0.7,0.5,1.1,-,0.5,1.1,-,0.5,32.7,83.3,0.5,1.4,-
"388Harry WinksTottenham, 26, DMC","Harry Winks Tottenham, 26, DMC",9(6),861,1.1,0.7,0.7,-,0.7,1,0.3,-,6.37,-,-,0.3,0.3,0.8,-,0.2,0.4,-,0.3,45.4,84.9,0.1,1.7,-
"389Moussa DjenepoSouthampton, 23, AM(LR)","Moussa Djenepo Southampton, 23, AM(LR)",15(12),1240,1.9,0.4,1.1,-,0.4,1.3,0.1,-,6.37,1,-,0.5,0.2,1.4,0.1,0.6,1.8,-,0.2,14.1,72.8,-,0.3,-
"390Nampalys MendyLeicester, 29, M(C)","Nampalys Mendy Leicester, 29, M(C)",15(8),1458,1.1,0.6,0.9,-,0.3,0.6,-,-,6.36,-,1,0.2,0.2,1.3,-,0.5,0.8,1,0.2,42.3,91.0,-,1.1,-
"371Semi AjayiWest Brom, 28, D(C),DMC","Semi Ajayi West Brom, 28, D(C),DMC",31(2),2780,1.2,1.3,0.8,0.4,3.6,0.5,1,-,6.4,2,-,0.4,0.2,0.1,-,0.2,0.7,-,0.2,28.4,73.2,-,1.8,-
"372Sam FieldWest Brom, 24, DMC","Sam Field West Brom, 24, DMC",0(3),62,1.7,0.7,0.7,-,1,-,0.3,-,6.4,-,-,-,-,0.3,-,0.3,0.7,-,-,8.0,62.5,-,0.3,-
"373Tim ReamFulham, 34, D(CL),DMC","Tim Ream Fulham, 34, D(CL),DMC",7,630,1.7,0.9,0.4,0.1,3.3,0.4,0.7,-,6.4,-,-,-,-,-,-,0.1,0.3,-,-,66.9,90.6,-,3.7,-
"374Percy TauBrighton, 28, AM(CR),FW","Percy Tau Brighton, 28, AM(CR),FW",1(2),102,0.3,-,-,-,-,0.7,-,-,6.39,-,1,-,1,0.3,-,0.3,1.7,1,1,10.3,77.4,-,-,0.3
"375Xherdan ShaqiriLiverpool, 30, M(CLR)","Xherdan Shaqiri Liverpool, 30, M(CLR)",5(9),553,0.5,0.1,0.8,-,-,0.4,-,-,6.39,-,2,0.8,1.4,0.4,-,0.5,0.9,2,1.4,28.5,87.2,0.5,0.9,0.1
"376Joe BryanFulham, 28, D(L),M(CL)","Joe Bryan Fulham, 28, D(L),M(CL)",7(9),666,0.9,0.9,0.6,0.1,0.7,0.3,0.1,-,6.39,1,-,0.5,0.3,0.4,-,0.2,0.8,-,0.3,19.6,75.2,0.4,0.8,0.1
"377Phil BardsleyBurnley, 36, D(LR)","Phil Bardsley Burnley, 36, D(LR)",3(1),273,1.5,1.5,2,0.3,3,0.8,0.3,-,6.39,-,-,0.8,-,1,-,0.3,0.3,-,-,27.3,64.2,0.5,1.3,-
"378Josh MajaFulham, 23, FW","Josh Maja Fulham, 23, FW",9(6),810,0.5,0.3,0.5,-,0.1,0.4,0.1,-,6.39,3,-,1.4,0.5,0.5,0.1,0.9,1.7,-,0.5,12.0,85.0,-,0.2,-
"379Fabian SchärNewcastle, 30, D(C)","Fabian Schär Newcastle, 30, D(C)",13(5),1247,0.7,1.5,1.2,0.3,2.8,0.7,0.7,-,6.39,1,-,0.7,-,0.8,0.1,0.3,0.2,-,-,32.3,77.1,-,3.5,-
"380Enda StevensSheff Utd, 31, D(CL),M(L)","Enda Stevens Sheff Utd, 31, D(CL),M(L)",30,2700,2.0,0.7,1.1,0.3,2.5,0.8,0.4,-,6.39,-,1,0.5,0.6,0.3,0.1,1.0,1.5,1,0.6,39.5,78.1,0.4,1.9,-
"361Dennis PraetLeicester, 28, AM(CR)","Dennis Praet Leicester, 28, AM(CR)",10(5),724,0.9,0.5,0.8,-,0.2,0.6,0.1,-,6.41,1,1,0.5,0.5,0.1,-,0.6,0.7,1,0.5,19.6,82.7,0.3,0.4,-
"362Steven AlzateBrighton, 23, DMC,M(L)","Steven Alzate Brighton, 23, DMC,M(L)",10(5),898,1.1,0.5,1.3,-,0.6,0.6,0.1,-,6.41,1,-,0.5,0.7,0.4,0.1,0.6,0.9,-,0.7,29.1,89.9,0.1,1.5,-
"363BernardEverton, 29, AM(CL)","Bernard Everton, 29, AM(CL)",3(9),450,0.7,0.7,0.5,-,0.4,0.7,-,-,6.41,1,-,0.5,0.8,0.6,-,0.9,1.3,-,0.8,21.0,84.9,0.3,0.7,-
"364Grady DianganaWest Brom, 24, AM(CLR),FW","Grady Diangana West Brom, 24, AM(CLR),FW",15(5),1239,1.8,0.8,0.6,-,0.4,1.2,0.1,-,6.41,1,-,0.7,0.3,1.8,0.2,1.9,2.6,-,0.3,16.8,76.2,0.1,0.3,-
"365Callum RobinsonWest Brom, 27, AM(CLR),FW","Callum Robinson West Brom, 27, AM(CLR),FW",20(8),1567,0.3,0.3,0.1,-,0.3,0.6,-,-,6.41,5,-,1.1,0.6,0.7,0.3,0.9,1.4,-,0.6,13.9,74.9,0.2,0.4,-
"366Manuel LanziniWest Ham, 29, M(CLR)","Manuel Lanzini West Ham, 29, M(CLR)",5(12),560,0.5,0.4,0.4,-,0.3,0.4,-,-,6.41,1,1,0.7,0.6,0.6,0.2,0.5,0.8,1,0.6,21.8,90.5,0.1,0.5,-
"367Eric BaillyMan Utd, 28, D(CR)","Eric Bailly Man Utd, 28, D(CR)",10(2),915,0.4,1.1,0.8,0.3,3.0,0.1,0.9,-,6.41,-,-,0.2,-,0.3,-,-,0.6,-,-,46.8,88.3,-,1.7,-
"368Daniel AmarteyLeicester, 27, D(CR),DMC","Daniel Amartey Leicester, 27, D(CR),DMC",9(4),722,0.8,0.9,0.2,0.3,1.8,0.3,0.3,-,6.4,1,-,0.2,-,0.1,-,0.2,0.4,-,-,34.9,86.3,-,1.2,-
"369Takumi MinaminoLiverpool, 27, AM(CLR),FW","Takumi Minamino Liverpool, 27, AM(CLR),FW",2(7),289,0.4,0.2,0.4,-,0.3,1.3,-,-,6.4,1,-,0.8,-,0.2,0.1,0.6,0.8,-,-,15.3,79.7,-,0.1,-
"370Ben OsbornSheff Utd, 27, D(L),M(CLR)","Ben Osborn Sheff Utd, 27, D(L),M(CLR)",17(7),1606,1.4,0.5,0.4,-,0.5,1.1,0.1,-,6.4,1,-,0.4,0.7,0.6,0.2,1,1.8,-,0.7,31.0,81.0,0.7,0.8,-
"351Erik PietersBurnley, 33, D(L),M(L)","Erik Pieters Burnley, 33, D(L),M(L)",13(7),1262,1.5,0.6,1.3,0.3,1.4,1,0.5,1,6.44,-,1,0.2,0.3,1.1,0.1,0.5,0.6,1,0.3,23.6,74.4,-,1.4,-
"352Ryan FredericksWest Ham, 29, D(R),M(R)","Ryan Fredericks West Ham, 29, D(R),M(R)",6(8),567,0.6,0.8,0.8,0.1,1.4,0.3,0.1,-,6.44,1,1,0.3,0.9,0.7,0.1,0.2,0.2,1,0.9,16.1,77.0,0.4,0.1,-
"353Daniel JebbisonSheff Utd, 18, FW","Daniel Jebbison Sheff Utd, 18, FW",3(1),284,1.5,0.3,1.5,-,-,1,0.3,-,6.43,1,-,1,0.3,1,0.3,1.3,2,-,0.3,8.8,68.6,-,0.3,-
"354John RuddyWolves, 35, GK","John Ruddy Wolves, 35, GK",1(1),91,-,-,-,-,-,-,-,-,6.43,-,-,-,-,-,-,-,-,-,-,7.0,64.3,-,1.5,-
"355Tyler RobertsLeeds, 23, AM(C),FW","Tyler Roberts Leeds, 23, AM(C),FW",14(13),1341,0.6,0.3,0.9,-,0.4,0.6,0.1,-,6.43,1,2,1,0.6,1.2,0.3,0.6,1.2,2,0.6,17.1,71.6,0.1,0.5,0.1
"356Sander BergeSheff Utd, 24, M(C)","Sander Berge Sheff Utd, 24, M(C)",13(2),1120,1.1,0.3,0.9,0.1,1.2,0.5,0.1,-,6.43,1,1,0.7,0.9,0.3,0.1,0.9,1.6,1,0.9,29.1,85.6,0.1,1,-
"357Mohamed ElnenyArsenal, 29, DMC","Mohamed Elneny Arsenal, 29, DMC",17(6),1542,0.6,1,0.4,-,0.9,0.9,0.2,-,6.43,1,-,0.4,0.2,0.4,-,0.2,0.3,-,0.2,44.0,93.0,-,1.6,-
"358Takumi MinaminoSouthampton, 27, AM(CLR),FW","Takumi Minamino Southampton, 27, AM(CLR),FW",9(1),717,0.7,0.4,0.7,-,0.9,1.7,0.1,-,6.42,2,-,1.3,0.5,1.1,0.1,0.6,1.6,-,0.5,24.9,73.5,-,0.7,-
"359Theo CorbeanuWolves, 20, AM(LR)","Theo Corbeanu Wolves, 20, AM(LR)",0(1),8,2,1,-,-,-,-,-,-,6.42,-,-,-,1,-,-,-,2,-,1,2.0,100.0,1,-,-
"360Ryan BertrandSouthampton, 32, D(CL),M(L)","Ryan Bertrand Southampton, 32, D(CL),M(L)",29,2599,2.1,1,1,0.2,1.3,0.6,-,-,6.41,-,1,0.3,0.5,1.2,0.1,0.3,0.9,1,0.5,41.3,79.6,0.5,0.8,-
"341André GomesEverton, 28, M(CLR)","André Gomes Everton, 28, M(CLR)",17(11),1568,1.3,0.4,1.3,-,0.4,1.5,-,-,6.46,-,1,0.5,0.5,0.5,0.1,1.1,1.1,1,0.5,31.3,85.3,0.1,2.0,-
"342Vicente GuaitaCrystal Palace, 35, GK","Vicente Guaita Crystal Palace, 35, GK",37,3330,-,-,-,-,0.9,-,-,-,6.46,-,-,-,-,0.2,-,-,-,-,-,24.9,49.6,-,6.8,-
"343Rúben VinagreWolves, 23, D(L),M(L)","Rúben Vinagre Wolves, 23, D(L),M(L)",1(1),172,3.5,1,1,-,2.0,0.5,-,-,6.46,-,-,-,0.5,-,-,3,0.5,-,0.5,40.0,86.3,1,1.0,-
"344Adam LallanaBrighton, 34, M(CLR)","Adam Lallana Brighton, 34, M(CLR)",16(14),1592,0.9,0.5,0.6,-,0.4,1,0.1,-,6.45,1,1,0.7,0.8,0.7,0.1,0.5,0.8,1,0.8,30.8,85.0,0.1,0.6,-
"345Virgil van DijkLiverpool, 30, D(C)","Virgil van Dijk Liverpool, 30, D(C)",5,371,0.6,1,0.8,1.2,1.6,-,0.2,-,6.45,1,-,0.8,-,0.4,0.2,-,0.2,-,-,68.2,90.0,-,5.6,-
"346Moussa SissokoTottenham, 32, M(CR)","Moussa Sissoko Tottenham, 32, M(CR)",15(10),1577,0.9,0.9,0.9,-,0.9,0.5,0.2,-,6.44,-,-,0.1,0.2,0.4,-,0.6,0.7,-,0.2,30.4,84.4,-,1.2,-
"347Willian JoséWolves, 30, FW","Willian José Wolves, 30, FW",12(5),1114,0.1,0.1,0.5,-,0.7,0.2,0.1,-,6.44,1,-,1.1,0.7,0.6,0.1,0.8,1.7,-,0.7,17.5,81.2,0.1,1.0,-
"348Ainsley Maitland-NilesArsenal, 24, D(LR),M(CLR)","Ainsley Maitland-Niles Arsenal, 24, D(LR),M(CLR)",5(6),486,1,1.3,0.5,0.1,0.5,0.4,0.2,-,6.44,-,-,0.2,0.2,0.3,0.2,0.6,0.9,-,0.2,22.8,78.1,0.2,0.9,-
"349MarçalWolves, 33, D(CL),M(L)","Marçal Wolves, 33, D(CL),M(L)",7(6),622,1,0.9,0.9,0.1,1.5,0.4,0.2,-,6.44,-,-,0.2,0.3,0.2,-,0.2,0.5,-,0.3,23.2,82.7,0.1,1.5,-
"350Alexis Mac AllisterBrighton, 23, M(CL),FW","Alexis Mac Allister Brighton, 23, M(CL),FW",13(8),1117,1.2,0.4,0.9,-,0.1,1.3,0.2,-,6.44,1,1,1.1,0.7,0.7,-,0.8,1.3,1,0.7,18.9,80.8,-,0.8,-
"331Joe GomezLiverpool, 24, D(CLR)","Joe Gomez Liverpool, 24, D(CLR)",6(1),590,0.4,0.6,0.9,0.3,4,0.6,0.3,-,6.48,-,-,-,0.1,0.9,-,0.4,0.3,-,0.1,79.4,89.7,-,5.6,-
"332James MilnerLiverpool, 36, D(LR),M(CLR)","James Milner Liverpool, 36, D(LR),M(CLR)",11(15),1062,1,0.5,0.7,-,0.5,0.8,0.1,-,6.48,-,1,0.5,0.5,0.4,-,0.5,0.5,1,0.5,33.0,85.6,0.4,1.1,-
"333Emil KrafthNewcastle, 27, D(CR)","Emil Krafth Newcastle, 27, D(CR)",14(2),1290,1.2,0.9,0.8,0.4,2.9,0.8,0.6,-,6.47,1,-,0.4,0.4,0.6,0.1,0.3,0.6,-,0.4,28.4,74.9,0.2,1.2,-
"334David de GeaMan Utd, 31, GK","David de Gea Man Utd, 31, GK",26,2296,-,-,-,-,0.5,-,-,-,6.47,-,-,-,-,0.1,-,-,-,-,-,19.3,75.4,-,3.2,-
"335Cengiz ÜnderLeicester, 24, AM(CLR)","Cengiz Ünder Leicester, 24, AM(CLR)",1(8),275,0.4,0.2,0.1,-,-,0.2,-,-,6.47,-,2,1,0.7,0.3,0.2,1,0.9,2,0.7,12.3,77.5,0.3,0.2,-
"336Patrick van AanholtCrystal Palace, 31, D(L),M(L)","Patrick van Aanholt Crystal Palace, 31, D(L),M(L)",20(2),1776,1.6,1.4,0.5,-,1.5,1.1,0.3,-,6.47,-,1,0.8,0.5,0.1,0.1,0.3,1.1,1,0.5,43.3,80.1,0.4,1.4,-
"337Max LoweSheff Utd, 25, D(LR),M(L)","Max Lowe Sheff Utd, 25, D(LR),M(L)",7(1),552,3.3,0.6,1.3,0.1,0.8,1.5,0.5,-,6.47,-,-,0.3,0.3,0.4,-,0.5,1,-,0.3,21.5,72.7,0.1,0.6,-
"338Ashley BarnesBurnley, 32, AM(CL),FW","Ashley Barnes Burnley, 32, AM(CL),FW",15(7),1337,0.5,0.2,2.1,-,0.5,0.5,0.1,-,6.47,3,-,1.7,0.9,2.2,0.8,1,2,-,0.9,13.8,61.8,-,0.3,-
"339JonnyWolves, 28, D(CLR),M(LR)","Jonny Wolves, 28, D(CLR),M(LR)",7,501,1.6,1.3,1,0.3,1,1,0.3,-,6.46,-,-,0.1,0.3,1.6,-,1,1.1,-,0.3,26.1,76.5,-,0.3,-
"340Tom DaviesEverton, 23, M(C)","Tom Davies Everton, 23, M(C)",17(8),1426,1.2,1.4,1,-,0.8,0.9,0.4,-,6.46,-,1,0.3,0.2,1.0,-,0.4,0.8,1,0.2,27.9,81.2,0.1,1.4,-
"321Aleksandar MitrovicFulham, 27, FW","Aleksandar Mitrovic Fulham, 27, FW",13(14),1390,0.3,0.1,0.8,-,0.3,0.2,0.1,-,6.5,3,3,2.2,0.9,0.9,0.1,0.6,2.2,3,0.9,14.0,73.5,0.1,0.3,0.1
"322Rui PatrícioWolves, 34, GK","Rui Patrício Wolves, 34, GK",37,3330,-,-,-,-,0.2,-,-,-,6.5,-,-,-,-,-,-,-,-,-,-,17.9,62.5,-,4.7,-
"323Alex McCarthySouthampton, 32, GK","Alex McCarthy Southampton, 32, GK",30,2700,-,-,-,-,0.7,0.1,-,-,6.49,-,-,-,-,0.1,-,-,-,-,-,31.3,61.0,-,4.8,-
"324Steven BergwijnTottenham, 24, AM(CLR),FW","Steven Bergwijn Tottenham, 24, AM(CLR),FW",13(8),1214,0.7,0.2,1,-,0.3,0.6,-,-,6.49,1,3,0.7,0.6,0.8,-,0.7,1.4,3,0.6,19.8,83.7,-,0.1,-
"325Neco WilliamsLiverpool, 21, D(R)","Neco Williams Liverpool, 21, D(R)",3(3),249,1,1,0.5,0.2,0.7,0.7,0.2,-,6.49,-,-,0.3,0.5,1,-,0.5,0.2,-,0.5,26.2,79.6,0.2,0.5,-
"326Dele AlliTottenham, 26, M(CL),FW","Dele Alli Tottenham, 26, M(CL),FW",7(8),619,1.2,0.5,0.7,-,0.2,0.8,-,-,6.49,-,1,0.8,0.6,0.8,0.1,1.1,0.9,1,0.6,22.0,81.8,0.1,0.3,0.1
"327Jóhann GudmundssonBurnley, 31, AM(CLR)","Jóhann Gudmundsson Burnley, 31, AM(CLR)",16(6),1369,0.9,0.8,0.5,-,0.8,0.5,0.1,-,6.49,2,-,0.9,0.4,0.7,-,0.5,0.8,-,0.4,19.9,79.6,0.2,1.0,-
"328Oliver NorwoodSheff Utd, 31, M(C)","Oliver Norwood Sheff Utd, 31, M(C)",26(6),2226,1.5,1.1,0.8,-,1.5,1.6,0.4,-,6.48,-,-,0.3,1,0.3,-,0.2,0.5,-,1,43.9,83.4,1,3.5,-
"329Cédric SoaresArsenal, 30, D(LR),M(R)","Cédric Soares Arsenal, 30, D(LR),M(R)",8(2),745,1.2,0.8,0.6,0.1,1.4,1.5,0.1,-,6.48,-,1,0.7,0.6,0.5,-,0.9,1,1,0.6,36.4,76.4,0.8,0.9,-
"330Ainsley Maitland-NilesWest Brom, 24, D(LR),M(CLR)","Ainsley Maitland-Niles West Brom, 24, D(LR),M(CLR)",14(1),1233,1.5,1.1,0.7,0.1,1.4,1.3,0.1,-,6.48,-,-,0.7,0.3,0.9,-,1.6,2.1,-,0.3,26.5,77.6,0.1,1.1,-
"311Olivier GiroudChelsea, 35, FW","Olivier Giroud Chelsea, 35, FW",8(9),747,0.2,0.3,0.9,-,0.6,0.4,0.1,-,6.52,4,-,1.7,0.4,0.4,0.4,0.4,1.0,-,0.4,12.9,70.3,0.1,0.1,-
"312Jordan AyewCrystal Palace, 30, AM(CLR),FW","Jordan Ayew Crystal Palace, 30, AM(CLR),FW",23(10),2098,1.1,0.5,1.4,-,0.3,0.8,0.1,-,6.52,1,3,0.8,0.4,1.9,0.2,1.8,2.5,3,0.4,19.2,81.0,0.1,0.3,-
"313Mateusz KlichLeeds, 31, M(C)","Mateusz Klich Leeds, 31, M(C)",28(7),2399,1.1,0.3,1.3,-,0.4,1.3,0.1,-,6.51,4,5,1.0,1.3,0.6,0.2,0.6,1.1,5,1.3,41.9,82.3,0.3,1.5,-
"314John FleckSheff Utd, 30, DMC","John Fleck Sheff Utd, 30, DMC",29(2),2577,1.6,0.9,1.1,-,0.3,1.8,0.1,-,6.51,-,2,0.5,1.1,0.9,-,0.8,1.0,2,1.1,36.7,82.9,0.7,1.3,-
