,posX,posY,Age,Mins,Tackles,Inter,KeyP,Goals,Assists,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,Rating,CurrentPts,Pts,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating
1245,2.0,1.0,19,1562,2.0,2.1,0.6,2,1,1.1,0.8,37.4,83.7,0.5,0.9,0.0,7.18,20.0,94.0,360.0,3.5,2.8,0,0,0.5,39.5,77.8,7.11
1246,0.0,0.0,29,2970,1.2,1.7,0.2,1,0,0.2,0.2,52.3,90.0,0.0,2.0,0.0,7.21,10.0,31.0,450.0,0.6,2.6,0,0,0.0,47.0,92.3,6.41
1247,1.0,2.0,22,2038,1.9,0.5,1.3,6,8,1.5,1.1,46.1,82.6,0.2,1.6,0.1,7.2,21.0,126.0,340.0,1.7,0.4,0,0,0.9,29.9,86.1,6.78
1248,0.5,0.5,29,2273,2.8,1.8,0.9,3,3,1.2,0.4,52.5,88.5,0.1,1.5,0.2,7.19,15.0,71.0,425.0,3.9,2.0,0,0,0.3,33.0,87.4,6.96
1249,1.5,1.0,28,808,2.6,1.7,0.2,1,0,0.4,1.2,36.9,79.7,0.0,1.7,0.1,7.24,20.0,94.0,77.0,3.0,6.0,0,0,0.0,40.0,90.0,8.11
1250,1.5,1.0,24,2484,3.0,2.0,0.6,0,3,0.2,0.5,44.9,83.6,0.2,1.6,0.0,7.24,21.0,126.0,390.0,3.3,2.5,0,0,0.3,54.8,88.6,7.46
1251,0.0,4.0,27,1867,1.0,0.2,1.1,14,3,1.9,1.9,28.3,67.7,0.1,0.3,0.3,7.23,20.0,94.0,150.0,0.5,0.5,1,0,0.5,21.5,55.8,6.74
1252,1.3333333333333333,1.0,29,2586,3.7,2.0,0.9,1,4,0.6,0.7,49.9,85.3,0.3,1.4,0.0,7.23,15.0,71.0,472.0,2.5,1.8,1,0,0.5,45.0,80.7,6.92
1253,1.0,3.0,19,3053,1.1,0.5,2.1,7,7,2.2,2.3,32.4,81.1,0.5,0.7,0.0,7.27,10.0,31.0,463.0,0.8,0.8,0,1,0.8,30.2,78.5,6.92
1254,1.0,0.0,30,3420,2.3,1.0,0.9,4,5,0.6,0.6,39.5,81.2,0.4,1.5,0.0,7.25,21.0,126.0,660.0,1.9,1.0,1,0,0.9,47.9,86.0,7.18
1255,1.0,2.0,21,2801,1.7,0.5,1.7,5,5,1.7,2.1,45.7,80.2,0.6,1.8,0.4,7.34,10.0,31.0,237.0,1.0,0.0,0,0,2.0,32.0,83.8,6.6
