,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"561Pedro ChirivellaLiverpool, 25, DMC","Pedro Chirivella Liverpool, 25, DMC",1,46,-,-,-,-,1,-,-,-,5.31,-,-,-,-,-,-,2,1,33,72.7,-,2,-
0,"551Joseph DodooLeicester, 26, AM(R),FW","Joseph Dodoo Leicester, 26, AM(R),FW",0(1),19,-,-,2,-,-,-,-,-,5.99,-,-,-,-,1,-,1,1,6.0,50.0,-,-,-
1,"552Sam FieldWest Brom, 24, DMC","Sam Field West Brom, 24, DMC",0(1),4,-,-,-,-,-,-,-,-,5.99,-,-,-,-,1,-,1,-,3.0,33.3,-,-,-
2,"553José CrespoAston Villa, 35, D(CL),M(R)","José Crespo Aston Villa, 35, D(CL),M(R)",1,90,-,1,1,1,-,1,-,-,5.98,-,-,-,-,1,-,-,-,27.0,88.9,-,5,-
3,"554Adam FedericiBournemouth, 37, GK","Adam Federici Bournemouth, 37, GK",6,496,-,-,-,-,0.8,0.3,-,-,5.98,-,-,-,-,-,-,-,-,18.0,71.3,-,6,-
4,"555Kyle LaffertyNorwich, 34, AM(LR),FW","Kyle Lafferty Norwich, 34, AM(LR),FW",0(1),13,-,-,-,-,1,-,-,-,5.97,-,-,-,-,-,-,1,1,4.0,100.0,-,-,-
5,"556Gary HooperNorwich, 34, FW","Gary Hooper Norwich, 34, FW",0(2),11,-,-,-,-,-,-,-,-,5.96,-,-,0.5,-,0.5,-,-,-,2.5,80.0,-,0.5,-
6,"557Tammy AbrahamChelsea, 24, FW","Tammy Abraham Chelsea, 24, FW",0(2),53,-,-,1,-,-,0.5,-,-,5.96,-,-,1,-,-,1.5,1.5,0.5,5.0,70.0,-,-,-
7,"558Ivan ToneyNewcastle, 26, FW","Ivan Toney Newcastle, 26, FW",0(2),10,-,-,-,-,-,0.5,-,-,5.94,-,-,-,-,-,-,0.5,0.5,1.5,66.7,-,-,-
8,"559Hiram BoatengCrystal Palace, 26, AM(C)","Hiram Boateng Crystal Palace, 26, AM(C)",0(1),18,-,-,2,-,-,-,-,-,5.9,-,-,1,-,-,-,1,1,4.0,75.0,-,-,-
9,"560Ádám BogdánLiverpool, 34, GK","Ádám Bogdán Liverpool, 34, GK",2,180,-,-,-,-,1,-,-,-,5.6,-,-,-,-,-,-,-,-,19.5,46.2,-,5.5,-
0,"541Nick PowellMan Utd, 28, AM(CLR),FW","Nick Powell Man Utd, 28, AM(CLR),FW",0(1),16,-,-,-,-,-,-,-,-,6.03,-,-,-,-,-,-,-,-,2,50,-,-,-
1,"542Seydou DoumbiaNewcastle, 34, FW","Seydou Doumbia Newcastle, 34, FW",0(3),29,-,-,-,-,-,-,-,-,6.03,-,-,0.3,-,0.3,-,0.3,1,2.7,75,-,-,-
2,"543Obbi OularéWatford, 26, FW","Obbi Oularé Watford, 26, FW",0(2),5,-,-,0.5,-,-,-,-,-,6.03,-,-,-,-,-,-,-,-,1.5,66.7,-,-,-
3,"544Shaun MacDonaldBournemouth, 33, DMC","Shaun MacDonald Bournemouth, 33, DMC",0(3),29,-,0.3,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,0.3,6,88.9,-,0.3,-
4,"545Jonathan WilliamsCrystal Palace, 28, M(CLR)","Jonathan Williams Crystal Palace, 28, M(CLR)",0(1),10,-,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,-,5,100,-,-,-
5,"546Patrick RobertsMan City, 25, AM(CR),FW","Patrick Roberts Man City, 25, AM(CR),FW",0(1),4,-,-,-,-,-,-,-,-,6.01,-,-,-,-,1,-,-,1,3,100,-,-,-
6,"547James WeirMan Utd, 26, M(C)","James Weir Man Utd, 26, M(C)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"548Josh CullenWest Ham, 26, DMC","Josh Cullen West Ham, 26, DMC",0(1),1,-,-,-,-,1,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"549Rushian Marcus Amari Hepburn-MurphyAston Villa, 23, FW","Rushian Marcus Amari Hepburn-Murphy Aston Villa, 23, FW",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,1,-,-,2,-,-,-,-,-
9,"550Will KeaneMan Utd, 29, AM(C),FW","Will Keane Man Utd, 29, AM(C),FW",0(1),4,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
