,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"491Stefan WannenwetschIngolstadt, 30, Midfielder","Stefan Wannenwetsch Ingolstadt, 30, Midfielder",0(1),37,-,1,1,-,-,1,-,-,5.5,-,-,-,-,-,-,-,-,10,60,-,-,-
1,"492Thomas KesslerFC Koln, 36, GK","Thomas Kessler FC Koln, 36, GK",1,90,-,-,-,-,-,-,-,-,5.19,-,-,-,-,-,-,-,-,22,50,-,11,-
0,"481Marcel HilßnerWerder Bremen, 27, M(C)","Marcel Hilßner Werder Bremen, 27, M(C)",0(1),34,-,1,-,-,-,-,-,-,5.96,-,-,-,-,1,-,1,1,7,71.4,-,1,-
1,"482Oliver HüsingWerder Bremen, 29, D(C)","Oliver Hüsing Werder Bremen, 29, D(C)",0(1),6,-,-,-,-,1,-,-,-,5.95,-,-,-,-,-,-,-,-,2,50,-,1,-
2,"483Marius WolfHannover, 27, D(R),M(CLR)","Marius Wolf Hannover, 27, D(R),M(CLR)",2,141,0.5,1.5,0.5,-,3,2.5,0.5,-,5.95,-,-,0.5,-,0.5,0.5,2,0.5,9,44.4,-,-,-
3,"484FelipeHannover, 35, D(C)","Felipe Hannover, 35, D(C)",1(7),125,0.3,0.3,0.5,0.1,0.8,0.1,0.3,1,5.93,-,-,-,-,0.5,-,-,-,4.8,65.8,-,0.6,-
4,"485Marvin WanitzekStuttgart, 29, M(C)","Marvin Wanitzek Stuttgart, 29, M(C)",0(1),4,-,1,-,-,-,-,-,-,5.93,-,-,-,-,-,-,-,-,4,75,-,-,-
5,"486Philipp KlementMainz, 29, M(C)","Philipp Klement Mainz, 29, M(C)",0(2),28,0.5,-,-,-,-,0.5,-,-,5.92,-,-,0.5,-,-,-,0.5,-,10,85,-,-,0.5
6,"487Nico RinderknechtEintracht Frankfurt, 24, Midfielder","Nico Rinderknecht Eintracht Frankfurt, 24, Midfielder",0(1),5,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,2,100,-,-,-
7,"488Alexander ManningerAugsburg, 45, GK","Alexander Manninger Augsburg, 45, GK",1(1),93,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,16,62.5,-,4,-
