,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"581Valentin EyssericNice, 30, AM(CLR),FW","Valentin Eysseric Nice, 30, AM(CLR),FW",0(1),18,1,-,-,-,-,1,-,-,5.98,-,-,-,-,-,-,1,-,13.0,92.3,1,2,-
1,"582Mohamed Ilyes ChaibiMonaco, 25, Forward","Mohamed Ilyes Chaibi Monaco, 25, Forward",0(1),10,-,-,-,-,-,-,-,-,5.97,-,-,-,-,-,-,-,1,3.0,100,-,-,-
2,"583Hassane KamaraReims, 28, D(L),M(L)","Hassane Kamara Reims, 28, D(L),M(L)",0(2),30,0.5,-,0.5,-,-,-,-,-,5.95,-,-,0.5,-,0.5,-,1,-,2.5,100,-,-,-
3,"584Lyes Hafid HouriSC Bastia, 26, Midfielder","Lyes Hafid Houri SC Bastia, 26, Midfielder",0(1),16,-,-,-,-,-,-,-,-,5.94,-,-,1,-,1,-,-,2,10.0,70,-,-,-
4,"585Antony RanieriNice, 24, Forward","Antony Ranieri Nice, 24, Forward",0(2),4,-,-,0.5,-,-,-,-,-,5.94,-,-,-,-,-,-,0.5,-,0.5,100,-,-,-
5,"586Anthony RibelinMontpellier, 26, Midfielder","Anthony Ribelin Montpellier, 26, Midfielder",1,59,1,-,1,-,-,-,-,-,5.88,-,-,-,1,-,-,1,2,22.0,68.2,-,-,-
6,"587Albert RafetraniainaNice, 25, DMC","Albert Rafetraniaina Nice, 25, DMC",0(1),3,-,-,1,-,-,-,-,-,5.77,-,-,-,-,-,-,-,-,1.0,-,-,-,-
7,"588Ilias HassaniBordeaux, 26, Defender","Ilias Hassani Bordeaux, 26, Defender",0(1),16,1,1,-,-,1,-,-,-,5.36,-,-,-,-,-,-,-,2,7.0,71.4,-,-,-
0,"571Mauro ArambarriBordeaux, 26, DMC","Mauro Arambarri Bordeaux, 26, DMC",2(3),152,0.4,0.8,1.4,-,-,0.4,-,-,6.01,-,-,0.4,0.2,-,-,0.6,1,15.4,84.4,-,1.4,0.2
1,"572Paulin PuelNice, 25, Midfielder","Paulin Puel Nice, 25, Midfielder",2(9),186,0.4,0.1,0.1,-,-,0.4,-,-,6.01,-,-,0.2,0.1,0.1,-,0.5,0.6,5.6,69.4,-,0.4,-
2,"573Jean AmbroseBordeaux, 28, Defender","Jean Ambrose Bordeaux, 28, Defender",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,100,-,-,-
3,"574Jérémie Porsan-ClementeMarseille, 24, Forward","Jérémie Porsan-Clemente Marseille, 24, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
4,"575Mathias SerinAngers, 30, Midfielder","Mathias Serin Angers, 30, Midfielder",0(1),1,-,-,-,-,-,1,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"576Sébastien WüthrichMontpellier, 32, Midfielder","Sébastien Wüthrich Montpellier, 32, Midfielder",0(1),1,-,-,1,-,-,-,-,-,6.0,-,-,1,-,-,-,-,-,3,100,-,-,-
6,"577Yakou MeitePSG, 26, AM(LR),FW","Yakou Meite PSG, 26, AM(LR),FW",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"578Youssef Ben AliToulouse, 27, Forward","Youssef Ben Ali Toulouse, 27, Forward",0(1),13,-,-,-,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,9,100,-,-,-
8,"579Denis PetricAngers, 34, GK","Denis Petric Angers, 34, GK",2,180,-,-,-,-,0.5,-,-,-,5.98,-,-,-,-,0.5,-,-,-,27.5,41.8,-,9.5,-
9,"580Timothee TauffliebPSG, 29, Midfielder","Timothee Taufflieb PSG, 29, Midfielder",0(1),3,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,1,8,100,-,-,-
0,"561Isaac Kiese ThelinBordeaux, 29, FW","Isaac Kiese Thelin Bordeaux, 29, FW",3(4),302,0.6,0.3,0.9,-,-,0.7,-,-,6.05,-,-,0.9,0.3,0.4,1,0.9,1.6,10.9,73.7,-,-,-
1,"562Henri BienvenuTroyes, 33, Forward","Henri Bienvenu Troyes, 33, Forward",1(6),175,-,-,0.3,-,0.3,0.3,-,-,6.05,-,-,0.7,0.1,-,0.1,-,1.1,5,74.3,-,-,-
2,"563BoschiliaMonaco, 26, AM(CLR)","Boschilia Monaco, 26, AM(CLR)",1(4),144,-,0.4,0.2,-,-,0.8,-,-,6.05,-,-,0.4,0.4,0.6,-,1,0.8,12.6,82.5,-,0.6,-
