,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"671Patrick HerrmannBorussia M.Gladbach, 31, M(LR),FW","Patrick Herrmann Borussia M.Gladbach, 31, M(LR),FW",1,72,1,-,1,-,1,1,-,-,5.68,-,-,2,-,1,1,3,2,20,85.0,-,-,-
1,"672Rúben VezoValencia, 28, D(CR)","Rúben Vezo Valencia, 28, D(CR)",1,80,2,4,2,-,3,-,-,-,5.65,-,-,-,-,-,-,-,-,42,83.3,-,4,1
2,"673Franz BrorssonMalmoe FF, 26, D(C)","Franz Brorsson Malmoe FF, 26, D(C)",1,90,1,5,1,1,3,1,-,-,5.55,-,-,-,-,-,-,-,-,28,75.0,-,4,-
3,"674Filip BenkovicDinamo Zagreb, 24, D(C)","Filip Benkovic Dinamo Zagreb, 24, D(C)",1(1),48,0.5,1.5,-,-,2.5,0.5,-,-,5.51,-,-,-,-,-,-,-,0.5,5,90.0,-,-,-
4,"675Tobias SanaMalmoe FF, 32, AM(R)","Tobias Sana Malmoe FF, 32, AM(R)",1,64,-,2,-,-,1,2,-,-,5.5,-,-,-,-,1,-,4,1,36,88.9,-,-,-
5,"676Oleksandr RybkaDynamo Kyiv, 35, GK","Oleksandr Rybka Dynamo Kyiv, 35, GK",1,90,-,-,-,-,-,-,-,-,5.04,-,-,-,-,-,-,-,-,30,66.7,-,10,-
0,"661Stijn SchaarsPSV Eindhoven, 38, DMC","Stijn Schaars PSV Eindhoven, 38, DMC",0(1),18,-,-,2,-,-,-,-,-,5.89,-,-,-,-,-,-,1,1,6.0,100.0,-,-,-
1,"662Eden Ben BasatMaccabi Tel Aviv, 35, FW","Eden Ben Basat Maccabi Tel Aviv, 35, FW",1(2),101,0.3,-,1,-,-,0.3,-,-,5.88,-,-,0.3,0.7,0.3,0.3,-,1.3,7.0,76.2,-,0.3,-
2,"663Denys DedechkoFC Astana, 34, M(C)","Denys Dedechko FC Astana, 34, M(C)",1(2),92,1.3,0.7,1,-,1,0.3,1,1,5.88,-,-,0.7,-,-,-,-,-,14.3,79.1,-,2,-
3,"664Birzhan KulbekovFC Astana, 28, Defender","Birzhan Kulbekov FC Astana, 28, Defender",0(1),10,-,-,1,-,-,-,-,-,5.86,-,-,-,-,-,-,-,-,7.0,57.1,-,-,-
4,"665Erdal RakipMalmoe FF, 26, M(CR)","Erdal Rakip Malmoe FF, 26, M(CR)",1(4),181,2,0.6,0.4,-,-,0.8,0.2,-,5.84,-,-,0.4,0.4,0.6,-,0.4,0.6,15.2,89.5,-,0.2,-
5,"666Salih UçanRoma, 28, M(C)","Salih Uçan Roma, 28, M(C)",0(2),23,-,-,0.5,-,-,-,-,-,5.84,-,-,-,0.5,-,-,-,-,8.0,75.0,-,-,-
6,"667Juan MuñozSevilla, 26, Forward","Juan Muñoz Sevilla, 26, Forward",0(1),11,-,-,-,-,-,2,-,-,5.8,-,-,-,-,-,-,-,1,2.0,50.0,-,-,-
7,"668Victor AndradeBenfica, 26, AM(LR)","Victor Andrade Benfica, 26, AM(LR)",0(1),16,-,-,1,-,-,-,-,-,5.8,-,-,-,-,2,-,1,2,3.0,33.3,-,-,-
8,"669Wilfrid KaptoumBarcelona, 25, DMC","Wilfrid Kaptoum Barcelona, 25, DMC",1,62,-,1,1,-,1,2,1,-,5.8,-,-,1,-,-,1,-,4,21.0,81.0,-,-,-
9,"670Roel BrouwersBorussia M.Gladbach, 40, D(C)","Roel Brouwers Borussia M.Gladbach, 40, D(C)",1,90,1,2,1,2,7,-,1,-,5.79,-,-,1,-,-,-,1,-,30.0,100.0,-,-,-
0,"651Ángelo HenríquezDinamo Zagreb, 28, FW","Ángelo Henríquez Dinamo Zagreb, 28, FW",0(4),91,-,-,-,-,-,-,0.3,-,5.98,-,-,0.5,0.3,-,0.3,-,0.5,5.3,81,-,-,-
1,"652Nicklas PedersenGent, 34, FW","Nicklas Pedersen Gent, 34, FW",0(1),10,-,1,1,-,-,-,-,-,5.97,-,-,-,-,-,-,-,-,4,25,-,-,-
2,"653Pavel DolgovZenit, 25, FW","Pavel Dolgov Zenit, 25, FW",0(1),29,-,-,-,-,-,-,-,-,5.97,-,-,-,-,1,-,1,1,3,33.3,-,-,-
3,"654Felipe CarvalhoMalmoe FF, 28, D(C)","Felipe Carvalho Malmoe FF, 28, D(C)",2(1),145,0.3,0.7,-,1.3,4.3,0.3,1.7,-,5.95,-,-,-,-,-,-,-,-,9.3,85.7,-,0.7,-
4,"655Andreas PereiraMan Utd, 26, M(CLR)","Andreas Pereira Man Utd, 26, M(CLR)",0(1),28,-,-,-,-,-,1,-,-,5.95,-,-,1,-,-,-,-,-,9,55.6,-,1,-
5,"656Simon KroonMalmoe FF, 28, Midfielder","Simon Kroon Malmoe FF, 28, Midfielder",0(2),34,-,0.5,-,-,-,1.5,-,-,5.95,-,-,0.5,-,-,0.5,0.5,0.5,7,64.3,-,-,-
6,"657Agon MehmetiMalmoe FF, 32, FW","Agon Mehmeti Malmoe FF, 32, FW",0(2),28,-,-,0.5,-,0.5,-,-,-,5.93,-,-,0.5,-,-,-,-,0.5,2.5,100,-,-,-
7,"658Kári ÁrnasonMalmoe FF, 39, D(C),DMC","Kári Árnason Malmoe FF, 39, D(C),DMC",5,449,1.6,1,1.6,0.6,6.2,0.8,0.2,-,5.91,-,-,0.4,-,0.4,-,-,-,14.8,58.1,-,0.8,-
8,"659Marvin SchulzBorussia M.Gladbach, 27, Midfielder","Marvin Schulz Borussia M.Gladbach, 27, Midfielder",0(2),34,0.5,-,-,-,-,1.5,-,-,5.9,-,-,-,0.5,0.5,-,-,1,1.5,66.7,-,-,-
9,"660Mario MusaDinamo Zagreb, 31, Defender","Mario Musa Dinamo Zagreb, 31, Defender",0(1),2,-,-,-,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,-,-,-,-,-
0,"641Aleksandr KarnitskiBATE, 33, M(C)","Aleksandr Karnitski BATE, 33, M(C)",0(4),86,1.3,0.8,1,-,0.5,0.5,0.3,-,6.0,-,-,0.8,0.3,0.3,-,1.3,0.3,7.5,46.7,-,-,-
1,"642Edoardo SoleriRoma, 24, Forward","Edoardo Soleri Roma, 24, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,2.0,-,-,-,-
2,"643Emre ÇolakGalatasaray, 31, M(CLR)","Emre Çolak Galatasaray, 31, M(CLR)",1(1),48,0.5,-,-,-,-,1,-,-,6.0,-,-,0.5,0.5,0.5,-,0.5,1.5,17.5,91.4,-,1,-
3,"644Holger BadstuberBayern, 33, D(CL)","Holger Badstuber Bayern, 33, D(CL)",1,52,1,-,1,-,-,-,1,-,6.0,-,-,-,-,-,-,-,-,61.0,96.7,-,7,-
4,"645Leandro PutaroWolfsburg, 25, AM(R)","Leandro Putaro Wolfsburg, 25, AM(R)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1.0,100,-,-,-
5,"646Kirill PanchenkoCSKA Moscow, 32, AM(CL),FW","Kirill Panchenko CSKA Moscow, 32, AM(CL),FW",0(4),14,0.3,-,-,-,-,-,-,-,6.0,-,-,0.3,-,-,-,0.3,-,3.0,66.7,-,-,-
6,"647Roman EremenkoCSKA Moscow, 35, M(CLR)","Roman Eremenko CSKA Moscow, 35, M(CLR)",2(1),196,0.7,0.3,2,-,-,1,-,-,6.0,-,-,1.3,0.7,0.7,-,1,1.7,31.0,75.3,0.3,1.7,-
7,"648Bryan CristanteBenfica, 27, D(C),M(C)","Bryan Cristante Benfica, 27, D(C),M(C)",0(2),11,-,-,0.5,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,6.0,91.7,-,-,-
8,"649Nico SchulzBorussia M.Gladbach, 29, D(L),M(L)","Nico Schulz Borussia M.Gladbach, 29, D(L),M(L)",0(1),17,-,1,-,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,5.0,60,-,-,-
9,"650Kelechi IheanachoMan City, 25, AM(C),FW","Kelechi Iheanacho Man City, 25, AM(C),FW",0(4),73,-,0.3,-,-,-,0.5,-,-,5.98,-,-,-,-,-,-,0.5,-,3.8,73.3,-,0.3,-
0,"631Artem KravetsDynamo Kyiv, 33, FW","Artem Kravets Dynamo Kyiv, 33, FW",2(2),147,0.3,-,0.5,-,0.8,0.3,-,-,6.04,-,-,0.8,-,0.5,0.3,2,1,8.0,71.9,-,-,-
1,"632David OspinaArsenal, 33, GK","David Ospina Arsenal, 33, GK",3,270,0.3,-,-,-,-,-,-,1,6.04,-,-,-,-,-,-,-,0.3,16.0,58.3,-,3,-
