,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"581Nicolás CastilloFrosinone, 29, FW","Nicolás Castillo Frosinone, 29, FW",3(3),306,0.7,-,2,-,-,1.7,-,-,5.95,-,-,1.7,0.2,2.3,-,1.2,2.5,10.3,80.6,-,0.7,-
1,"582Antonino La GuminaPalermo FC, 26, FW","Antonino La Gumina Palermo FC, 26, FW",0(3),63,-,0.3,0.3,-,-,-,-,-,5.92,-,-,1,-,-,-,0.7,1,4.0,91.7,-,-,-
2,"583Juan CarrizoInter, 38, GK","Juan Carrizo Inter, 38, GK",2,162,-,-,-,-,-,-,-,-,5.86,-,-,-,-,-,-,-,-,19.0,68.4,-,6.5,-
3,"584Ferdinando CoppolaVerona, 44, GK","Ferdinando Coppola Verona, 44, GK",1,90,-,-,-,-,2,-,-,1,5.76,-,-,-,-,-,-,-,-,36.0,36.1,-,7,-
4,"585Rodrigo ElyAC Milan, 28, D(C)","Rodrigo Ely AC Milan, 28, D(C)",2(1),170,0.3,2,2.7,1,1.3,0.3,0.3,1,5.69,-,-,0.7,-,-,0.3,-,0.3,21.7,73.8,-,2.3,-
0,"571Milan SkriniarSampdoria, 27, D(C)","Milan Skriniar Sampdoria, 27, D(C)",2(1),105,1.7,0.7,0.7,0.7,1.3,1,-,-,6.0,-,-,-,-,0.3,-,0.3,0.3,25.7,93.5,-,1.7,-
1,"572Michele CamporeseEmpoli, 30, DMC,M(R)","Michele Camporese Empoli, 30, DMC,M(R)",2,161,2.5,1.5,-,0.5,1,-,1,1,6.0,-,-,0.5,-,1,-,-,1,27.5,96.4,-,2,-
2,"573Rey ManajInter, 25, FW","Rey Manaj Inter, 25, FW",0(4),33,-,-,2,-,-,-,-,-,5.99,-,-,0.5,0.3,0.8,0.3,0.5,-,1.3,100.0,-,-,-
3,"574Giuseppe PanicoGenoa, 25, Forward","Giuseppe Panico Genoa, 25, Forward",0(1),7,1,-,1,-,-,-,-,-,5.99,-,-,-,-,-,-,1,-,1.0,100.0,-,-,-
4,"575Samuele LongoFrosinone, 30, FW","Samuele Longo Frosinone, 30, FW",3(15),323,0.2,0.1,0.7,-,-,0.3,-,-,5.99,-,1,0.6,0.2,0.3,0.2,0.4,0.7,3.2,61.4,-,0.1,-
