,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"571ToñoReal Sociedad, 35, GK","Toño Real Sociedad, 35, GK",3(1),316,-,-,-,-,0.8,0.3,-,-,5.48,-,-,-,-,-,-,-,0.3,30.0,66.7,-,5.3,-
1,"572Aldo OneDeportivo, 27, Defender","Aldo One Deportivo, 27, Defender",1,90,1,-,1,1,7,-,-,-,5.2,-,-,-,-,-,-,-,-,22.0,81.8,-,1.0,-
2,"573Maksym KovalDeportivo, 29, GK","Maksym Koval Deportivo, 29, GK",2,122,-,-,0.5,-,-,-,-,-,5.04,-,-,-,-,-,-,-,0.5,19.5,64.1,-,8.0,-
0,"561Borja HerreraLas Palmas, 29, Defender","Borja Herrera Las Palmas, 29, Defender",3,242,0.7,1,0.3,-,1.3,1.7,0.3,-,5.97,-,-,0.3,0.3,0.3,-,0.7,0.7,51.7,88.4,0.7,1.7,-
1,"562Julio GraciaReal Betis, 24, Midfielder","Julio Gracia Real Betis, 24, Midfielder",0(2),22,-,0.5,-,-,-,-,-,-,5.96,-,-,0.5,-,-,-,1,-,10.5,81.0,-,-,-
2,"563Rúben SemedoVillarreal, 28, D(C)","Rúben Semedo Villarreal, 28, D(C)",3(1),231,1.5,1.3,0.3,0.8,3.3,0.5,0.3,-,5.94,-,-,0.3,0.3,0.3,-,1,-,22.0,87.5,-,0.8,-
3,"564Aitor RuibalReal Betis, 26, D(R),M(LR)","Aitor Ruibal Real Betis, 26, D(R),M(LR)",0(2),7,-,-,0.5,-,-,-,-,-,5.94,-,-,-,-,-,-,0.5,1,2.0,100.0,-,-,-
4,"565Hugo DuroGetafe, 22, AM(L),FW","Hugo Duro Getafe, 22, AM(L),FW",0(2),18,-,-,0.5,-,-,0.5,-,-,5.92,-,-,0.5,-,-,-,0.5,-,3.0,100.0,-,-,-
5,"566Zdravko KuzmanovicMalaga, 34, M(C)","Zdravko Kuzmanovic Malaga, 34, M(C)",6(2),482,0.5,0.5,0.9,0.1,1.1,0.6,0.3,-,5.92,-,1,0.4,1,0.3,-,1.1,0.3,41.8,90.1,0.3,2.6,-
6,"567Andrew HjulsagerCelta Vigo, 27, AM(CR)","Andrew Hjulsager Celta Vigo, 27, AM(CR)",0(2),12,-,-,-,-,-,1,-,-,5.92,-,-,0.5,-,-,-,-,-,3.0,66.7,-,-,-
7,"568ChucaVillarreal, 25, Midfielder","Chuca Villarreal, 25, Midfielder",1(3),86,0.3,0.3,0.8,-,0.3,0.5,0.3,-,5.89,-,-,0.8,0.3,0.5,-,0.3,0.5,11.3,77.8,-,1,-
8,"569Nereo ChampagneLeganes, 37, GK","Nereo Champagne Leganes, 37, GK",2,180,-,-,-,-,1.5,-,-,-,5.76,-,-,-,-,-,-,-,-,26.5,52.8,-,12,-
9,"570Przemyslaw TytonDeportivo, 35, GK","Przemyslaw Tyton Deportivo, 35, GK",1(1),97,-,-,-,-,-,-,-,-,5.59,-,-,-,-,-,-,-,-,13.0,57.7,-,2.5,-
0,"551Darío PovedaVillarreal, 25, Forward","Darío Poveda Villarreal, 25, Forward",0(1),1,1,-,-,-,-,-,-,-,6.04,-,-,-,-,-,-,-,1,2,50,-,-,-
1,"552Hernán PérezEspanyol, 33, M(LR)","Hernán Pérez Espanyol, 33, M(LR)",1(3),140,1,0.3,0.8,-,-,0.3,-,-,6.04,-,-,-,-,0.3,-,0.8,1.8,15.8,66.7,-,0.5,-
2,"553Ramiro GuerraVillarreal, 25, Midfielder","Ramiro Guerra Villarreal, 25, Midfielder",0(4),67,0.8,-,0.3,-,0.5,0.3,-,-,6.03,-,-,-,0.3,0.5,-,0.8,0.5,7.8,80.6,0.3,0.3,-
3,"554Mario GonzálezVillarreal, 26, FW","Mario González Villarreal, 26, FW",0(2),16,-,-,-,-,-,-,-,-,6.03,-,-,0.5,0.5,-,0.5,-,-,3.5,57.1,-,-,-
