,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"521Jack SimpsonBournemouth, 25, D(C)","Jack Simpson Bournemouth, 25, D(C)",1,72,1,-,-,-,4,1,-,-,5.9,-,-,-,-,-,-,-,-,5.0,80.0,-,-,-
1,"522Sam BaldockBrighton, 33, AM(L),FW","Sam Baldock Brighton, 33, AM(L),FW",0(2),30,-,-,-,-,-,-,-,-,5.89,-,-,-,-,-,-,0.5,1,3.5,57.1,-,-,-
2,"523Julien NgoyStoke, 24, AM(L),FW","Julien Ngoy Stoke, 24, AM(L),FW",0(1),19,1,-,1,-,-,1,-,-,5.89,-,-,-,-,-,-,-,-,5.0,80.0,-,-,-
3,"524Freddie LadapoCrystal Palace, 29, AM(R),FW","Freddie Ladapo Crystal Palace, 29, AM(R),FW",0(1),16,-,-,-,-,-,-,-,-,5.89,-,-,-,-,-,-,-,-,7.0,71.4,-,-,-
4,"525Michael ObafemiSouthampton, 21, FW","Michael Obafemi Southampton, 21, FW",0(1),8,-,-,-,-,-,-,-,-,5.82,-,-,1,-,-,-,-,-,1.0,100.0,-,-,-
5,"526Michael HefeleHuddersfield, 31, D(C)","Michael Hefele Huddersfield, 31, D(C)",0(2),32,-,0.5,1,-,2.5,-,-,-,5.81,-,-,-,-,-,-,-,-,4.5,88.9,-,-,-
6,"527Divock OrigiLiverpool, 27, AM(LR),FW","Divock Origi Liverpool, 27, AM(LR),FW",0(1),9,-,-,-,-,-,-,-,-,5.8,-,-,-,-,-,-,-,2,2.0,50.0,-,-,-
7,"528Josh TymonStoke, 23, D(L),M(CL)","Josh Tymon Stoke, 23, D(L),M(CL)",2(1),163,1.7,0.3,-,0.3,0.7,0.3,-,-,5.79,-,-,-,-,-,-,0.7,1.7,27.0,87.7,-,2,-
8,"529Eliaquim MangalaEverton, 31, D(C)","Eliaquim Mangala Everton, 31, D(C)",2,135,1,0.5,0.5,0.5,2,-,-,-,5.76,-,-,0.5,-,-,-,1,-,34.5,84.1,-,2,-
0,"511Axel TuanzebeMan Utd, 24, D(CR)","Axel Tuanzebe Man Utd, 24, D(CR)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"512Dwight McNeilBurnley, 22, M(LR)","Dwight McNeil Burnley, 22, M(LR)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,100,-,-,-
2,"513Georges-Kévin NkoudouTottenham, 27, AM(LR)","Georges-Kévin Nkoudou Tottenham, 27, AM(LR)",0(1),1,-,-,-,-,1,-,-,-,6.0,-,-,-,-,1,-,-,-,-,-,-,-,-
3,"514Vincent JanssenTottenham, 27, FW","Vincent Janssen Tottenham, 27, FW",0(1),1,-,-,1,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
