,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"481Törles KnöllHamburg, 24, Forward","Törles Knöll Hamburg, 24, Forward",0(1),17,-,-,-,-,-,-,-,-,5.82,-,-,-,-,-,-,-,1,3.0,33.3,-,-,-
1,"482Onur BulutFreiburg, 28, D(R),M(R)","Onur Bulut Freiburg, 28, D(R),M(R)",0(1),38,-,-,-,-,-,1,-,-,5.72,-,-,-,1,-,-,-,2,4.0,50.0,1,-,-
2,"483Aleksandar DragovicLeverkusen, 31, D(CR)","Aleksandar Dragovic Leverkusen, 31, D(CR)",0(1),45,-,-,1,-,-,1,-,-,5.71,-,-,-,-,1,-,-,1,31.0,87.1,-,1,-
3,"484Roman WeidenfellerBorussia Dortmund, 41, GK","Roman Weidenfeller Borussia Dortmund, 41, GK",1(1),91,-,-,-,-,-,-,-,-,5.65,-,-,-,-,-,-,-,-,20.5,46.3,-,2.5,-
4,"485Marijan CavarEintracht Frankfurt, 24, Midfielder","Marijan Cavar Eintracht Frankfurt, 24, Midfielder",0(1),31,-,-,-,-,-,3,-,-,5.6,-,-,1,-,-,-,1,2,8.0,87.5,-,-,-
0,"471Michael ZettererWerder Bremen, 26, GK","Michael Zetterer Werder Bremen, 26, GK",1,1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"472Marcel BengerBorussia M.Gladbach, 23, DMC","Marcel Benger Borussia M.Gladbach, 23, DMC",0(1),1,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,1,1,100,-,-,-
2,"473Paul-Georges NtepWolfsburg, 29, AM(LR),FW","Paul-Georges Ntep Wolfsburg, 29, AM(LR),FW",1(4),164,0.4,0.2,1.4,-,-,0.2,0.2,-,5.97,-,1,0.4,0.4,1,0.2,0.4,-,13,70.8,0.2,0.6,-
3,"474Josha VagnomanHamburg, 21, D(LR)","Josha Vagnoman Hamburg, 21, D(LR)",0(1),20,1,-,-,-,-,-,-,-,5.94,-,-,-,-,-,-,-,-,1,100,-,-,-
4,"475Kaylen HindsWolfsburg, 24, Forward","Kaylen Hinds Wolfsburg, 24, Forward",1,90,1,1,-,-,-,-,-,-,5.94,-,-,-,-,1,1,-,1,13,69.2,-,-,-
5,"476CokeSchalke, 35, D(CLR),M(R)","Coke Schalke, 35, D(CLR),M(R)",0(1),1,-,-,1,-,-,-,-,-,5.93,-,-,-,-,-,-,-,-,2,100,-,-,-
6,"477Julio VillalbaBorussia M.Gladbach, 23, Forward","Julio Villalba Borussia M.Gladbach, 23, Forward",0(1),6,-,-,1,-,-,-,-,-,5.92,-,-,-,-,-,-,-,-,4,50,-,-,-
7,"478Mohamed DrägerFreiburg, 25, D(R)","Mohamed Dräger Freiburg, 25, D(R)",0(2),51,-,-,1,-,-,0.5,-,-,5.92,-,-,-,-,0.5,-,1.5,-,6,41.7,-,-,-
8,"479Jacob Bruun LarsenStuttgart, 23, AM(CL)","Jacob Bruun Larsen Stuttgart, 23, AM(CL)",1(3),105,-,0.3,1.5,-,-,-,-,-,5.89,-,-,-,-,0.3,0.3,0.5,-,8,65.6,-,0.3,-
9,"480Shawn ParkerAugsburg, 29, FW","Shawn Parker Augsburg, 29, FW",0(2),44,-,-,0.5,-,-,-,-,-,5.86,-,-,-,0.5,0.5,1,1,1.5,4.5,55.6,-,-,-
0,"461Pál DárdaiHertha Berlin, 23, Forward","Pál Dárdai Hertha Berlin, 23, Forward",0(2),25,-,-,0.5,-,-,-,-,-,6.05,-,-,-,-,0.5,-,-,-,4,87.5,-,-,-
1,"462Fabian ReeseSchalke, 24, M(LR),FW","Fabian Reese Schalke, 24, M(LR),FW",0(7),70,0.3,0.3,0.4,-,0.1,0.1,-,-,6.04,-,-,0.6,-,-,-,0.3,0.4,3,85.7,-,0.1,-
2,"463Stefan KießlingLeverkusen, 38, FW","Stefan Kießling Leverkusen, 38, FW",0(8),75,-,-,0.1,-,0.1,-,-,-,6.04,-,-,0.3,0.3,0.4,0.1,0.1,0.1,3.4,55.6,-,-,-
