,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"481Steven ZellnerKaiserslautern, 31, Defender","Steven Zellner Kaiserslautern, 31, Defender",0(1),10,-,-,-,-,-,-,1,-,5.86,-,-,-,-,-,-,1,-,1,100.0,-,-,-
1,"482Felix KroosWerder Bremen, 31, M(C)","Felix Kroos Werder Bremen, 31, M(C)",0(1),15,-,-,1,-,-,-,-,-,5.83,-,-,-,-,-,-,1,-,6,33.3,-,-,-
2,"483EduSchalke, 40, FW","Edu Schalke, 40, FW",0(1),27,-,-,-,-,-,-,-,-,5.81,-,-,2,-,-,-,-,-,3,100.0,-,-,-
3,"484Änis Ben-HatiraHamburg, 33, M(CLR)","Änis Ben-Hatira Hamburg, 33, M(CLR)",0(1),49,1,-,-,-,-,-,-,-,5.79,-,-,-,-,1,1,2,3,11,63.6,-,2,-
4,"485Hrvoje CaleWolfsburg, 37, Defender","Hrvoje Cale Wolfsburg, 37, Defender",0(1),29,1,-,1,-,2,-,-,-,5.72,-,-,-,-,-,-,1,-,13,61.5,-,-,-
5,"486Marco DjuricinHertha Berlin, 29, AM(R),FW","Marco Djuricin Hertha Berlin, 29, AM(R),FW",0(2),39,0.5,0.5,1.5,-,-,-,-,-,5.7,-,-,-,-,0.5,-,0.5,0.5,3,66.7,-,-,-
6,"487Dawda BahAugsburg, 38, Midfielder","Dawda Bah Augsburg, 38, Midfielder",0(1),16,-,-,-,-,-,3,-,-,5.64,-,-,-,1,-,-,1,-,5,100.0,-,-,-
7,"488Daniel BatzFreiburg, 31, Goalkeeper","Daniel Batz Freiburg, 31, Goalkeeper",1,90,-,-,-,-,-,1,-,-,5.25,-,-,-,-,-,-,-,-,25,64.0,-,11,-
8,"489Sandro WieserHoffenheim, 29, D(C)","Sandro Wieser Hoffenheim, 29, D(C)",0(1),32,-,-,-,-,-,-,-,-,5.12,-,-,-,-,-,-,1,-,11,54.5,-,-,-
0,"471Tobias StroblHoffenheim, 32, D(CR),DMC","Tobias Strobl Hoffenheim, 32, D(CR),DMC",0(1),8,-,-,-,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,2.0,50,-,-,-
