,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"561Marton FülöpWest Brom, 39, GK","Marton Fülöp West Brom, 39, GK",1,90,-,-,-,-,2,1,-,-,3.77,-,-,-,1,-,-,-,-,22,54.5,-,7,-
0,"551Henri LansburyArsenal, 31, M(C)","Henri Lansbury Arsenal, 31, M(C)",0(2),24,0.5,0.5,0.5,-,-,-,-,-,5.97,-,-,-,0.5,-,-,-,-,8.5,88.2,-,1,-
1,"552Marvin SordellBolton, 31, AM(R),FW","Marvin Sordell Bolton, 31, AM(R),FW",0(3),39,-,-,-,-,-,-,-,-,5.97,-,-,1.3,0.3,-,-,0.7,0.3,3.7,72.7,0.3,-,-
2,"553Anthony ModesteBlackburn, 34, FW","Anthony Modeste Blackburn, 34, FW",3(6),383,0.8,0.3,0.8,-,0.1,0.1,-,-,5.93,-,-,1.4,0.2,1.6,0.4,0.4,1.6,9.7,60.9,-,-,0.1
3,"554Federico MachedaQPR, 30, FW","Federico Macheda QPR, 30, FW",0(3),32,0.3,-,1,-,-,-,-,-,5.93,-,-,-,0.3,-,0.7,0.3,0.3,1.3,100.0,-,-,-
4,"555Michael HarrimanQPR, 29, D(CR),M(R)","Michael Harriman QPR, 29, D(CR),M(R)",0(1),28,-,-,-,-,-,-,-,-,5.91,-,-,-,-,-,-,-,-,7.0,85.7,-,-,-
5,"556Armand TraoreArsenal, 32, D(L),M(L)","Armand Traore Arsenal, 32, D(L),M(L)",1,90,2,2,-,1,6,2,-,-,5.9,-,-,-,-,-,-,3,-,34.0,85.3,-,-,-
6,"557Nicklas BendtnerArsenal, 34, FW","Nicklas Bendtner Arsenal, 34, FW",0(1),10,-,-,-,-,-,-,-,-,5.89,-,-,-,-,-,-,-,-,9.0,77.8,-,-,-
7,"558Alan SmithNewcastle, 41, M(C)","Alan Smith Newcastle, 41, M(C)",0(2),5,-,-,0.5,-,-,-,-,-,5.88,-,-,-,-,-,-,0.5,-,4.0,75.0,-,0.5,-
8,"559Michael OwenMan Utd, 42, FW","Michael Owen Man Utd, 42, FW",0(1),79,-,-,-,-,-,-,-,-,5.74,-,-,2,-,-,2,1,4,20.0,85.0,-,3,-
9,"560Sébastien SquillaciArsenal, 41, D(C)","Sébastien Squillaci Arsenal, 41, D(C)",0(1),9,-,-,-,1,2,-,-,-,5.06,-,-,-,-,-,-,-,-,3.0,100.0,-,-,-
0,"541Jason PuncheonQPR, 35, M(CLR)","Jason Puncheon QPR, 35, M(CLR)",0(2),15,0.5,-,0.5,-,-,-,-,-,6.02,-,-,-,-,-,-,0.5,1,4.0,87.5,-,0.5,-
1,"542James VaughanNorwich, 33, FW","James Vaughan Norwich, 33, FW",1(4),149,-,-,0.8,-,-,0.2,-,-,6.02,-,-,1,0.4,0.6,0.2,0.2,1.2,9.0,68.9,-,0.4,-
2,"543Marcel GecovFulham, 34, Midfielder","Marcel Gecov Fulham, 34, Midfielder",0(2),6,-,-,-,-,-,-,-,-,6.02,-,-,-,-,-,-,-,-,5.5,100.0,-,-,-
3,"544Bruno AndradeQPR, 28, AM(CLR)","Bruno Andrade QPR, 28, AM(CLR)",0(1),10,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,4.0,100.0,-,-,-
4,"545Park Chu-YoungArsenal, 36, FW","Park Chu-Young Arsenal, 36, FW",0(1),6,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,4.0,75.0,-,1,-
5,"546Jordan SlewBlackburn, 29, AM(L),FW","Jordan Slew Blackburn, 29, AM(L),FW",0(1),1,1,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
6,"547Stefan MaierhoferWolves, 39, FW","Stefan Maierhofer Wolves, 39, FW",0(1),1,-,-,-,-,-,1,-,-,6.0,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
7,"548Nick BlackmanBlackburn, 32, AM(LR),FW","Nick Blackman Blackburn, 32, AM(LR),FW",0(1),6,-,-,-,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,3.0,66.7,-,-,-
8,"549Callum McManamanWigan, 31, AM(CLR),FW","Callum McManaman Wigan, 31, AM(CLR),FW",0(2),18,-,-,0.5,-,-,-,-,-,5.99,-,-,1,0.5,-,-,-,0.5,3.5,100.0,-,-,-
9,"550Will KeaneMan Utd, 29, AM(C),FW","Will Keane Man Utd, 29, AM(C),FW",0(1),4,-,-,-,-,-,-,-,-,5.98,-,-,1,-,-,-,1,-,3.0,100.0,-,-,-
0,"531Owen HargreavesMan City, 41, Midfielder","Owen Hargreaves Man City, 41, Midfielder",0(1),13,-,-,-,-,-,-,-,-,6.05,-,-,-,1,-,-,2,-,15.0,100,-,-,-
1,"532Dan GoslingNewcastle, 32, M(C)","Dan Gosling Newcastle, 32, M(C)",1(11),233,0.8,0.2,0.4,-,0.7,0.3,0.2,-,6.04,1,-,0.5,0.3,0.2,-,0.7,0.7,8.1,82.5,0.1,0.5,-
2,"533Josh VelaBolton, 28, D(R),M(C)","Josh Vela Bolton, 28, D(R),M(C)",0(3),38,1,-,0.3,-,0.3,-,-,-,6.04,-,-,-,-,-,-,-,0.3,10.0,83.3,-,0.7,-
3,"534Vangelis MorasSwansea, 40, D(C)","Vangelis Moras Swansea, 40, D(C)",0(1),4,-,-,-,-,3,-,-,-,6.04,-,-,-,-,-,-,-,-,2.0,50,-,-,-
4,"535Sammy AmeobiNewcastle, 30, AM(CLR),FW","Sammy Ameobi Newcastle, 30, AM(CLR),FW",1(9),192,0.5,-,0.4,-,0.1,0.1,0.1,-,6.04,-,-,0.6,-,0.1,-,0.6,1,5.7,59.6,-,0.3,-
5,"536Abdul RazakMan City, 29, DMC","Abdul Razak Man City, 29, DMC",0(1),10,-,-,1,-,-,-,-,-,6.03,-,-,-,-,-,-,-,-,12.0,91.7,-,2,-
6,"537Federico BessoneSwansea, 38, Defender","Federico Bessone Swansea, 38, Defender",0(1),4,-,-,-,-,-,-,-,-,6.03,-,-,-,-,-,-,-,-,7.0,71.4,-,1,-
7,"538Jermaine JenasAston Villa, 39, M(C)","Jermaine Jenas Aston Villa, 39, M(C)",1(2),108,-,-,-,-,0.3,-,0.3,-,6.03,-,-,-,-,0.3,-,0.3,0.3,17.3,84.6,-,0.3,0.3
8,"539Jose BaxterEverton, 30, Midfielder","Jose Baxter Everton, 30, Midfielder",0(1),11,-,-,-,-,-,-,-,-,6.03,-,-,1,-,-,-,-,-,5.0,60,-,-,-
9,"540Yossi BenayounChelsea, 42, M(R)","Yossi Benayoun Chelsea, 42, M(R)",0(1),1,-,-,-,-,-,-,-,-,6.03,-,-,-,-,-,-,-,-,1.0,-,-,-,-
0,"521Sam VokesWolves, 32, FW","Sam Vokes Wolves, 32, FW",0(4),62,-,0.3,0.5,-,-,-,-,-,6.1,-,-,1,0.3,-,-,0.3,0.3,4.0,68.8,-,0.3,-
1,"522Johnny GormanWolves, 29, Midfielder","Johnny Gorman Wolves, 29, Midfielder",0(1),1,-,1,-,-,-,-,-,-,6.1,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
2,"523Ryan NobleSunderland, 31, Forward","Ryan Noble Sunderland, 31, Forward",0(2),5,-,-,0.5,-,-,-,-,-,6.1,-,-,-,-,-,-,-,-,1.5,100.0,-,-,-
3,"524Raheem SterlingLiverpool, 27, M(CLR),FW","Raheem Sterling Liverpool, 27, M(CLR),FW",0(3),25,-,-,-,-,-,-,-,-,6.1,-,-,0.7,0.7,0.7,-,-,0.3,5.0,86.7,0.3,0.3,-
4,"525Nedum OnuohaMan City, 35, D(CR)","Nedum Onuoha Man City, 35, D(CR)",0(1),9,-,-,-,-,1,-,-,-,6.09,-,-,-,-,1,-,-,-,1.0,100.0,-,-,-
5,"526Steven PienaarTottenham, 40, M(CL)","Steven Pienaar Tottenham, 40, M(CL)",0(2),14,1,-,-,-,-,-,-,-,6.09,-,-,-,-,1,-,0.5,0.5,7.5,86.7,-,-,-
6,"527Jason RobertsBlackburn, 44, FW","Jason Roberts Blackburn, 44, FW",5(5),467,0.3,0.1,1.4,-,0.2,0.2,-,-,6.09,-,1,0.6,0.8,0.4,0.1,1.6,1.1,8.3,68.7,-,0.2,0.1
7,"528Lee Chung-YongBolton, 33, M(CLR)","Lee Chung-Yong Bolton, 33, M(CLR)",0(2),17,0.5,0.5,0.5,-,-,-,-,-,6.07,-,-,0.5,0.5,-,-,-,-,6.0,58.3,-,-,-
8,"529Conor McAlenyEverton, 29, AM(CL),FW","Conor McAleny Everton, 29, AM(CL),FW",0(2),15,-,-,-,-,-,-,-,-,6.07,-,-,1.5,-,-,-,-,-,1.5,66.7,-,-,-
9,"530Conor SammonWigan, 35, FW","Conor Sammon Wigan, 35, FW",8(17),836,0.2,-,0.7,-,0.3,0.2,-,-,6.05,-,-,0.6,0.6,0.2,0.2,1,1.2,6.0,77.3,-,0.2,-
0,"511Pajtim KasamiFulham, 30, M(CLR)","Pajtim Kasami Fulham, 30, M(CLR)",3(4),268,1.1,0.3,0.9,-,0.1,1,-,-,6.13,-,-,1.1,0.4,0.7,0.3,1.9,1.3,16.3,74.6,0.3,-,-
1,"512Nathan DelfounesoAston Villa, 31, AM(CLR),FW","Nathan Delfouneso Aston Villa, 31, AM(CLR),FW",1(5),163,0.5,0.2,0.8,-,0.3,-,-,-,6.13,-,-,0.5,0.3,0.2,0.3,0.3,0.5,7.7,69.6,-,0.3,-
2,"513Danny HigginbothamStoke, 43, D(C),DMC","Danny Higginbotham Stoke, 43, D(C),DMC",1(1),112,1,-,1.5,-,4,0.5,-,-,6.13,-,-,1,-,-,-,-,-,8.5,47.1,-,1.5,-
3,"514Shane FergusonNewcastle, 30, D(L),M(L)","Shane Ferguson Newcastle, 30, D(L),M(L)",0(7),156,0.6,0.4,0.4,-,0.4,0.1,-,-,6.12,-,-,-,0.1,0.1,0.1,0.3,0.6,6.0,76.2,-,-,-
4,"515Somen TchoyiWest Brom, 39, M(C)","Somen Tchoyi West Brom, 39, M(C)",6(12),646,0.1,-,0.6,-,0.1,0.1,-,-,6.12,1,-,0.8,0.4,0.3,0.9,1.6,1.3,7.8,72.1,0.4,0.2,-
5,"516Ross TurnbullChelsea, 37, GK","Ross Turnbull Chelsea, 37, GK",2,180,-,1,-,-,2,-,-,-,6.12,-,-,-,0.5,-,-,-,-,30.5,62.3,-,12,-
6,"517Ricardo FullerStoke, 42, FW","Ricardo Fuller Stoke, 42, FW",3(10),349,0.8,0.4,1,-,0.1,0.2,0.1,-,6.11,-,-,0.5,0.3,0.5,-,1.4,0.9,4.8,79.4,0.2,0.5,-
7,"518Gaël KakutaBolton, 30, M(CLR),FW","Gaël Kakuta Bolton, 30, M(CLR),FW",0(4),67,0.8,-,-,-,-,-,-,-,6.11,-,-,0.5,-,0.3,-,0.8,0.3,6.8,81.5,-,0.3,-
8,"519Hogan EphraimQPR, 34, AM(C)","Hogan Ephraim QPR, 34, AM(C)",0(2),41,0.5,0.5,-,-,0.5,-,-,-,6.11,-,-,-,-,0.5,-,-,0.5,5.0,80.0,-,-,-
9,"520Samir CarruthersAston Villa, 29, M(C)","Samir Carruthers Aston Villa, 29, M(C)",0(3),21,1,0.3,0.3,-,-,1,-,-,6.1,-,-,0.3,-,0.3,-,0.3,0.7,4.7,85.7,-,0.3,-
0,"501Jermaine BeckfordEverton, 38, FW","Jermaine Beckford Everton, 38, FW",1(1),69,-,-,0.5,-,-,-,-,-,6.18,-,-,1,0.5,-,-,1.5,2.5,7.5,73.3,0.5,0.5,-
1,"502Josh McEachranChelsea, 29, M(C)","Josh McEachran Chelsea, 29, M(C)",0(2),13,-,0.5,-,-,-,-,-,-,6.18,-,-,-,0.5,0.5,-,-,-,6.5,92.3,-,-,0.5
2,"503Robert HulseQPR, 42, Forward","Robert Hulse QPR, 42, Forward",1(1),70,0.5,-,0.5,-,1,-,-,-,6.18,-,-,-,-,-,-,0.5,0.5,7.5,20.0,-,-,-
3,"504Roman PavlyuchenkoTottenham, 40, FW","Roman Pavlyuchenko Tottenham, 40, FW",0(5),128,-,-,0.2,-,0.2,-,-,-,6.18,1,-,1,0.4,0.6,-,0.8,1.2,6.8,76.5,-,0.2,0.2
4,"505Steve GohouriWigan, 41, D(CLR),DMC","Steve Gohouri Wigan, 41, D(CLR),DMC",8(2),683,1.7,0.9,0.5,0.2,2.9,0.3,0.2,-,6.17,-,-,0.4,-,0.9,0.1,0.5,0.8,30.5,79.0,-,2.2,-
5,"506Gerhard TremmelSwansea, 43, GK","Gerhard Tremmel Swansea, 43, GK",1,90,-,-,-,-,2,-,-,-,6.17,-,-,-,-,-,-,-,-,27.0,77.8,-,10,-
6,"507Danny PughStoke, 39, D(L),M(L)","Danny Pugh Stoke, 39, D(L),M(L)",0(3),100,0.3,-,0.3,-,0.7,0.7,0.3,-,6.16,-,-,1.3,0.3,-,-,0.7,0.3,9.0,70.4,-,0.3,-
7,"508Giovani dos SantosTottenham, 33, AM(CLR),FW","Giovani dos Santos Tottenham, 33, AM(CLR),FW",0(7),49,0.4,0.1,-,-,-,-,0.1,-,6.15,-,-,0.1,0.1,0.4,-,-,-,5.3,86.5,-,-,-
8,"509Robbie BlakeBolton, 46, AM(CL)","Robbie Blake Bolton, 46, AM(CL)",0(1),4,1,-,-,-,-,-,-,-,6.14,-,-,-,-,-,-,-,-,9.0,77.8,-,-,-
9,"510Eggert JonssonWolves, 33, Midfielder","Eggert Jonsson Wolves, 33, Midfielder",2(1),173,2.3,2,1.3,-,0.7,-,-,-,6.13,-,-,-,0.7,0.3,-,1.7,1,28.7,88.4,-,1.7,-
0,"491Salif DiaoStoke, 45, M(CR)","Salif Diao Stoke, 45, M(CR)",2(4),123,0.8,0.7,0.2,-,0.3,-,-,-,6.21,-,-,-,-,0.2,-,0.3,-,7.7,87,-,0.3,-
1,"492Paul RobinsonBlackburn, 42, GK","Paul Robinson Blackburn, 42, GK",34,3060,-,-,-,-,0.5,-,-,-,6.21,-,-,-,0.1,0.1,-,-,-,34.2,27.4,-,8.1,-
2,"493Josh MorrisBlackburn, 30, AM(CLR)","Josh Morris Blackburn, 30, AM(CLR)",0(2),80,0.5,-,0.5,-,-,-,-,-,6.21,-,-,0.5,-,-,-,-,0.5,11,81.8,-,-,-
3,"494Stephen DobbieSwansea, 39, AM(C)","Stephen Dobbie Swansea, 39, AM(C)",2(6),258,0.9,0.4,0.1,-,-,0.8,-,-,6.21,-,-,1.6,0.3,0.1,-,1.9,1,13.6,74.3,0.3,0.5,-
4,"495DJ CampbellQPR, 40, AM(LR),FW","DJ Campbell QPR, 40, AM(LR),FW",2(9),319,0.3,0.5,0.5,-,0.1,0.1,0.1,-,6.2,1,-,0.7,0.4,0.7,0.3,0.6,0.5,7,71.4,0.1,0.1,-
5,"496Marcello TrottaFulham, 29, AM(R),FW","Marcello Trotta Fulham, 29, AM(R),FW",0(1),2,-,-,-,-,-,-,-,-,6.2,-,-,1,-,-,-,-,-,-,-,-,-,-
6,"497Vedran CorlukaTottenham, 36, D(C)","Vedran Corluka Tottenham, 36, D(C)",1(2),136,1.7,1.3,0.3,-,3.3,-,0.7,-,6.2,-,-,-,-,-,-,1,-,19,80.7,-,0.3,-
7,"498Sylvan Ebanks-BlakeWolves, 36, AM(L),FW","Sylvan Ebanks-Blake Wolves, 36, AM(L),FW",8(15),1014,0.5,0.1,0.9,-,-,0.1,-,-,6.19,1,3,1.3,0.4,0.4,0.7,1.4,1.6,12.8,79.3,0.1,0.2,0.1
8,"499George ElokobiWolves, 36, D(C)","George Elokobi Wolves, 36, D(C)",3(6),291,0.8,0.3,0.4,0.2,3.2,0.6,0.1,-,6.19,-,-,0.1,0.1,0.6,-,0.3,0.2,15.6,79.3,0.2,0.7,-
9,"500Tuncay SanliBolton, 40, M(L),FW","Tuncay Sanli Bolton, 40, M(L),FW",3(13),386,0.6,0.3,0.3,-,0.3,0.1,0.1,-,6.18,-,-,0.6,0.3,0.4,0.2,0.4,0.8,8.3,71.4,0.2,0.1,-
0,"481David GoodwillieBlackburn, 33, FW","David Goodwillie Blackburn, 33, FW",4(16),597,0.3,0.4,0.4,-,0.4,0.2,0.1,-,6.25,2,-,1,0.5,0.5,0.2,0.7,0.5,7.3,80.1,0.1,0.2,-
1,"482Chris MartinNorwich, 33, FW","Chris Martin Norwich, 33, FW",3(1),240,0.3,0.5,0.8,-,-,-,-,-,6.24,-,-,0.8,1,1,-,1,1.8,20.3,69.1,-,0.3,-
2,"483Alan TateSwansea, 39, Defender","Alan Tate Swansea, 39, Defender",1(4),164,1.0,0.4,0.4,-,2.4,0.2,1,-,6.24,-,-,-,0.4,0.6,-,-,-,16.2,87.7,-,0.4,-
3,"484Anthony FordeWolves, 28, D(R),M(CLR)","Anthony Forde Wolves, 28, D(R),M(CLR)",3(3),243,0.7,1.3,-,-,0.2,0.2,-,-,6.24,-,-,0.5,0.2,-,-,1.5,1,11.0,83.3,-,0.2,0.2
4,"485Luke MooreSwansea, 36, FW","Luke Moore Swansea, 36, FW",3(17),521,0.6,0.1,0.9,-,0.4,0.1,0.1,-,6.23,2,-,0.5,0.4,0.7,0.1,0.8,0.8,9.9,84.3,-,0.2,-
5,"486George ThorneWest Brom, 29, DMC","George Thorne West Brom, 29, DMC",1(2),102,1.3,0.3,-,-,1.3,0.3,0.3,-,6.23,-,-,0.3,-,0.3,-,0.3,-,16.3,79.6,-,0.7,-
6,"487Kenwyne JonesStoke, 37, FW","Kenwyne Jones Stoke, 37, FW",10(11),975,0.1,0.2,0.6,-,0.6,0.4,0.1,-,6.23,1,-,1.1,0.2,0.6,0.1,1.1,1,11.5,59.9,-,0.3,-
7,"488Patrick AgyemangQPR, 41, Forward","Patrick Agyemang QPR, 41, Forward",2,148,0.5,0.5,-,-,-,-,-,-,6.23,-,-,1,-,2,-,1.5,1.5,17.0,55.9,-,-,-
8,"489Adlène GuédiouraWolves, 36, M(C)","Adlène Guédioura Wolves, 36, M(C)",2(8),295,1.1,0.8,0.8,-,0.3,0.5,-,-,6.22,-,-,1.5,0.1,0.3,0.1,1.6,0.8,12.7,74.0,0.2,0.8,-
9,"490Federico MachedaMan Utd, 30, FW","Federico Macheda Man Utd, 30, FW",0(3),44,0.3,0.3,0.3,-,-,1,-,-,6.22,-,-,0.7,0.7,0.7,-,-,1,8.7,84.6,-,-,-
0,"471Ross BarkleyEverton, 28, M(CLR)","Ross Barkley Everton, 28, M(CLR)",2(4),214,0.5,-,0.3,-,-,0.5,-,-,6.27,-,-,1.2,0.8,0.8,-,0.7,0.7,15.8,82.1,0.5,2.2,-
1,"472Aaron WilbrahamNorwich, 42, FW","Aaron Wilbraham Norwich, 42, FW",2(9),308,0.1,0.1,0.5,-,0.1,0.2,-,-,6.27,1,1,1.0,0.5,0.5,0.2,1.5,0.7,9.0,47.5,-,0.3,-
2,"473David MeylerSunderland, 33, D(R),DMC,M(LR)","David Meyler Sunderland, 33, D(R),DMC,M(LR)",1(6),160,1.4,0.1,0.3,-,0.3,0.6,-,-,6.26,-,-,0.1,-,0.6,-,0.1,1.3,14.7,76.7,-,1.0,-
3,"474Leroy LitaSwansea, 37, Forward","Leroy Lita Swansea, 37, Forward",4(12),456,0.2,0.4,0.5,-,0.1,0.1,-,-,6.26,2,1,0.8,0.2,0.4,0.1,0.9,0.6,6.5,75.0,-,0.1,-
4,"475Ji Dong-WonSunderland, 31, AM(CLR),FW","Ji Dong-Won Sunderland, 31, AM(CLR),FW",2(17),435,0.2,0.3,0.4,-,0.2,0.1,0.1,-,6.26,2,2,0.6,0.5,0.4,0.3,0.4,0.8,11.5,83.6,0.1,0.3,0.1
5,"476Kevin FoleyWolves, 37, D(R)","Kevin Foley Wolves, 37, D(R)",11(5),1069,1.2,1.1,0.4,0.1,2.1,0.4,0.2,-,6.26,-,-,0.1,0.4,0.2,0.1,0.4,0.7,34.1,85.3,0.4,1.6,-
6,"477Andreas WeimannAston Villa, 30, M(CLR),FW","Andreas Weimann Aston Villa, 30, M(CLR),FW",5(9),533,0.3,0.4,0.4,-,0.1,0.1,-,-,6.26,2,-,1.4,0.4,0.4,0.3,0.7,1.1,9.1,76.4,-,0.1,-
7,"478Peter LøvenkrandsNewcastle, 42, AM(CL),FW","Peter Løvenkrands Newcastle, 42, AM(CL),FW",2(7),204,0.3,0.1,0.4,-,0.3,0.2,-,-,6.25,-,1,0.2,0.3,0.1,0.2,0.1,0.3,7.1,71.9,0.2,0.1,0.1
8,"479Gary GardnerAston Villa, 29, M(C)","Gary Gardner Aston Villa, 29, M(C)",5(9),606,0.8,0.9,0.9,-,0.7,0.6,0.5,-,6.25,-,-,1.1,0.1,0.4,-,0.4,0.3,18.4,70.8,0.1,1.9,-
9,"480Albert CrusatWigan, 40, M(CL),FW","Albert Crusat Wigan, 40, M(CL),FW",4(11),486,0.7,0.3,0.3,-,0.2,0.5,-,-,6.25,1,-,0.5,0.4,0.5,0.2,0.3,0.7,10.7,84.4,0.2,0.4,0.1
