,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"611Dominik GreifMallorca, 25, GK","Dominik Greif Mallorca, 25, GK",1,90,-,-,-,-,-,-,-,-,5.86,-,-,-,-,-,-,-,-,25.0,56.0,-,4,-
1,"612Jesús AresoOsasuna, 22, Defender","Jesús Areso Osasuna, 22, Defender",2(1),189,1,-,1,0.3,0.7,0.7,-,-,5.83,-,-,-,0.3,1.3,-,1.3,1.7,12.7,84.2,-,0.7,-
2,"613Javier OntiverosOsasuna, 24, AM(LR)","Javier Ontiveros Osasuna, 24, AM(LR)",0(3),36,-,0.3,0.3,-,-,0.7,-,-,5.81,-,-,0.7,-,0.3,-,0.3,-,9.7,79.3,0.3,-,-
3,"614Pedro BenitoCadiz, 22, Forward","Pedro Benito Cadiz, 22, Forward",0(1),31,-,-,3,-,-,1,-,-,5.81,-,-,-,-,-,-,-,2,4.0,75.0,-,-,-
4,"615Sergio BarciaGranada, 21, Midfielder","Sergio Barcia Granada, 21, Midfielder",1,77,-,1,-,1,-,-,1,-,5.62,-,-,-,-,-,-,1,-,22.0,36.4,-,-,-
5,"616Juan PérezOsasuna, 25, GK","Juan Pérez Osasuna, 25, GK",2,180,-,-,-,-,1,0.5,-,-,5.44,-,-,-,-,-,-,-,-,17.5,40.0,-,5.5,-
6,"617Joan GarcíaEspanyol, 21, Goalkeeper","Joan García Espanyol, 21, Goalkeeper",1(1),107,-,0.5,-,-,0.5,-,-,-,5.0,-,-,-,-,-,-,-,-,12.5,72.0,-,3,-
7,"618Josep GayáMallorca, 21, Defender","Josep Gayá Mallorca, 21, Defender",1,59,-,1,-,-,3,-,-,-,4.74,-,-,-,-,-,-,-,1,28.0,82.1,-,1,-
0,"601Andrés MartínRayo Vallecano, 22, Forward","Andrés Martín Rayo Vallecano, 22, Forward",1(6),182,-,-,0.4,-,-,0.1,-,-,5.96,-,-,0.7,-,0.3,0.4,0.7,0.6,4.7,63.6,-,-,-
1,"602Jesús SantiagoValencia, 18, Midfielder","Jesús Santiago Valencia, 18, Midfielder",0(3),81,0.7,-,0.3,-,0.3,0.7,-,-,5.96,-,-,-,-,0.3,-,0.3,0.7,11.7,80.0,-,0.7,-
2,"603Jon MorcilloAthletic Bilbao, 23, AM(L)","Jon Morcillo Athletic Bilbao, 23, AM(L)",0(7),49,0.4,-,0.3,-,-,0.1,-,-,5.96,-,-,0.1,-,0.1,-,0.1,0.6,3.7,76.9,-,0.1,-
3,"604Javi DíazSevilla, 25, Goalkeeper","Javi Díaz Sevilla, 25, Goalkeeper",1,90,-,-,-,-,-,-,-,-,5.94,-,-,-,-,-,-,-,-,32.0,81.3,-,7,-
4,"605Juan LatasaReal Madrid, 21, Forward","Juan Latasa Real Madrid, 21, Forward",0(1),8,-,-,-,-,-,-,-,-,5.94,-,-,1,-,-,-,-,1,5.0,80.0,-,-,-
5,"606Cristhian MosqueraValencia, 17, Defender","Cristhian Mosquera Valencia, 17, Defender",3(3),211,0.7,0.5,0.7,-,0.2,0.5,-,-,5.91,-,-,0.2,-,-,-,-,0.3,12.7,85.5,-,1.2,-
6,"607Hugo SoteloCelta Vigo, 18, Midfielder","Hugo Sotelo Celta Vigo, 18, Midfielder",0(1),1,-,-,-,-,-,-,-,-,5.91,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
7,"608Chema RodríguezGetafe, 30, D(CL)","Chema Rodríguez Getafe, 30, D(CL)",2,47,-,-,1,-,-,0.5,-,-,5.89,-,-,0.5,0.5,-,-,-,-,7.5,73.3,-,1,-
8,"609Juanlu SánchezSevilla, 18, Midfielder","Juanlu Sánchez Sevilla, 18, Midfielder",0(1),4,1,-,1,-,-,1,-,-,5.89,-,-,-,-,-,-,-,1,4.0,50.0,-,-,-
9,"610Marc TenasDeportivo Alaves, 20, Forward","Marc Tenas Deportivo Alaves, 20, Forward",0(3),51,0.3,-,1,-,-,-,-,-,5.88,-,-,-,0.3,0.3,-,0.3,1.3,6.3,73.7,-,-,-
0,"591Nikita IosifovVillarreal, 21, Midfielder","Nikita Iosifov Villarreal, 21, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,2,100,-,-,-
1,"592Peru NolaskoainAthletic Bilbao, 23, Defender","Peru Nolaskoain Athletic Bilbao, 23, Defender",0(1),1,-,-,1,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,2,100,-,-,-
2,"593Raúl GarcíaReal Betis, 21, Forward","Raúl García Real Betis, 21, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,-,-,-,-
3,"594Valentino FattoreSevilla, 20, Defender","Valentino Fattore Sevilla, 20, Defender",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,1,-,-,-,-,-,-
4,"595GoriEspanyol, 20, Midfielder","Gori Espanyol, 20, Midfielder",0(1),8,-,-,1,-,-,-,-,-,5.99,-,-,-,1,-,-,-,-,6,83.3,-,-,-
5,"596Iván MartínDeportivo Alaves, 23, Midfielder","Iván Martín Deportivo Alaves, 23, Midfielder",2(4),166,0.2,0.2,0.3,-,0.2,0.2,-,-,5.99,-,-,0.2,-,0.2,-,1,0.5,10.2,82,-,0.2,-
6,"597Álvaro AguirreRayo Vallecano, 22, Forward","Álvaro Aguirre Rayo Vallecano, 22, Forward",0(1),8,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,1,2,100,-,-,-
7,"598Matthew HoppeMallorca, 21, FW","Matthew Hoppe Mallorca, 21, FW",1(4),130,0.2,-,0.8,-,-,0.6,-,-,5.98,-,1,0.4,0.6,0.2,0.4,0.8,0.6,6.8,70.6,-,-,-
8,"599Javier SerranoAtletico, 19, Midfielder","Javier Serrano Atletico, 19, Midfielder",1(4),67,0.6,0.6,0.8,-,0.4,0.4,-,-,5.97,-,-,-,-,0.2,-,-,0.6,7.4,78.4,-,0.2,-
9,"600BarberoOsasuna, 23, Forward","Barbero Osasuna, 23, Forward",0(6),16,-,-,0.3,-,0.2,-,-,-,5.97,-,-,-,-,0.2,-,0.3,0.8,1.8,63.6,-,-,-
0,"581David TimorGetafe, 32, D(C),M(C)","David Timor Getafe, 32, D(C),M(C)",3(4),339,0.1,0.1,0.9,0.1,0.6,0.4,0.3,-,6.01,-,-,1.1,0.1,0.3,-,0.7,0.1,24.7,81.5,0.3,3,-
1,"582Álvaro SanzBarcelona, 21, Midfielder","Álvaro Sanz Barcelona, 21, Midfielder",0(2),27,-,-,-,-,-,0.5,-,-,6.01,-,-,-,0.5,0.5,-,-,-,6,83.3,-,-,-
2,"583Ander CapaAthletic Bilbao, 30, D(R),M(R)","Ander Capa Athletic Bilbao, 30, D(R),M(R)",0(1),3,-,-,-,-,-,-,-,-,6.01,-,-,1,-,-,-,-,-,2,50,-,-,-
3,"584Omar FarajLevante, 20, Forward","Omar Faraj Levante, 20, Forward",0(1),3,1,-,1,-,-,-,-,-,6.01,-,-,-,-,-,-,-,1,2,-,-,-,-
4,"585Adrián ButzkeGranada, 23, FW","Adrián Butzke Granada, 23, FW",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,-,-,-,-
5,"586Benjamin LecomteAtletico, 31, GK","Benjamin Lecomte Atletico, 31, GK",1,1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
6,"587Giuliano SimeoneAtletico, 19, Forward","Giuliano Simeone Atletico, 19, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,2,-,-,-,3,33.3,-,-,-
7,"588Luca KoleoshoEspanyol, 17, Midfielder","Luca Koleosho Espanyol, 17, Midfielder",0(1),1,-,-,2,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,100,-,-,-
8,"589Miguel BaezaCelta Vigo, 22, Midfielder","Miguel Baeza Celta Vigo, 22, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,4,100,-,-,-
9,"590Mika MármolBarcelona, 20, Defender","Mika Mármol Barcelona, 20, Defender",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,5,80,-,-,-
0,"571Joan SastreMallorca, 25, D(R)","Joan Sastre Mallorca, 25, D(R)",2(5),255,0.9,0.3,0.4,0.1,1.4,0.1,-,-,6.05,-,-,0.3,-,0.9,-,0.3,0.3,11.3,74.7,-,0.9,-
1,"572Lago JuniorMallorca, 31, M(L)","Lago Junior Mallorca, 31, M(L)",1(5),175,0.5,0.3,0.8,-,0.3,0.3,-,-,6.05,-,-,1,-,1.2,-,1,0.5,6.7,65.0,-,-,-
2,"573Dani RabaGranada, 26, AM(CR)","Dani Raba Granada, 26, AM(CR)",0(2),24,1,0.5,0.5,-,-,0.5,-,-,6.05,-,-,-,-,0.5,-,1.5,1.5,1.5,66.7,-,-,-
3,"574Tomás MendesDeportivo Alaves, 17, Midfielder","Tomás Mendes Deportivo Alaves, 17, Midfielder",0(1),8,-,-,-,-,1,-,-,-,6.04,-,-,-,-,-,-,-,-,5.0,80.0,-,1,-
4,"575Víctor GómezEspanyol, 22, D(R),M(R)","Víctor Gómez Espanyol, 22, D(R),M(R)",0(1),3,-,-,-,-,-,-,-,-,6.04,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
5,"576Yacine QasmiRayo Vallecano, 31, Forward","Yacine Qasmi Rayo Vallecano, 31, Forward",0(1),3,-,-,-,-,-,-,-,-,6.03,-,-,-,-,-,-,-,1,2.0,50.0,-,-,-
6,"577Aleksander SedlarMallorca, 30, D(C)","Aleksander Sedlar Mallorca, 30, D(C)",3(7),401,0.5,0.5,0.9,0.2,1.8,0.2,0.4,-,6.02,-,-,-,0.2,0.6,-,-,0.3,17.5,81.7,-,0.9,-
7,"578Erick CabacoGetafe, 27, D(C)","Erick Cabaco Getafe, 27, D(C)",6(5),405,0.2,0.4,0.6,0.5,0.7,0.3,0.2,1,6.02,-,1,0.1,0.2,0.4,-,-,0.1,15.4,66.3,-,1.5,-
8,"579Alejandro AsensioRayo Vallecano, 21, Forward","Alejandro Asensio Rayo Vallecano, 21, Forward",0(2),12,-,-,-,-,-,-,-,-,6.02,-,-,0.5,0.5,-,-,-,1,3.5,85.7,0.5,0.5,-
9,"580Mario DominguezValencia, 18, Midfielder","Mario Dominguez Valencia, 18, Midfielder",0(2),23,-,-,0.5,-,0.5,-,-,-,6.02,-,-,-,-,-,-,-,-,1.5,66.7,-,-,-
0,"561Mamadou SyllaRayo Vallecano, 28, FW","Mamadou Sylla Rayo Vallecano, 28, FW",1(11),247,0.1,0.3,0.7,-,0.3,0.1,-,-,6.07,-,-,0.9,0.2,0.3,0.2,0.2,0.8,5.2,72.6,-,0.3,-
1,"562Estanis PedrolaBarcelona, 18, Forward","Estanis Pedrola Barcelona, 18, Forward",0(1),10,1,-,1,-,-,-,-,-,6.07,-,-,-,-,-,-,-,1,1.0,-,-,-,-
2,"563Manu VallejoValencia, 25, FW","Manu Vallejo Valencia, 25, FW",0(9),90,0.2,-,0.7,-,0.1,0.1,-,-,6.07,-,-,0.3,0.1,0.1,0.1,0.3,0.2,3.2,65.5,0.2,-,-
3,"564Eray CömertValencia, 24, D(C)","Eray Cömert Valencia, 24, D(C)",5(3),408,0.6,0.3,0.4,0.8,0.8,0.4,0.3,-,6.07,-,-,0.4,0.1,-,-,-,0.4,25.0,84.5,-,2.1,-
4,"565Milutin OsmajicCadiz, 22, Forward","Milutin Osmajic Cadiz, 22, Forward",2(8),251,0.1,0.1,0.3,-,0.3,-,-,-,6.06,-,-,0.4,-,0.7,0.5,0.3,1.4,4.6,54.3,-,-,-
5,"566Aleix FebasMallorca, 26, AM(C)","Aleix Febas Mallorca, 26, AM(C)",1(3),115,1,-,0.5,-,-,0.5,-,-,6.06,-,-,-,0.3,1.3,-,0.3,0.8,13.3,86.8,-,1.3,0.3
6,"567Florin AndoneCadiz, 29, FW","Florin Andone Cadiz, 29, FW",1(4),174,0.2,-,0.6,-,0.2,0.2,-,-,6.06,-,-,0.6,0.6,0.4,0.6,0.6,1.8,7.6,65.8,-,-,-
7,"568Álvaro VadilloEspanyol, 27, AM(LR)","Álvaro Vadillo Espanyol, 27, AM(LR)",0(3),6,0.3,-,0.3,-,0.3,0.3,-,-,6.06,-,-,-,-,0.3,-,-,-,3.0,77.8,-,0.3,-
8,"569Iker BenitoOsasuna, 19, Forward","Iker Benito Osasuna, 19, Forward",1(3),117,0.5,-,0.3,-,0.3,0.3,-,-,6.06,-,-,0.8,0.3,0.8,-,1,1,5.8,78.3,0.3,-,-
9,"570Carlo GarcíaVillarreal, 21, Midfielder","Carlo García Villarreal, 21, Midfielder",0(1),6,-,-,-,-,-,-,-,-,6.05,-,-,-,-,-,-,-,-,4.0,100,-,-,-
0,"551Luismi CruzSevilla, 21, Midfielder","Luismi Cruz Sevilla, 21, Midfielder",0(2),12,-,-,-,-,-,-,-,-,6.1,-,-,-,-,-,-,-,-,3.0,33.3,-,-,-
1,"552Jonathan SilvaGetafe, 27, D(CL),M(L)","Jonathan Silva Getafe, 27, D(CL),M(L)",1(8),222,1.1,0.3,1.1,0.1,0.8,0.6,-,-,6.1,-,-,0.1,0.2,0.6,-,0.4,0.2,8.0,69.4,0.1,0.3,-
2,"553Yan EtekiGranada, 24, DMC","Yan Eteki Granada, 24, DMC",2(10),337,0.5,0.3,1.5,-,0.5,0.3,0.3,-,6.1,-,-,0.1,0.1,0.4,-,0.6,0.5,10.6,74.8,-,0.3,-
3,"554Dani RabaVillarreal, 26, AM(CR)","Dani Raba Villarreal, 26, AM(CR)",0(7),83,0.1,-,0.6,-,0.3,0.1,-,-,6.1,-,-,-,0.6,0.7,0.1,0.3,0.7,5.3,70.3,0.3,0.4,0.1
4,"555Marc PubillLevante, 18, Defender","Marc Pubill Levante, 18, Defender",5(6),512,1.1,0.4,1,0.2,0.6,0.4,0.2,-,6.1,-,1,0.5,0.5,0.7,-,0.3,1.4,18.4,79.2,0.2,0.3,-
5,"556Martín CáceresLevante, 35, D(CLR),M(R)","Martín Cáceres Levante, 35, D(CLR),M(R)",9(1),670,0.2,1.1,0.8,0.2,1.5,0.4,0.2,-,6.09,-,-,-,0.3,0.8,-,0.1,0.4,34.4,82.0,0.1,2.4,-
6,"557Juan CalaCadiz, 32, D(C)","Juan Cala Cadiz, 32, D(C)",11(4),948,0.6,0.8,0.7,0.2,3.7,0.6,0.4,-,6.09,-,-,0.3,0.1,0.5,0.1,0.2,0.2,19.4,73.9,-,2.2,-
7,"558Unai RoperoDeportivo Alaves, 20, Midfielder","Unai Ropero Deportivo Alaves, 20, Midfielder",0(1),11,-,1,-,-,-,-,-,-,6.08,-,-,-,-,1,-,1,1,1.0,100.0,-,-,-
8,"559Víctor CamarasaReal Betis, 27, M(CR)","Víctor Camarasa Real Betis, 27, M(CR)",0(7),102,0.3,0.3,0.3,-,0.3,0.1,0.1,-,6.08,-,-,0.1,-,0.4,-,-,0.7,7.1,82.0,-,-,-
9,"560Rubén IranzoValencia, 19, Defender","Rubén Iranzo Valencia, 19, Defender",1(3),134,0.8,0.5,0.5,0.5,1.5,1.3,-,-,6.08,-,-,0.3,-,-,-,-,-,11.8,80.9,-,0.5,-
0,"541John GuidettiDeportivo Alaves, 30, FW","John Guidetti Deportivo Alaves, 30, FW",2(8),274,0.2,-,0.9,-,-,0.1,-,-,6.12,-,-,1,0.4,0.3,0.3,0.2,0.6,7,77.1,-,0.1,-
1,"542Javier LópezDeportivo Alaves, 20, D(L)","Javier López Deportivo Alaves, 20, D(L)",4(5),458,0.9,0.4,0.7,0.1,1.2,0.2,0.1,-,6.12,-,-,-,0.4,1.3,-,0.7,0.7,17.7,77.4,0.4,1.1,-
2,"543Alejandro CanteroLevante, 21, FW","Alejandro Cantero Levante, 21, FW",4(21),597,0.2,-,0.5,-,-,0.3,-,-,6.12,-,1,0.6,0.1,0.2,-,0.3,0.6,4.8,68.3,0.1,0.2,-
3,"544Hugo ÁlvarezCelta Vigo, 18, Midfielder","Hugo Álvarez Celta Vigo, 18, Midfielder",0(1),10,1.0,-,-,-,1,-,-,-,6.12,-,-,1,-,-,-,-,2,3,33.3,-,-,-
4,"545Landry DimataEspanyol, 24, FW","Landry Dimata Espanyol, 24, FW",4(13),537,0.1,0.1,0.8,-,0.4,0.2,-,-,6.12,-,-,0.5,0.3,1.2,0.2,0.6,1.4,5.4,72.8,-,0.1,-
5,"546Marcos MauroCadiz, 31, D(C)","Marcos Mauro Cadiz, 31, D(C)",1(2),136,0.3,0.3,0.3,0.7,3,0.7,0.3,-,6.12,-,-,-,-,0.3,-,-,-,8.3,52,-,-,-
