,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"541Liam McCarronLeeds, 21, Midfielder","Liam McCarron Leeds, 21, Midfielder",0(1),9,-,-,-,-,-,-,-,-,5.91,-,-,-,-,-,-,-,-,2.0,100.0,-,-,-
1,"542Lewis BateLeeds, 19, Midfielder","Lewis Bate Leeds, 19, Midfielder",1(2),147,0.3,0.3,1,-,0.3,2.7,-,-,5.82,-,-,0.3,-,0.3,-,0.7,3,20.3,73.8,-,1,-
2,"543Freddie WoodmanNewcastle, 25, GK","Freddie Woodman Newcastle, 25, GK",4,360,-,-,-,-,-,-,-,-,5.81,-,-,-,-,-,-,-,-,26.8,58.9,-,6,-
3,"544Sead KolasinacArsenal, 28, D(CL),DMC,M(L)","Sead Kolasinac Arsenal, 28, D(CL),DMC,M(L)",1(1),91,-,2,1,-,0.5,-,-,-,5.72,-,-,-,-,-,-,-,-,7.0,92.9,-,-,-
4,"545Isaac PriceEverton, 18, Midfielder","Isaac Price Everton, 18, Midfielder",0(1),12,-,-,-,-,-,-,-,-,5.7,-,-,1,-,-,-,1,-,2.0,50.0,-,-,-
5,"546Jonas LösslBrentford, 33, GK","Jonas Lössl Brentford, 33, GK",2,180,-,-,-,-,0.5,-,-,-,5.55,-,-,-,-,-,-,-,-,27.5,65.5,-,6,-
6,"547Jed SteerAston Villa, 29, GK","Jed Steer Aston Villa, 29, GK",1,90,-,-,-,-,-,-,-,-,5.46,-,-,-,-,-,-,-,-,31.0,74.2,-,4,-
0,"531Nathan FergusonCrystal Palace, 21, D(LR)","Nathan Ferguson Crystal Palace, 21, D(LR)",0(1),8,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,3,33.3,-,-,-
1,"532Nathan Young-CoombesBrentford, 19, Forward","Nathan Young-Coombes Brentford, 19, Forward",0(1),3,-,-,1,-,-,-,-,-,5.98,-,-,-,-,-,-,-,1,-,-,-,-,-
2,"533Tony SpringettNorwich, 19, Midfielder","Tony Springett Norwich, 19, Midfielder",1(2),141,0.7,-,0.3,-,0.3,1,-,-,5.97,-,-,0.3,0.7,1.3,-,1,0.7,12,66.7,0.3,-,-
3,"534Hannibal MejbriMan Utd, 19, Midfielder","Hannibal Mejbri Man Utd, 19, Midfielder",1(1),68,1,-,1.5,-,-,-,-,-,5.97,-,-,0.5,-,-,0.5,0.5,0.5,10.5,81,-,-,-
4,"535Cenk TosunEverton, 30, FW","Cenk Tosun Everton, 30, FW",0(1),6,-,-,-,-,-,-,-,-,5.96,-,-,-,-,-,-,-,1,1,100,-,-,-
5,"536Jaden Philogene-BidaceAston Villa, 20, AM(L)","Jaden Philogene-Bidace Aston Villa, 20, AM(L)",0(1),4,-,-,-,-,-,-,-,-,5.95,-,-,-,-,1,-,3,-,2,-,-,-,-
