,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"521Hugo SiquetFreiburg, 19, D(R),M(R)","Hugo Siquet Freiburg, 19, D(R),M(R)",0(1),21,-,-,1,-,-,-,-,-,5.74,-,-,-,-,-,-,-,1,12,75.0,1,-,-
1,"522Nick ProschwitzHoffenheim, 35, FW","Nick Proschwitz Hoffenheim, 35, FW",0(1),26,-,-,-,-,-,-,-,-,5.73,-,-,1,-,-,-,1,-,4,75.0,-,-,-
2,"523Benjamin UphoffFreiburg, 28, GK","Benjamin Uphoff Freiburg, 28, GK",2,180,-,-,-,-,1.5,-,-,-,5.1,-,-,-,-,-,-,-,-,38,59.2,-,11.5,-
0,"511Gideon JungGreuther Fuerth, 27, D(C),DMC","Gideon Jung Greuther Fuerth, 27, D(C),DMC",1(4),140,0.6,0.4,-,0.2,0.8,0.4,0.2,-,5.96,-,-,-,-,0.8,-,-,0.2,12.6,77.8,-,0.2,-
1,"512Marius FunkGreuther Fuerth, 26, GK","Marius Funk Greuther Fuerth, 26, GK",8,720,-,-,0.1,-,1,-,-,-,5.96,-,-,-,0.4,0.1,-,-,-,41.5,59.9,-,9.6,-
2,"513Joscha WoszRBL, 19, Midfielder","Joscha Wosz RBL, 19, Midfielder",0(1),8,-,-,1,-,-,-,-,-,5.95,-,-,-,-,-,-,1,-,4.0,75.0,-,-,-
3,"514Lennart CzyborraArminia Bielefeld, 23, D(L),M(L)","Lennart Czyborra Arminia Bielefeld, 23, D(L),M(L)",1(3),130,-,0.8,1.3,0.3,0.8,0.5,-,-,5.89,-,-,-,-,-,-,0.8,0.3,7.8,45.2,0.3,0.3,-
4,"515Antonios PapadopoulosBorussia Dortmund, 22, Midfielder","Antonios Papadopoulos Borussia Dortmund, 22, Midfielder",0(2),15,-,-,0.5,-,-,-,-,-,5.88,-,-,-,-,-,-,-,0.5,5.5,81.8,-,1,-
5,"516Thomas DelaneyBorussia Dortmund, 30, DMC","Thomas Delaney Borussia Dortmund, 30, DMC",0(1),17,-,-,-,-,-,-,-,-,5.88,-,-,-,-,-,-,-,-,11.0,72.7,-,-,-
6,"517Josep MartínezRBL, 23, Goalkeeper","Josep Martínez RBL, 23, Goalkeeper",1,90,-,-,-,-,1,-,-,-,5.86,-,-,-,-,-,-,-,-,20.0,85.0,-,3,-
7,"518Roman BürkiBorussia Dortmund, 31, GK","Roman Bürki Borussia Dortmund, 31, GK",1,90,-,-,-,-,-,-,-,-,5.85,-,-,-,-,-,-,-,-,20.0,65.0,-,1,-
8,"519Robert TescheBochum, 34, M(C)","Robert Tesche Bochum, 34, M(C)",5(6),349,0.5,0.5,0.5,0.1,0.5,0.2,0.2,-,5.82,-,-,0.2,-,0.1,0.1,0.3,-,15.9,85.7,-,1.2,-
9,"520Jens GrahlEintracht Frankfurt, 33, GK","Jens Grahl Eintracht Frankfurt, 33, GK",1,90,-,-,-,-,1,-,-,-,5.81,-,-,-,-,-,-,-,-,24.0,79.2,-,1,-
0,"501Luca KilianMainz, 22, D(C)","Luca Kilian Mainz, 22, D(C)",0(1),1,-,-,1,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,-,-,-,-
1,"502Naouirou AhamadaStuttgart, 20, Midfielder","Naouirou Ahamada Stuttgart, 20, Midfielder",0(3),57,0.3,-,0.7,-,-,0.7,-,-,6.0,-,-,-,-,0.3,-,-,1,10.7,87.5,-,0.3,-
2,"503Nils SeufertGreuther Fuerth, 25, AM(C)","Nils Seufert Greuther Fuerth, 25, AM(C)",1(3),98,0.8,-,-,0.3,-,0.3,-,-,6.0,-,-,-,-,0.3,-,-,-,7.8,67.7,-,0.3,-
3,"504Romario RöschMainz, 22, Midfielder","Romario Rösch Mainz, 22, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,1,-,-,-,-,-
4,"505Stephan FürstnerMainz, 34, DMC","Stephan Fürstner Mainz, 34, DMC",0(1),4,-,-,-,-,1,2,-,-,6.0,-,-,-,-,-,-,-,-,4,25,-,-,-
5,"506Panagiotis RetsosLeverkusen, 23, D(CLR)","Panagiotis Retsos Leverkusen, 23, D(CLR)",0(4),28,-,0.3,-,-,-,-,-,-,6.0,-,-,0.3,-,0.3,-,-,-,3,83.3,-,-,-
6,"507Fisnik AsllaniHoffenheim, 19, Forward","Fisnik Asllani Hoffenheim, 19, Forward",0(2),7,-,-,-,-,-,0.5,-,-,5.99,-,-,-,-,-,-,-,-,4,75,-,-,-
