,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
1,"492Aleksandar TrajkovskiPalermo FC, 29, AM(CLR),FW","Aleksandar Trajkovski Palermo FC, 29, AM(CLR),FW",5(6),437,0.9,0.1,0.2,-,-,0.5,-,-,6.23,1,-,0.6,0.5,0.8,0.1,1.5,1.7,10.5,81.9,0.5,0.4,-
2,"493Bartlomiej DragowskiFiorentina, 24, GK","Bartlomiej Dragowski Fiorentina, 24, GK",1,90,-,-,-,-,1,-,-,-,6.23,-,-,-,-,-,-,-,-,23.0,82.6,-,9,-
3,"494Pietro PellegriGenoa, 21, FW","Pietro Pellegri Genoa, 21, FW",1(2),74,-,0.3,0.3,-,-,0.3,-,-,6.23,1,-,0.7,-,0.3,0.7,0.3,2,1.7,60.0,-,-,-
4,"495Thomas HeurtauxUdinese, 33, D(CR)","Thomas Heurtaux Udinese, 33, D(CR)",6(6),526,0.9,1.1,0.6,0.3,1.7,0.4,0.3,-,6.23,-,1,0.3,0.1,0.1,-,0.1,0.2,15.6,77.5,0.1,1.3,-
5,"496Aleksandar TonevCrotone, 32, AM(CR),FW","Aleksandar Tonev Crotone, 32, AM(CR),FW",9(4),750,0.5,0.3,0.5,-,-,0.2,0.2,-,6.22,1,-,1.7,0.2,0.4,0.2,0.7,1.3,12.9,65.5,0.1,0.6,-
6,"497Ante BudimirSampdoria, 30, FW","Ante Budimir Sampdoria, 30, FW",2(9),304,0.6,-,1.5,-,0.1,0.1,-,-,6.22,-,-,0.9,0.3,0.6,0.3,0.5,1,5.5,65.6,-,-,-
7,"498Gianluca PegoloSassuolo, 41, GK","Gianluca Pegolo Sassuolo, 41, GK",1,90,-,-,-,-,-,-,-,-,6.22,-,-,-,-,-,-,-,-,16.0,75.0,-,3,-
8,"499Rey ManajPescara, 25, FW","Rey Manaj Pescara, 25, FW",4(8),470,0.3,-,1.2,-,0.3,0.4,0.1,-,6.22,2,-,1.2,0.3,0.9,0.7,0.8,1,5.7,69.1,-,0.1,-
9,"500Cristiano LombardiLazio, 26, M(R)","Cristiano Lombardi Lazio, 26, M(R)",3(15),426,0.8,0.1,0.7,-,0.1,0.6,0.1,1,6.22,1,-,0.6,0.2,0.4,0.2,0.2,0.6,6.3,69.0,0.3,0.1,-
0,"481Alexandru MitritaPescara, 27, AM(CL)","Alexandru Mitrita Pescara, 27, AM(CL)",4(11),484,0.3,0.2,0.5,-,0.1,0.6,-,-,6.27,1,2,0.7,0.5,1,-,0.9,1.1,9.9,80.4,0.4,0.1,-
