,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"541Will KeaneHull, 29, AM(C),FW","Will Keane Hull, 29, AM(C),FW",4(1),282,0.2,-,1,-,0.2,0.6,-,-,5.86,-,-,0.8,0.6,0.4,0.4,2.2,2.4,15.2,78.9,-,0.2,-
1,"542James HusbandMiddlesbrough, 28, D(CL),M(L)","James Husband Middlesbrough, 28, D(CL),M(L)",1,59,-,-,-,-,1.0,-,-,-,5.8,-,-,-,-,-,-,1,1,28.0,60.7,-,-,-
2,"543Asmir BegovicChelsea, 34, GK","Asmir Begovic Chelsea, 34, GK",2,180,-,-,-,-,0.5,-,-,-,5.67,-,-,-,-,-,-,-,-,23.0,76.1,-,4.5,-
0,"531Patrick BamfordBurnley, 28, AM(CLR),FW","Patrick Bamford Burnley, 28, AM(CLR),FW",0(6),34,-,-,0.5,-,-,0.2,-,-,5.98,-,-,0.2,-,0.3,0.2,-,0.2,2.2,84.6,-,-,-
1,"532Michael FoliviWatford, 24, FW","Michael Folivi Watford, 24, FW",0(1),9,-,-,1,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,3.0,100,-,-,-
2,"533Sullay KaikaiCrystal Palace, 26, M(CLR),FW","Sullay Kaikai Crystal Palace, 26, M(CLR),FW",0(1),23,1,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,2,-,10.0,70,-,-,-
3,"534Ikechi AnyaWatford, 34, D(L),M(LR),FW","Ikechi Anya Watford, 34, D(L),M(LR),FW",0(1),9,-,-,-,-,-,-,-,-,5.97,-,-,-,-,-,-,-,-,3.0,-,-,-,-
4,"535Yannick BolasieCrystal Palace, 33, AM(LR),FW","Yannick Bolasie Crystal Palace, 33, AM(LR),FW",0(1),24,-,-,1,-,-,1,-,-,5.96,-,-,-,-,-,-,2,2,9.0,88.9,-,-,-
5,"536Joleon LescottSunderland, 39, D(CL)","Joleon Lescott Sunderland, 39, D(CL)",1(1),123,-,2.5,1,-,6.5,-,1.5,-,5.96,-,-,-,-,0.5,-,0.5,-,17.0,85.3,-,1.5,-
6,"537Memphis DepayMan Utd, 28, AM(CL),FW","Memphis Depay Man Utd, 28, AM(CL),FW",0(4),20,0.3,-,0.3,-,0.3,-,-,-,5.95,-,-,-,-,-,0.3,0.5,0.5,3.5,71.4,-,-,-
7,"538Joel AsoroSunderland, 23, AM(R),FW","Joel Asoro Sunderland, 23, AM(R),FW",0(1),9,-,-,-,-,-,-,-,-,5.94,-,-,-,-,-,-,-,1,1.0,-,-,-,-
8,"539Matej VydraWatford, 30, AM(CL),FW","Matej Vydra Watford, 30, AM(CL),FW",0(1),2,-,-,-,-,-,1,-,-,5.94,-,-,-,-,-,-,-,1,2.0,100,-,-,-
9,"540Ben WatsonWatford, 36, M(C)","Ben Watson Watford, 36, M(C)",0(4),51,0.5,1,0.5,-,0.3,0.5,-,-,5.92,-,-,-,-,-,-,-,-,6.3,76,-,0.5,-
0,"521Matthew WorthingtonBournemouth, 24, Midfielder","Matthew Worthington Bournemouth, 24, Midfielder",0(1),16,-,-,-,-,-,-,-,-,6.03,-,-,-,-,-,-,-,1,10,70,-,-,-
1,"522Lukas JutkiewiczBurnley, 33, FW","Lukas Jutkiewicz Burnley, 33, FW",0(2),11,-,-,0.5,-,-,-,-,-,6.03,-,-,-,-,-,-,-,-,3.5,71.4,-,0.5,-
2,"523David NugentMiddlesbrough, 37, M(C),FW","David Nugent Middlesbrough, 37, M(C),FW",0(4),40,0.3,-,0.5,-,-,-,-,-,6.03,-,-,-,-,-,-,0.5,0.3,3.5,85.7,-,0.3,-
3,"524David JonesBurnley, 37, M(C)","David Jones Burnley, 37, M(C)",1,87,-,1,1,-,-,-,-,-,6.02,-,-,-,-,-,-,-,-,37,75.7,1,-,-
4,"525Oliver McBurnieSwansea, 26, AM(CL),FW","Oliver McBurnie Swansea, 26, AM(CL),FW",0(5),78,0.2,-,0.2,-,-,0.4,-,-,6.01,-,-,0.4,0.4,-,-,0.4,-,6.6,78.8,0.2,0.2,-
5,"526Declan RiceWest Ham, 23, D(C),DMC","Declan Rice West Ham, 23, D(C),DMC",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,6,100,-,-,-
6,"527Matty JamesLeicester, 30, DMC","Matty James Leicester, 30, DMC",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,"528Tom CarrollTottenham, 30, M(CL)","Tom Carroll Tottenham, 30, M(CL)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,-,-,-,-
