,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"691Milan BorjanLudogorets Razgrad, 34, GK","Milan Borjan Ludogorets Razgrad, 34, GK",1,90,-,-,-,-,-,1,-,-,5.57,-,-,-,-,-,-,-,-,27,59.3,-,7,-
1,"692Sven BenderBorussia Dortmund, 33, D(C),M(C)","Sven Bender Borussia Dortmund, 33, D(C),M(C)",1,46,-,2,1,1,4,-,-,1,5.57,-,-,-,-,-,-,-,-,45,93.3,-,2,-
2,"693Jordy GasparLyon, 25, Defender","Jordy Gaspar Lyon, 25, Defender",1,79,-,1,4,1,1,-,-,-,5.54,-,-,-,1,3,-,2,-,21,71.4,-,-,-
3,"694Ben HamerLeicester, 34, GK","Ben Hamer Leicester, 34, GK",1,90,-,-,-,-,-,-,-,-,4.84,-,-,-,-,-,-,-,1,32,31.3,-,8,-
4,"695Dorus de VriesCeltic, 41, GK","Dorus de Vries Celtic, 41, GK",1,90,-,-,-,-,1,-,-,-,4.79,-,-,-,-,-,-,-,-,21,57.1,-,7,-
5,"696Julio CésarBenfica, 42, GK","Julio César Benfica, 42, GK",1,90,-,-,1,-,1,-,-,-,4.69,-,-,-,-,-,-,-,-,31,54.8,-,4,-
6,"697Sven UlreichBayern, 33, GK","Sven Ulreich Bayern, 33, GK",1,90,1,-,-,-,-,-,-,-,4.24,-,-,-,-,-,-,-,-,24,83.3,-,2,-
7,"698Radoslaw CierzniakLegia Warszawa, 39, Goalkeeper","Radoslaw Cierzniak Legia Warszawa, 39, Goalkeeper",1,90,-,-,-,-,1,-,-,-,3.07,-,-,-,-,-,-,-,-,27,63.0,-,7,-
0,"681Jakub CzerwinskiLegia Warszawa, 30, Defender","Jakub Czerwinski Legia Warszawa, 30, Defender",4,360,1.8,1.5,0.3,1,6.5,0.3,1.8,-,5.81,-,-,0.5,0.3,0.3,-,-,-,29.5,80.5,-,2.5,-
1,"682Oguzhan ÖzyakupBesiktas, 29, M(C)","Oguzhan Özyakup Besiktas, 29, M(C)",3(1),250,1.3,-,0.3,-,-,0.5,-,-,5.8,-,-,0.8,0.8,-,-,1.5,1,50.5,89.6,0.5,2.5,-
2,"683Oleksandr ShovkovskiyDynamo Kyiv, 47, GK","Oleksandr Shovkovskiy Dynamo Kyiv, 47, GK",1,90,-,-,-,-,2,-,-,-,5.79,-,-,-,-,-,-,-,-,44.0,79.5,-,9,-
3,"684Abdoulaye DiabyClub Bruges, 31, AM(CLR),FW","Abdoulaye Diaby Club Bruges, 31, AM(CLR),FW",2,109,1,-,1.5,-,-,-,-,-,5.77,-,-,-,-,1.5,1,2,2.5,10.5,76.2,-,-,-
4,"685Jeremy MathieuBarcelona, 38, D(CL)","Jeremy Mathieu Barcelona, 38, D(CL)",1(1),80,0.5,0.5,2,0.5,1,-,-,-,5.75,-,-,-,0.5,-,-,-,0.5,30.0,88.3,0.5,2,-
