,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"471Serhou GuirassyFC Koln, 26, AM(L),FW","Serhou Guirassy FC Koln, 26, AM(L),FW",0(6),79,-,-,1,-,0.3,-,-,-,5.95,-,-,0.2,-,0.8,-,0.5,0.3,4.7,64.3,-,-,-
1,"472Mounir BouzianeMainz, 31, Forward","Mounir Bouziane Mainz, 31, Forward",0(1),13,-,-,1,-,-,1,-,-,5.93,-,-,-,-,-,-,-,-,2.0,50.0,-,-,-
2,"473Alen HalilovicHamburg, 25, AM(CR)","Alen Halilovic Hamburg, 25, AM(CR)",1(5),139,0.2,-,-,-,0.2,0.2,-,-,5.92,-,-,0.2,-,-,-,-,0.5,10.3,75.8,-,1,-
3,"474Lukas FrödeWerder Bremen, 27, DMC","Lukas Fröde Werder Bremen, 27, DMC",0(3),13,-,-,0.3,-,-,-,-,-,5.91,-,-,-,-,-,-,-,-,1.3,25.0,-,-,-
4,"475Fallou DiagneWerder Bremen, 32, D(CR),DMC","Fallou Diagne Werder Bremen, 32, D(CR),DMC",2,136,1,1.5,-,-,2,-,1,-,5.84,-,-,-,1,0.5,-,-,-,29.0,75.9,-,3,-
5,"476Ashton GötzHamburg, 28, D(R)","Ashton Götz Hamburg, 28, D(R)",1,66,1,-,1,-,2,4,1,-,5.48,-,-,-,-,2,-,1,-,19.0,78.9,-,1,-
6,"477José RodríguezMainz, 27, D(C),M(CR)","José Rodríguez Mainz, 27, D(C),M(CR)",0(2),6,-,-,1.5,-,-,-,-,-,5.46,-,-,-,-,-,-,0.5,-,3.0,50.0,-,-,-
0,"461Arne MaierHertha Berlin, 23, DMC","Arne Maier Hertha Berlin, 23, DMC",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"462Ba-Muaka SimakalaBorussia M.Gladbach, 25, Forward","Ba-Muaka Simakala Borussia M.Gladbach, 25, Forward",0(1),10,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,1,4,75,-,-,-
2,"463Djibril SowBorussia M.Gladbach, 25, DMC","Djibril Sow Borussia M.Gladbach, 25, DMC",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
3,"464Finn PorathHamburg, 25, M(CR)","Finn Porath Hamburg, 25, M(CR)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
