,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"541Alexander SzymanowskiLeganes, 33, AM(L)","Alexander Szymanowski Leganes, 33, AM(L)",0(1),9,1,-,1,-,-,-,-,-,5.92,-,-,-,-,-,-,-,1,5.0,80.0,-,-,-
1,"542Franco Di SantoRayo Vallecano, 33, AM(CLR),FW","Franco Di Santo Rayo Vallecano, 33, AM(CLR),FW",1(5),170,0.3,-,0.8,-,0.3,0.2,-,-,5.91,-,-,-,-,0.7,0.3,-,0.7,6.0,63.9,-,0.2,-
2,"543Axel WernerSD Huesca, 26, GK","Axel Werner SD Huesca, 26, GK",6,540,-,-,0.2,-,0.3,-,-,-,5.87,-,-,-,-,-,-,-,-,27.0,43.2,-,7.3,-
3,"544Yoel RodríguezReal Valladolid, 33, GK","Yoel Rodríguez Real Valladolid, 33, GK",3,270,-,-,-,-,0.3,-,-,-,5.66,-,-,-,-,-,-,-,-,30.7,45.7,-,9,-
0,"531Jordi CalaveraEibar, 26, Defender","Jordi Calavera Eibar, 26, Defender",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
1,"532Leandro ChichizolaGetafe, 32, GK","Leandro Chichizola Getafe, 32, GK",1,90,-,-,-,-,1,-,-,-,6.0,-,-,-,-,1,-,-,-,24,41.7,-,7,-
2,"533Stiven PlazaReal Valladolid, 23, Forward","Stiven Plaza Real Valladolid, 23, Forward",0(2),36,-,-,0.5,-,-,-,-,-,5.99,-,-,-,-,1.5,-,0.5,-,3,66.7,-,-,-
3,"534Álex BlancoDeportivo Alaves, 23, M(L)","Álex Blanco Deportivo Alaves, 23, M(L)",0(2),14,0.5,-,-,0.5,-,1,-,-,5.99,-,-,-,-,-,-,-,0.5,3,66.7,-,-,-
4,"535Martín MerquelanzReal Sociedad, 26, Forward","Martín Merquelanz Real Sociedad, 26, Forward",0(1),4,-,-,-,-,-,-,-,-,5.99,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"536Sergi GuardiolaGetafe, 31, FW","Sergi Guardiola Getafe, 31, FW",0(3),28,0.3,-,0.3,-,-,-,-,-,5.99,-,-,0.7,-,0.7,-,-,0.7,3.7,54.5,-,-,-
6,"537Emmanuel ApehCelta Vigo, 25, Forward","Emmanuel Apeh Celta Vigo, 25, Forward",0(2),12,-,-,-,-,-,0.5,-,-,5.98,-,-,-,0.5,-,-,1.5,-,2,75,-,-,-
7,"538Iván AlejoGetafe, 27, AM(R)","Iván Alejo Getafe, 27, AM(R)",2(2),147,0.5,-,2.5,-,0.8,1,-,-,5.96,-,-,0.3,0.3,1.8,-,1.3,1,8,46.9,0.3,0.8,-
8,"539Álex ColladoBarcelona, 23, AM(C)","Álex Collado Barcelona, 23, AM(C)",0(1),84,1,-,-,-,1,1,-,-,5.96,-,-,2,-,1,-,-,1,30,83.3,-,1,-
9,"540Ivi LópezReal Valladolid, 27, AM(L)","Ivi López Real Valladolid, 27, AM(L)",0(3),17,-,-,0.3,-,-,-,-,-,5.94,-,-,0.3,-,-,-,0.3,1,3.7,90.9,-,-,-
0,"521Patrick TwumasiDeportivo Alaves, 28, AM(CLR),FW","Patrick Twumasi Deportivo Alaves, 28, AM(CLR),FW",0(11),160,0.3,0.1,0.6,-,0.1,0.4,-,-,6.06,-,-,0.3,0.2,0.1,0.1,0.5,0.9,5.0,70.9,0.4,0.3,-
1,"522Dani TorresDeportivo Alaves, 32, DMC","Dani Torres Deportivo Alaves, 32, DMC",1(1),71,1,1,0.5,-,-,1.5,-,-,6.06,-,-,-,-,0.5,-,0.5,0.5,7.5,86.7,-,-,-
2,"523Cheick DoukouréLevante, 29, DMC","Cheick Doukouré Levante, 29, DMC",3(6),315,1.4,0.3,1.4,-,0.3,1.2,0.2,-,6.04,-,-,0.1,0.1,0.7,-,0.4,0.7,12.1,74.3,-,0.4,-
3,"524Miguel MaríEibar, 24, Midfielder","Miguel Marí Eibar, 24, Midfielder",0(2),67,-,0.5,0.5,-,1,1,-,-,6.03,-,-,0.5,-,0.5,-,0.5,-,20.0,90,-,1,-
4,"525Luca ZidaneReal Madrid, 24, GK","Luca Zidane Real Madrid, 24, GK",1,90,-,-,-,-,-,-,-,-,6.02,-,-,-,-,1,-,-,-,38.0,84.2,-,7,-
5,"526BebéEibar, 31, AM(LR),FW","Bebé Eibar, 31, AM(LR),FW",1(1),62,-,0.5,1.5,-,-,-,-,-,6.02,-,-,1.5,0.5,0.5,-,-,2,11.5,87,0.5,0.5,-
6,"527Victor MollejoAtletico, 21, Forward","Victor Mollejo Atletico, 21, Forward",0(4),63,-,-,1,-,-,0.5,-,-,6.02,-,-,0.5,0.3,0.5,-,1,0.3,5.8,82.6,-,-,-
7,"528Gorka GuruzetaAthletic Bilbao, 25, Forward","Gorka Guruzeta Athletic Bilbao, 25, Forward",0(6),45,0.2,0.3,0.7,-,-,0.3,-,-,6.01,-,-,0.2,0.3,-,-,0.3,0.3,1.5,77.8,-,-,-
8,"529Cristian GaneaAthletic Bilbao, 30, Defender","Cristian Ganea Athletic Bilbao, 30, Defender",1,50,-,1,2,-,2,3,-,-,6.0,-,-,-,-,1,-,-,-,9.0,100,-,2,-
9,"530Joaquín MuñozAtletico, 23, Forward","Joaquín Muñoz Atletico, 23, Forward",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1.0,-,-,-,-
0,"511Sabin MerinoLeganes, 30, AM(L),FW","Sabin Merino Leganes, 30, AM(L),FW",2(10),289,0.1,-,0.3,-,0.3,-,-,-,6.11,-,-,0.9,0.2,0.3,0.2,0.3,1.2,7.3,76.1,-,0.2,-
1,"512Manuel IturraVillarreal, 37, DMC","Manuel Iturra Villarreal, 37, DMC",1(2),73,0.7,0.7,1,-,0.7,-,-,-,6.1,-,-,-,-,0.3,-,-,-,18.0,83.3,-,1,-
2,"513Carles PérezBarcelona, 24, AM(CR)","Carles Pérez Barcelona, 24, AM(CR)",0(1),17,-,-,-,-,-,-,-,-,6.1,-,-,1,-,-,-,1,-,7.0,85.7,-,-,-
