,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
7,"378Mickaël AlphonseDijon, 32, D(R)","Mickaël Alphonse Dijon, 32, D(R)",6(5),567,0.9,0.8,0.8,0.1,2.3,0.1,0.1,-,6.44,1,-,0.3,0.7,0.9,-,0.3,0.9,20.3,64.6,0.4,0.5,-
8,"379Vincent PajotAngers, 31, M(C)","Vincent Pajot Angers, 31, M(C)",10(3),721,1.4,0.6,1.5,-,0.5,0.8,-,-,6.43,-,-,0.9,0.3,0.9,0.1,0.2,0.5,23.3,85.1,-,0.7,0.1
9,"380Clinton N'JieMarseille, 28, AM(LR),FW","Clinton N'Jie Marseille, 28, AM(LR),FW",3(14),353,0.4,0.1,0.4,-,-,-,-,-,6.43,3,2,0.4,0.5,0.2,0.1,0.4,0.7,6.6,72.3,-,0.1,-
0,"361Suk Hyun-JunReims, 30, FW","Suk Hyun-Jun Reims, 30, FW",7(15),785,0.5,0.1,1.1,-,0.2,0.4,-,-,6.47,3,-,1,0.4,0.7,0.6,0.5,1.5,7.4,51.9,0.1,0.1,-
1,"362Mihailo RisticMontpellier, 26, D(L),M(L)","Mihailo Ristic Montpellier, 26, D(L),M(L)",3(7),319,1.4,0.9,0.3,0.1,0.5,0.4,0.3,-,6.47,1,-,0.5,0.2,0.5,-,1.1,0.9,10.4,73.1,0.1,0.2,-
2,"363Rui FonteLille, 32, M(R),FW","Rui Fonte Lille, 32, M(R),FW",5(13),620,1.4,0.1,1.2,-,0.4,0.3,-,-,6.47,1,-,0.7,0.4,0.2,0.1,0.9,0.4,10.4,78.6,-,0.3,-
3,"364Eddy GnahoreAmiens, 28, M(C)","Eddy Gnahore Amiens, 28, M(C)",24(10),2244,1.2,0.7,1.0,-,0.5,0.9,0.1,-,6.47,4,2,0.9,0.9,0.3,0.1,1.2,1.2,33.8,89.5,-,1.1,0.1
4,"365Ronny RodelinGuingamp, 32, AM(CLR),FW","Ronny Rodelin Guingamp, 32, AM(CLR),FW",8(9),786,0.8,0.5,0.6,-,0.8,0.3,0.1,-,6.46,-,-,1.6,0.6,0.5,0.2,0.5,1.1,17.3,72.1,0.2,1.2,-
5,"366GansoAmiens, 32, AM(C)","Ganso Amiens, 32, AM(C)",5(7),517,1.0,0.5,0.8,-,-,1.1,0.1,-,6.46,-,2,0.3,1.4,0.8,-,0.6,0.8,26.3,87.0,0.3,0.7,0.2
6,"367Jessy DeminguetCaen, 24, M(C)","Jessy Deminguet Caen, 24, M(C)",15(5),1275,1.9,0.9,1.1,-,1.3,1.3,0.2,-,6.46,-,-,0.4,0.3,0.7,-,1.3,1.0,22.3,83.6,0.1,1.7,-
7,"368Thomas ManganiAngers, 35, M(C)","Thomas Mangani Angers, 35, M(C)",18(11),1598,1.4,0.8,0.4,-,0.8,1.5,0.1,-,6.46,3,-,0.7,1.1,0.3,-,0.8,1.1,38.7,83.0,0.7,1.6,-
8,"369Clement MichelinToulouse, 25, D(R),M(R)","Clement Michelin Toulouse, 25, D(R),M(R)",1,90,3.0,3.0,1.0,-,5,1.0,-,-,6.46,-,-,-,-,-,-,-,1.0,32.0,65.6,-,3.0,-
