,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"561Pedro NetoLazio, 22, AM(CLR),FW","Pedro Neto Lazio, 22, AM(CLR),FW",0(4),43,-,-,0.5,-,-,-,-,-,5.95,-,-,0.3,0.3,0.5,-,0.8,0.3,5.8,91.3,-,-,-
1,"562Luca MatareseFrosinone, 24, Forward","Luca Matarese Frosinone, 24, Forward",0(2),14,-,-,0.5,-,-,-,-,-,5.92,-,-,-,-,-,-,0.5,1,2.0,75.0,-,-,-
2,"563Mauricio LemosSassuolo, 26, D(C)","Mauricio Lemos Sassuolo, 26, D(C)",3,182,0.7,1,0.7,-,3,0.3,0.3,-,5.91,-,-,-,-,0.3,-,0.7,1,21.0,92.1,-,1,-
3,"564Juan Manuel ValenciaBologna, 23, Midfielder","Juan Manuel Valencia Bologna, 23, Midfielder",0(1),27,-,1,1,-,-,-,-,-,5.89,-,-,1,-,-,-,1,1,10.0,100.0,-,1,-
4,"565Giuseppe PezzellaGenoa, 24, D(L),M(L)","Giuseppe Pezzella Genoa, 24, D(L),M(L)",1(4),110,0.4,0.2,0.6,-,0.6,-,-,-,5.83,-,-,0.2,0.2,0.2,0.2,0.4,-,6.8,76.5,0.2,1.2,-
5,"566Nicky Medja BelokoFiorentina, 22, Midfielder","Nicky Medja Beloko Fiorentina, 22, Midfielder",0(1),45,1,-,1,-,-,1,-,-,5.83,-,-,-,-,-,1,1,2,10.0,50.0,-,-,-
6,"567Stephy MavididiJuventus, 24, AM(LR),FW","Stephy Mavididi Juventus, 24, AM(LR),FW",0(1),21,-,-,-,-,-,-,-,-,5.79,-,-,-,-,-,-,-,2,4.0,100.0,-,-,-
7,"568Guido GuerrieriLazio, 26, Goalkeeper","Guido Guerrieri Lazio, 26, Goalkeeper",1,90,-,-,-,-,3,-,-,-,5.74,-,-,-,-,-,-,-,-,27.0,66.7,-,4,-
8,"569Carlo PinsoglioJuventus, 32, Goalkeeper","Carlo Pinsoglio Juventus, 32, Goalkeeper",1,90,-,-,-,-,1,-,-,-,5.73,-,-,-,-,-,-,-,-,30.0,70.0,-,9,-
9,"570Strahinja TanasijevicChievo, 24, Defender","Strahinja Tanasijevic Chievo, 24, Defender",1(1),18,-,-,1,-,-,-,-,-,5.42,-,-,0.5,-,-,-,-,-,7.0,92.9,-,-,-
0,"551Martín CáceresLazio, 35, D(CLR),M(R)","Martín Cáceres Lazio, 35, D(CLR),M(R)",3(1),306,1,-,0.3,-,2.3,0.5,-,-,5.99,-,-,0.8,-,0.8,-,-,0.5,35.5,88,-,2.8,-
1,"552Nicolás SchiappacasseParma Calcio 1913, 23, Forward","Nicolás Schiappacasse Parma Calcio 1913, 23, Forward",1(2),80,-,-,-,-,-,-,-,-,5.98,-,-,0.3,-,1,-,0.7,0.7,4.7,71.4,-,-,-
2,"553Leonardo SernicolaSassuolo, 24, Defender","Leonardo Sernicola Sassuolo, 24, Defender",0(1),5,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,3,100,-,-,-
3,"554Nehuén PazBologna, 29, D(CL)","Nehuén Paz Bologna, 29, D(CL)",1(1),113,1,-,1,0.5,1,0.5,0.5,-,5.98,-,-,-,-,-,-,-,-,23,73.9,-,2.5,-
4,"555Svante IngelssonUdinese, 23, M(CR)","Svante Ingelsson Udinese, 23, M(CR)",1(2),96,0.3,-,0.3,-,1.3,-,-,-,5.97,-,-,0.7,-,0.3,-,-,1.3,11.3,61.8,-,0.3,-
5,"556Dusan VlahovicFiorentina, 22, FW","Dusan Vlahovic Fiorentina, 22, FW",1(9),152,-,-,0.5,-,0.4,-,-,-,5.96,-,-,1,0.3,0.2,-,0.5,1.1,3.7,62.2,0.1,0.1,-
