,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"471Philipp TschaunerHannover, 36, GK","Philipp Tschauner Hannover, 36, GK",1,90,-,-,1,-,2,-,-,-,5.69,-,-,-,-,-,-,-,1,25,68.0,-,2,-
1,"472Lukas RuppHoffenheim, 31, M(CR)","Lukas Rupp Hoffenheim, 31, M(CR)",0(1),24,1,-,-,-,-,-,-,-,5.66,-,-,-,1,-,-,2,2,11,54.5,-,-,-
2,"473Benjamin HenrichsLeverkusen, 25, D(LR),DMC,M(LR)","Benjamin Henrichs Leverkusen, 25, D(LR),DMC,M(LR)",1,64,-,3,3,-,-,-,-,-,5.49,-,-,-,-,1,-,1,1,33,81.8,1,1,-
3,"474Marwin HitzBorussia Dortmund, 34, GK","Marwin Hitz Borussia Dortmund, 34, GK",2,180,-,-,0.5,-,1,-,-,-,5.46,-,-,-,-,0.5,-,-,-,29,77.6,-,4,-
0,"461Christoph DafernerFreiburg, 24, AM(C),FW","Christoph Daferner Freiburg, 24, AM(C),FW",0(1),24,1,1,-,-,-,-,-,-,5.97,-,-,-,-,-,-,-,-,4.0,50.0,-,-,-
1,"462Christoph BaumgartnerHoffenheim, 22, AM(CLR),FW","Christoph Baumgartner Hoffenheim, 22, AM(CLR),FW",1(1),86,0.5,-,1,-,-,1,-,-,5.97,-,-,1,-,1.5,-,0.5,1.5,17.5,62.9,-,-,-
2,"463Fabian GieferAugsburg, 32, GK","Fabian Giefer Augsburg, 32, GK",4,360,-,-,-,-,0.8,0.5,-,-,5.97,-,-,-,0.3,0.3,-,-,0.3,25.3,65.3,-,7.5,-
3,"464Leon DajakuStuttgart, 21, M(R)","Leon Dajaku Stuttgart, 21, M(R)",0(2),26,1,-,-,-,-,-,-,-,5.97,-,-,-,-,0.5,-,0.5,1,3.0,83.3,-,-,-
4,"465Takuma AsanoHannover, 27, AM(CLR),FW","Takuma Asano Hannover, 27, AM(CLR),FW",9(4),702,0.4,0.2,0.4,-,0.2,0.4,-,-,5.96,-,-,1,0.2,1.1,0.4,1.2,2.2,11.6,72.2,-,0.2,-
5,"466Christoph JankerAugsburg, 37, D(C)","Christoph Janker Augsburg, 37, D(C)",1(3),71,0.5,-,0.8,-,0.3,-,-,-,5.93,-,-,-,-,0.3,-,0.3,-,7.0,85.7,-,-,-
6,"467Hans Nunoo SarpeiStuttgart, 23, D(C),DMC","Hans Nunoo Sarpei Stuttgart, 23, D(C),DMC",0(2),40,0.5,-,0.5,-,-,-,-,-,5.91,-,-,-,-,-,-,1,0.5,7.0,50.0,-,0.5,-
7,"468Thomas KraftHertha Berlin, 33, GK","Thomas Kraft Hertha Berlin, 33, GK",3(1),315,-,-,-,-,0.5,-,-,-,5.88,-,-,-,-,-,-,-,-,29.0,62.9,-,11.3,-
8,"469Lukas JägerNuernberg, 28, DMC","Lukas Jäger Nuernberg, 28, DMC",0(2),25,-,-,-,-,-,1,-,-,5.85,-,-,0.5,-,-,-,-,0.5,4.0,37.5,-,-,-
