,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"601Lennart CzyborraAtalanta, 23, D(L),M(L)","Lennart Czyborra Atalanta, 23, D(L),M(L)",0(1),16,-,-,-,-,-,-,-,-,5.87,-,-,-,-,-,-,1,-,7,100.0,-,-,-
1,"602Boris RadunovicVerona, 26, GK","Boris Radunovic Verona, 26, GK",3,270,-,-,0.3,-,0.3,-,-,-,5.76,-,-,-,-,-,-,-,-,17,56.9,-,5,-
2,"603RômuloGenoa, 35, D(R),M(CR)","Rômulo Genoa, 35, D(R),M(CR)",0(1),19,2,-,1,-,1,-,-,-,5.69,-,-,-,-,-,-,-,-,6,66.7,-,-,-
0,"591Luca TremoladaBrescia, 30, Midfielder","Luca Tremolada Brescia, 30, Midfielder",0(1),14,-,-,-,-,-,-,-,-,5.97,-,-,-,-,-,-,-,-,5.0,60.0,-,-,-
1,"592Krisztofer HorváthSPAL 2013, 20, Midfielder","Krisztofer Horváth SPAL 2013, 20, Midfielder",0(3),41,0.3,-,-,-,-,-,-,-,5.97,-,-,0.3,0.3,0.3,-,0.3,0.3,5.0,80.0,-,0.7,-
2,"593Alessandro MatriBrescia, 37, FW","Alessandro Matri Brescia, 37, FW",0(8),83,0.1,-,0.1,-,0.1,-,-,-,5.95,-,-,0.8,0.4,0.1,0.4,1,0.5,2.9,65.2,0.1,-,0.1
3,"594Ângelo da CostaBologna, 38, GK","Ângelo da Costa Bologna, 38, GK",1,90,-,-,-,-,-,-,-,-,5.95,-,-,-,-,-,-,-,-,22.0,90.9,-,2,-
4,"595Juan JesusRoma, 31, D(CL)","Juan Jesus Roma, 31, D(CL)",1(3),137,0.5,0.3,0.8,0.3,1.5,0.8,-,-,5.94,-,-,-,-,-,-,0.3,0.3,18.3,90.4,-,1,-
5,"596Federico BoniniBologna, 20, Defender","Federico Bonini Bologna, 20, Defender",0(1),6,-,-,-,-,-,-,-,-,5.92,-,-,-,-,-,-,-,-,5.0,100.0,-,-,-
6,"597Francesco RossiAtalanta, 31, Goalkeeper","Francesco Rossi Atalanta, 31, Goalkeeper",0(1),10,-,-,-,-,-,-,-,-,5.92,-,-,-,-,-,-,-,-,2.0,100.0,-,1,-
7,"598Davide RiccardiLecce, 26, Defender","Davide Riccardi Lecce, 26, Defender",0(1),19,-,-,-,-,1,1,-,-,5.91,-,-,-,-,-,-,-,-,3.0,66.7,-,-,-
8,"599Raoul BellanovaAtalanta, 22, M(R)","Raoul Bellanova Atalanta, 22, M(R)",0(1),17,-,-,-,-,-,-,-,-,5.89,-,-,2,-,-,-,-,-,14.0,92.9,-,1,-
9,"600Jawad El YamiqGenoa, 30, D(C)","Jawad El Yamiq Genoa, 30, D(C)",2(1),196,1,0.3,1,-,1,1,0.7,-,5.89,-,-,0.7,0.7,0.3,-,-,-,36.3,88.1,-,3,-
0,"581Felipe CurcioBrescia, 29, Defender","Felipe Curcio Brescia, 29, Defender",0(1),4,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,9,77.8,-,-,-
1,"582Jacopo Da RivaAtalanta, 21, Midfielder","Jacopo Da Riva Atalanta, 21, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,1,-,-,-,-,2,100,-,-,-
2,"583Marco BallariniUdinese, 21, Midfielder","Marco Ballarini Udinese, 21, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,5,100,-,-,-
3,"584Martin PalumboUdinese, 20, Midfielder","Martin Palumbo Udinese, 20, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
4,"585Tommaso BerniInter, 39, GK","Tommaso Berni Inter, 39, GK",2,2,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"586Daniel MaldiniAC Milan, 20, Forward","Daniel Maldini AC Milan, 20, Forward",0(2),26,-,0.5,1,-,-,1,-,-,6.0,-,-,-,-,-,-,0.5,0.5,7.5,86.7,-,0.5,-
6,"587Denilho CleoniseGenoa, 20, Forward","Denilho Cleonise Genoa, 20, Forward",0(4),44,0.3,0.3,0.5,-,-,-,-,-,5.98,-,-,0.3,-,0.3,-,0.5,-,1.8,100,-,-,-
7,"588Raul Moro PrescoliLazio, 19, Forward","Raul Moro Prescoli Lazio, 19, Forward",0(1),1,-,-,-,-,-,-,-,-,5.98,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"589LucasVerona, 22, Midfielder","Lucas Verona, 22, Midfielder",0(2),26,0.5,-,-,-,-,-,-,-,5.98,-,-,0.5,-,-,-,0.5,-,11,90.9,-,-,-
9,"590Luca FalboLazio, 22, Defender","Luca Falbo Lazio, 22, Defender",0(1),1,-,-,1,-,-,-,-,-,5.97,-,-,-,-,-,-,-,-,2,50,-,-,-
0,"571Michel Ndary AdopoTorino, 22, Midfielder","Michel Ndary Adopo Torino, 22, Midfielder",0(2),3,-,-,-,-,-,-,0.5,-,6.01,-,-,-,-,-,-,-,0.5,2.5,80,-,-,-
1,"572Alessandro DeiolaCagliari, 26, M(C)","Alessandro Deiola Cagliari, 26, M(C)",0(1),1,-,1,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,-,-,-,-
2,"573Andrea DanziVerona, 23, M(C)","Andrea Danzi Verona, 23, M(C)",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,1,100,-,-,-
3,"574Andrea GhezziBrescia, 21, Midfielder","Andrea Ghezzi Brescia, 21, Midfielder",0(5),32,0.4,-,0.2,-,-,-,-,-,6.0,-,-,0.4,-,-,-,0.2,-,2.2,63.6,-,-,-
4,"575Antonio DonnarummaAC Milan, 31, Goalkeeper","Antonio Donnarumma AC Milan, 31, Goalkeeper",1,1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
5,"576Carlo PinsoglioJuventus, 32, Goalkeeper","Carlo Pinsoglio Juventus, 32, Goalkeeper",0(1),18,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,3,100,-,-,-
6,"577Christian CelesiaTorino, 20, Defender","Christian Celesia Torino, 20, Defender",0(1),1,-,-,-,1,-,-,-,-,6.0,-,-,-,1,-,-,-,-,1,100,-,-,-
7,"578Christian Dalle MuraFiorentina, 20, Defender","Christian Dalle Mura Fiorentina, 20, Defender",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
8,"579Dion Ruffo LuciBologna, 20, Midfielder","Dion Ruffo Luci Bologna, 20, Midfielder",0(1),1,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,1,-,-,-,-,-
9,"580Federico MarchettiGenoa, 39, GK","Federico Marchetti Genoa, 39, GK",2,2,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
0,"561Karlo LeticaSPAL 2013, 25, GK","Karlo Letica SPAL 2013, 25, GK",10,900,-,-,-,-,0.8,0.2,-,-,6.05,-,-,-,0.1,0.1,-,-,0.1,26.0,58.1,-,6.1,-
1,"562Matteo LovatoVerona, 22, D(C)","Matteo Lovato Verona, 22, D(C)",0(1),8,-,-,-,-,1,-,-,-,6.03,-,-,-,-,-,-,-,-,2.0,50.0,-,-,-
2,"563Andrea CarboniCagliari, 21, D(C)","Andrea Carboni Cagliari, 21, D(C)",5(2),370,1.1,1,1,0.7,2.6,0.1,0.9,-,6.02,-,-,0.1,-,0.3,-,0.1,0.1,22.3,84.0,-,1.9,-
3,"564Roberto PiccoliAtalanta, 21, FW","Roberto Piccoli Atalanta, 21, FW",0(1),16,-,-,-,-,-,-,-,-,6.02,-,-,1,1,1,-,-,-,6.0,66.7,-,-,-
4,"565Alberto PaloschiCagliari, 32, FW","Alberto Paloschi Cagliari, 32, FW",1(6),200,-,0.1,0.4,-,0.4,0.1,-,-,6.02,-,-,0.4,0.3,0.3,0.4,0.3,1.4,5.4,81.6,-,0.1,-
5,"566Georgi TunjovSPAL 2013, 21, Midfielder","Georgi Tunjov SPAL 2013, 21, Midfielder",3(7),281,0.4,0.1,0.8,-,-,1,0.1,-,6.02,-,-,0.6,0.3,0.3,-,0.6,0.6,9.8,71.4,0.5,0.4,-
6,"567Giacomo ManzariSassuolo, 21, Forward","Giacomo Manzari Sassuolo, 21, Forward",0(3),14,-,-,0.3,-,-,-,-,-,6.01,-,-,-,-,-,-,-,0.3,2.0,50.0,-,-,-
7,"568Marko JankovicSPAL 2013, 26, AM(R)","Marko Jankovic SPAL 2013, 26, AM(R)",1(5),111,0.3,-,0.8,-,-,0.2,0.2,-,6.01,-,-,0.2,0.2,0.5,-,0.3,0.3,8.3,84.0,0.3,0.2,-
8,"569Ilario MonterisiLecce, 20, Defender","Ilario Monterisi Lecce, 20, Defender",0(1),2,-,-,-,-,-,-,-,-,6.01,-,-,-,-,-,-,-,-,4.0,100.0,-,-,-
9,"570Giangiacomo MagnaniBrescia, 26, D(C)","Giangiacomo Magnani Brescia, 26, D(C)",1(1),114,-,1,1,-,3,0.5,1,-,6.01,-,-,1,-,1.5,-,0.5,-,18.5,75.7,-,1,-
0,"551RafaelCagliari, 40, GK","Rafael Cagliari, 40, GK",5(1),453,-,-,-,-,0.7,-,-,-,6.07,-,-,-,-,-,-,-,-,22.8,67.2,-,5.7,-
1,"552Valon BerishaLazio, 29, M(CL)","Valon Berisha Lazio, 29, M(CL)",0(3),30,0.3,-,0.3,-,0.3,0.3,-,-,6.07,-,-,-,-,-,-,-,0.3,2.0,66.7,-,-,-
2,"553Federico DimarcoInter, 24, D(CL),M(L)","Federico Dimarco Inter, 24, D(CL),M(L)",0(3),24,0.3,0.3,0.3,-,-,-,-,-,6.07,-,-,0.3,-,-,-,-,0.7,3.7,81.8,-,0.3,-
3,"554Emmanuel BaduVerona, 31, DMC","Emmanuel Badu Verona, 31, DMC",2(8),224,0.1,0.1,0.7,-,0.5,0.1,0.2,-,6.07,-,-,-,0.1,0.3,0.1,0.1,0.9,10.2,87.3,-,0.4,-
4,"555Kristoffer AskildsenSampdoria, 21, Midfielder","Kristoffer Askildsen Sampdoria, 21, Midfielder",0(4),74,0.3,0.3,1,-,-,-,-,-,6.07,1,-,0.3,0.5,-,-,0.3,0.5,7.8,87.1,-,0.5,-
5,"556Alberto PaloschiSPAL 2013, 32, FW","Alberto Paloschi SPAL 2013, 32, FW",5(5),437,0.3,-,0.8,-,0.2,0.6,-,-,6.06,-,-,1,0.5,0.8,0.5,0.9,1.6,6.1,70.5,-,-,-
6,"557Aleksa TerzicFiorentina, 22, Defender","Aleksa Terzic Fiorentina, 22, Defender",0(2),7,-,-,-,-,-,-,-,-,6.05,-,-,-,-,-,-,-,0.5,2.5,60.0,-,-,-
7,"558Valentin EyssericFiorentina, 30, AM(CLR),FW","Valentin Eysseric Fiorentina, 30, AM(CLR),FW",0(3),39,-,-,1,-,-,-,-,-,6.05,-,-,0.7,-,-,-,-,0.3,7.0,66.7,-,0.3,-
8,"559Leonardo MorosiniBrescia, 26, Midfielder","Leonardo Morosini Brescia, 26, Midfielder",0(3),23,0.3,0.3,0.7,-,0.3,-,-,-,6.05,-,-,-,-,-,-,-,-,1.0,100.0,-,-,-
9,"560Felice D'AmicoSampdoria, 21, Forward","Felice D'Amico Sampdoria, 21, Forward",0(2),2,0.5,-,-,-,-,-,-,-,6.05,-,-,0.5,-,-,-,-,1,2.5,80.0,-,-,-
0,"541Edgaras DubickasLecce, 23, Forward","Edgaras Dubickas Lecce, 23, Forward",0(1),2,-,-,-,-,-,-,-,-,6.1,-,-,-,-,-,-,-,-,2.0,50.0,-,-,-
1,"542Yildirim Mert ÇetinRoma, 25, D(C)","Yildirim Mert Çetin Roma, 25, D(C)",2(4),254,0.8,0.7,1,0.3,1.3,0.3,0.5,-,6.1,-,-,0.5,-,1,-,-,0.3,23.7,90.8,-,1.7,-
2,"543Mattia DestroGenoa, 31, FW","Mattia Destro Genoa, 31, FW",1(7),145,-,-,0.4,-,-,-,-,-,6.09,-,-,0.9,-,0.3,0.1,-,0.3,2.9,78.3,-,-,-
3,"544Lorenzo ColomboAC Milan, 20, Forward","Lorenzo Colombo AC Milan, 20, Forward",0(1),8,-,-,1,-,-,-,-,-,6.09,-,-,-,1,-,-,1,1,2.0,100.0,-,-,-
4,"545Vasco ReginiParma Calcio 1913, 31, D(CL)","Vasco Regini Parma Calcio 1913, 31, D(CL)",0(2),49,-,-,-,0.5,1.5,-,-,-,6.09,-,-,-,-,-,-,-,-,11.5,95.7,-,-,-
5,"546Luigi VitaleVerona, 34, FW","Luigi Vitale Verona, 34, FW",0(2),39,0.5,-,0.5,-,-,-,-,-,6.09,-,-,-,-,-,-,-,0.5,4.5,66.7,-,-,-
6,"547Gabriele MonciniSPAL 2013, 26, FW","Gabriele Moncini SPAL 2013, 26, FW",2(2),154,0.3,0.3,0.3,-,-,-,0.3,-,6.08,-,-,0.8,0.5,0.8,-,0.8,0.5,4.0,56.3,-,-,-
7,"548Djavan AndersonLazio, 27, D(R),M(R)","Djavan Anderson Lazio, 27, D(R),M(R)",2(4),167,-,0.5,0.7,0.2,0.3,-,-,-,6.08,-,-,0.2,-,0.2,-,0.8,0.8,8.0,87.5,0.2,0.2,-
8,"549Andri BaldurssonBologna, 20, Midfielder","Andri Baldursson Bologna, 20, Midfielder",0(7),137,0.1,0.1,0.6,-,0.4,0.1,-,-,6.08,-,-,0.3,0.1,0.3,-,0.7,0.3,9.1,73.4,-,0.3,-
9,"550Szymon ZurkowskiFiorentina, 24, M(C)","Szymon Zurkowski Fiorentina, 24, M(C)",0(2),10,0.5,-,0.5,-,0.5,1,-,-,6.08,-,-,0.5,-,-,-,1,-,2.0,100.0,-,-,-
0,"531Giacomo VrioniJuventus, 23, Forward","Giacomo Vrioni Juventus, 23, Forward",0(1),11,-,-,1,-,-,-,-,-,6.12,-,-,1,-,-,-,-,1,2.0,100.0,-,-,-
1,"532PedroFiorentina, 24, FW","Pedro Fiorentina, 24, FW",0(4),59,0.3,-,-,-,-,-,-,-,6.12,-,-,1.3,0.3,0.5,0.3,-,0.5,4.8,73.7,-,-,-
2,"533Wladimiro FalconeSampdoria, 27, GK","Wladimiro Falcone Sampdoria, 27, GK",2,180,-,-,0.5,-,-,-,-,-,6.12,-,-,-,-,-,-,-,-,25.5,54.9,-,2,-
3,"534Vincenzo MillicoTorino, 21, Forward","Vincenzo Millico Torino, 21, Forward",0(11),206,0.1,-,0.5,-,0.1,0.2,-,-,6.11,-,-,0.5,0.3,0.3,-,0.1,0.5,5.3,87.9,0.6,0.7,-
4,"535Daniele PadelliInter, 36, GK","Daniele Padelli Inter, 36, GK",4,271,-,-,-,-,0.8,-,-,-,6.11,-,-,-,-,0.8,-,-,-,19.8,78.5,-,1.5,-
5,"536Stefano PiccininiSassuolo, 19, Defender","Stefano Piccinini Sassuolo, 19, Defender",0(1),8,-,-,1,-,-,-,-,-,6.11,-,-,-,1,-,-,-,-,19.0,94.7,-,-,-
6,"537Simon SkrabbBrescia, 27, M(LR),FW","Simon Skrabb Brescia, 27, M(LR),FW",3(7),255,0.7,-,0.7,-,0.1,0.6,0.1,-,6.11,-,-,0.3,0.2,0.3,-,0.5,0.9,8.5,75.3,0.2,0.2,-
7,"538Mattia VivianiBrescia, 21, Midfielder","Mattia Viviani Brescia, 21, Midfielder",3(5),341,0.4,1.1,0.5,-,0.3,0.9,0.4,-,6.1,-,-,0.4,0.3,0.8,-,0.1,0.5,23.3,84.9,0.3,1.5,-
8,"539Luca RanieriFiorentina, 23, D(L),M(L)","Luca Ranieri Fiorentina, 23, D(L),M(L)",2(1),231,0.7,0.7,1.7,1.7,2,0.3,-,-,6.1,-,-,1,1.7,0.3,-,-,0.3,51.7,81.3,0.3,2,-
9,"540Sinan GümüsGenoa, 28, AM(R),FW","Sinan Gümüs Genoa, 28, AM(R),FW",1(2),95,-,-,0.3,-,-,1.3,-,-,6.1,-,-,1,-,1,-,0.3,-,9.3,85.7,-,0.3,-
0,"521Brayan VeraLecce, 23, Defender","Brayan Vera Lecce, 23, Defender",1(7),149,0.5,0.1,0.8,0.3,0.4,0.5,-,-,6.14,-,1,0.5,0.4,0.4,-,0.6,0.8,7.3,82.8,0.3,0.3,-
1,"522Massimiliano MangravitiBrescia, 24, D(CL)","Massimiliano Mangraviti Brescia, 24, D(CL)",11(2),974,0.6,0.6,0.7,0.3,2.9,0.2,0.5,-,6.14,-,-,0.2,0.2,0.4,-,0.1,0.4,30.5,80.3,0.4,2.4,-
2,"523Mariusz StepinskiVerona, 27, FW","Mariusz Stepinski Verona, 27, FW",7(14),698,0.2,-,1.1,-,0.3,-,-,-,6.13,3,1,0.8,0.1,1,0.4,0.9,1.6,7.7,66.0,-,-,-
3,"524Iago FalqueTorino, 32, AM(CLR),FW","Iago Falque Torino, 32, AM(CLR),FW",1(3),101,-,-,0.3,-,-,0.3,-,-,6.13,-,-,0.8,0.3,-,-,1,-,15.8,87.3,0.3,1,-
4,"525Marco OlivieriJuventus, 22, Forward","Marco Olivieri Juventus, 22, Forward",0(3),27,0.3,-,1,-,-,0.3,-,-,6.13,-,-,0.3,-,0.3,-,1,-,3.7,81.8,-,-,-
5,"526Antonino La GuminaSampdoria, 26, FW","Antonino La Gumina Sampdoria, 26, FW",2(3),187,-,-,0.2,-,0.2,-,-,-,6.13,-,-,0.8,0.4,0.6,0.2,0.2,1,7.0,88.6,-,-,-
6,"527Federico MarigosuCagliari, 21, Midfielder","Federico Marigosu Cagliari, 21, Midfielder",0(2),22,-,-,-,-,0.5,-,-,-,6.13,-,-,-,-,1,-,0.5,0.5,6.0,50.0,0.5,1,-
7,"528FelipeSPAL 2013, 37, D(CL)","Felipe SPAL 2013, 37, D(CL)",11(4),997,0.9,0.6,1.3,0.4,1.9,0.4,0.8,-,6.12,-,-,0.4,0.1,0.6,0.1,0.1,0.2,29.1,84.7,0.1,2.7,-
8,"529Liam HendersonVerona, 26, AM(C)","Liam Henderson Verona, 26, AM(C)",2(2),195,0.8,-,1.5,-,1,0.3,-,-,6.12,-,-,0.8,0.5,0.5,-,0.3,0.8,15.3,67.2,-,0.5,-
9,"530Daouda PeetersJuventus, 23, Midfielder","Daouda Peeters Juventus, 23, Midfielder",0(1),14,1,-,-,-,-,-,-,-,6.12,-,-,-,-,-,-,-,-,12.0,100.0,-,-,-
0,"511Bartosz SalamonSPAL 2013, 31, D(C)","Bartosz Salamon SPAL 2013, 31, D(C)",3(4),342,0.3,0.9,0.4,0.3,2,0.1,0.6,-,6.18,-,-,-,-,0.6,-,-,0.3,21.7,90.8,-,2.9,-
1,"512Bobby AdekanyeLazio, 23, AM(R)","Bobby Adekanye Lazio, 23, AM(R)",0(11),179,0.3,0.2,0.2,-,0.1,0.5,-,-,6.18,1,-,0.5,0.3,0.3,0.1,0.5,0.3,3.7,87.8,0.1,-,-
2,"513Lorenzo PirolaInter, 20, Defender","Lorenzo Pirola Inter, 20, Defender",0(1),11,-,1,-,-,-,-,-,-,6.17,-,-,-,-,-,-,-,-,8.0,100.0,-,2,-
3,"514Antonin BarakUdinese, 27, AM(C)","Antonin Barak Udinese, 27, AM(C)",1(7),190,0.6,-,1.1,-,0.5,0.5,0.1,-,6.17,-,-,0.5,0.5,0.5,-,0.5,1,11.5,77.2,0.3,0.1,-
4,"515Gennaro TutinoVerona, 25, Forward","Gennaro Tutino Verona, 25, Forward",2(4),223,-,0.3,0.7,-,0.2,-,-,-,6.17,-,-,0.5,-,1.8,-,0.3,1.3,12.5,69.3,-,0.2,-
5,"516Gastón PereiroCagliari, 27, AM(CLR),FW","Gastón Pereiro Cagliari, 27, AM(CLR),FW",4(6),347,0.2,-,0.8,-,0.1,0.3,-,-,6.16,1,-,1.4,0.2,0.4,-,0.6,0.3,11.0,79.1,0.1,0.3,0.1
6,"517Asmir BegovicAC Milan, 34, GK","Asmir Begovic AC Milan, 34, GK",1(1),128,-,-,-,-,-,-,-,-,6.16,-,-,-,-,-,-,-,-,16.5,78.8,-,2,-
7,"518Luca MazzitelliSassuolo, 26, DMC","Luca Mazzitelli Sassuolo, 26, DMC",0(1),11,1,-,-,-,-,-,-,-,6.16,-,-,-,-,-,-,1,-,27.0,96.3,-,-,-
8,"519Birkir BjarnasonBrescia, 34, M(CLR)","Birkir Bjarnason Brescia, 34, M(CLR)",9(4),804,0.4,0.4,1.3,0.1,0.2,0.8,0.3,-,6.16,-,1,0.6,0.5,1.4,-,0.5,0.6,19.6,78.4,0.2,1.1,-
9,"520Federico BrancoliniFiorentina, 20, Goalkeeper","Federico Brancolini Fiorentina, 20, Goalkeeper",0(1),5,-,-,-,-,-,-,-,-,6.15,-,-,-,-,-,-,-,-,3.0,100.0,-,1,-
0,"501Emanuele NdojBrescia, 25, M(C)","Emanuele Ndoj Brescia, 25, M(C)",6(12),551,0.5,0.3,1.2,-,0.3,0.6,-,-,6.21,-,-,0.5,0.4,1.4,0.1,0.5,0.6,11.4,76.7,0.1,0.8,-
1,"502Nikolas SpalekBrescia, 25, AM(C)","Nikolas Spalek Brescia, 25, AM(C)",20(5),1591,1.0,0.2,1,-,0.4,1,-,-,6.2,2,1,1,0.7,0.6,0.2,1,1.3,15.8,70.4,0.2,0.2,-
2,"503Gianluca CaprariSampdoria, 28, AM(CLR),FW","Gianluca Caprari Sampdoria, 28, AM(CLR),FW",5(13),662,0.5,0.4,0.6,-,0.1,0.5,-,-,6.2,3,-,1.3,0.5,0.7,0.1,1.4,1.2,11.9,79.5,0.1,0.5,-
