,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"541Florian ChabrolleMarseille, 24, Midfielder","Florian Chabrolle Marseille, 24, Midfielder",0(1),17,-,-,1,-,-,1,-,-,5.79,-,-,-,-,1,-,1,3,15.0,86.7,-,1,-
1,"542Raoul BellanovaBordeaux, 22, M(R)","Raoul Bellanova Bordeaux, 22, M(R)",1,63,1,-,1,-,-,1,-,-,5.73,-,-,-,-,1,-,2,1,22.0,72.7,-,1,-
2,"543Mauro GoicoecheaToulouse, 34, GK","Mauro Goicoechea Toulouse, 34, GK",2,180,-,-,-,-,1,-,-,-,5.61,-,-,-,-,-,-,-,-,30.0,48.3,-,10,-
3,"544Paul DelecroixMetz, 33, GK","Paul Delecroix Metz, 33, GK",1(1),135,-,-,-,-,-,-,-,-,5.58,-,-,-,-,-,-,-,-,19.5,59.0,-,7,-
4,"545Nicolas LemaitreReims, 25, Goalkeeper","Nicolas Lemaitre Reims, 25, Goalkeeper",1,90,-,1,-,-,1,1,-,-,5.17,-,-,-,-,-,-,-,1,23.0,78.3,-,3,-
0,"531Janis AntisteToulouse, 19, Forward","Janis Antiste Toulouse, 19, Forward",0(1),11,-,-,-,-,-,-,-,-,5.96,-,-,1,-,-,-,1,1,-,-,-,-,-
1,"532Wesley MoustacheNantes, 23, Defender","Wesley Moustache Nantes, 23, Defender",1,46,-,-,1,-,1,-,-,-,5.96,-,-,-,-,-,-,-,-,25,76,-,1,-
2,"533Abou OuattaraLille, 22, Midfielder","Abou Ouattara Lille, 22, Midfielder",0(1),8,-,-,-,-,1,-,-,-,5.95,-,-,-,-,1,-,-,1,3,66.7,-,-,-
3,"534Papa Ndiaga YadeMetz, 22, AM(L)","Papa Ndiaga Yade Metz, 22, AM(L)",0(2),3,-,-,-,-,-,-,-,-,5.94,-,-,-,-,-,-,-,-,1,-,-,-,-
4,"535Wilfried KangaAngers, 24, FW","Wilfried Kanga Angers, 24, FW",0(4),65,-,-,0.5,-,-,0.3,-,-,5.94,-,-,0.8,0.5,-,0.3,0.5,1.3,5,75,-,-,-
5,"536Aurélien TchouaméniMonaco, 22, DMC","Aurélien Tchouaméni Monaco, 22, DMC",0(3),62,-,-,1.3,-,0.7,0.7,-,-,5.92,-,-,0.7,0.7,-,-,-,0.3,8,87.5,-,0.3,-
