,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
1,"62Papu GómezAtalanta, 34, M(CL),FW","Papu Gómez Atalanta, 34, M(CL),FW",9,714,0.7,0.7,0.2,-,0.2,1,0.1,-,7.29,1,2,1.8,2.0,1.9,0.3,1.6,1.9,38.2,85.5,1.3,1.6,0.2
2,"63Jadon SanchoBorussia Dortmund, 22, AM(CLR)","Jadon Sancho Borussia Dortmund, 22, AM(CLR)",7(1),648,0.1,0.3,0.3,-,-,0.9,-,-,7.28,2,2,2.3,1.9,1.1,0.4,1.8,2.3,49.8,85.2,0.4,0.9,0.4
3,"64MarquinhosPSG, 28, D(CR),DMC","Marquinhos PSG, 28, D(CR),DMC",11,970,2.0,1.5,1.2,0.2,2.5,0.4,1.1,-,7.28,2,-,0.6,0.2,0.5,-,0.5,0.9,65.1,86.3,-,2.2,0.1
4,"65Kingsley ComanBayern, 25, M(LR),FW","Kingsley Coman Bayern, 25, M(LR),FW",7(2),552,0.8,-,0.6,-,-,1,-,-,7.28,3,1,2.0,1.4,1.1,0.1,1.1,2.0,25.9,87.1,0.6,0.7,-
5,"66Juan CuadradoJuventus, 34, D(R),M(CLR),FW","Juan Cuadrado Juventus, 34, D(R),M(CLR),FW",6,500,1.3,1.8,1.3,0.2,1.2,1.7,-,-,7.28,1,1,0.3,1.2,3.2,-,0.8,0.7,64.2,88.3,0.7,3.7,-
6,"67Benjamin AndréLille, 31, D(R),M(CLR)","Benjamin André Lille, 31, D(R),M(CLR)",5,406,3.6,2.2,2.4,-,1,3,0.6,-,7.27,-,2,2.0,1.8,1.4,-,1.2,1.6,37.0,81.1,0.6,1.4,0.2
7,"68Gabriel PiresBenfica, 28, M(C),FW","Gabriel Pires Benfica, 28, M(C),FW",5,441,3.2,3.2,2.4,-,2,2.8,0.4,-,7.26,-,-,1.6,1.4,0.8,-,1.0,1.4,65.0,78.8,0.2,6.2,-
8,"69Cristiano RonaldoJuventus, 37, M(L),FW","Cristiano Ronaldo Juventus, 37, M(L),FW",8,712,0.1,0.5,1.0,-,0.5,0.4,-,-,7.26,4,-,5.0,0.6,1.3,1.4,1.0,1.9,35.3,82.6,0.3,-,-
9,"70Dayot UpamecanoRBL, 23, D(C)","Dayot Upamecano RBL, 23, D(C)",8,661,3.1,1.5,1.4,0.4,3.4,0.3,0.5,-,7.26,-,-,1.0,0.1,0.5,-,0.4,0.8,66.4,87.2,-,4.5,-
0,"51Alex SandroJuventus, 31, D(CL),M(L)","Alex Sandro Juventus, 31, D(CL),M(L)",6,540,1.7,1.7,0.5,0.2,1.5,0.8,0.3,-,7.36,-,1,1.0,1.5,1.8,-,0.5,1.5,74.2,87.6,1.3,4,-
1,"52Lautaro MartínezInter, 24, FW","Lautaro Martínez Inter, 24, FW",6,522,1.0,0.3,1.2,-,0.2,1.3,-,-,7.36,5,-,4.2,1.2,2.5,1.2,2.2,1.7,14.5,66.7,-,0.7,0.2
2,"53Tomas SoucekSlavia Prague, 27, DMC","Tomas Soucek Slavia Prague, 27, DMC",6,540,2.5,2.5,2.2,-,2.8,1.7,0.5,-,7.35,2,-,2.3,1.0,1.5,-,0.2,1.0,54.7,82.6,-,4.5,-
3,"54Tanguy NdombeleTottenham, 25, M(C)","Tanguy Ndombele Tottenham, 25, M(C)",4(2),339,1.7,1,1,-,0.5,1.5,-,-,7.34,-,2,0.7,1.3,0.8,-,0.8,1.0,38.8,87.6,-,0.8,0.3
4,"55Donny van de BeekAjax, 25, M(C)","Donny van de Beek Ajax, 25, M(C)",5,448,2.2,2,1.2,-,0.4,1.8,-,-,7.34,2,1,1.6,1.6,0.8,0.2,1.0,1.0,31.2,78.8,0.2,1,-
5,"56Carles PérezBarcelona, 24, AM(CR)","Carles Pérez Barcelona, 24, AM(CR)",1,85,1.0,-,-,-,-,1.0,-,-,7.34,1,-,4.0,1.0,1.0,1,1.0,2.0,25.0,92.0,-,-,-
6,"57Romelu LukakuInter, 29, AM(R),FW","Romelu Lukaku Inter, 29, AM(R),FW",5,405,0.4,0.2,0.4,-,0.4,0.4,-,-,7.34,2,2,1.8,1.6,0.6,2.2,0.8,1.4,16.2,56.8,0.4,0.6,-
