,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"367Divock OrigiLiverpool, 27, AM(LR),FW","Divock Origi Liverpool, 27, AM(LR),FW",706,0.4,0.1,0.4,0,0.2,0.2,0,6.42,4,1,0.5,0.3,0.6,0,0.4,1,7.0,70.9,0.1,0.2,0,"Divock Origi Liverpool, 27, AM(LR),FW",188.0,0.5,0,0,0,0.3,14.5,83.9,6.45,Divock Origi,Liverpool,24,LIV  Liverpool FC  Liverpool,"AM(LR),FW",18.000,99.0,2.0,3.0
1,"339Danny RoseTottenham, 31, D(L),M(L)","Danny Rose Tottenham, 31, D(L),M(L)",895,1.5,0.7,1.2,0.3,2.5,0.9,0.5,6.49,0,0,0.2,0.9,1.4,0,0.4,0.9,39.2,80.0,0.7,1.0,0,"Danny Rose Tottenham, 31, D(L),M(L)",360.0,2,2.0,0,1,0.5,43.5,79.9,6.76,Danny Rose,Tottenham,28,TOT  Tottenham Hotspur  Tottenham,"D(L),M(L)",16.000,85.0,2.0,1.0
2,"327Christian EriksenTottenham, 30, M(CLR)","Christian Eriksen Tottenham, 30, M(CLR)",1092,1,0.6,0.5,0,0.7,0.9,0.1,6.51,2,2,1.3,1.2,0.3,0.1,0.7,1.2,33.7,80.3,0.6,1.5,0.1,"Christian Eriksen Tottenham, 30, M(CLR)",295.0,1.0,0,1,1,2.2,35.2,77.8,6.94,Christian Eriksen,Tottenham,27,TOT  Tottenham Hotspur  Tottenham,M(CLR),16.000,85.0,1.0,2.0
3,"302Callum Hudson-OdoiChelsea, 21, M(CLR)","Callum Hudson-Odoi Chelsea, 21, M(CLR)",852,0.5,0.2,0.5,0,0.2,0.3,0,6.56,1,5,1,0.9,0.6,0.1,0.8,1.3,18.7,85.9,0.8,1.3,0,"Callum Hudson-Odoi Chelsea, 21, M(CLR)",262.0,0.2,0.4,0,1,1.4,15.4,81.8,6.63,Callum Hudson-Odoi,Chelsea,18,CHE  Chelsea FC  Chelsea,M(CLR),17.000,83.0,1.0,2.0
4,"296Harry WinksTottenham, 26, DMC","Harry Winks Tottenham, 26, DMC",2230,1.3,1.2,0.8,0,1.0,1.2,0.3,6.57,0,0,0.5,0.6,0.7,0,0.5,0.8,54.6,90.3,0.2,2.5,0.1,"Harry Winks Tottenham, 26, DMC",441.0,2.4,1.6,0,0,1,63.8,85.9,6.53,Harry Winks,Tottenham,23,TOT  Tottenham Hotspur  Tottenham,DMC,16.000,85.0,0.0,1.0
5,"297James MilnerLiverpool, 36, D(LR),M(CLR)","James Milner Liverpool, 36, D(LR),M(CLR)",927,0.7,0.3,0.5,0.2,0.7,0.9,0.1,6.56,2,2,0.5,0.5,0.5,0,0.3,0.4,34.0,87.0,0.1,2.2,0.1,"James Milner Liverpool, 36, D(LR),M(CLR)",416.0,1.5,0.4,0,1,1.3,45.4,86.2,6.72,James Milner,Liverpool,33,LIV  Liverpool FC  Liverpool,"D(LR),M(CLR)",18.000,99.0,1.5,1.0
6,"262Giovani Lo CelsoTottenham, 26, M(CR),FW","Giovani Lo Celso Tottenham, 26, M(CR),FW",1489,1.8,0.3,1,0,0.6,1.7,0.1,6.62,0,2,0.6,1,1.6,0,1.1,1.5,34.5,85.0,0.4,1.5,0.1,"Giovani Lo Celso Tottenham, 26, M(CR),FW",332.0,1.8,1,1,0,1.4,43.4,83.9,7.31,Giovani Lo Celso,Tottenham,23,TOT  Tottenham Hotspur  Tottenham,"M(CR),FW",16.000,85.0,1.0,3.0
7,"270Steven BergwijnTottenham, 24, AM(CLR),FW","Steven Bergwijn Tottenham, 24, AM(CLR),FW",705,0.7,0.1,0.5,0,0.4,0.6,0,6.61,3,1,0.6,0.9,0.7,0,0.7,1.2,17.4,86.1,0.3,0,0,"Steven Bergwijn Tottenham, 24, AM(CLR),FW",90.0,1,0,0,0,1,22.0,77.3,6.58,Steven Bergwijn,Tottenham,21,TOT  Tottenham Hotspur  Tottenham,"AM(CLR),FW",16.000,85.0,1.0,3.0
8,"254Alex Oxlade ChamberlainLiverpool, 28, M(CLR)","Alex Oxlade Chamberlain Liverpool, 28, M(CLR)",1493,0.6,0.7,0.6,0,0.3,0.5,0,6.63,4,1,1.3,0.6,0.5,0.1,0.8,1.5,23.4,83.2,0.2,1.4,0,"Alex Oxlade Chamberlain Liverpool, 28, M(CLR)",282.0,1.4,0.6,3,1,1.0,36.8,83.7,7.57,Alex Oxlade Chamberlain,Liverpool,25,LIV  Liverpool FC  Liverpool,M(CLR),18.000,99.0,1.0,2.0
9,"249Erik LamelaTottenham, 30, AM(CLR)","Erik Lamela Tottenham, 30, AM(CLR)",1212,1,0.3,1.2,0,0.4,0.8,0.1,6.64,2,1,1.2,0.7,1.0,0,1.7,1,21.6,83.7,0.3,0.7,0.1,"Erik Lamela Tottenham, 30, AM(CLR)",229.0,0.8,0.2,1,2,0.6,18.2,89.0,6.8,Erik Lamela,Tottenham,27,TOT  Tottenham Hotspur  Tottenham,AM(CLR),16.000,85.0,1.0,2.5
