,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"433Memphis DepayMan Utd, 28, AM(CL),FW","Memphis Depay Man Utd, 28, AM(CL),FW",1478,0.4,0.3,0.7,0,0.3,0.4,0,6.38,2,0,2,0.4,1.2,0.3,2.4,1.7,22.1,80.8,0.5,0.8,0,"Memphis Depay Man Utd, 28, AM(CL),FW",327.0,0.7,0.3,1,0,0.8,23.5,75.2,6.66,Memphis Depay,Man Utd,21,MU  Manchester United  Man. United,"AM(CL),FW",13.000,67.0,1.0,3.0
1,"363Kelechi IheanachoMan City, 25, AM(C),FW","Kelechi Iheanacho Man City, 25, AM(C),FW",753,0.5,0.1,0.7,0,0.2,0.2,0,6.56,8,1,1.1,0.5,0.2,0.1,1.5,1,13.3,76.9,0,0.2,0,"Kelechi Iheanacho Man City, 25, AM(C),FW",73.0,0,0.3,0,0,0,3.8,73.3,5.98,Kelechi Iheanacho,Man City,18,MC  Manchester City FC  Man. City,"AM(C),FW",26.000,84.0,0.0,3.0
2,"365John TerryChelsea, 41, D(C)","John Terry Chelsea, 41, D(C)",1991,0.9,1.6,0.4,0.5,3.7,0.3,0.8,6.55,1,0,0.4,0.1,0.2,0.1,0.1,0,38.5,89.8,0,1.3,0,"John Terry Chelsea, 41, D(C)",342.0,1.3,1.5,0,0,0,37.3,85.2,6.94,John Terry,Chelsea,34,CHE  Chelsea FC  Chelsea,D(C),18.000,121.0,0.0,0.0
3,"357RamiresChelsea, 35, M(CR)","Ramires Chelsea, 35, M(CR)",608,1.9,1.2,1.8,0,0.7,1.7,0.1,6.57,2,0,0.8,0.1,1.3,0.1,1,0.5,25.8,79.6,0,1.4,0,"Ramires Chelsea, 35, M(CR)",368.0,3.2,1.4,0,0,0.4,33.0,76.4,6.92,Ramires,Chelsea,28,CHE  Chelsea FC  Chelsea,M(CR),18.000,121.0,1.0,2.0
4,"349Theo WalcottArsenal, 33, M(CLR),FW","Theo Walcott Arsenal, 33, M(CLR),FW",1375,0.4,0.5,0.1,0,0.3,0.3,0,6.58,5,2,1.6,0.6,0.9,0.5,1.1,1.3,11.1,79.7,0.1,0.1,0.1,"Theo Walcott Arsenal, 33, M(CLR),FW",319.0,0.7,0.7,2,1,0.2,8.8,73.6,6.91,Theo Walcott,Arsenal,26,ARS  Arsenal FC  Arsenal,"M(CLR),FW",15.000,90.0,1.0,3.0
5,"340Ashley YoungMan Utd, 36, D(LR),M(LR)","Ashley Young Man Utd, 36, D(LR),M(LR)",1063,1.1,1.4,0.8,0.1,1.0,0.6,0,6.6,1,2,0.4,0.6,1.1,0.1,0.4,0.6,31.4,77.7,0.6,2,0,"Ashley Young Man Utd, 36, D(LR),M(LR)",252.0,1,1.3,0,0,0.8,28.5,76.3,6.67,Ashley Young,Man Utd,29,MU  Manchester United  Man. United,"D(LR),M(LR)",13.000,67.0,2.0,1.0
6,"327Wilfried BonyMan City, 33, FW","Wilfried Bony Man City, 33, FW",1224,0.3,0.1,0.7,0,0.3,0.3,0,6.62,4,3,2.3,0.5,0.8,0.3,1.3,1.0,15.7,77.7,0,0.2,0.1,"Wilfried Bony Man City, 33, FW",279.0,0,0.2,2,2,1.2,14.2,67.6,7.07,Wilfried Bony,Man City,26,MC  Manchester City FC  Man. City,FW,26.000,84.0,0.0,4.0
7,"312KenedyChelsea, 26, D(L),M(LR)","Kenedy Chelsea, 26, D(L),M(LR)",552,1,0.9,0.4,0,0.4,0.7,0,6.65,1,0,0.9,0.4,0.6,0.1,0.9,1.2,20.7,86.2,0.1,0.5,0,"Kenedy Chelsea, 26, D(L),M(LR)",107.0,2.5,3.0,0,0,0.5,21.0,90.5,6.79,Kenedy,Chelsea,19,CHE  Chelsea FC  Chelsea,"D(L),M(LR)",18.000,121.0,2.0,1.0
8,"317Martín DemichelisMan City, 41, D(C)","Martín Demichelis Man City, 41, D(C)",1016,1,1.8,0.6,0.5,3.8,1.1,0.2,6.64,0,0,0.3,0.2,0.5,0,0,0.2,27.6,86.4,0,1.2,0,"Martín Demichelis Man City, 41, D(C)",247.0,1.8,2.5,1,0,0.3,45.8,90.7,6.82,Martín Demichelis,Man City,34,MC  Manchester City FC  Man. City,D(C),26.000,84.0,0.0,0.0
9,"301Michael CarrickMan Utd, 40, D(C),M(C)","Michael Carrick Man Utd, 40, D(C),M(C)",1975,1.5,1.6,0.4,0.1,1.3,0.7,0.1,6.66,0,0,0.3,0.4,0.5,0,0.6,0.5,55.9,86.5,0.1,3.9,0.1,"Michael Carrick Man Utd, 40, D(C),M(C)",111.0,1.5,0.5,0,0,0.5,50.0,88.0,6.49,Michael Carrick,Man Utd,33,MU  Manchester United  Man. United,"D(C),M(C)",13.000,67.0,0.0,1.0
10,"303Alex Oxlade ChamberlainArsenal, 28, M(CLR)","Alex Oxlade Chamberlain Arsenal, 28, M(CLR)",925,1,0.5,0.5,0,0.4,0.5,0.2,6.66,1,0,1,0.9,0.6,0.1,1.1,1.1,20.0,82.5,0.4,1.2,0,"Alex Oxlade Chamberlain Arsenal, 28, M(CLR)",238.0,1.4,1,0,0,0.4,19.6,84.7,6.63,Alex Oxlade Chamberlain,Arsenal,21,ARS  Arsenal FC  Arsenal,M(CLR),15.000,90.0,1.0,2.0
11,"293Phil JonesMan Utd, 30, D(CR),DMC","Phil Jones Man Utd, 30, D(CR),DMC",529,0.9,1.3,0.4,0,2.4,0.1,0.1,6.68,0,0,0.1,0,0.2,0,0.2,0.3,32.0,84.7,0.2,1.3,0,"Phil Jones Man Utd, 30, D(CR),DMC",108.0,1,2.5,0,0,0,36.0,86.1,6.59,Phil Jones,Man Utd,23,MU  Manchester United  Man. United,"D(CR),DMC",13.000,67.0,0.5,0.5
12,"295John Obi MikelChelsea, 35, M(C)","John Obi Mikel Chelsea, 35, M(C)",1784,2.1,1.3,1.3,0.1,1.4,1.3,0.3,6.68,0,1,0.3,0.2,0.4,0,0.5,0.4,49.7,89.5,0,1.9,0,"John Obi Mikel Chelsea, 35, M(C)",246.0,1.3,1,1,0,0.3,30.8,87.0,6.34,John Obi Mikel,Chelsea,28,CHE  Chelsea FC  Chelsea,M(C),18.000,121.0,0.0,2.0
13,"296Samir NasriMan City, 34, M(CLR)","Samir Nasri Man City, 34, M(CLR)",536,0.9,0.2,0.3,0,0,0.6,0,6.68,2,2,1.2,0.8,0.4,0.1,1.1,0.4,34.7,93.5,0.6,1.0,0.2,"Samir Nasri Man City, 34, M(CLR)",83.0,0,2,0,0,1,42.0,90.5,6.43,Samir Nasri,Man City,27,MC  Manchester City FC  Man. City,M(CLR),26.000,84.0,1.0,2.0
14,"285Cameron Borthwick-JacksonMan Utd, 25, D(CL),DMC,M(L)","Cameron Borthwick-Jackson Man Utd, 25, D(CL),DMC,M(L)",692,0.8,1.1,0.8,0.1,1.7,0.8,0.4,6.7,0,1,0.1,0.7,0.2,0,0.5,0.5,35.3,81.9,0.5,1.2,0,"Cameron Borthwick-Jackson Man Utd, 25, D(CL),DMC,M(L)",47.0,1,1,0,0,0,21.0,85.7,6.33,Cameron Borthwick-Jackson,Man Utd,18,MU  Manchester United  Man. United,"D(CL),DMC,M(L)",13.000,67.0,1.0,1.0
15,"275Jesse LingardMan Utd, 29, AM(CLR),FW","Jesse Lingard Man Utd, 29, AM(CLR),FW",1635,1.5,0.6,1,0,0.4,1.2,0,6.71,4,1,1.2,0.6,0.8,0.2,1,1.5,28.5,84.7,0.1,0.4,0.1,"Jesse Lingard Man Utd, 29, AM(CLR),FW",350.0,2.3,0.8,0,1,1,44.5,86.0,7.18,Jesse Lingard,Man Utd,22,MU  Manchester United  Man. United,"AM(CLR),FW",13.000,67.0,1.0,3.0
