,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"447Ahmed MusaLeicester, 29, M(CLR),FW","Ahmed Musa Leicester, 29, M(CLR),FW",755,0.6,0.4,0.6,0,0.1,0.3,0,6.32,2,0,0.8,0.3,0.6,0,0.6,1.1,10.2,68.2,0.2,0.2,0,"Ahmed Musa Leicester, 29, M(CLR),FW",215.0,0.4,0,0,0,0.8,9.0,80.0,6.11,Ahmed Musa,Leicester,23,LEI  Leicester City FC  Leicester,"M(CLR),FW",22.000,22.0,1.0,3.0
1,"440Vincent JanssenTottenham, 27, FW","Vincent Janssen Tottenham, 27, FW",832,0.6,0.1,1.1,0,0.1,0.1,0,6.34,2,2,1.1,0.6,0.9,0.3,1.1,1,8.3,79.6,0,0.2,0,"Vincent Janssen Tottenham, 27, FW",237.0,0.2,0.2,0,0,0.8,12.2,77.0,6.23,Vincent Janssen,Tottenham,21,TOT  Tottenham Hotspur  Tottenham,FW,10.000,62.0,0.0,4.0
2,"430Harry WinksTottenham, 26, DMC","Harry Winks Tottenham, 26, DMC",480,0.5,0.2,0.5,0,0.3,0.4,0.1,6.36,1,1,0.3,0.4,0.5,0,0.2,0,17.4,90.2,0,1.2,0,"Harry Winks Tottenham, 26, DMC",196.0,2,1.3,0,0,0.3,49.5,93.9,6.75,Harry Winks,Tottenham,20,TOT  Tottenham Hotspur  Tottenham,DMC,10.000,62.0,0.0,1.0
3,"407Kelechi IheanachoMan City, 25, AM(C),FW","Kelechi Iheanacho Man City, 25, AM(C),FW",528,0.3,0,0.4,0,0.1,0.2,0,6.4,4,3,1.1,0.7,0.1,0.3,1,1,9.6,76.6,0,0.2,0,"Kelechi Iheanacho Man City, 25, AM(C),FW",103.0,0,0,2,0,0,10.3,80.6,6.75,Kelechi Iheanacho,Man City,19,MC  Manchester City FC  Man. City,"AM(C),FW",18.000,85.0,0.0,3.0
4,"387Moussa SissokoTottenham, 32, M(CR)","Moussa Sissoko Tottenham, 32, M(CR)",903,0.6,0.3,0.8,0,0.4,0.2,0,6.46,0,2,0.7,0.8,0.4,0.1,0.5,0.8,18.1,81.9,0.1,0.4,0,"Moussa Sissoko Tottenham, 32, M(CR)",134.0,1.0,0.3,0,0,0.3,17.3,69.6,6.41,Moussa Sissoko,Tottenham,26,TOT  Tottenham Hotspur  Tottenham,M(CR),10.000,62.0,1.0,2.0
5,"389Demarai GrayLeicester, 25, AM(CLR),FW","Demarai Gray Leicester, 25, AM(CLR),FW",1039,0.6,0.3,0.3,0,0.3,0.2,0,6.45,1,3,0.9,0.6,0.5,0.1,0.6,0.8,10.9,74.8,0.5,0.5,0,"Demarai Gray Leicester, 25, AM(CLR),FW",155.0,0.8,0.2,0,0,0,9.0,64.4,6.14,Demarai Gray,Leicester,19,LEI  Leicester City FC  Leicester,"AM(CLR),FW",22.000,22.0,1.0,3.0
6,"368Daniel AmarteyLeicester, 27, D(CR),DMC","Daniel Amartey Leicester, 27, D(CR),DMC",1666,1.7,1.0,1.3,0,1.4,1.3,0.3,6.51,1,1,0.6,0.6,0.4,0,0.5,0.8,32.7,80.9,0,1.6,0,"Daniel Amartey Leicester, 27, D(CR),DMC",292.0,0.8,0.8,0,0,0.3,15.6,86.4,6.5,Daniel Amartey,Leicester,21,LEI  Leicester City FC  Leicester,"D(CR),DMC",22.000,22.0,0.5,0.5
7,"370Shinji OkazakiLeicester, 36, AM(CLR),FW","Shinji Okazaki Leicester, 36, AM(CLR),FW",1578,1.0,0.4,0.9,0,0.2,1.1,0.1,6.5,3,1,1.0,0.5,1.5,0.1,1.0,1.6,14.6,74.9,0,0.4,0.1,"Shinji Okazaki Leicester, 36, AM(CLR),FW",338.0,0.7,0.3,1,0,0.1,16.0,78.6,6.48,Shinji Okazaki,Leicester,30,LEI  Leicester City FC  Leicester,"AM(CLR),FW",22.000,22.0,1.0,3.0
8,"351Jesús NavasMan City, 36, D(R),M(R)","Jesús Navas Man City, 36, D(R),M(R)",1059,0.8,0.9,0.3,0,0.5,0.5,0,6.53,0,0,0.3,0.8,0.5,0.1,0.4,0.6,24.2,83.5,0.7,1.1,0,"Jesús Navas Man City, 36, D(R),M(R)",228.0,0.4,0.8,0,0,0.8,23.4,89.7,6.55,Jesús Navas,Man City,30,MC  Manchester City FC  Man. City,"D(R),M(R)",18.000,85.0,2.0,1.0
9,"359FernandoMan City, 34, DMC","Fernando Man City, 34, DMC",560,1.4,0.9,0.7,0,2.0,0.6,0,6.52,0,0,0.1,0.2,0.5,0,0.1,0.3,24.9,88.5,0,1.1,0,"Fernando Man City, 34, DMC",138.0,1.8,0.5,0,0,0.3,30.3,95.0,6.38,Fernando,Man City,28,MC  Manchester City FC  Man. City,DMC,18.000,85.0,0.0,1.0
