,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"400Donny van de BeekMan Utd, 25, M(C)","Donny van de Beek Man Utd, 25, M(C)",515,0.8,0.3,0.3,0,0.3,0.4,0.1,6.35,1,1,0.1,0.2,0.3,0,0.4,0.6,14.4,86.1,0,0.3,0,"Donny van de Beek Man Utd, 25, M(C)",277.0,0.8,0.3,0,0,1,31.5,86.8,6.46,Donny van de Beek,Man Utd,23,MU  Manchester United  Man. United,M(C),26.000,113.0,0.0,2.0
1,"375Xherdan ShaqiriLiverpool, 30, M(CLR)","Xherdan Shaqiri Liverpool, 30, M(CLR)",553,0.5,0.1,0.8,0,0,0.4,0,6.39,0,2,0.8,1.4,0.4,0,0.5,0.9,28.5,87.2,0.5,0.9,0.1,"Xherdan Shaqiri Liverpool, 30, M(CLR)",156.0,0.2,0.6,0,0,0.6,18.0,76.7,6.18,Xherdan Shaqiri,Liverpool,28,LIV  Liverpool FC  Liverpool,M(CLR),24.000,101.0,1.0,2.0
2,"331Joe GomezLiverpool, 25, D(CLR)","Joe Gomez Liverpool, 25, D(CLR)",590,0.4,0.6,0.9,0.3,4,0.6,0.3,6.48,0,0,0,0.1,0.9,0,0.4,0.3,79.4,89.7,0,5.6,0,"Joe Gomez Liverpool, 25, D(CLR)",270.0,1.3,1.7,0,1,0.3,73.7,84.6,7.72,Joe Gomez,Liverpool,23,LIV  Liverpool FC  Liverpool,D(CLR),24.000,101.0,1.0,0.0
3,"332James MilnerLiverpool, 36, D(LR),M(CLR)","James Milner Liverpool, 36, D(LR),M(CLR)",1062,1,0.5,0.7,0,0.5,0.8,0.1,6.48,0,1,0.5,0.5,0.4,0,0.5,0.5,33.0,85.6,0.4,1.1,0,"James Milner Liverpool, 36, D(LR),M(CLR)",363.0,2.3,1.3,0,0,0.3,38.7,79.3,6.69,James Milner,Liverpool,34,LIV  Liverpool FC  Liverpool,"D(LR),M(CLR)",24.000,101.0,1.5,1.0
4,"311Olivier GiroudChelsea, 35, FW","Olivier Giroud Chelsea, 35, FW",747,0.2,0.3,0.9,0,0.6,0.4,0.1,6.52,4,0,1.7,0.4,0.4,0.4,0.4,1.0,12.9,70.3,0.1,0.1,0,"Olivier Giroud Chelsea, 35, FW",256.0,0.3,0.3,6,0,0.1,8.9,76.1,6.8,Olivier Giroud,Chelsea,33,CHE  Chelsea FC  Chelsea,FW,33.000,98.0,0.0,4.0
5,"304Juan MataMan Utd, 34, AM(CLR)","Juan Mata Man Utd, 34, AM(CLR)",510,0.1,0.3,0.1,0,0.3,0.8,0,6.54,1,2,0.6,0.9,0.4,0.2,0.7,0.8,31.8,85.7,0.4,0.7,0.1,"Juan Mata Man Utd, 34, AM(CLR)",61.0,0,0,0,0,1,28.0,92.9,5.08,Juan Mata,Man Utd,32,MU  Manchester United  Man. United,AM(CLR),26.000,113.0,1.0,2.5
6,"281Curtis JonesLiverpool, 21, AM(C)","Curtis Jones Liverpool, 21, AM(C)",1178,0.7,0.8,0.8,0,0.4,0.5,0,6.58,1,2,0.8,0.5,0.5,0,1.3,0.9,40.3,92.2,0,0.9,0,"Curtis Jones Liverpool, 21, AM(C)",406.0,1.2,1.4,1,2,0.8,50.0,88.8,7.37,Curtis Jones,Liverpool,19,LIV  Liverpool FC  Liverpool,AM(C),24.000,101.0,0.0,2.5
7,"282Nemanja MaticMan Utd, 33, DMC","Nemanja Matic Man Utd, 33, DMC",1102,1.3,1.1,0.7,0.1,0.5,0.9,0.3,6.58,0,0,0.3,0.4,0.3,0,0.4,0.7,50.8,90.3,0.1,2.7,0,"Nemanja Matic Man Utd, 33, DMC",222.0,1.3,1.0,0,0,0,53.3,88.7,6.53,Nemanja Matic,Man Utd,31,MU  Manchester United  Man. United,DMC,26.000,113.0,0.0,1.0
8,"284Nathan AkéMan City, 27, D(CL),DMC","Nathan Aké Man City, 27, D(CL),DMC",797,1.0,0.9,0.8,0.5,2.2,0.1,0.1,6.57,1,0,0.3,0.1,0.4,0,0.1,0.2,75.1,93.1,0,1.4,0,"Nathan Aké Man City, 27, D(CL),DMC",180.0,1.5,1.5,0,0,0,66.5,92.5,7.14,Nathan Aké,Man City,25,MC  Manchester City FC  Man. City,"D(CL),DMC",35.000,125.0,0.5,0.5
9,"277Naby KeïtaLiverpool, 27, M(C)","Naby Keïta Liverpool, 27, M(C)",524,1.1,0.9,1.3,0,0.5,1,0,6.59,0,0,0.9,0.6,0.2,0,0.8,1.4,35.6,87.9,0.1,0.7,0.1,"Naby Keïta Liverpool, 27, M(C)",145.0,0.5,1,0,0,0.8,20.5,86.6,6.41,Naby Keïta,Liverpool,25,LIV  Liverpool FC  Liverpool,M(C),24.000,101.0,0.0,2.0
10,"262Georginio WijnaldumLiverpool, 31, M(CLR)","Georginio Wijnaldum Liverpool, 31, M(CLR)",2947,0.6,0.7,0.4,0,0.4,0.6,0.1,6.62,2,0,0.8,0.6,0.6,0,0.7,1.0,46.2,92.7,0,1.2,0,"Georginio Wijnaldum Liverpool, 31, M(CLR)",720.0,0.8,1,0,0,0.1,41.3,90.6,6.63,Georginio Wijnaldum,Liverpool,29,LIV  Liverpool FC  Liverpool,M(CLR),24.000,101.0,1.0,2.0
11,"265Daniel JamesMan Utd, 24, AM(LR),FW","Daniel James Man Utd, 24, AM(LR),FW",914,1.0,0,0.9,0,0.3,1,0.1,6.61,3,1,1.1,0.7,0.9,0.3,0.6,1.4,19.2,81.3,0.1,0.1,0,"Daniel James Man Utd, 24, AM(LR),FW",33.0,0,0,1,0,0.5,5.0,80.0,6.48,Daniel James,Man Utd,22,MU  Manchester United  Man. United,"AM(LR),FW",26.000,113.0,2.0,3.0
12,"270Kai HavertzChelsea, 23, M(CR),FW","Kai Havertz Chelsea, 23, M(CR),FW",1522,0.7,0.1,1,0.1,0.7,0.8,0,6.6,4,3,1.2,0.7,0.6,0.3,1,2.0,28.4,84.9,0,0.4,0,"Kai Havertz Chelsea, 23, M(CR),FW",787.0,1.4,0.8,1,2,1.1,30.9,83.8,7.09,Kai Havertz,Chelsea,21,CHE  Chelsea FC  Chelsea,"M(CR),FW",33.000,98.0,1.0,3.0
13,"258Benjamin MendyMan City, 27, D(L),DMC,M(L)","Benjamin Mendy Man City, 27, D(L),DMC,M(L)",955,1,0.4,1.1,0.2,0.7,1.2,0.4,6.63,2,1,0.5,0.4,0,0.1,0.4,1.2,42.5,83.9,0.3,1.1,0,"Benjamin Mendy Man City, 27, D(L),DMC,M(L)",78.0,1.0,2.0,0,0,2.0,69.0,94.2,7.05,Benjamin Mendy,Man City,25,MC  Manchester City FC  Man. City,"D(L),DMC,M(L)",35.000,125.0,1.3333333333333333,1.0
14,"249Sergio AgüeroMan City, 34, AM(CL),FW","Sergio Agüero Man City, 34, AM(CL),FW",559,0.3,0.2,0.2,0,0,0.8,0,6.64,4,1,1.6,0.6,0.6,0.1,0.9,1.3,14.3,80.7,0.1,0.2,0,"Sergio Agüero Man City, 34, AM(CL),FW",147.0,0.1,0,2,0,0,3.1,77.3,6.25,Sergio Agüero,Man City,32,MC  Manchester City FC  Man. City,"AM(CL),FW",35.000,125.0,1.0,3.0
15,"225Edinson CavaniMan Utd, 35, AM(LR),FW","Edinson Cavani Man Utd, 35, AM(LR),FW",1372,0.5,0.2,0.8,0,0.4,0.4,0,6.67,10,3,1.3,0.5,0.5,0.2,0.4,1.2,12.9,77.4,0,0.5,0.1,"Edinson Cavani Man Utd, 35, AM(LR),FW",207.0,0.3,0,0,0,0.3,14.0,82.1,6.42,Edinson Cavani,Man Utd,33,MU  Manchester United  Man. United,"AM(LR),FW",26.000,113.0,2.0,3.0
