,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"435ChicharitoMan Utd, 34, FW","Chicharito Man Utd, 34, FW",840,0.2,0.1,0.3,0,0.1,0.1,0,6.39,4,2,0.9,0.5,0.6,0.4,0.7,1.2,8.8,86.2,0,0.5,0.1,"Chicharito Man Utd, 34, FW",170.0,0,0,0,0,0,8.4,78.6,6.03,Chicharito,Man Utd,25,MU  Manchester United  Man. United,FW,23.000,112.0,0.0,4.0
1,"405Ryan GiggsMan Utd, 48, M(CL)","Ryan Giggs Man Utd, 48, M(CL)",504,0.5,1,0.5,0,0.8,0.6,0.1,6.47,0,0,0.4,0.8,0.1,0,0.9,0.3,23.9,83.3,0.8,1.3,0.1,"Ryan Giggs Man Utd, 48, M(CL)",494.0,1.9,1.7,0,1,1.4,41.7,82.9,7.19,Ryan Giggs,Man Utd,39,MU  Manchester United  Man. United,M(CL),23.000,112.0,1.0,2.0
2,"386Demba BaChelsea, 37, AM(C),FW","Demba Ba Chelsea, 37, AM(C),FW",661,0.2,0.1,0.9,0,0.2,0.1,0.1,6.51,5,1,1.6,0.4,0.4,0.5,0.6,1.1,9.1,64.2,0,0.2,0,"Demba Ba Chelsea, 37, AM(C),FW",165.0,0,0.2,3,0,0.3,7.7,63.0,6.61,Demba Ba,Chelsea,28,CHE  Chelsea FC  Chelsea,"AM(C),FW",25.000,124.0,0.0,3.0
3,"366Ashley YoungMan Utd, 36, D(LR),M(LR)","Ashley Young Man Utd, 36, D(LR),M(LR)",1030,0.7,0.5,0.9,0.1,0.7,0.2,0.1,6.55,2,1,0.9,0.8,1.0,0.4,1,0.8,22.8,79.2,0.8,1.3,0,"Ashley Young Man Utd, 36, D(LR),M(LR)",248.0,0.5,0.6,0,0,0.5,16.9,80.7,6.42,Ashley Young,Man Utd,27,MU  Manchester United  Man. United,"D(LR),M(LR)",23.000,112.0,2.0,1.0
4,"367Alex Oxlade ChamberlainArsenal, 28, M(CLR)","Alex Oxlade Chamberlain Arsenal, 28, M(CLR)",525,0.6,0.9,0.4,0,0.5,0.5,0.2,6.55,2,2,1.3,0.4,0.7,0.1,0.7,1.2,23.6,80.4,0.1,1.5,0,"Alex Oxlade Chamberlain Arsenal, 28, M(CLR)",159.0,0.5,1.5,0,0,0.5,20.0,75.0,7.12,Alex Oxlade Chamberlain,Arsenal,19,ARS  Arsenal FC  Arsenal,M(CLR),18.000,96.0,1.0,2.0
5,"354Darren FletcherMan Utd, 38, M(C)","Darren Fletcher Man Utd, 38, M(C)",779,0.7,1.2,0.3,0,0.8,0.7,0.1,6.58,0,0,0.4,0.6,0.9,0,0.5,0.8,55.6,89.1,0.1,4.6,0,"Darren Fletcher Man Utd, 38, M(C)",82.0,0,2,0,0,1.5,15.0,56.7,6.24,Darren Fletcher,Man Utd,29,MU  Manchester United  Man. United,M(C),23.000,112.0,0.0,2.0
6,"348NaniMan Utd, 35, M(CLR),FW","Nani Man Utd, 35, M(CLR),FW",560,1.2,0.4,0.5,0,0.4,0.5,0,6.59,0,0,1.5,1,0.8,0.3,1.5,1.8,27.7,78.4,0.8,0.5,0,"Nani Man Utd, 35, M(CLR),FW",90.0,1,6,1,0,2,35.0,77.1,9.21,Nani,Man Utd,26,MU  Manchester United  Man. United,"M(CLR),FW",23.000,112.0,1.0,3.0
7,"349James MilnerMan City, 36, D(LR),M(CLR)","James Milner Man City, 36, D(LR),M(CLR)",1359,1,0.3,0.7,0,0.4,0.5,0,6.59,1,4,0.8,1,0.6,0.1,0.8,0.5,24.2,84.0,0.6,1.0,0.1,"James Milner Man City, 36, D(LR),M(CLR)",358.0,1.3,0.8,1,3,1,30.7,79.9,7.03,James Milner,Man City,27,MC  Manchester City FC  Man. City,"D(LR),M(CLR)",19.000,56.0,1.5,1.0
8,"325Mathieu FlaminiArsenal, 38, M(C)","Mathieu Flamini Arsenal, 38, M(C)",1604,1.4,1.4,0.9,0.1,1.9,0.4,0.4,6.63,2,0,0.7,0.3,0.7,0,0.5,0.6,41.7,91.5,0,2.4,0,"Mathieu Flamini Arsenal, 38, M(C)",456.0,2,2.2,0,0,0.2,53.3,89.7,6.82,Mathieu Flamini,Arsenal,29,ARS  Arsenal FC  Arsenal,M(C),18.000,96.0,0.0,2.0
9,"329Alexander BüttnerMan Utd, 33, D(L),M(L)","Alexander Büttner Man Utd, 33, D(L),M(L)",497,2.0,0.9,0.9,0,2.6,0.4,0.3,6.62,0,0,0.6,0.4,1,0,0.8,0.6,32.4,88.4,0.5,0.5,0,"Alexander Büttner Man Utd, 33, D(L),M(L)",182.0,1,1.3,0,0,0,19.7,78.0,6.64,Alexander Büttner,Man Utd,24,MU  Manchester United  Man. United,"D(L),M(L)",23.000,112.0,2.0,1.0
