,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"398Dominic SolankeLiverpool, 24, FW","Dominic Solanke Liverpool, 24, FW",583,0.3,0.1,0.6,0,0.3,0.1,0,6.4,1,1,1,0.7,0.1,0,0.8,1.6,9.4,75.1,0,0.1,0.1,"Dominic Solanke Liverpool, 24, FW",36.0,0.3,0,0,0,0.3,3.0,55.6,6.02,Dominic Solanke,Liverpool,19,LIV  Liverpool FC  Liverpool,FW,30.000,62.0,0.0,4.0
1,"376Moussa SissokoTottenham, 32, M(CR)","Moussa Sissoko Tottenham, 32, M(CR)",1396,0.7,0.3,0.7,0,0.6,0.1,0,6.46,1,1,0.6,0.8,0.2,0.1,0.5,0.6,26.3,83.5,0.1,0.9,0.1,"Moussa Sissoko Tottenham, 32, M(CR)",341.0,1.5,0.7,0,1,1.2,28.7,88.4,6.92,Moussa Sissoko,Tottenham,27,TOT  Tottenham Hotspur  Tottenham,M(CR),21.000,67.0,1.0,2.0
2,"366Scott McTominayMan Utd, 25, D(C),DMC","Scott McTominay Man Utd, 25, D(C),DMC",630,0.8,1,0.5,0.1,0.7,0.6,0,6.48,0,0,0.1,0.2,1.2,0,0.8,0.5,26.4,88.0,0,0.9,0,"Scott McTominay Man Utd, 25, D(C),DMC",205.0,0.8,0.8,0,0,0.3,29.3,88.9,6.66,Scott McTominay,Man Utd,20,MU  Manchester United  Man. United,"D(C),DMC",20.000,82.0,0.0,0.5
3,"369Danny DrinkwaterChelsea, 32, DMC","Danny Drinkwater Chelsea, 32, DMC",522,1.3,0.7,0.8,0,0.6,1.2,0.2,6.48,1,0,0.5,0.4,0.3,0,0.2,0.3,32.1,86.0,0,1.3,0.2,"Danny Drinkwater Chelsea, 32, DMC",41.0,0.3,0,0,0,0,14.0,95.2,6.15,Danny Drinkwater,Chelsea,27,CHE  Chelsea FC  Chelsea,DMC,18.000,82.0,0.0,1.0
4,"360Harry WinksTottenham, 26, DMC","Harry Winks Tottenham, 26, DMC",772,0.9,0.7,0.5,0,0.5,0.5,0.1,6.49,0,1,0.2,0.6,0.4,0,0.6,1.1,40.1,90.0,0.1,2.2,0,"Harry Winks Tottenham, 26, DMC",426.0,1.2,1.4,0,0,0.2,68.4,92.1,7.01,Harry Winks,Tottenham,21,TOT  Tottenham Hotspur  Tottenham,DMC,21.000,67.0,0.0,1.0
5,"344Erik LamelaTottenham, 30, AM(CLR)","Erik Lamela Tottenham, 30, AM(CLR)",832,0.9,0.3,1,0,0.2,0.7,0,6.52,2,2,0.8,0.6,0.6,0.1,0.8,1,17.8,82.7,0.3,0.5,0.1,"Erik Lamela Tottenham, 30, AM(CLR)",105.0,1,1,0,0,0,24.0,87.5,6.59,Erik Lamela,Tottenham,25,TOT  Tottenham Hotspur  Tottenham,AM(CLR),21.000,67.0,1.0,2.5
6,"329Eliaquim MangalaMan City, 31, D(C)","Eliaquim Mangala Man City, 31, D(C)",483,0.6,0.2,0.2,0.4,2.7,0.2,0.3,6.57,0,0,0.1,0.1,0,0,0.6,0.1,38.2,91.6,0,1.1,0,"Eliaquim Mangala Man City, 31, D(C)",180.0,1,2.5,0,0,0,97.0,95.9,6.61,Eliaquim Mangala,Man City,26,MC  Manchester City FC  Man. City,D(C),22.000,100.0,0.0,0.0
7,"313Ander HerreraMan Utd, 32, M(C)","Ander Herrera Man Utd, 32, M(C)",1262,2.2,1.3,1.1,0,0.8,1.9,0.2,6.6,0,2,0.5,0.4,1.1,0.1,0.6,0.5,40.1,87.6,0,1.5,0.1,"Ander Herrera Man Utd, 32, M(C)",375.0,2.2,2.0,0,0,0.5,59.8,91.6,7.05,Ander Herrera,Man Utd,27,MU  Manchester United  Man. United,M(C),20.000,82.0,0.0,2.0
8,"309Davide ZappacostaChelsea, 30, D(R),M(LR)","Davide Zappacosta Chelsea, 30, D(R),M(LR)",1096,1.2,0.3,0.3,0.1,0.9,0.6,0.1,6.61,1,1,1.1,0.6,0.5,0.2,0.8,1,20.2,84.9,0.8,0.3,0,"Davide Zappacosta Chelsea, 30, D(R),M(LR)",353.0,0.4,0.6,1,0,0.8,22.8,78.1,6.91,Davide Zappacosta,Chelsea,25,CHE  Chelsea FC  Chelsea,"D(R),M(LR)",18.000,82.0,2.0,1.0
9,"285Victor WanyamaTottenham, 30, DMC","Victor Wanyama Tottenham, 30, DMC",839,1.7,0.6,0.7,0,1.1,0.9,0.2,6.64,1,0,0.7,0.3,0.5,0,0.7,0.7,34.3,87.2,0,2.1,0,"Victor Wanyama Tottenham, 30, DMC",1.0,0,0,0,0,0,0,0,6.0,Victor Wanyama,Tottenham,25,TOT  Tottenham Hotspur  Tottenham,DMC,21.000,67.0,0.0,1.0
