,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"454Rickie LambertLiverpool, 40, FW","Rickie Lambert Liverpool, 40, FW",825,0.2,0,0.5,0,0.3,0.2,0,6.33,2,2,0.8,0.4,0.3,0.5,0.4,1,10.3,68.1,0,0.1,0,"Rickie Lambert Liverpool, 40, FW",145.0,0.3,0,1,0,0.3,19.0,68.4,6.72,Rickie Lambert,Liverpool,32,LIV  Liverpool FC  Liverpool,FW,10.000,31.0,0.0,4.0
1,"414Didier DrogbaChelsea, 44, FW","Didier Drogba Chelsea, 44, FW",856,0.5,0.1,0.5,0,0.4,0.1,0.1,6.43,4,1,1.1,0.5,0.6,0.4,1.4,1.4,11.3,60.3,0.1,0.5,0,"Didier Drogba Chelsea, 44, FW",292.0,0.2,0,2,1,0.8,16.6,69.9,6.93,Didier Drogba,Chelsea,36,CHE  Chelsea FC  Chelsea,FW,21.000,126.0,0.0,4.0
2,"410John Obi MikelChelsea, 35, M(C)","John Obi Mikel Chelsea, 35, M(C)",697,1.2,0.8,0.8,0,0.7,0.8,0.1,6.44,0,1,0.2,0.1,0.2,0,0.2,0.3,29.3,90.7,0,1.2,0,"John Obi Mikel Chelsea, 35, M(C)",109.0,3.0,0,1,0,0,36.0,87.5,7.24,John Obi Mikel,Chelsea,27,CHE  Chelsea FC  Chelsea,M(C),21.000,126.0,0.0,2.0
3,"376Kolo TouréLiverpool, 41, D(C)","Kolo Touré Liverpool, 41, D(C)",711,1.5,0.7,0.3,0.3,4.5,0.3,0.6,6.52,0,0,0.1,0.1,0.1,0,0.4,0.3,28.3,87.6,0,1.1,0,"Kolo Touré Liverpool, 41, D(C)",180.0,0.5,1,0,0,0,37.0,89.2,7.1,Kolo Touré,Liverpool,33,LIV  Liverpool FC  Liverpool,D(C),10.000,31.0,0.0,0.0
4,"361Frank LampardMan City, 43, M(C)","Frank Lampard Man City, 43, M(C)",991,0.8,0.4,0.2,0,0.2,0.4,0.1,6.56,6,1,1,0.5,0.3,0,0.5,0.4,21.8,85.1,0,0.8,0.1,"Frank Lampard Man City, 43, M(C)",126.0,1,1.3,0,0,0.3,27.0,82.7,6.45,Frank Lampard,Man City,35,MC  Manchester City FC  Man. City,M(C),15.000,71.0,0.0,2.0
5,"367Mario BalotelliLiverpool, 31, FW","Mario Balotelli Liverpool, 31, FW",940,0.8,0.2,1.8,0,0.8,0.1,0.1,6.54,1,0,3.5,0.6,1.6,0.8,1.5,1.3,15.1,69.7,0.1,0.6,0.1,"Mario Balotelli Liverpool, 31, FW",226.0,0.3,0,1,0,1.3,20.0,81.7,6.91,Mario Balotelli,Liverpool,23,LIV  Liverpool FC  Liverpool,FW,10.000,31.0,0.0,4.0
6,"352Loïc RémyChelsea, 35, M(LR),FW","Loïc Rémy Chelsea, 35, M(LR),FW",668,0.2,0.1,0.5,0,0.3,0.1,0,6.58,7,0,1.6,0.3,0.5,0.4,0.7,0.4,12.0,82.5,0.1,0.2,0,"Loïc Rémy Chelsea, 35, M(LR),FW",60.0,0.3,0,1,0,0,5.0,85.0,6.39,Loïc Rémy,Chelsea,27,CHE  Chelsea FC  Chelsea,"M(LR),FW",21.000,126.0,2.0,3.0
7,"347Kurt ZoumaChelsea, 27, D(CR)","Kurt Zouma Chelsea, 27, D(CR)",644,1.1,0.5,0.4,0.2,3.1,0.1,0.2,6.6,0,0,0.1,0.1,0.1,0,0,0,17.2,80.6,0,0.8,0,"Kurt Zouma Chelsea, 27, D(CR)",306.0,0.8,0.8,0,0,0,44.3,91.0,7.02,Kurt Zouma,Chelsea,19,CHE  Chelsea FC  Chelsea,D(CR),21.000,126.0,1.0,0.0
8,"322Edin DzekoMan City, 36, FW","Edin Dzeko Man City, 36, FW",932,0.5,0.2,0.6,0,0.6,0.2,0.1,6.63,4,2,2,0.5,0.4,0.3,1.3,1.2,16.7,76.8,0,0.4,0,"Edin Dzeko Man City, 36, FW",374.0,0.5,0,0,1,0.5,26.2,72.6,6.76,Edin Dzeko,Man City,28,MC  Manchester City FC  Man. City,FW,15.000,71.0,0.0,4.0
9,"301Lazar MarkovicLiverpool, 28, AM(CLR)","Lazar Markovic Liverpool, 28, AM(CLR)",935,1.4,0.8,0.5,0.1,0.5,0.7,0.1,6.67,2,1,0.8,1.1,0.6,0,1,1.3,23.0,81.2,0.2,0.6,0.1,"Lazar Markovic Liverpool, 28, AM(CLR)",189.0,1.3,0,0,0,0.3,23.8,85.3,6.18,Lazar Markovic,Liverpool,20,LIV  Liverpool FC  Liverpool,AM(CLR),10.000,31.0,1.0,2.5
10,"292Tomas RosickyArsenal, 41, M(CR)","Tomas Rosicky Arsenal, 41, M(CR)",576,0.7,0.5,0.5,0,0.5,0.5,0.1,6.69,2,1,0.7,0.5,0.7,0,0.3,0.2,29.7,86.3,0.1,0.6,0.3,"Tomas Rosicky Arsenal, 41, M(CR)",40.0,0,0.3,0,0,0,7,76.2,6.03,Tomas Rosicky,Arsenal,33,ARS  Arsenal FC  Arsenal,M(CR),20.000,94.0,1.0,2.0
11,"297RamiresChelsea, 35, M(CR)","Ramires Chelsea, 35, M(CR)",1102,1.2,0.6,0.8,0,1.0,0.7,0,6.68,2,4,0.7,0.4,0.8,0,0.8,0.8,23.6,79.9,0,0.8,0,"Ramires Chelsea, 35, M(CR)",314.0,1.2,0.7,1,0,0,27.7,84.9,6.62,Ramires,Chelsea,27,CHE  Chelsea FC  Chelsea,M(CR),21.000,126.0,1.0,2.0
12,"277Alberto MorenoLiverpool, 29, D(L),M(L)","Alberto Moreno Liverpool, 29, D(L),M(L)",2263,1.9,1.2,1.3,0,1.6,0.4,0.1,6.72,2,0,0.6,1.2,1.3,0.1,0.4,0.8,35.0,82.7,0.4,1.8,0,"Alberto Moreno Liverpool, 29, D(L),M(L)",323.0,1.6,1.8,0,1,2,32.8,91.5,6.95,Alberto Moreno,Liverpool,21,LIV  Liverpool FC  Liverpool,"D(L),M(L)",10.000,31.0,2.0,1.0
13,"269Mikel ArtetaArsenal, 40, M(C)","Mikel Arteta Arsenal, 40, M(C)",450,1.6,0.7,1.6,0,0.7,0.7,0.1,6.73,0,1,0.3,0.4,1.4,0,0.3,0,60.0,93.8,0,2.4,0,"Mikel Arteta Arsenal, 40, M(C)",206.0,2.3,2.0,1,0,0.3,60.0,88.3,6.93,Mikel Arteta,Arsenal,32,ARS  Arsenal FC  Arsenal,M(C),20.000,94.0,0.0,2.0
14,"270Mathieu FlaminiArsenal, 38, M(C)","Mathieu Flamini Arsenal, 38, M(C)",1456,1.9,2.1,0.9,0.1,1.4,0.7,0.3,6.73,1,1,0.3,0.2,0.5,0,0.5,0.1,37.6,91.3,0,0.9,0,"Mathieu Flamini Arsenal, 38, M(C)",262.0,0.8,2.6,0,0,0,29.2,92.5,6.64,Mathieu Flamini,Arsenal,30,ARS  Arsenal FC  Arsenal,M(C),20.000,94.0,0.0,2.0
15,"246Glen JohnsonLiverpool, 37, D(CLR),M(R)","Glen Johnson Liverpool, 37, D(CLR),M(R)",1331,1.6,0.9,0.4,0.1,2.3,0.6,0.2,6.79,1,0,0.4,0.3,0.7,0.1,0.8,1.2,35.7,83.0,0.2,1.5,0,"Glen Johnson Liverpool, 37, D(CLR),M(R)",270.0,1.7,2.0,0,0,0.3,43.3,86.2,6.63,Glen Johnson,Liverpool,29,LIV  Liverpool FC  Liverpool,"D(CLR),M(R)",10.000,31.0,1.5,1.0
16,"231Joe AllenLiverpool, 32, M(C)","Joe Allen Liverpool, 32, M(C)",1471,2.6,1.5,1.0,0,0.8,1.0,0.1,6.81,1,0,0.6,0.7,1.1,0,1.3,1.1,40.8,87.9,0.2,1.1,0,"Joe Allen Liverpool, 32, M(C)",360.0,2.5,1.3,0,0,0.5,50.8,86.7,6.44,Joe Allen,Liverpool,24,LIV  Liverpool FC  Liverpool,M(C),10.000,31.0,0.0,2.0
17,"212Vincent KompanyMan City, 36, D(C)","Vincent Kompany Man City, 36, D(C)",2034,1.4,1.8,1.4,0.6,4.0,0.6,0.6,6.86,0,0,0.2,0.2,0.3,0,0.2,0.1,49.3,87.3,0,3.1,0,"Vincent Kompany Man City, 36, D(C)",630.0,1.9,3.7,0,0,0.1,51.3,88.3,6.87,Vincent Kompany,Man City,28,MC  Manchester City FC  Man. City,D(C),15.000,71.0,0.0,0.0
18,"218Jack WilshereArsenal, 30, M(CLR)","Jack Wilshere Arsenal, 30, M(CLR)",732,0.7,0.4,0.7,0,0.1,0.5,0.1,6.84,2,1,1.3,1.1,1.5,0,0.7,0.7,37.4,84.2,0,1.2,0.3,"Jack Wilshere Arsenal, 30, M(CLR)",187.0,2.3,1.3,0,0,0.7,48.3,77.9,6.8,Jack Wilshere,Arsenal,22,ARS  Arsenal FC  Arsenal,M(CLR),20.000,94.0,1.0,2.0
19,"203Filipe LuísChelsea, 36, D(L)","Filipe Luís Chelsea, 36, D(L)",939,3.1,0.9,1.3,0,1.1,0.5,0.2,6.89,0,0,0.3,0.7,0.7,0,0.7,0.3,39.5,86.3,0.3,1.7,0,"Filipe Luís Chelsea, 36, D(L)",416.0,4.6,2,0,0,0.8,53.2,88.7,7.45,Filipe Luís,Chelsea,28,CHE  Chelsea FC  Chelsea,D(L),21.000,126.0,2.0,0.0
20,"208Javier ManquilloLiverpool, 28, D(LR),M(R)","Javier Manquillo Liverpool, 28, D(LR),M(R)",762,3.2,2.2,0.2,0.5,2.4,0.6,0.3,6.87,0,0,0.2,0.1,1.0,0.2,0.8,1.0,37.7,82.8,0.2,1.2,0,"Javier Manquillo Liverpool, 28, D(LR),M(R)",360.0,5.3,3.0,0,0,0.8,31.8,78.0,7.14,Javier Manquillo,Liverpool,20,LIV  Liverpool FC  Liverpool,"D(LR),M(R)",10.000,31.0,2.0,1.0
21,"210Stevan JoveticMan City, 32, AM(CL),FW","Stevan Jovetic Man City, 32, AM(CL),FW",787,0.5,0.5,0.9,0,0.2,1,0.1,6.87,5,3,2.2,0.9,0.9,0.1,1.0,0.9,29.4,82.2,0.1,0.6,0.1,"Stevan Jovetic Man City, 32, AM(CL),FW",92.0,0.2,0.2,0,1,0.2,14.8,75.7,6.35,Stevan Jovetic,Man City,24,MC  Manchester City FC  Man. City,"AM(CL),FW",15.000,71.0,1.0,3.0
