,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
0,"415Marcus RashfordMan Utd, 24, AM(CLR),FW","Marcus Rashford Man Utd, 24, AM(CLR),FW",1233,0.2,0.2,0.5,0,0.2,0.4,0,6.35,4,2,0.9,0.4,0.7,0.6,1.0,1.6,15.7,76.1,0,0.2,0,"Marcus Rashford Man Utd, 24, AM(CLR),FW",258.0,1.2,0,1,0,0,23.4,80.3,6.37,Marcus Rashford,Man Utd,23,MU  Manchester United  Man. United,"AM(CLR),FW",18.000,105.0,1.0,3.0
1,"391Edinson CavaniMan Utd, 35, AM(LR),FW","Edinson Cavani Man Utd, 35, AM(LR),FW",765,0.3,0.1,0.5,0,0.3,0.4,0,6.4,2,1,1.2,0.5,0.3,0.4,0.3,0.8,15.3,76.1,0,0.5,0,"Edinson Cavani Man Utd, 35, AM(LR),FW",76.0,0.3,0,0,1,0.5,8.8,74.3,6.38,Edinson Cavani,Man Utd,34,MU  Manchester United  Man. United,"AM(LR),FW",18.000,105.0,2.0,3.0
2,"326Victor LindelöfMan Utd, 27, D(CR)","Victor Lindelöf Man Utd, 27, D(CR)",2355,0.6,0.9,0.7,0.4,3.4,0.2,0.6,6.5,0,2,0.1,0.1,0.2,0.1,0,0.3,49.2,87.8,0,2.3,0.1,"Victor Lindelöf Man Utd, 27, D(CR)",426.0,1,0.8,0,0,0,56.6,91.5,6.59,Victor Lindelöf,Man Utd,26,MU  Manchester United  Man. United,D(CR),18.000,105.0,1.0,0.0
3,"330Saúl ÑíguezChelsea, 27, D(CL),M(CLR)","Saúl Ñíguez Chelsea, 27, D(CL),M(CLR)",480,2,0.7,0.9,0,0.9,0.7,0.3,6.49,0,0,0.5,0.3,0,0,1.1,0.9,32.5,88.9,0.2,1.3,0,"Saúl Ñíguez Chelsea, 27, D(CL),M(CLR)",161.0,1.6,0.4,0,0,0.2,17.4,86.2,6.61,Saúl Ñíguez,Chelsea,26,CHE  Chelsea FC  Chelsea,"D(CL),M(CLR)",25.000,123.0,1.0,1.0
4,"305Timo WernerChelsea, 26, AM(CLR),FW","Timo Werner Chelsea, 26, AM(CLR),FW",1286,0.4,0.1,0.5,0,0.2,0.9,0,6.53,4,1,2.1,0.4,0.6,0.5,0.9,1.6,17.7,78.2,0,0.2,0,"Timo Werner Chelsea, 26, AM(CLR),FW",245.0,0.2,0,4,2,0.8,14.6,78.1,7.39,Timo Werner,Chelsea,25,CHE  Chelsea FC  Chelsea,"AM(CLR),FW",25.000,123.0,1.0,3.0
5,"293Anthony ElangaMan Utd, 20, AM(LR)","Anthony Elanga Man Utd, 20, AM(LR)",1217,1.2,0.4,0.4,0,0.2,0.7,0,6.56,2,2,1,0.4,1,0.1,0.7,1.8,19.7,78.2,0.2,0.2,0,"Anthony Elanga Man Utd, 20, AM(LR)",173.0,1.3,1,1,0,0,14.0,57.1,6.55,Anthony Elanga,Man Utd,19,MU  Manchester United  Man. United,AM(LR),18.000,105.0,2.0,2.5
6,"290Alex Oxlade ChamberlainLiverpool, 28, M(CLR)","Alex Oxlade Chamberlain Liverpool, 28, M(CLR)",787,0.9,0.4,0.6,0,0.3,0.6,0.1,6.56,2,1,1.2,0.6,0.2,0.1,0.6,0.9,22.2,82.3,0.2,1.4,0,"Alex Oxlade Chamberlain Liverpool, 28, M(CLR)",300.0,2.0,0.7,0,0,0.3,27.2,86.5,7.07,Alex Oxlade Chamberlain,Liverpool,27,LIV  Liverpool FC  Liverpool,M(CLR),33.000,134.0,1.0,2.0
7,"265James MilnerLiverpool, 36, D(LR),M(CLR)","James Milner Liverpool, 36, D(LR),M(CLR)",851,1.2,0.7,0.7,0,0.8,0.7,0.2,6.6,0,1,0.4,0.9,0.6,0,0.2,0.5,29.3,86.0,0.5,1.1,0.1,"James Milner Liverpool, 36, D(LR),M(CLR)",212.0,0.8,0.3,0,1,0.4,18.6,75.8,6.26,James Milner,Liverpool,35,LIV  Liverpool FC  Liverpool,"D(LR),M(CLR)",33.000,134.0,1.5,1.0
8,"242Harry MaguireMan Utd, 29, D(C)","Harry Maguire Man Utd, 29, D(C)",2514,1.1,1.1,0.7,0.4,3.3,0.4,1,6.65,1,0,0.8,0.1,0.6,0,0.2,0.4,52.1,86.4,0,4,0,"Harry Maguire Man Utd, 29, D(C)",534.0,1.3,0.8,1,0,0.2,58.5,87.5,6.7,Harry Maguire,Man Utd,28,MU  Manchester United  Man. United,D(C),18.000,105.0,0.0,0.0
9,"248Luke ShawMan Utd, 26, D(CL),M(L)","Luke Shaw Man Utd, 26, D(CL),M(L)",1603,1.1,0.5,1.6,0.2,0.9,0.5,0.6,6.64,0,3,0.3,2,0.8,0.2,0.7,0.6,46.2,84.1,1.5,1.6,0.2,"Luke Shaw Man Utd, 26, D(CL),M(L)",398.0,0.8,1.8,0,2,0.8,45.4,82.8,6.71,Luke Shaw,Man Utd,25,MU  Manchester United  Man. United,"D(CL),M(L)",18.000,105.0,1.5,1.0
