,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
112,"96Gonçalo GuedesValencia, 25, AM(CLR),FW","Gonçalo Guedes Valencia, 25, AM(CLR),FW",1474,1.2,0.3,0.8,0,0,1.2,0,6.89,5,3,1.4,0.8,2.0,0.3,1,1.6,23.9,75.9,0.4,0.9,0.1,"Gonçalo Guedes Valencia, 25, AM(CLR),FW",318.0,1.3,0.5,0,0,0,31.3,78.4,6.44,Gonçalo Guedes,Valencia,21,VAL  Valencia CF  Valencia,"AM(CLR),FW",23.000,37.0,1.0,3.0
113,"99Arturo VidalBarcelona, 35, M(CR)","Arturo Vidal Barcelona, 35, M(CR)",1929,2.4,0.9,1.8,0.1,0.6,1.2,0.2,6.89,3,7,0.7,0.7,1.0,0,0.5,0.9,45.4,89.0,0.1,1.6,0.1,"Arturo Vidal Barcelona, 35, M(CR)",357.0,2.3,0.9,0,0,0.2,24.8,86.1,6.53,Arturo Vidal,Barcelona,31,BAR  FC Barcelona  Barcelona,M(CR),30.000,138.0,1.0,2.0
114,"81Philippe CoutinhoBarcelona, 29, M(CLR)","Philippe Coutinho Barcelona, 29, M(CLR)",2023,0.5,0.4,0.6,0,0.1,0.4,0.1,6.93,5,2,2,0.9,1.3,0.2,1.4,1.2,40.8,87.9,0.2,1.2,0.1,"Philippe Coutinho Barcelona, 29, M(CLR)",860.0,0.5,0.8,3,3,1.4,45.2,86.7,7.26,Philippe Coutinho,Barcelona,25,BAR  FC Barcelona  Barcelona,M(CLR),30.000,138.0,1.0,2.0
115,"82RodrigoValencia, 31, M(CLR),FW","Rodrigo Valencia, 31, M(CLR),FW",2534,0.6,0.1,0.7,0,0.5,0.4,0,6.93,8,6,2.4,0.9,1.2,0.4,1.1,2,25.1,74.4,0.1,1.1,0.1,"Rodrigo Valencia, 31, M(CLR),FW",428.0,0.2,0.2,0,1,2,24.5,83.7,6.36,Rodrigo,Valencia,27,VAL  Valencia CF  Valencia,"M(CLR),FW",23.000,37.0,1.0,3.0
116,"83Ezequiel GarayValencia, 35, D(C)","Ezequiel Garay Valencia, 35, D(C)",2137,0.8,0.7,0.8,0.4,5.7,0.4,1,6.92,2,0,0.5,0.2,0.5,0,0,0.2,44.6,83.6,0,4.1,0,"Ezequiel Garay Valencia, 35, D(C)",219.0,0.7,2.3,0,0,0,41.7,87.2,7.1,Ezequiel Garay,Valencia,31,VAL  Valencia CF  Valencia,D(C),23.000,37.0,0.0,0.0
117,"84Sergio RamosReal Madrid, 36, D(CR)","Sergio Ramos Real Madrid, 36, D(CR)",2476,1.5,1.3,1.0,1,3.0,0.6,0.5,6.91,6,1,1.1,0.3,1.3,0.2,0.1,0.4,68.5,92.1,0,7.1,0,"Sergio Ramos Real Madrid, 36, D(CR)",419.0,2,2.6,0,0,0.2,63.8,91.2,7.32,Sergio Ramos,Real Madrid,32,RM  Real Madrid CF  Real Madrid,D(CR),19.000,146.0,1.0,0.0
118,"88Sergi RobertoBarcelona, 30, D(R),M(CR)","Sergi Roberto Barcelona, 30, D(R),M(CR)",2089,1.0,1.5,0.6,0.1,0.9,0.3,0.1,6.91,0,7,0.3,1,1.1,0,0.7,1,55.9,90.5,0.2,1.0,0.1,"Sergi Roberto Barcelona, 30, D(R),M(CR)",709.0,1.6,1.3,0,0,0.4,56.2,89.7,6.93,Sergi Roberto,Barcelona,26,BAR  FC Barcelona  Barcelona,"D(R),M(CR)",30.000,138.0,1.5,1.0
119,"89Santiago AriasAtletico, 30, D(R)","Santiago Arias Atletico, 30, D(R)",1771,1.9,1.4,0.8,0,1.4,0.4,0.1,6.91,1,1,0.4,0.6,1.3,0.1,0.4,0.9,31.6,81.9,0.4,0.6,0,"Santiago Arias Atletico, 30, D(R)",347.0,2.3,0.5,0,0,0.8,34.5,82.6,6.91,Santiago Arias,Atletico,26,ATL  Club Atlético de Madrid  Atlético,D(R),20.000,127.0,2.0,0.0
120,"74Thomas ParteyAtletico, 28, D(R),M(CR)","Thomas Partey Atletico, 28, D(R),M(CR)",2067,2.1,1.5,1.0,0,0.6,0.9,0.2,6.93,3,4,1.1,0.6,0.7,0,0.6,0.9,41.5,83.8,0.3,2.3,0.1,"Thomas Partey Atletico, 28, D(R),M(CR)",418.0,1.3,1.8,0,1,0.5,44.0,81.8,6.95,Thomas Partey,Atletico,24,ATL  Club Atlético de Madrid  Atlético,"D(R),M(CR)",20.000,127.0,1.5,1.0
121,"78Gabriel PaulistaValencia, 31, D(CR)","Gabriel Paulista Valencia, 31, D(CR)",2625,1.0,2.3,0.8,0.6,5.2,0.5,0.7,6.93,0,1,0.4,0.2,1.0,0,0.1,0.4,43.3,86.7,0,3.8,0,"Gabriel Paulista Valencia, 31, D(CR)",450.0,1.6,1.8,0,0,0,51.0,89.4,6.92,Gabriel Paulista,Valencia,27,VAL  Valencia CF  Valencia,D(CR),23.000,37.0,1.0,0.0
