,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
0,"461Thomas KesslerFC Koln, 36, GK","Thomas Kessler FC Koln, 36, GK",1,90,-,-,-,-,-,-,-,-,5.68,-,-,-,-,-,-,-,-,32,34.4,-,9,-
0,"451Lukas FrödeWerder Bremen, 27, DMC","Lukas Fröde Werder Bremen, 27, DMC",0(1),1,-,-,-,-,-,1,-,-,6.0,-,-,-,-,-,-,1,-,2,50,-,-,-
1,"452Mahmoud DahoudBorussia M.Gladbach, 26, M(C)","Mahmoud Dahoud Borussia M.Gladbach, 26, M(C)",0(1),1,-,-,-,-,1,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2,"453Oliver HüsingWerder Bremen, 29, D(C)","Oliver Hüsing Werder Bremen, 29, D(C)",0(2),22,-,-,-,-,-,0.5,0.5,-,5.99,-,-,-,-,-,-,-,-,6,100,-,0.5,-
3,"454Maximilian BeisterHamburg, 31, AM(LR),FW","Maximilian Beister Hamburg, 31, AM(LR),FW",0(5),69,0.2,-,0.8,-,-,0.2,-,-,5.98,-,-,0.2,-,0.4,-,-,-,2.6,38.5,-,-,-
4,"455Sami AllaguiHertha Berlin, 36, AM(CLR),FW","Sami Allagui Hertha Berlin, 36, AM(CLR),FW",0(1),5,-,-,-,-,-,-,-,-,5.96,-,-,-,-,-,-,-,1,2,100,-,-,-
5,"456Jonas HofmannBorussia Dortmund, 29, M(CLR)","Jonas Hofmann Borussia Dortmund, 29, M(CLR)",0(2),19,-,-,-,-,-,-,-,-,5.94,-,-,-,1,-,-,1,-,6.5,69.2,0.5,-,-
6,"457Petar SliskovicMainz, 31, Forward","Petar Sliskovic Mainz, 31, Forward",0(2),9,-,-,0.5,-,-,0.5,-,-,5.94,-,-,-,-,-,-,-,0.5,3,83.3,-,-,-
7,"458Timo HildebrandEintracht Frankfurt, 43, GK","Timo Hildebrand Eintracht Frankfurt, 43, GK",3,270,-,-,-,-,-,0.3,-,-,5.93,-,-,-,-,0.3,-,-,-,32.7,61.2,-,7,-
8,"459Christoph JankerAugsburg, 37, D(C)","Christoph Janker Augsburg, 37, D(C)",1(1),65,1,-,1,-,2,-,-,-,5.88,-,-,-,-,-,-,-,-,26,75,-,1,-
